,other_features,dcor
43,spectralFlux_sma3_amean,0.9
22,spectralFluxV_sma3nz_amean,0.88
58,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.85
52,F0semitoneFrom27.5Hz_sma3nz_amean,0.82
31,spectralFluxUV_sma3nz_amean,0.8
18,shimmerLocaldB_sma3nz_amean,0.77
37,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.77
36,jitterLocal_sma3nz_amean,0.69
6,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.63
12,shimmerLocaldB_sma3nz_stddevNorm,0.62
51,F3amplitudeLogRelF0_sma3nz_amean,0.62
0,F2amplitudeLogRelF0_sma3nz_amean,0.61
67,F1amplitudeLogRelF0_sma3nz_amean,0.58
57,slopeUV500-1500_sma3nz_amean,0.58
71,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.57
49,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.56
47,slopeV0-500_sma3nz_amean,0.54
59,spectralFlux_sma3_stddevNorm,0.53
35,slopeV500-1500_sma3nz_amean,0.51
11,hammarbergIndexUV_sma3nz_amean,0.5
23,StddevVoicedSegmentLengthSec,0.5
69,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.49
62,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.48
28,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.48
55,alphaRatioUV_sma3nz_amean,0.47
19,MeanUnvoicedSegmentLength,0.46
9,spectralFluxV_sma3nz_stddevNorm,0.45
33,StddevUnvoicedSegmentLength,0.44
7,MeanVoicedSegmentLengthSec,0.42
14,logRelF0-H1-A3_sma3nz_stddevNorm,0.41
15,mfcc4V_sma3nz_amean,0.38
8,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.37
17,mfcc1_sma3_amean,0.35
16,F3bandwidth_sma3nz_stddevNorm,0.35
48,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.35
21,F1frequency_sma3nz_stddevNorm,0.34
24,jitterLocal_sma3nz_stddevNorm,0.34
4,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.34
2,alphaRatioV_sma3nz_stddevNorm,0.33
32,mfcc1_sma3_stddevNorm,0.33
64,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.33
26,mfcc4_sma3_amean,0.32
72,F3frequency_sma3nz_amean,0.32
44,mfcc2_sma3_amean,0.31
42,VoicedSegmentsPerSec,0.31
