,dcor_duration,dcor_intensity
equivalentSoundLevel_dBp,0.76,1.0
spectralFlux_sma3_amean,0.72,0.9
loudness_sma3_stddevRisingSlope,0.71,1.0
loudness_sma3_amean,0.7,1.0
spectralFluxV_sma3nz_amean,0.7,0.88
spectralFluxUV_sma3nz_amean,0.7,0.8
loudness_sma3_percentile80.0,0.69,1.0
slopeUV500-1500_sma3nz_amean,0.67,0.58
loudness_sma3_percentile50.0,0.67,1.0
loudness_sma3_meanRisingSlope,0.65,1.0
loudness_sma3_percentile20.0,0.65,1.0
loudness_sma3_pctlrange0-2,0.64,1.0
loudness_sma3_stddevFallingSlope,0.64,1.0
loudness_sma3_meanFallingSlope,0.6,1.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.54,0.49
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.53,0.57
jitterLocal_sma3nz_amean,0.5,0.69
slopeV500-1500_sma3nz_amean,0.46,0.51
loudnessPeaksPerSec,0.46,1.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.45,0.85
hammarbergIndexUV_sma3nz_amean,0.44,0.5
alphaRatioUV_sma3nz_amean,0.43,0.47
HNRdBACF_sma3nz_stddevNorm,0.42,1.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.42,0.37
logRelF0-H1-A3_sma3nz_stddevNorm,0.42,0.41
HNRdBACF_sma3nz_amean,0.41,1.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.4,0.35
spectralFluxV_sma3nz_stddevNorm,0.39,0.45
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.37,0.34
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.36,0.33
spectralFlux_sma3_stddevNorm,0.34,0.53
shimmerLocaldB_sma3nz_amean,0.33,0.77
StddevVoicedSegmentLengthSec,0.32,0.5
shimmerLocaldB_sma3nz_stddevNorm,0.31,0.62
mfcc1_sma3_stddevNorm,0.3,0.33
F0semitoneFrom27.5Hz_sma3nz_amean,,0.82
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,,0.77
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,,0.63
F3amplitudeLogRelF0_sma3nz_amean,,0.62
F2amplitudeLogRelF0_sma3nz_amean,,0.61
F1amplitudeLogRelF0_sma3nz_amean,,0.58
F1amplitudeLogRelF0_sma3nz_stddevNorm,,0.56
slopeV0-500_sma3nz_amean,,0.54
F2amplitudeLogRelF0_sma3nz_stddevNorm,,0.48
F3amplitudeLogRelF0_sma3nz_stddevNorm,,0.48
MeanUnvoicedSegmentLength,,0.46
StddevUnvoicedSegmentLength,,0.44
MeanVoicedSegmentLengthSec,,0.42
mfcc4V_sma3nz_amean,,0.38
mfcc1_sma3_amean,,0.35
F3bandwidth_sma3nz_stddevNorm,,0.35
F1frequency_sma3nz_stddevNorm,,0.34
jitterLocal_sma3nz_stddevNorm,,0.34
alphaRatioV_sma3nz_stddevNorm,,0.33
mfcc4_sma3_amean,,0.32
F3frequency_sma3nz_amean,,0.32
mfcc2_sma3_amean,,0.31
VoicedSegmentsPerSec,,0.31
