,other_features,dcor
0,equivalentSoundLevel_dBp,0.76
1,spectralFlux_sma3_amean,0.72
2,loudness_sma3_stddevRisingSlope,0.71
3,loudness_sma3_amean,0.7
4,spectralFluxV_sma3nz_amean,0.7
5,spectralFluxUV_sma3nz_amean,0.7
6,loudness_sma3_percentile80.0,0.69
7,slopeUV500-1500_sma3nz_amean,0.67
8,loudness_sma3_percentile50.0,0.67
9,loudness_sma3_meanRisingSlope,0.65
10,loudness_sma3_percentile20.0,0.65
11,loudness_sma3_pctlrange0-2,0.64
12,loudness_sma3_stddevFallingSlope,0.64
13,loudness_sma3_meanFallingSlope,0.6
14,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.54
15,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.53
16,jitterLocal_sma3nz_amean,0.5
17,slopeV500-1500_sma3nz_amean,0.46
18,loudnessPeaksPerSec,0.46
19,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.45
20,hammarbergIndexUV_sma3nz_amean,0.44
21,alphaRatioUV_sma3nz_amean,0.43
22,HNRdBACF_sma3nz_stddevNorm,0.42
23,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.42
24,logRelF0-H1-A3_sma3nz_stddevNorm,0.42
25,HNRdBACF_sma3nz_amean,0.41
26,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.4
27,spectralFluxV_sma3nz_stddevNorm,0.39
28,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.37
29,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.36
30,spectralFlux_sma3_stddevNorm,0.34
31,shimmerLocaldB_sma3nz_amean,0.33
32,StddevVoicedSegmentLengthSec,0.32
33,shimmerLocaldB_sma3nz_stddevNorm,0.31
34,mfcc1_sma3_stddevNorm,0.3
