,other_features,dcor
50,equivalentSoundLevel_dBp,0.7555252047308044
42,spectralFlux_sma3_amean,0.7240377113573327
63,loudness_sma3_stddevRisingSlope,0.7079831921269588
22,loudness_sma3_amean,0.7028358112000077
44,spectralFluxV_sma3nz_amean,0.701223785927816
82,spectralFluxUV_sma3nz_amean,0.696204727208931
35,loudness_sma3_percentile80.0,0.6889259040679591
10,slopeUV500-1500_sma3nz_amean,0.6726507953935417
24,loudness_sma3_percentile50.0,0.6652479301199522
64,loudness_sma3_meanRisingSlope,0.6474824844603658
34,loudness_sma3_percentile20.0,0.6450816949089292
43,loudness_sma3_pctlrange0-2,0.6419311118097271
6,loudness_sma3_stddevFallingSlope,0.635045775555193
60,loudness_sma3_meanFallingSlope,0.5952156084306399
16,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.5388876809615102
30,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.5261264464690232
80,jitterLocal_sma3nz_amean,0.4995438513821007
12,slopeV500-1500_sma3nz_amean,0.4623248071082846
29,loudnessPeaksPerSec,0.4578277882587885
5,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.4473647882595937
1,hammarbergIndexUV_sma3nz_amean,0.4447955998412202
36,alphaRatioUV_sma3nz_amean,0.4289091771789821
52,HNRdBACF_sma3nz_stddevNorm,0.4245974571005473
55,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.42323105628070895
19,logRelF0-H1-A3_sma3nz_stddevNorm,0.419865787006447
46,HNRdBACF_sma3nz_amean,0.4112062896946229
74,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.3953796347335348
4,spectralFluxV_sma3nz_stddevNorm,0.3867341176783385
27,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.3696474199119351
25,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.35596632532695993
41,spectralFlux_sma3_stddevNorm,0.3363454293801814
66,shimmerLocaldB_sma3nz_amean,0.3304389469745663
83,StddevVoicedSegmentLengthSec,0.3184410576302799
59,shimmerLocaldB_sma3nz_stddevNorm,0.3119228666065242
58,mfcc1_sma3_stddevNorm,0.30429265172725806
73,slopeUV0-500_sma3nz_amean,0.27233568295184973
14,F1bandwidth_sma3nz_amean,0.2696496220770269
85,F3amplitudeLogRelF0_sma3nz_amean,0.2637387645228258
77,F2amplitudeLogRelF0_sma3nz_amean,0.26098201857082093
21,F1amplitudeLogRelF0_sma3nz_amean,0.25853017807924483
23,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.2362172104522818
65,F0semitoneFrom27.5Hz_sma3nz_amean,0.2224615921784805
67,alphaRatioV_sma3nz_amean,0.21780935719516817
68,slopeV500-1500_sma3nz_stddevNorm,0.21471389199767404
15,mfcc1_sma3_amean,0.21426704309503997
31,MeanVoicedSegmentLengthSec,0.208758582585842
75,MeanUnvoicedSegmentLength,0.20636223381080243
61,hammarbergIndexV_sma3nz_amean,0.19844304054833536
17,F2bandwidth_sma3nz_amean,0.19816446618821754
54,jitterLocal_sma3nz_stddevNorm,0.1934296906725568
13,loudness_sma3_stddevNorm,0.19319153191284205
84,slopeV0-500_sma3nz_amean,0.187809226279016
20,logRelF0-H1-H2_sma3nz_amean,0.18513966472454504
40,StddevUnvoicedSegmentLength,0.1792916305124137
71,logRelF0-H1-H2_sma3nz_stddevNorm,0.17115554205063024
33,F1bandwidth_sma3nz_stddevNorm,0.16807885269649223
56,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.16206125070582272
37,F1frequency_sma3nz_amean,0.15939015123752312
57,F2frequency_sma3nz_stddevNorm,0.1581986683607999
7,F2bandwidth_sma3nz_stddevNorm,0.1531954071660659
86,F3frequency_sma3nz_stddevNorm,0.15259278331647627
18,alphaRatioV_sma3nz_stddevNorm,0.1481170850873197
28,F1frequency_sma3nz_stddevNorm,0.14689416407101527
38,F3bandwidth_sma3nz_amean,0.14507772881822098
0,F3frequency_sma3nz_amean,0.14202641263071694
87,mfcc1V_sma3nz_stddevNorm,0.13093252009942818
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.1269865190679635
79,mfcc2V_sma3nz_amean,0.11747540031001814
11,mfcc3V_sma3nz_amean,0.11698503268353841
9,F3bandwidth_sma3nz_stddevNorm,0.11632386060944147
76,logRelF0-H1-A3_sma3nz_amean,0.11542321990051946
62,mfcc4_sma3_amean,0.11431190566738511
72,mfcc4V_sma3nz_stddevNorm,0.11175402228919416
70,mfcc3_sma3_amean,0.11160578570913023
48,mfcc1V_sma3nz_amean,0.11078538383842033
32,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.1087163800463901
49,mfcc2_sma3_stddevNorm,0.10424177608521085
2,mfcc2_sma3_amean,0.09853912886594596
47,VoicedSegmentsPerSec,0.09732308922570893
53,F2frequency_sma3nz_amean,0.09728173580600954
26,mfcc3_sma3_stddevNorm,0.09188259252612568
78,mfcc2V_sma3nz_stddevNorm,0.08807774933498835
39,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.08742182878961773
81,mfcc3V_sma3nz_stddevNorm,0.07998950292148134
8,hammarbergIndexV_sma3nz_stddevNorm,0.07594507941042698
69,mfcc4_sma3_stddevNorm,0.0738529500812009
45,mfcc4V_sma3nz_amean,0.0736744427987399
3,slopeV0-500_sma3nz_stddevNorm,0.052923167862672475
