data_type,feature_name,rank
both,equivalentSoundLevel_dBp,1/5
both,loudnessPeaksPerSec,2/5
both,mfcc1V_sma3nz_amean,3/5
both,F1frequency_sma3nz_amean,4/5
both,F0semitoneFrom27.5Hz_sma3nz_amean,5/5
speech,equivalentSoundLevel_dBp,1/5
speech,shimmerLocaldB_sma3nz_stddevNorm,2/5
speech,F1amplitudeLogRelF0_sma3nz_amean,3/5
speech,mfcc1V_sma3nz_amean,4/5
speech,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,5/5
vowel,equivalentSoundLevel_dBp,1/5
vowel,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,2/5
vowel,mfcc1_sma3_amean,3/5
vowel,hammarbergIndexV_sma3nz_stddevNorm,4/5
vowel,F0semitoneFrom27.5Hz_sma3nz_amean,5/5
