,other_features,dcor
40,equivalentSoundLevel_dBp,0.76
64,spectralFlux_sma3_amean,0.72
77,loudness_sma3_stddevRisingSlope,0.71
1,loudness_sma3_amean,0.7
12,spectralFluxV_sma3nz_amean,0.7
46,spectralFluxUV_sma3nz_amean,0.7
87,loudness_sma3_percentile80.0,0.69
28,slopeUV500-1500_sma3nz_amean,0.67
32,loudness_sma3_percentile50.0,0.67
59,loudness_sma3_meanRisingSlope,0.65
20,loudness_sma3_percentile20.0,0.65
78,loudness_sma3_pctlrange0-2,0.64
63,loudness_sma3_stddevFallingSlope,0.64
53,loudness_sma3_meanFallingSlope,0.6
36,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.54
3,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.53
58,jitterLocal_sma3nz_amean,0.5
19,slopeV500-1500_sma3nz_amean,0.46
34,loudnessPeaksPerSec,0.46
25,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.45
9,hammarbergIndexUV_sma3nz_amean,0.44
56,alphaRatioUV_sma3nz_amean,0.43
0,HNRdBACF_sma3nz_stddevNorm,0.42
13,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.42
15,logRelF0-H1-A3_sma3nz_stddevNorm,0.42
60,HNRdBACF_sma3nz_amean,0.41
48,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.4
26,spectralFluxV_sma3nz_stddevNorm,0.39
37,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.37
65,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.36
23,spectralFlux_sma3_stddevNorm,0.34
8,shimmerLocaldB_sma3nz_amean,0.33
84,StddevVoicedSegmentLengthSec,0.32
72,shimmerLocaldB_sma3nz_stddevNorm,0.31
30,mfcc1_sma3_stddevNorm,0.3
