,LogisticRegression
0,5.555325031280518
1,5.435245037078857
2,4.03672194480896
3,8.307539224624634
4,4.798541784286499
5,4.8377909660339355
6,10.944579124450684
7,4.103287935256958
8,3.6187589168548584
9,10.017791032791138
10,4.7155468463897705
11,3.5558600425720215
12,5.713993072509766
13,4.245894908905029
14,13.608097076416016
15,3.839181661605835
16,7.163280725479126
17,4.328912973403931
18,8.419240951538086
19,4.627476930618286
20,5.0707550048828125
21,6.061446905136108
22,8.047917127609253
23,5.83289909362793
24,6.347841739654541
25,5.893876075744629
26,7.6664769649505615
27,6.969594240188599
28,4.359161138534546
29,4.391004800796509
30,5.254108190536499
31,4.938215970993042
32,4.372201919555664
33,5.77583909034729
34,9.15134596824646
35,4.797107934951782
36,4.060136318206787
37,8.582955837249756
38,12.67651081085205
39,4.224989891052246
40,4.0170111656188965
41,3.851931095123291
42,10.414548873901367
43,4.863897085189819
44,5.1720709800720215
45,4.844097137451172
46,5.376043796539307
47,4.682344913482666
48,8.841278076171875
49,4.157969236373901
