,RandomForestClassifier
0,62.87458896636963
1,61.30574584007263
2,60.426406145095825
3,59.79903507232666
4,57.657078981399536
5,59.918272972106934
6,55.25150918960571
7,62.836127042770386
8,60.10481309890747
9,64.4710099697113
10,65.48067593574524
11,57.48367881774902
12,59.5018150806427
13,58.95106220245361
14,71.66450190544128
15,233.32084679603577
16,104.79191708564758
17,127.90616607666016
18,6036.926284074783
19,2798.8537859916687
20,3152.677316904068
21,564.9718658924103
22,56.3129608631134
23,56.61095881462097
24,57.86555290222168
25,57.695504903793335
26,58.25479602813721
27,56.4799439907074
28,59.87034225463867
29,57.08760595321655
30,55.20625019073486
31,58.42164492607117
32,58.51649880409241
33,59.9073748588562
34,56.58073592185974
35,59.00115203857422
36,57.166443824768066
37,55.26976823806763
38,56.40419101715088
39,56.866926193237305
40,59.682644844055176
41,55.708072900772095
42,56.72636914253235
43,59.51240921020508
44,57.244993925094604
45,55.56167507171631
46,59.2878201007843
47,60.9832980632782
48,58.23349571228027
49,56.01929998397827
