,LogisticRegression
0,0.5772809982299805
1,2.624601125717163
2,0.3798229694366455
3,0.2421708106994629
4,0.5458276271820068
5,0.4719860553741455
6,0.3013122081756592
7,0.47627687454223633
8,0.3210470676422119
9,0.5391948223114014
10,0.2709529399871826
11,0.3685188293457031
12,0.3072361946105957
13,2.756276845932007
14,0.26650381088256836
15,0.40118885040283203
16,0.42888808250427246
17,0.4356958866119385
18,0.34482884407043457
19,0.46041393280029297
20,0.6458790302276611
21,0.5386650562286377
22,0.32061290740966797
23,0.36907315254211426
24,0.23926591873168945
25,0.33542704582214355
26,0.46906185150146484
27,0.4513890743255615
28,0.2701749801635742
29,0.35698509216308594
30,0.3513040542602539
31,0.4344189167022705
32,0.4699370861053467
33,0.3312089443206787
34,0.2899909019470215
35,0.16909575462341309
36,0.4258391857147217
37,0.5017316341400146
38,0.2635781764984131
39,0.3294079303741455
40,0.3193669319152832
41,0.2807447910308838
42,0.369304895401001
43,0.21633696556091309
44,0.33335399627685547
45,0.4222757816314697
46,0.4167671203613281
47,0.22892498970031738
48,0.4349219799041748
49,0.47608089447021484
