,MLPClassifier
0,10.748304843902588
1,11.046655893325806
2,11.32602334022522
3,10.520726203918457
4,11.050348997116089
5,11.086367130279541
6,10.241760969161987
7,11.549251079559326
8,11.381882190704346
9,11.505463123321533
10,11.33382797241211
11,11.643171072006226
12,10.90014910697937
13,10.707972049713135
14,12.885835886001587
15,13.238401174545288
16,13.373327255249023
17,12.634328126907349
18,11.628441095352173
19,10.170411109924316
20,12.997145175933838
21,12.003823041915894
22,10.951472997665405
23,11.532198905944824
24,10.642324924468994
25,10.569581031799316
26,11.516038179397583
27,10.824472904205322
28,10.919638872146606
29,11.315377235412598
30,11.13339900970459
31,11.459085941314697
32,11.1112539768219
33,10.477331399917603
34,10.610904932022095
35,10.490192174911499
36,11.03898000717163
37,11.12468695640564
38,10.764744997024536
39,10.593464136123657
40,10.714081048965454
41,10.433820247650146
42,10.696233749389648
43,10.773832082748413
44,10.673018217086792
45,11.201953172683716
46,11.197273969650269
47,10.478106021881104
48,11.090579271316528
49,11.294130086898804
