,RandomForestClassifier
0,23.323647022247314
1,25.439556121826172
2,24.382633924484253
3,28.82169795036316
4,25.566818714141846
5,24.356322050094604
6,24.293937921524048
7,25.72440004348755
8,24.616591930389404
9,23.755970239639282
10,24.235739946365356
11,24.806278944015503
12,23.05911612510681
13,24.608601093292236
14,22.7689528465271
15,31.329444885253906
16,26.072373867034912
17,25.51657485961914
18,25.303995847702026
19,27.722187995910645
20,25.221370935440063
21,26.520780086517334
22,26.140747785568237
23,23.54402184486389
24,24.035856246948242
25,24.565266847610474
26,24.215641975402832
27,24.88097906112671
28,25.14673113822937
29,26.26820397377014
30,25.461288928985596
31,24.945559978485107
32,26.208384037017822
33,25.89900803565979
34,24.91848874092102
35,23.375187158584595
36,24.227000951766968
37,23.711241006851196
38,24.327637910842896
39,23.057623863220215
40,56.638460874557495
41,73.35688805580139
42,64.81819891929626
43,51.75237703323364
44,24.57318115234375
45,25.721707105636597
46,22.8549063205719
47,23.261025190353394
48,25.153501987457275
49,25.58241891860962
