,SGDClassifier
0,0.2549266815185547
1,0.2517669200897217
2,0.2355039119720459
3,0.24243474006652832
4,0.23473095893859863
5,0.23708796501159668
6,0.23984384536743164
7,0.2340412139892578
8,0.23836898803710938
9,0.23868393898010254
10,0.2344651222229004
11,0.23619580268859863
12,0.2354280948638916
13,0.24164295196533203
14,0.235396146774292
15,0.23795294761657715
16,0.23665618896484375
17,0.24576401710510254
18,0.23453998565673828
19,0.24144601821899414
20,0.23601627349853516
21,0.24319005012512207
22,0.242750883102417
23,0.2389998435974121
24,0.24260210990905762
25,0.2716658115386963
26,0.28383374214172363
27,0.3338038921356201
28,0.33214688301086426
29,0.2653529644012451
30,0.2751891613006592
31,0.27216291427612305
32,0.2706589698791504
33,0.24225163459777832
34,0.2422962188720703
35,0.24112915992736816
36,0.25332117080688477
37,0.25586986541748047
38,1.1189229488372803
39,0.2429361343383789
40,0.246107816696167
41,0.24962210655212402
42,0.23995089530944824
43,0.2391202449798584
44,0.23915600776672363
45,0.25577592849731445
46,0.26691102981567383
47,0.24263286590576172
48,0.24426913261413574
49,0.27341723442077637
