,MLPClassifier
0,35.273974657058716
1,30.277760982513428
2,29.93474316596985
3,30.773954153060913
4,29.250608921051025
5,30.331364154815674
6,31.239187955856323
7,31.53468084335327
8,30.656222343444824
9,34.623924016952515
10,29.790220022201538
11,50.3336820602417
12,37.03570318222046
13,58.18705701828003
14,66.31248307228088
15,44.826639890670776
16,69.07785105705261
17,37.95575475692749
18,38.7521390914917
19,35.49876689910889
20,38.82641100883484
21,47.453152894973755
22,42.24439716339111
23,30.51162314414978
24,31.667245864868164
25,31.155779123306274
26,34.53034591674805
27,31.766589879989624
28,39.008216857910156
29,36.147022008895874
30,31.920050859451294
31,39.823395013809204
32,31.677599906921387
33,31.14652967453003
34,28.519320249557495
35,31.632946252822876
36,31.837885856628418
37,33.28843331336975
38,31.36227011680603
39,31.982157945632935
40,29.882790088653564
41,31.815923929214478
42,30.387266159057617
43,29.71415686607361
44,29.791985273361206
45,33.3471896648407
46,31.26191020011902
47,99.02442598342896
48,65.93186783790588
49,32.02458310127258
