,RandomForestClassifier
0,42.39745783805847
1,54.47539520263672
2,50.62907290458679
3,51.01826310157776
4,68.46890783309937
5,98.59717607498169
6,43.33751392364502
7,51.85974407196045
8,78.44628500938416
9,81.35929584503174
10,41.166775941848755
11,40.79917287826538
12,39.81951594352722
13,49.578940868377686
14,49.58715581893921
15,37.08185005187988
16,73.31316208839417
17,81.13807797431946
18,50.73955011367798
19,39.78988814353943
20,44.816941022872925
21,52.05021405220032
22,47.01302194595337
23,52.50929117202759
24,62.07101821899414
25,81.2849428653717
26,98.49548697471619
27,95.89539790153503
28,53.52765107154846
29,64.57737326622009
30,67.83531713485718
31,49.37175893783569
32,45.0205180644989
33,47.40349984169006
34,37.439197063446045
35,41.74778485298157
36,41.0945999622345
37,40.24459409713745
38,42.122382164001465
39,38.88545823097229
40,44.5653760433197
41,41.12044596672058
42,40.13011622428894
43,42.07610774040222
44,38.745946168899536
45,35.49760627746582
46,39.54155969619751
47,2056.555272102356
48,57.97856783866882
49,23.27380681037903
