,SGDClassifier
0,0.6342790126800537
1,0.4985842704772949
2,0.42821717262268066
3,0.45864033699035645
4,0.47740697860717773
5,0.5106899738311768
6,0.46175098419189453
7,0.43230485916137695
8,0.4982340335845947
9,0.6145589351654053
10,0.5058207511901855
11,0.4863409996032715
12,0.4319941997528076
13,0.42980289459228516
14,0.43076086044311523
15,0.4725801944732666
16,0.4432680606842041
17,0.4374277591705322
18,0.45964574813842773
19,0.47902607917785645
20,0.4641380310058594
21,0.4609048366546631
22,0.4799680709838867
23,0.46602821350097656
24,0.4351210594177246
25,0.4779489040374756
26,0.46236491203308105
27,0.46642518043518066
28,0.5162551403045654
29,0.48357725143432617
30,0.5022189617156982
31,0.534451961517334
32,0.5148930549621582
33,0.5019171237945557
34,0.49176979064941406
35,0.5004618167877197
36,0.4929358959197998
37,0.541010856628418
38,0.5315701961517334
39,0.5122711658477783
40,0.5255937576293945
41,0.49959278106689453
42,0.505258321762085
43,0.5299851894378662
44,0.5187249183654785
45,0.6183249950408936
46,1.0466020107269287
47,1.337277889251709
48,0.7331712245941162
49,0.870168924331665
