,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.05718544699903312,-0.029071879026306386,0.06139196141238213,0.09949263212954666,-0.04578044795334546,0.1037387057885194,-0.1715298442701856,-0.10612412792391655,0.039055599926787955,-0.023071980627655052,0.10141951555793893,-0.014733698354758505,0.06055416687386278,0.15521929160532685,-0.011259312342623912,0.03711579504731,-0.003490257938091157,0.005587778343626887,0.12608657383861227,0.13429154969743862,-0.05014953833540465,0.022554126533824315,0.013151314092680721,-0.07066545914809476,0.020386512203186657,0.09020052355179808,-0.02355262319916602,0.016127671915010806,0.0998185503322524,0.11994973073562494,0.04990937371589884,0.20452550986433077,0.07742382802503348,0.029572419054310028,0.01064115008334073,0.14738604539723307,0.1948325548883898,-0.01216573978654318,-0.09080259127359815,0.0515800866844369,-0.036855604990803724,0.045327409927780386,0.12490396265264003,-0.07681144700120571,0.07178055518082586,0.07650772315228617,0.25554614061945735,0.0799899803940584,0.006078611441805235,0.14059979786628643,0.043277360867223565,0.08304876552417166,-0.1715298442701856,0.25554614061945735
mfcc1V_sma3nz_amean,0.06231697588859689,-0.021440993807454258,0.0434103097912866,0.042744848898960484,-0.02095603040472583,0.09354435737417269,-0.07630901264699824,-0.04122253533160646,0.0221963975157053,-0.02095750331098453,0.09319195722314837,-0.003981719905027067,0.037424187563862024,0.0497106443383313,-0.006371546750594037,0.04244967088569799,-0.0026913256600575915,0.012151966218326418,0.09535772564450955,0.09838489089655207,-0.021527825503898364,0.013789594411606095,0.006618175898536494,-0.08113561919791788,0.017882734666815774,0.07448893441535122,-0.011085870548480816,0.010369168747704542,0.0735694881018176,0.05727868428103646,0.03810116410369285,0.0776129052327216,0.08660171263639478,0.01414188925039407,0.005132060341665095,0.05568501622170697,0.07418775138817828,-0.01334765548027532,-0.10130854176557025,0.07527102647773784,-0.01921640197062231,0.03973374742489202,0.16164735464574168,-0.03755757782776306,0.13372960039104945,0.046870605423374824,0.14917612183749349,0.07085595139071753,0.002923889481104983,0.09827359397893157,0.03195429885751678,0.05594330453689201,-0.10130854176557025,0.16164735464574168
F1bandwidth_sma3nz_amean,0.014308352015153424,0.0,0.010883175948447498,0.041175119637095046,-0.010306975095439265,0.0479663939501215,-0.06601292382797364,-0.00010540934965826563,0.017905006116117297,-0.008633205955559494,0.04109279895641527,-0.003048938999708258,0.03466216507442954,0.04169593306410635,-0.003929983740043803,0.00014760149383125255,-0.0016677198330639677,0.004102750643609126,0.02097462535588254,0.0387780475590727,-0.017867120378919004,0.01213793781179787,0.006306736130434808,-0.02180382349129476,0.008522149799532776,0.04866034932852956,-5.02618912412295e-05,0.005204554972995272,0.026259728884292555,0.03615466594226442,0.01867550660539564,0.04374936037066566,0.033853846060919124,0.008717881812196765,0.0035915266833826407,0.04289036608328058,0.05232484831596076,-0.004770886243282005,-0.03713096941598759,0.0,-0.012558404836104145,0.006502468125161785,0.04466242022905212,-0.015657374719447326,0.022090178717805536,0.058974883683666206,0.11359184024413686,0.043438306756547605,0.001637205579860226,0.09616736265819338,0.01688524193665262,0.030629719201604316,-0.06601292382797364,0.11359184024413686
alphaRatioV_sma3nz_amean,0.013089930408995185,-0.001804143311795723,0.015601600516183856,0.03370173756064051,-0.011317438249833792,0.05847204756909789,-0.055770747816116954,-0.026543000451332975,0.005333022793195316,-0.010882383235909013,0.03445688732070581,-0.003912907772866042,0.02228220609542358,0.024879149994615633,-0.002884402577415612,0.0028875167749787514,-0.0011415585574108815,0.0037798897054326505,0.02060391042250994,0.07917133426643078,-0.014182733677438511,0.013327211282978282,0.0051144848463752085,-0.026020957456046975,0.011105275860280674,0.04012539951703001,-0.005828546655644001,0.005362413150952438,0.028111068557440822,0.0420102159939761,0.05546903486256943,0.04438422970643527,0.037874625018463476,0.008746859614253784,0.003933709484016724,0.04048463424755586,0.050839752262470866,-0.005033191228375625,-0.026863458982801357,0.0002996529456171669,-0.00735496746711188,0.026115235233917098,0.033512226752953345,-0.016530712194239763,0.013634610493515258,0.04840585831938198,0.07050848525671058,0.05522701942348514,0.0017108055368278447,0.055216693158671726,0.015794151706394997,0.027692876132907343,-0.055770747816116954,0.07917133426643078
MeanUnvoicedSegmentLength,0.008891420406366684,-0.006670763152535494,0.015244685190130915,0.035652439161495866,-0.011072340240535104,0.04303672086126786,-0.05844953399809351,-0.026612615224044865,0.007225949694501082,-0.008087717243230609,0.045417702096034546,-0.002123159662475045,0.028288718759673537,0.030205184175574724,-0.004442916511424775,0.008515782994402383,-0.0007729962081895989,0.002746733689907085,0.033975117782029635,0.053566954394222696,-0.011455095333643514,0.006444688982757234,0.004107637128330549,-0.023415538033178165,0.008986294636066277,0.039612977499179254,-0.0036589700947795355,0.006518091568634901,0.030965998116987536,0.029174798529811106,0.037543501670211046,0.02522344731580677,0.022222415711286827,0.010099252409872096,0.00298508048678469,0.036147137676187414,0.03176785154426679,-0.004460746253572065,-0.023347507893934114,0.023424702905947593,-0.012329390674766417,0.029820683672324686,0.03641196481035965,-0.023963178499693986,0.010970343800598418,0.021606011743026055,0.10904041685161,0.04549992595514902,0.0009090817828185807,0.05175979246645251,0.014262940748919584,0.02686213990161329,-0.05844953399809351,0.10904041685161
loudnessPeaksPerSec,0.013960964080031045,-0.006261455736526284,0.016108690874944903,0.028227979760837765,-0.009886187223753272,0.027419334375354633,-0.04616044427090342,-0.015329623744677282,0.004804921237496469,-0.004326805495191734,0.018664563611505768,-0.0007683274276484899,0.018286372414936664,0.004119826221735298,-0.0038035743751094063,0.015542207489480042,-0.0011407712268632654,0.003584666856016481,0.0175216200791641,0.040765217524599516,-0.002849476368167462,0.005870201356127407,0.00396967681267742,-0.015485455253259749,0.008183467310829204,0.04869980093539218,-0.010274384567980353,0.002713490323893152,0.021081313483400952,0.017457015757034722,0.046330464496765845,0.028751288039556254,0.023609023487395554,0.007338452946429089,0.003724175493516191,0.031017537470810715,0.008357448780316938,-0.0022028292236596875,-0.021282951772885715,0.021047956396295288,-0.007066374100102417,0.02112732845074427,0.028872879244465702,-0.010164502231082728,0.009595092477373987,0.006536504294303846,0.039489995720648916,0.04504788926902116,0.0008645585357874833,0.015115393523514199,0.009936083122291836,0.018475136928101057,-0.04616044427090342,0.04869980093539218
F3bandwidth_sma3nz_stddevNorm,0.0024754504661503654,-3.274708582310907e-05,0.00675582315509429,0.02006792033301343,-9.110217442454155e-05,0.03273889584392189,-0.020522043436268407,0.0,0.0029346267467225966,-0.0036360830623977125,0.01773134178258577,-0.0006719070666783342,0.009366673577384401,0.007319573125647694,-0.0016770777063053568,0.0001991534027133792,-0.0008544443701717279,0.0025033215645826196,0.0,0.0699298813894765,-0.010086464294367669,0.006362075931429158,0.0020731329297593855,-0.02265966010236966,0.005681440615861076,0.027401737468539866,-1.5196936627907455e-05,0.0051728525040042606,0.021681543606693863,0.01886861308048314,0.020564038683822762,0.003968386684827221,0.006237343579444898,0.002610611244794302,0.0015701310729496817,0.0009892138072408474,0.007308535116544827,-0.0018465167353112232,-0.011419599379619536,0.00022408116373655044,-0.0037708220578944224,0.022605410969082185,0.012839488184153303,-0.01827317198981809,0.009727753013636372,0.018467959884290844,0.028461486957967918,0.02394497395279292,0.00043710949448153735,0.01666609596687012,0.006806596818052446,0.014900424462014568,-0.02265966010236966,0.0699298813894765
F0semitoneFrom27.5Hz_sma3nz_amean,0.0007294985262716432,0.0,0.008897776376314588,0.0022286956666383384,-0.001041251887616763,0.004280524811512521,-0.046166076721670994,-0.00015272013873090406,0.0022289213929583503,-0.018799993909977077,0.021620412321878037,-0.0008564877877716521,0.0005596913557310658,0.010648465567839795,-0.0011215521908817436,7.182610184923957e-05,-0.0004141740299183321,0.00040266504107177914,0.00023974875417737937,0.04321727120574732,-0.0015939750825426685,0.0029648936669857636,0.0012139803072183108,-0.00042602255180640864,0.011026066835435132,0.021734319919886273,-8.84660913065082e-05,0.0008943533894015059,0.01747639101845503,0.02451320159742113,0.026233091947948088,0.012206532126573747,0.005347527514872603,0.00224155491531355,0.0011893577795946766,0.001080112765805348,0.01961402089789681,-0.0008701874219013814,-0.01008160785723808,0.00022142373215856438,-0.007399582788764677,0.04324054756524618,0.020488686886039807,-0.0004824957361464731,0.0068847233197301605,0.012839587633075971,0.0318540689880371,0.02002332844019056,2.4264596580404638e-05,0.014368876340459883,0.006066236302200859,0.014323807874918836,-0.046166076721670994,0.04324054756524618
F3bandwidth_sma3nz_amean,0.0033748906153667456,-1.495630958788482e-05,0.010932549051941447,0.01292871105407558,-0.0037103332736163554,0.01180832184551651,-0.02653081051453322,0.0,0.0009244327866970328,-0.004085299934494565,0.014669708167285111,-0.0013463896297062116,0.0025497903503168785,0.009132331114970525,-8.705794166685936e-05,0.00010520342462122935,-0.0006384229841235152,0.002262813451240023,0.0009500133871822975,0.03507961396835597,-0.00017821275296087393,0.003667555243084523,0.0007551064633877101,-0.01861438512222374,0.003923764205117831,0.012130772110290481,-3.223566754987531e-05,0.0002931127652787902,0.023765105075254245,0.01248613026686001,0.014344145863652282,0.01804611941243834,0.008426736040998119,0.002034361265393143,0.0013871080111445956,0.00035664800107787254,0.014122530939434948,-0.002400644994095111,-0.015598903118827017,0.00012542419495440091,-0.002242668507273608,0.014977679915783903,0.02503389942592501,-0.015619207518875173,0.0149133640147371,0.0035600207509876953,0.0332126744557714,0.0132929606455074,0.00027156819608484625,0.011578574689191552,0.00492648425800783,0.011448302283988125,-0.02653081051453322,0.03507961396835597
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.00010920322346946605,0.0,0.00041184663161499495,0.010510309590868938,-0.0005629105346478086,0.02811983621259118,-0.008463758436874731,0.0,0.00031552778712825474,-0.0017269222585705585,0.0008586672766411759,-0.00017902692934800964,0.0009077364753890975,0.00025868728896514767,-0.00029731981810454726,0.00024464114424223364,-7.143328687409897e-05,0.0009621528547904728,0.0005201957608272377,0.00441445066994144,-0.0002943689540443242,0.00024852725237074926,0.0001352236950065868,-0.006272642205682021,0.0018125371769650534,0.002310901432550624,0.0,0.00020217854422171691,0.003562285335434192,0.00165987206077836,0.024583198519387787,0.00027529635404428484,0.0008880719069401512,0.0003302509795429587,0.0003778093369044489,0.0003064276316310691,0.00028603912804707715,-0.0005611732545385553,-0.004823115994613105,0.00015805252424526466,-0.0002802317659426837,0.02775511966070811,0.03545153821238404,-0.0029558032923490455,0.0008851762400038293,0.0002946478855243967,0.08106600590516602,0.026266014372284634,5.184036815131902e-05,0.006534552618729536,0.004731722306518047,0.014080798802685934,-0.008463758436874731,0.08106600590516602
