,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.04157963382853857,-0.026495139693815378,0.026397900817333255,0.07551489303986801,-0.035597897338770335,0.10750626563830598,-0.1669252458760242,-0.06865954857784443,0.025547674072460103,-0.022969899778759066,0.15091147723544335,-0.0066782279038159155,0.07550377997934515,0.10817045366114064,-0.010474450091142949,0.03888868444416781,-0.002146199074681515,0.008755256463808897,0.0930508332127864,0.1420636719053673,-0.023926037834561507,0.013090192152080621,0.010027415791358145,-0.053989274361013626,0.019461703366348768,0.10366797080942543,-0.013205966182128385,0.01289655115657006,0.07348446452440151,0.08366192556124911,0.05526341148414704,0.10762351186264454,0.07464054744462827,0.03221437211122504,0.010836292492910259,0.07857396913196071,0.09924595343070608,-0.0117015266940463,-0.08140275425411884,0.061116379106342315,-0.022427196233331215,0.06407962333189937,0.14190494106435783,-0.08809712985392133,0.08631924506232584,0.042112551008033225,0.2583916025545551,0.10422743635379254,0.0024988951111286567,0.1345711990953339,0.0385820836911603,0.07276489109216476,-0.1669252458760242,0.2583916025545551
mfcc1V_sma3nz_amean,0.059551478887382304,-0.014270112119266605,0.04541936063398289,0.04709390300056133,-0.023000681226589388,0.12664872398903892,-0.07889188896257875,-0.06355675305080284,0.026547245747602023,-0.024520915432793784,0.07236090962737782,-0.004625397136406127,0.035690347330756135,0.06749894446557904,-0.0063776765538923206,0.04767186129785961,-0.0007835620177963984,0.00782951416705646,0.09852534298766748,0.10188915836739075,-0.025694418986405686,0.01244759950071862,0.006205755266089017,-0.09355238721278959,0.03026786173066531,0.0806614649889918,-0.017753420091255533,0.010815918941036373,0.07250219895994349,0.04171242868932777,0.0574740445320872,0.06799914238153579,0.08071160369752561,0.01744072123680797,0.0044717869595913675,0.05948500969011344,0.054068818533990204,-0.007364859210357195,-0.1018595734733984,0.04407787762672995,-0.02854059654215783,0.059054516292287085,0.08343956965666764,-0.0615578428464908,0.054581160611432616,0.02964203255689245,0.18549988378200927,0.07052377206769563,0.0021595279742345616,0.06453206658966867,0.027483029358106304,0.055222371519207815,-0.1018595734733984,0.18549988378200927
alphaRatioV_sma3nz_amean,0.014900353537649772,-0.0008447470644207418,0.03154738745285582,0.045856224197516574,-0.022218140375482098,0.057319551006606,-0.07518980923984606,-0.024986962066771336,0.008757290934000477,-0.01797846997250368,0.037741687181692726,-0.0030768584839135364,0.024295176700503854,0.02632522916228779,-0.0030744264862308836,0.007714684913173697,-0.0021604666419256196,0.006043202318789901,0.033722324076793334,0.11449961383628109,-0.015623284990132031,0.01465064620141668,0.006303578875463992,-0.03311888980895615,0.01548154947669333,0.04914821464600814,-0.007213467429946409,0.007643744306445673,0.03807212528401049,0.09462872460427024,0.026657126433059106,0.04092384774119089,0.04678871149119428,0.008903257215286516,0.008020048970407529,0.05509230112483644,0.04305769713409776,-0.004418069352026427,-0.02619021527427603,0.0025193883031025864,-0.013714657791504397,0.03478838628744324,0.09613716389619417,-0.01978334895471057,0.047883640164396155,0.047686578085831446,0.11086792997674086,0.058392454642245295,0.0031799818303658036,0.03992484377005502,0.020717657036925217,0.03670963898859446,-0.07518980923984606,0.11449961383628109
MeanUnvoicedSegmentLength,0.0066080641097951654,-0.007279488798666258,0.013830196955030731,0.03736730239159228,-0.011054517760708104,0.04160333175696162,-0.07992291203638867,-0.018201983167278106,0.010535477691411959,-0.009742966174085996,0.03718377262629816,-0.0024285725901648588,0.04066251096672669,0.032402364062625755,-0.0037860299791433213,0.006752991442833534,-0.0016860961130151148,0.00350849815438509,0.04367084125357542,0.11114683146923293,-0.013692682797221113,0.00456003082150221,0.0035184162224586417,-0.018864489677007473,0.014434353378321108,0.05289654175852319,-0.004308482059614414,0.008003266251321407,0.044836359661107224,0.021618801374492312,0.020604041373901663,0.07397093222350305,0.01545178192701622,0.014478332685512796,0.003427871814189863,0.0419766244665013,0.03490383388414699,-0.0044853463771174044,-0.021322413833326614,0.03223552526135412,-0.00955607399879173,0.02527143319116702,0.04592775914424318,-0.026545913543004368,0.024596582239498573,0.01925368982374406,0.11602661368539832,0.062200198922513175,0.0012560132465435987,0.0419383101824977,0.01751563055028787,0.03291047881314007,-0.07992291203638867,0.11602661368539832
F1bandwidth_sma3nz_amean,0.012250415130388811,-2.0456231180281538e-05,0.017172209863460717,0.049839240900650596,-0.008912529449763625,0.044224895624222396,-0.061044897116621775,0.0,0.026104417375086522,-0.012561379368405349,0.0355995192953779,-0.002870498188735467,0.028757596327809457,0.043961238249920945,-0.0030539770011638896,0.000228368766622938,-0.002700628270284331,0.0034995559133500567,0.03308199265363205,0.04023228880403629,-0.024819053959927853,0.009466520510838797,0.004082861744683696,-0.029623098647663,0.019097295724042184,0.04910364104064684,0.0,0.006285206330841433,0.060291536329482115,0.0425776593282367,0.02515149453613468,0.08046538780255519,0.023533841124987544,0.012145931420671401,0.002062564186842354,0.032721160157491144,0.054065874759341735,-0.0058655787849333845,-0.041209049089639974,0.0,-0.016666475572568312,0.023608378852328766,0.04478206665232679,-0.014160140662899381,0.026940744470127946,0.030345519873512476,0.06982116685544298,0.04982786892736723,0.0026032533296552664,0.05057611233683823,0.01662000125710335,0.02846346329016821,-0.061044897116621775,0.08046538780255519
loudnessPeaksPerSec,0.009892059371144128,-0.0043824594058774645,0.012844454015315414,0.019664395170181377,-0.006588280081799554,0.02435627404704186,-0.03921678676435567,-0.010448010019402912,0.007316803454640735,-0.006580856919403652,0.027198476108437435,-0.0011499893887969364,0.01562068660432004,0.007758221794122862,-0.0022114421168524714,0.017909866950074804,-0.002052940621229492,0.0032664873195959623,0.032871104546377844,0.03906043248246938,-0.005097265643756628,0.003324055700930652,0.0025625471017006888,-0.01281349978437413,0.007951065826756297,0.021680786308624436,-0.010052471570241278,0.0027609316908503148,0.038133910992660794,0.021123340099503066,0.022041031817644687,0.029018422668481366,0.01720609270930315,0.006286698408572408,0.003111828931668184,0.031597539774560354,0.01249216302366077,-0.0021494604743604847,-0.01249795230049107,0.017053552671323143,-0.00802304629849858,0.016839559709355183,0.02574925570064186,-0.008228751615787351,0.008473348298957298,0.0098952780554998,0.06024886838277344,0.0335114140147994,0.0011697038644478872,0.02503967779731796,0.010070742448170545,0.017105211513946672,-0.03921678676435567,0.06024886838277344
F0semitoneFrom27.5Hz_sma3nz_amean,0.0007730826954960115,-9.45340134126866e-06,0.011446001647699105,0.008017099843774531,-0.0018935827821407914,0.00482306612169817,-0.04909940592843834,-5.4317679134609364e-05,0.004120081538183014,-0.024898423711504684,0.023136862572495767,-0.0012325035883785735,0.0013850137967565722,0.007365488472510495,-0.0011065245370007104,0.0,-0.0009831460668205305,0.0007450186938713064,0.00028222810047077773,0.05016546153382396,-0.0033084539702287474,0.003220596402873435,0.001721166578299322,-0.000793144522994583,0.014222963024657939,0.04599088064861088,-2.1312854063132223e-05,0.0030020483262104504,0.041449149427324965,0.028665873593710915,0.016489087648893213,0.027247440991133867,0.011292891112429622,0.00398437398476377,0.0023174948923866904,0.0004315346737876834,0.022390186443205444,-0.0015052537279617553,-0.007788689378073564,0.0007735352025977985,-0.012958742457361108,0.021338895950637156,0.03931229676674065,-0.0002799399832167898,0.013839470439758842,0.017806504831212433,0.055333296409690494,0.02156388521474125,4.0529270392306545e-05,0.028227610750761658,0.008539764460258826,0.018086827735876842,-0.04909940592843834,0.055333296409690494
F3bandwidth_sma3nz_stddevNorm,0.005923807904026034,-1.9561350273746722e-05,0.006328739786245566,0.01930903225848343,-0.0002403558161627485,0.03492486911541072,-0.02934920492254099,0.0,0.0046629527597742935,-0.0038713616185764143,0.023563969797898907,-0.0011341058710842766,0.011478627280833466,0.01898111706326852,-0.0014284875747691205,0.0,-0.0016494195198512214,0.0018081281046655115,0.00010143749901658416,0.05765189270935576,-0.009199849057638725,0.004567652305194504,0.002335927348886014,-0.018772820087400065,0.007987435313112759,0.030803148833978788,-3.4578774506122526e-05,0.003802595359786235,0.02643642906933225,0.01269271163207855,0.016868253839093388,0.017875244631104424,0.011151660983214398,0.0058748770982677305,0.002204130428311646,0.00033323515616111657,0.015311331307167572,-0.003190116257216704,-0.013427023765575277,3.381522748370377e-05,-0.006664008423658042,0.015918974824238454,0.018843567281152888,-0.021900740053363524,0.014713604899808384,0.006930962467672045,0.03780756455703494,0.02104567470142633,0.00042342576271102005,0.028758741383746886,0.007531478111946517,0.015329723744931217,-0.02934920492254099,0.05765189270935576
F3bandwidth_sma3nz_amean,0.005530769380227057,-8.641236035465982e-06,0.006794527860286704,0.013725927341446727,-0.003765183710456802,0.014897941718427048,-0.03178477446621346,-0.00011208476691920695,0.005314259027166328,-0.003422855720836356,0.009649171890169702,-0.0013400478649411521,0.0026031585535004195,0.014768074012716948,-8.588347056817289e-05,0.0,-0.0013611380203474247,0.0031282805593530645,0.0,0.047365832861572345,-0.0008842639522064766,0.004346874872215283,0.0009358710129871476,-0.01438687790699311,0.0063005432734900965,0.006424453359437096,-6.921753782284434e-05,0.0003326336690193783,0.03586071636770084,0.006325329858950788,0.012501877356463617,0.03444442138798002,0.010685266785650637,0.004143574292692158,0.0017430884662751876,0.000775049967708501,0.011862848052184946,-0.002570455866519935,-0.007173024686123584,0.0,-0.004407638001539331,0.010923042179801033,0.025910289891972152,-0.015015786069128042,0.015959290735314133,0.004104163798237633,0.02463961983451507,0.011552114246982501,0.0004522566794180376,0.0149960908978236,0.005652189738300697,0.012738100691213028,-0.03178477446621346,0.047365832861572345
F1frequency_sma3nz_amean,0.014352745025636863,-0.0004179209895074508,0.0078922967356604,0.018560099099578328,-0.0008360431424120526,0.07380040110608548,-0.021994341701412658,-0.0380739594534071,0.0028550093920372056,-0.0035282099624411923,0.0015442675282329352,-0.0018687482977187725,0.013042277304780948,0.0032257066859801495,-0.0006879931104951475,0.014310722404161409,-0.0008607541763797537,0.0017890225518230186,0.015334821639972943,0.005831834839893563,-0.006147313207445417,0.0016516747973822677,0.0018701762987626514,-0.042098357346462556,0.0003179379466855649,0.002452388004635458,-0.0013889662217688207,0.0031036234205329117,0.034508207577810916,0.0027101063623841443,0.010121362079047945,0.011176451575854757,0.004194090992142219,0.010550403116224303,0.000452526824653719,0.030540055943559928,0.016043128013567148,-0.0050752576303542815,-0.04912773588453315,0.01186132793287644,-0.006798195560022238,0.018606839270883434,0.01784240439696706,-0.056678132655628016,0.0043414252151072665,0.0028308238438333137,0.024356846310356985,0.013846420038303877,0.0008227548852467352,0.014396878411566566,0.003511102564644805,0.02008188886171404,-0.056678132655628016,0.07380040110608548
