,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.045770861622759285,-0.0213021127154083,0.06114325921662197,0.0878045001583518,-0.02791727892549593,0.10092698669349492,-0.08452441953512084,-0.0793680140513243,0.031048184008703798,-0.017794957026752357,0.08344684539213235,-0.008135086646408392,0.050408527341678104,0.09171721356206444,-0.009280481018352228,0.03646232204809835,-0.0014437269867159134,0.0070338753028042844,0.1075711007753837,0.09800131470274644,-0.04294482187031481,0.017261270065517177,0.01241051802750932,-0.0754876958743099,0.02568831275553025,0.08957530641392872,-0.022709000021540356,0.015293840528554743,0.06652793526318454,0.08332823378953941,0.07190814569918973,0.11991948334939247,0.06733160880789911,0.021808551544773642,0.006435697132336816,0.09719582854747617,0.10140701137911072,-0.010605327701503423,-0.08741719806494912,0.060330739277898705,-0.02356550849431058,0.06746095201356052,0.13678455526203429,-0.05720690005670448,0.1031516837652693,0.07539336484116338,0.13341632127962647,0.07590818127350904,0.003991330359299131,0.10774116341158366,0.03583804993247032,0.05986943781613921,-0.08741719806494912,0.13678455526203429
mfcc1V_sma3nz_amean,0.04495724973164866,-0.018951747178443668,0.028995432515166765,0.04908248832849871,-0.023030932488840625,0.08035190235709365,-0.11437648973242562,-0.04784574539901679,0.021073851394353735,-0.012307026938124396,0.06277851786378207,-0.005365242217031995,0.039212808602744356,0.04925303220495818,-0.006009735242494731,0.032819164724718256,-0.001645592725597139,0.006415669165060876,0.0628537414453413,0.08474368268233907,-0.037471102429548174,0.011992591387969894,0.007965697709694075,-0.07297227769145488,0.018921092899906865,0.07150607497436405,-0.011651399352739478,0.011628061766883689,0.0458136743342875,0.058562200147793765,0.06404077186537989,0.08444506321157678,0.06451731573324405,0.014046514643743855,0.004778185282382211,0.06744215215247445,0.06378742838900242,-0.009762319055761321,-0.0718208523047508,0.036480243263266696,-0.022961239801030625,0.057145003329813635,0.09277595389903931,-0.0334991547851223,0.07823740214767291,0.046847001284587346,0.1331848372720333,0.05929907718274,0.0023416796145655262,0.07493373291270056,0.024871168781568916,0.048086190050891583,-0.11437648973242562,0.1331848372720333
alphaRatioV_sma3nz_amean,0.01682590824483701,-0.0017181537890425906,0.02223666672421892,0.03832075504908539,-0.014561403522376656,0.04979403064433908,-0.06082369223584793,-0.02167643777628317,0.009421529261204443,-0.008700141056612024,0.02754360342512109,-0.002800475866100233,0.02254589597054047,0.03180071627761129,-0.002587223409853648,0.0066947675164289655,-0.001027761926569847,0.003378601063020255,0.020281757022448988,0.06396431271374922,-0.013480909228119906,0.01053547077757894,0.004220607436871828,-0.03730397086529043,0.012983529484452087,0.04408122361824132,-0.004958225303270296,0.007018329175478568,0.03166712623984567,0.046764970999463265,0.033722637307970406,0.04026333035060019,0.03742699067541931,0.009274710243797614,0.0037354256186867677,0.03207904809885864,0.03922569679534328,-0.004307115876347493,-0.030637798879671926,0.0006455317990578506,-0.010515091380596898,0.02773548127919439,0.04717653195054632,-0.028630170357993034,0.0403946406611046,0.03012772954696119,0.07659006228418024,0.043970402473019664,0.0018590369495506405,0.045033937270040646,0.014712248469497851,0.027004486788263313,-0.06082369223584793,0.07659006228418024
F1bandwidth_sma3nz_amean,0.013807235578711632,-2.2300282158090332e-05,0.013199922901978148,0.037930185365127406,-0.011831880808531328,0.03248329668501917,-0.05798217889005038,-0.0001137099121473128,0.016135637116250077,-0.006237274146858899,0.04393649705664724,-0.002316844173776755,0.020846376525059298,0.03290505058916082,-0.002741148104410791,5.727990575794285e-05,-0.0007779818968244825,0.003361997792044329,0.012309940135878212,0.03625793994415669,-0.02036209773604369,0.010457626230500564,0.00484853002971979,-0.02671354403487884,0.009563510352678939,0.04713883258434278,-2.2484700982200834e-05,0.006530733225735968,0.022515293336050887,0.03627768212083974,0.028389535153566698,0.0501028506268561,0.02895148201550767,0.007729378500442662,0.002120524870333121,0.02235542482072768,0.046846617766242944,-0.004232963095710549,-0.03286206288957506,0.00014794129220247891,-0.01260252408047611,0.020263967157606012,0.04951803045382661,-0.013648718956331723,0.039229108620836894,0.027228961942378848,0.06973318613720732,0.034228442296478305,0.0018860171843595004,0.04631515020854438,0.013662849456280412,0.024243447787503616,-0.05798217889005038,0.06973318613720732
MeanUnvoicedSegmentLength,0.01047666399001401,-0.007231355002176098,0.014228749621475478,0.028512002854571936,-0.010235231781466033,0.03757393674382308,-0.05654279150825241,-0.02591150793284356,0.009148779686170254,-0.005354787739693621,0.03818907735868164,-0.0027117405574721932,0.022623493842687786,0.026996785967696123,-0.0031735237826719565,0.009835668322316492,-0.0006668163965884245,0.002332193834699327,0.030402214009656654,0.042125131574697834,-0.009687506795839915,0.00594447533307445,0.0034808916496118065,-0.025688779250611363,0.009605021379946515,0.03836700661946787,-0.003669164186572165,0.007155754241037371,0.01671825742955357,0.023864938178191707,0.025974671396805933,0.031623358826915735,0.023530532605136732,0.008902347545622108,0.0022968459792769027,0.03292957114702586,0.03160951659513526,-0.004208806550898854,-0.02775956136411369,0.0210224941827809,-0.011058287260337155,0.02505370081393403,0.03883009255553991,-0.021745598155778364,0.03001936509839236,0.01968682028930986,0.06398977765040087,0.030383064689801956,0.0010554857581490502,0.032133148921031716,0.011619527568546346,0.022099258628860707,-0.05654279150825241,0.06398977765040087
loudnessPeaksPerSec,0.009851597555290567,-0.005595048581496151,0.011820133045814979,0.023397816403399278,-0.009496404868639206,0.026962947916819413,-0.04281532702005742,-0.011579291993761094,0.007468312340655933,-0.003550327034689122,0.01781503680940692,-0.0011918059849286052,0.017147646760244724,0.01025217849996221,-0.0022557482648741544,0.015455406390751176,-0.0005762163555265058,0.0026222520541307865,0.020960143913945666,0.03283024645343384,-0.0057498868029082426,0.005129430278826445,0.0029458881356586673,-0.014290156869594395,0.00941958816978121,0.032361274186312024,-0.007433866727171417,0.0028388976692850314,0.014193319480180969,0.017912437261582797,0.01796332047136477,0.025024126742426434,0.020386015280112444,0.0050589213086370205,0.00256666849608016,0.01962366060684929,0.009645541804265027,-0.0017498368093459378,-0.022356553853259055,0.017990623222011014,-0.007970855222816542,0.01570429072872884,0.025501835374492774,-0.010795349816496099,0.012147603117497458,0.009373073540312566,0.04254325839376808,0.023254956809830744,0.001313942858336988,0.021494083145590433,0.008071395980404454,0.015309679187888302,-0.04281532702005742,0.04254325839376808
F3bandwidth_sma3nz_stddevNorm,0.005728205146728294,-4.043290327988735e-06,0.007430262276263415,0.017591219532794147,-0.0001136066788420999,0.023524864197354133,-0.027385830689374023,-0.00012103685805416752,0.006452364004853011,-0.005002994433373359,0.012723391319450179,-0.001345081898350397,0.011180069021249215,0.022346956549996626,-0.0017280552567633077,8.898078576694955e-05,-0.0006972453630112898,0.002300238856243218,0.0001177051550236398,0.03892128908568574,-0.012122191322931054,0.005271625211438253,0.0017734536367849925,-0.022663546115898135,0.006453824393360401,0.030096655172108727,-3.5538579208448576e-05,0.00596273188138455,0.017249796333673913,0.012256178493675586,0.01794940556597226,0.013264283255928247,0.00961838352704122,0.003295950517824898,0.00142273703410995,0.0002932974672995493,0.019642855987631148,-0.001926141932760779,-0.011742460816698582,0.00010976887072555416,-0.005600924153936417,0.019191514028196802,0.01711964700794386,-0.021364442811865857,0.013733291007674168,0.01341954763653086,0.033248839945865215,0.016296114602900407,0.0006166464058820934,0.019052977382126458,0.006277838621921835,0.013125875597863934,-0.027385830689374023,0.03892128908568574
F3bandwidth_sma3nz_amean,0.007658794227894407,-1.6622728427982535e-05,0.009761602727494222,0.013998310574939821,-0.005409384037255592,0.01355179084673575,-0.036313291359741026,-0.00012023942143810114,0.005148822247228352,-0.003850566077693089,0.013943031137046388,-0.0016111431637847273,0.002805527750669013,0.019572968151601745,-5.824497581560102e-05,5.442608693678537e-05,-0.0007886276964087618,0.002975220361006968,0.00021306278481734702,0.03269908666052858,-0.0011388484898635961,0.004430451332253534,0.0012224415694889318,-0.020711858162728747,0.004843210456652213,0.015106508722852293,-8.991520194731313e-06,0.0007320075247822346,0.02332336863648239,0.01038179363184586,0.014664928924852605,0.025499503007644756,0.01209551947261561,0.0025892489913238934,0.0013590581078054486,0.0003725138355780228,0.02026933151351429,-0.002392918305670364,-0.012024171057253466,0.00017135168514411097,-0.0030574620938115028,0.014553670597202665,0.026585097544575196,-0.012025727250046088,0.02180844482064254,0.006999471504704803,0.03016816959145958,0.013138576772009402,0.0006915870830944027,0.01585701121848247,0.005794356275235465,0.012473531531686002,-0.036313291359741026,0.03269908666052858
F0semitoneFrom27.5Hz_sma3nz_amean,0.0007493170892869461,-1.7402726384716262e-05,0.008519786445761601,0.005655308105633415,-0.0015468874816231474,0.008203326425732481,-0.043673009681365664,-6.256496461264737e-05,0.003815123315003863,-0.010012825477803041,0.011569140863983994,-0.0010462198986178391,0.0009009299741965346,0.011841286823721686,-0.0006506997822826197,8.702271014529058e-05,-0.00053881981067499,0.0003573145132914687,0.00021255859926126085,0.034018348456526716,-0.0030047558002627046,0.0015727542927590815,0.0009058925556976492,-0.0009757974601169371,0.009072736082569048,0.021946945564865903,-3.071810482957159e-05,0.0018361868178865383,0.016348943861648816,0.021702875198428707,0.008734441214921283,0.01531980951506223,0.005868097455791497,0.0019321934710928418,0.0011222670465462622,0.0002501742205002092,0.023650670669081917,-0.0011985606213172453,-0.005020027771288769,0.00041370145933794235,-0.011777000687376953,0.017333599747318025,0.017406260647173297,-0.0007067117674356957,0.011878371910437484,0.012424463916043854,0.04252656349502106,0.01616391696815195,3.05922081984738e-05,0.020067922338163725,0.005483536838865011,0.012564859412043937,-0.043673009681365664,0.04252656349502106
F1frequency_sma3nz_amean,0.016202905761991526,-0.00033404939975327,0.009082457415021984,0.01700591580851721,-0.0010834001497153749,0.03871771235512662,-0.028257460793795066,-0.03147286934830813,0.002644007600237947,-0.0014492161421054204,0.001840029936366065,-0.0019135274350565526,0.015542097115641477,0.003484225332670742,-0.0007421504942005681,0.015830393687285386,-0.0003454416874912094,0.0013086991731179726,0.014535750902743727,0.0038327238197739025,-0.006673723598887467,0.0013780472877677967,0.001823077894022747,-0.033965553420362914,0.0001589429444266274,0.0018406478869867303,-0.0012577312662937277,0.003463743009336585,0.011974148564900434,0.0019294696923661749,0.010105861825141012,0.01030704381577853,0.01307103555025021,0.005783404823142336,0.0007283053466706406,0.032810284001758214,0.011701539916491954,-0.0035315772734018924,-0.03604273812556365,0.01219758489681209,-0.006349093684648686,0.01467007499948344,0.02498628483234178,-0.033523828438136234,0.0064341809557818975,0.0020532359624359665,0.034557386024818365,0.014295369387750155,0.0009925306018888894,0.016117991925859006,0.0037292949959397193,0.015582130247506912,-0.03604273812556365,0.03871771235512662
