,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.04235271452692577,-0.02524427027389554,0.03897863665315007,0.06975820925822682,-0.030197459059102604,0.10432828063948775,-0.1539193164151063,-0.05589422441484533,0.027365260607545475,-0.034652820241517036,0.1121819639631963,-0.006105914384808895,0.0620460461372925,0.07391934637623254,-0.007253707684281855,0.03739981863438101,-0.004454755574601622,0.00804343827404365,0.08686853124252777,0.16113669543037282,-0.0408595486061121,0.01778779142889582,0.010165385918607274,-0.07469351338560812,0.022735653682435273,0.0920405648214831,-0.017950954682279564,0.011510219634701153,0.08308760880061689,0.08271610916648907,0.041720238530541874,0.11402129805020567,0.07247374718607535,0.0262196207491832,0.0071011141917377675,0.07733008725291628,0.08441724514302568,-0.011017999664716465,-0.10393048564817127,0.05409792214066089,-0.03053304785859299,0.04232951780228344,0.11318472603885192,-0.08148829239025969,0.0665743132828042,0.050231475518562926,0.18181201910669967,0.09048612674657874,0.002999183265155776,0.11382837016399981,0.032101059401639896,0.06583633036875221,-0.1539193164151063,0.18181201910669967
mfcc1V_sma3nz_amean,0.04176141299779828,-0.0158679209283491,0.037224502792419456,0.05095021783467337,-0.016251468797105515,0.10427690612467753,-0.10526143032843746,-0.0653899055644515,0.02408543431189576,-0.02757100693064149,0.0870570248173831,-0.0033604062688807695,0.037812280834347956,0.044238429993602536,-0.006730704087282763,0.025533108297475543,-0.0029981407865980495,0.008547855720475157,0.06283755980171535,0.11290561089828803,-0.029713859530726645,0.017896487490445766,0.0069084221006492095,-0.07486173676162294,0.021224208241116354,0.07789128443026186,-0.01283585734435233,0.010224044198386253,0.07073050808271034,0.06503164655316222,0.03639814844683236,0.08407233494566144,0.047730453297190716,0.01430363723494767,0.007101529722176593,0.04586787006958409,0.05753230594257498,-0.007506166803617329,-0.1021579881045915,0.043952940862319635,-0.024693714007386673,0.03675447269886635,0.08961993149788337,-0.055659780758499464,0.052234544544623125,0.051946449201946285,0.12599665909072488,0.07856776338253832,0.003549404980011337,0.07352032946205687,0.02410851267797757,0.051151618011962136,-0.10526143032843746,0.12599665909072488
MeanUnvoicedSegmentLength,0.011230891684741336,-0.0071717100364187495,0.014254793569595053,0.03890317021453713,-0.010637369737128309,0.04522085134762003,-0.05757698259285191,-0.024222121322377985,0.008684194143989646,-0.013452934694318418,0.037584112385399444,-0.0027104647853425307,0.022418288797377863,0.04869002781756428,-0.004150205772961762,0.011967331573661576,-0.0009025798552410273,0.0038141900017305604,0.05163965279912976,0.045363720385889914,-0.009160744478862566,0.00468095655364293,0.004075949183587947,-0.02509245298272558,0.009724346969641256,0.04901841657219222,-0.0037323422353016354,0.006519106508454206,0.030539817578045435,0.03168528140023933,0.031980058442768244,0.037720102128394675,0.03394215275504169,0.011265663422499348,0.0034305423661421127,0.043647105872339116,0.048845502467053624,-0.004075816986591082,-0.032524403435952066,0.025077310303390582,-0.009422448639996155,0.023385882181792463,0.04088140282962901,-0.03747805091204797,0.03082731143603373,0.019700567630295904,0.07543555147802895,0.03133040746326287,0.0011637470468611915,0.049178162357357516,0.014830318823996262,0.026654146569725194,-0.05757698259285191,0.07543555147802895
alphaRatioV_sma3nz_amean,0.020369553246338414,-0.0011280986366607089,0.02092714807347743,0.035750826055086414,-0.01281804185518296,0.04745008775955256,-0.06360219836954228,-0.02188076900721603,0.007585199442126971,-0.012455054392066534,0.035707431841680015,-0.002247082338708737,0.01971222339470634,0.027656142845681124,-0.002139995159944078,0.006952432617193365,-0.0017319572772036675,0.004259994055165295,0.022858574203401955,0.058570147948439066,-0.011013540075594476,0.008927493914052311,0.003984716601550106,-0.03070617640186428,0.012120039625248945,0.0464090847381847,-0.004620548296086934,0.005367437007343296,0.037169212927514565,0.04451554829726242,0.026683549902412826,0.04195705485162706,0.03180316019298417,0.008765108856055533,0.0036210687315328983,0.027435510121619166,0.0284442128238672,-0.00391124159355983,-0.033820216975278,0.0009709697653793589,-0.008626420321758069,0.02590242596696787,0.04457389364260387,-0.024792057626519225,0.032803461782882855,0.02549571565093478,0.06513556591220084,0.0434913482437699,0.001188289494406871,0.03510131654221666,0.013483450974965627,0.025402794052585775,-0.06360219836954228,0.06513556591220084
F1bandwidth_sma3nz_amean,0.013030192391201756,-4.272633857565266e-06,0.010304806721929908,0.03472724233748331,-0.010112743170859117,0.025818470613611887,-0.044746520291286784,-0.00025818760252892617,0.01449525081180966,-0.00912067272608986,0.040598982970336664,-0.0016157032748916225,0.01734216981347478,0.0286887960485234,-0.0029524752721976607,8.211356356386458e-05,-0.0010200566704322348,0.0038816683492068895,0.017214292311624146,0.05152929048637763,-0.01303797613643774,0.0078090104589371555,0.003629722397821396,-0.02316487420885311,0.010087175083746068,0.04632626238871375,-3.480254203409774e-05,0.005024683826852973,0.03341814950602729,0.03669100533718021,0.017496111327827055,0.0435610440266489,0.02943874141465154,0.00851200276021658,0.0024348642374848544,0.023225618082011942,0.039097420473009646,-0.004497525155435241,-0.029449382226124716,9.14529659454398e-05,-0.011610839044902049,0.0114655297633012,0.04091567023583851,-0.014186957787081771,0.03508584662118563,0.02226165208909096,0.06068481118289099,0.029341663516127464,0.0013410114411121377,0.04348933981304881,0.012866581532516037,0.02188431241866842,-0.044746520291286784,0.06068481118289099
loudnessPeaksPerSec,0.009527576492007106,-0.004544000075330928,0.010359894838448295,0.016145493219169204,-0.006377516992781634,0.02489916642653462,-0.026366758083441685,-0.008938858484709229,0.0048550041562677206,-0.006081657903070324,0.02242156104990116,-0.0009641181828934289,0.012005105093093797,0.0069458617137570875,-0.0015812132332733363,0.011142438151538427,-0.0009455001782921296,0.002787088573865859,0.015066615215895193,0.04351131790428958,-0.0038181302791824266,0.003092580571232166,0.0019397720643443545,-0.011077833032716759,0.008535593842840125,0.03060078590617709,-0.007083743702601555,0.002211154472022918,0.024162931054184784,0.01276747443541629,0.012188038028290219,0.023956276030751334,0.02039355714703693,0.005384160800434082,0.001863027614594333,0.012583301639956608,0.0078381432233525,-0.0017505768622591053,-0.018590588788110055,0.012760355709621569,-0.004592883707833987,0.012062683007977942,0.024856371999867427,-0.013619141448698474,0.008892594040109973,0.008236687443475645,0.035747079095668245,0.02316501573756838,0.0007143408197215238,0.0176660110608325,0.007499050752500998,0.01358185266254334,-0.026366758083441685,0.04351131790428958
F0semitoneFrom27.5Hz_sma3nz_amean,0.0012646409291713668,-1.9830123465829474e-05,0.010718445375467584,0.006554095928611947,-0.001171541695545918,0.008785339684603486,-0.04029267816002183,-0.00024650841927932593,0.003052424401768412,-0.015502929473897758,0.024430643230311626,-0.001193861892939593,0.0010259930016118673,0.016884023031143273,-0.0010132376394812145,9.93729588592479e-05,-0.0005097753421493544,0.0007057084055993871,0.0001312104811073739,0.044549067305270924,-0.001922410205795619,0.0037529451147157973,0.0014077152500694074,-0.000631424572723802,0.011941798526724653,0.023868107179560154,-2.314852519484989e-05,0.0031456184761594944,0.02008114325361969,0.024394822675227544,0.014552303387911492,0.02485356746751534,0.009380405321117119,0.0034429909064563934,0.0012246769388085995,0.0003642871194631544,0.031525285938096455,-0.0017315338344872204,-0.011220255588126839,0.0029305488986317964,-0.009935136488988168,0.015694371958849422,0.018679780809709758,-0.0005494505232257933,0.013024325576557251,0.018405080764336803,0.046267589505311395,0.020624236075557262,4.0785942019554596e-05,0.025348238046791736,0.007343757347628274,0.01449117846221319,-0.04029267816002183,0.046267589505311395
F3bandwidth_sma3nz_stddevNorm,0.004619613142015831,-1.5743234206150138e-06,0.004314481684621315,0.011794238794567691,-6.679586015466081e-05,0.01934698538423696,-0.021847877693356273,-0.00020609697179026462,0.0028779251755419286,-0.004722269047096942,0.016473935943458567,-0.0009209572304040607,0.0070304251680148415,0.012338005872471816,-0.001459965381550583,0.00011194307210461997,-0.0006108749467453136,0.0019275224840150978,0.0003070524924716821,0.03723096629275642,-0.0068734834381307145,0.0038253623448312093,0.0018211812314080085,-0.01569247529742342,0.005204784259185756,0.029073605048141722,-3.186795846034e-05,0.003533993699820891,0.015601005124197178,0.010177743978495008,0.005463542066441251,0.009571540110957313,0.007278014857878483,0.003838085200053564,0.00112256216838559,0.0002907198345534141,0.010044470080494486,-0.0016558453414017473,-0.011277792963909404,0.00011294241140711223,-0.0031880809861837287,0.01082614251836714,0.014380179533237523,-0.01744886224165079,0.008176593224394641,0.0066158238120773505,0.027554291020392717,0.014294711843909949,0.00048150010726592086,0.013407749517499738,0.004701296396359877,0.010658356972321242,-0.021847877693356273,0.03723096629275642
F3bandwidth_sma3nz_amean,0.0063986233747513445,-2.0519787261388256e-05,0.006952517220616165,0.0165195427727696,-0.0034307124617970544,0.012733587661104582,-0.03366969957209856,-1.6911451391906564e-05,0.0032538407986808654,-0.004109834164734056,0.017015299378775692,-0.0009757436785866865,0.002079932330187799,0.012786444979160266,-0.00010414471267701763,9.975169848265897e-05,-0.0006773335521875254,0.002992701955652988,0.00016664047321110557,0.02745679957285253,-0.000599154772385074,0.002857898051636437,0.0007870863548667808,-0.014666847321556974,0.003767151673200663,0.014259654668503449,-2.402805006274906e-05,0.0003544385088793614,0.01882781996472135,0.01296015484780584,0.00867690194554841,0.020385787213166348,0.008843401379636635,0.0019754050419351146,0.0011506267446008973,0.00012156201916389097,0.012204669052289039,-0.0017528030946049025,-0.011935247170223895,6.592097365276431e-05,-0.002595591712828279,0.00997522217005504,0.016104554703407183,-0.011916999852222323,0.010799723648511981,0.005270395013937238,0.026093662864170634,0.007814655383971877,0.0005121236693050448,0.013465810244060981,0.004384694739973083,0.01035982675633617,-0.03366969957209856,0.02745679957285253
F1frequency_sma3nz_amean,0.011021161804883342,-0.0002332522733997123,0.005678035573782786,0.01879071216588434,-0.001438187131142644,0.04809248839687522,-0.021635642074616736,-0.025348298969503875,0.003250974628250063,-0.002531985732150764,0.006636664086774407,-0.0013635113663570146,0.011984528173214824,0.006121204732427249,-0.000902256146862548,0.014441010099196823,-0.00039614181012794154,0.002126979738289507,0.018940093325032274,0.006285287119756469,-0.004158156384090116,0.0009346747439607006,0.001815245130154384,-0.03275442382795208,0.00016896999203477606,0.002045780025981415,-0.0009409468362612461,0.0033089878598108317,0.017199149771117535,0.0031996881614920255,0.008629904784789632,0.00862795707513137,0.015191853790473026,0.007004531811518069,0.0007987705562652885,0.02377877893200221,0.012398899464476264,-0.0030626170364704192,-0.0277183778367311,0.010246146189036846,-0.005998990831608704,0.013273662378526481,0.020001028888612302,-0.032700261514956794,0.008935101844349626,0.002563900967129065,0.039057153847409924,0.010564495673647197,0.0006918503911393588,0.016054130917189265,0.004373535065367665,0.014794039113652468,-0.03275442382795208,0.04809248839687522
