,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.05227762339294572,0.1525374826764494,0.02001066520913361,0.054296543901557665,0.045965082542337485,0.014950121742848724,0.019461248270560935,0.010191327337708219,0.0178632378430465,0.017720536788786326,0.014002314942399436,0.10543121613755035,0.04657688176776079,0.024042596669447636,-0.022518415051899325,0.026210388873269867,0.022293042271116132,0.020794593960766942,0.04563519266194284,0.0725073501105323,0.007867046041842596,0.08329727355151843,-0.001796874545124791,0.006099122655211149,0.008637248074810942,0.030285174101258448,0.012122751697868243,0.010167003846194001,0.028864054806997785,0.06395692123669616,0.046410922735550184,0.1471458482284998,0.08093967541703499,0.04445070730784208,0.024436059503378932,0.06388687567934047,0.20917485141636616,0.05950763207209838,0.004668039643844238,0.03814751083897335,-0.008394719716022011,0.050422631069534006,0.15071545044095205,0.005442687975723831,0.2519935134891724,0.03591507166195461,0.20914016237988936,0.12329427725843915,0.02225799615597147,0.07933377395642859,0.052972754420610134,0.05846148059073231,-0.022518415051899325,0.2519935134891724
mfcc1V_sma3nz_amean,0.016348803077497226,0.0953327308404463,0.022007462551534462,0.04063667824285617,0.018501390826866984,0.0422655788524463,0.012220887841178689,0.01134729903924945,0.013442575916009112,0.013521241744141899,0.012707497766214337,0.10995683852850746,0.018790153494905655,0.05253845140409791,-0.020241213811746435,0.04385344442756402,0.009501085586839415,0.04146006084209098,0.07582943800117496,0.03270157838827029,0.004431968109050894,0.05939163385852923,-0.001006530633218978,0.01203450036089884,0.007248373090178027,0.030667870533766677,0.009138590755993655,0.00764394620898761,0.04805105229044214,0.03020129171577427,0.035606413632310624,0.08890935291806464,0.04441452188688434,0.04250169460298924,0.027654100123295566,0.06266564816422462,0.12135449824677338,0.07310935698718829,0.003686870430333691,0.0470091324301883,-0.010059837318214627,0.055353751473421996,0.07604380933001768,0.00408166384655456,0.07597914939580082,0.03515453151697574,0.06190868137995861,0.08396659484380946,0.021265569242776446,0.04032141487726414,0.037229031957223296,0.031051721163849192,-0.020241213811746435,0.12135449824677338
alphaRatioV_sma3nz_amean,0.02209861365930746,0.038101022990971824,0.008898604041651253,0.037062561009429215,0.014838098171638177,0.0047447651893290504,0.009536034243798173,0.008740483609647775,0.00506448598812831,0.01376307256550908,0.004073413516444114,0.09124707474647854,0.015488527864019455,0.06892487559842897,-0.009387243657867151,0.007345002751551789,0.008046603418925869,0.014710563044926973,0.020574079698719248,0.02987764397341893,0.00315035471706184,0.06262166027595588,-0.0007273838144248527,0.0025376530403367573,0.007436898519953884,0.004909154180680253,0.01535250748701534,0.005196127405467702,0.03210893924759388,0.04051185775454839,0.034939778068090996,0.038347376341892926,0.027993871984809054,0.012300533939802448,0.014703573497628162,0.04862746611474641,0.031172902894836863,0.04166190141747255,0.0013130754707873058,0.011848013926802532,-0.004082689494816055,0.007821015409145923,0.03107575125167658,0.0028269614366616363,0.09642796423899173,0.013320299064535863,0.08431724969072762,0.04909947233499282,0.009616643648924264,0.019455231507047636,0.023192648879668064,0.02396794199582704,-0.009387243657867151,0.09642796423899173
loudnessPeaksPerSec,0.024793564655327748,0.03409284258109625,0.01053608705084887,0.011935592278497116,0.014291550368418216,0.006169115948530151,0.00792337592565923,0.0038298364541613124,0.009414607075057885,0.010313916809141512,0.005170218033236246,0.03830282060905334,0.008771506732822829,0.014227331716455559,-0.006848363595635861,0.01928353577760642,0.008824508825336004,0.009622247265877647,0.015170888287265644,0.01801082372473569,0.0024626353415900296,0.033642625506812435,-0.0005165730045280945,0.002795348557341499,0.003400268481439712,0.014009463030117067,0.009769645085595578,0.003188951230566414,0.016329656218429217,0.02722959800528758,0.0314071485560059,0.017089174242546672,0.01452857495403476,0.01920527380713861,0.014511860303531847,0.028627292972815285,0.0353982945444232,0.017232959414753054,0.0013745744300343505,0.03211464694149334,-0.0036087657383321124,0.03745283754808075,0.039998458900322754,0.0006079338659853388,0.019723644603822223,0.013613747344131866,0.04728330963901213,0.06001118747538297,0.005837454543958109,0.011706679056516263,0.01640527824763601,0.013815464069702176,-0.006848363595635861,0.06001118747538297
MeanUnvoicedSegmentLength,0.013274941898471173,0.04631999118424304,0.007776892904753648,0.02951084496778593,0.013483279521502979,0.0083215885270058,0.010536383352383195,0.0029328031647633647,0.006500081341127408,0.009461440834345095,0.004094126724144488,0.04266054639493878,0.012721861020161651,0.04249860251042555,-0.012423557367366968,0.012187945993150366,0.005419634331164898,0.0062461480897250225,0.01351888057843569,0.013711766413947822,0.003868117550938886,0.022895240529991902,-0.0006340398260074331,0.002549541885288003,0.002315867445856963,0.011398328977279666,0.0037360015039665444,0.0032970629816028436,0.012389234173592533,0.016234504704150377,0.029719010785830755,0.04083553091973501,0.01489050382427146,0.029763198308738508,0.011614636913242575,0.030555818407155193,0.05066723243881144,0.02679967193003844,0.0012816516120166784,0.024643350471201555,-0.003409191827945,0.02403846124562814,0.044619736018667894,0.002218032929202503,0.013559246259339804,0.012809303084122807,0.04150570920917543,0.021331934956735098,0.005256525530244743,0.028652552125352462,0.016363139549066694,0.014573074758651368,-0.012423557367366968,0.05066723243881144
logRelF0-H1-H2_sma3nz_amean,0.008595595123847577,0.046156906550174,0.005795378799847045,0.03475238498155243,0.016739841469405655,0.006926407352208809,0.009416801651260777,0.004872307476698486,0.0056631730067109145,0.009671119332780892,0.003199264391131903,0.03506250461928637,0.018657289627141065,0.0013275743679893955,-0.011734664247766624,0.014644875794421156,0.007391406120193577,0.009964197183598134,0.021257521614624603,0.026065146488914146,0.0009390281365614272,0.016680982687185555,-0.0006057302811571962,0.002972176315286851,0.005662951460744379,0.013204164716920977,0.008504483777628679,0.009313115853014526,0.014983413766036499,0.02419982382445815,0.01205927504529025,0.014419683781062865,0.026861546304778383,0.03064172319074727,0.009746532040867336,0.014422435688347477,0.06084097894166904,0.015522738962702592,0.0012012396696472521,0.024115674050209753,-0.004976332893358966,0.012648721908104881,0.031237809822580228,0.003180356846608185,0.042934776305842914,0.01101346627241964,0.0725080666003417,0.037667865362872,0.00969269763875264,0.018922345714780048,0.016298820864299315,0.01582791169778108,-0.011734664247766624,0.0725080666003417
F3bandwidth_sma3nz_stddevNorm,0.007868850954732269,0.023320615957300686,0.006307563489777711,0.01875691958834052,0.004643481382425555,0.016023549031144616,0.006142181586944425,0.005267563967669031,0.006457912870338654,0.006533896839766751,0.0039795180966243245,0.024597847325218126,0.010733650943333563,0.013945598682860135,-0.010283827848923045,0.006760787853907917,0.008617190164396677,0.01566648388413796,0.013436183941724541,0.05173618101638474,0.0032905220385554632,0.02024719876440463,-0.0003008112069208557,0.0035171167182731495,0.002024901826745485,0.028539419383629153,0.0032776893111865035,0.017936138274222028,0.033158721255834814,0.031956337873217874,0.01503749815646347,0.025557048832702742,0.02669752157237398,0.021961640428294623,0.013204350000910988,0.02789735030501024,0.042797175713103444,0.009468820432045302,0.00041384232199714757,0.0033503175824977005,-0.003312379717825183,0.023591800376031955,0.05470540180226133,0.0030081651119389426,0.031967559242383176,0.023857539191282754,0.037045331304284654,0.02863091703283462,0.008409321502057438,0.012278291717514057,0.01581453793750833,0.013724468520825326,-0.010283827848923045,0.05470540180226133
F1frequency_sma3nz_amean,0.011062784199871055,0.055454265340443454,0.006731638565419772,0.02001769135072099,0.008647525344628672,0.007596410325432926,0.0055015591925541285,0.00710260837703678,0.006077955281395745,0.006421525165526691,0.004342052865828222,0.05697059237909006,0.01046751971265002,0.04029131616364026,-0.007649689581105744,0.012524050989833108,0.003711048915096787,0.008626641471761572,0.02096605398214056,0.021142870687209405,0.004675351144900545,0.022463565545456896,-0.0009541101236028084,0.005725618147643511,0.0031755054386658223,0.007643752021218313,0.0059432796299363445,0.005155888759563015,0.017923856130010726,0.021189814913635762,0.01550147036801126,0.021306471822462786,0.005989503262027234,0.017822056854799147,0.007825283758611764,0.026814678219004233,0.049580230822518924,0.03765975424109388,0.0016515626808107872,0.01093051002023161,-0.0033161437090864884,0.019772023757132606,0.036429847774218094,0.004324563600573574,0.005309040653447139,0.006403605655039176,0.045589583771077996,0.019403631702414888,0.008544874355765269,0.009848186904730594,0.01492679357702974,0.014636616157303502,-0.007649689581105744,0.05697059237909006
F1bandwidth_sma3nz_amean,0.006291503783468151,0.018326546781319234,0.004753183863039891,0.024491803036145923,0.001617669709889181,0.008778776860280923,0.004261503601940757,0.0020788243863339895,0.0071743765093956954,0.0039900464655997355,0.003433789426382737,0.020414307840527866,0.011889232383935907,0.00795361416464749,-0.0040236062304091205,0.009637550859581626,0.004566786698926893,0.006562408628177244,0.018198960640135636,0.016247605535925743,0.0022260543238052503,0.03080142700605348,-0.0007009252358163228,0.0013126858172371142,0.0016619445071992753,0.014057810553822223,0.003391921337248377,0.0012519575239840627,0.016382841686294117,0.013868461407260693,0.014044366772291353,0.02318801865946597,0.011043521010924916,0.025607349528449334,0.012372134575822943,0.021398792668539127,0.04661304362504888,0.011346852344241874,0.0010742795185288698,0.01701525255775621,-0.003816539648472374,0.008744913168641968,0.034954949582062744,0.001242503314653852,0.006305661663575805,0.0174942823243859,0.07938457637122304,0.031965849376317426,0.005030495489042937,0.04019830270776573,0.013322153389652003,0.01460537634100815,-0.0040236062304091205,0.07938457637122304
F0semitoneFrom27.5Hz_sma3nz_amean,0.0053482357793917575,0.01630115769296639,0.002210061286794134,0.006944826037065622,0.006793185723646552,0.003470056358909592,0.011071442610052766,0.0032875246825293408,0.004087977865663395,0.011773239650703565,0.0038672815917361004,0.032076055431108495,0.006994250222339055,0.015383355558037257,-0.007134652629489461,0.005900222873644342,0.002498437617797939,0.005620211423233574,0.010203234074363677,0.01444062102351526,0.0032366742154467804,0.013521562278636164,-0.0004752704032217582,0.0016719660799623221,0.003323997003893735,0.007903336111378369,0.006514530012032305,0.0014175029424189282,0.022295050916482477,0.025019586987538003,0.01062989354474632,0.011850307272580962,0.023610628555750416,0.017252515709111467,0.005855708862008737,0.03342420503921331,0.05438696520999144,0.01748499175650621,0.0006098183132287287,0.011810683403429318,-0.003651101941881155,0.018885220165100743,0.03680814634157271,0.000978094381499831,0.03391691975917006,0.005843859211002698,0.03127362210418479,0.0223812335524917,0.003004364864828785,0.008804216491382565,0.011814519072289927,0.011880601550231485,-0.007134652629489461,0.05438696520999144
