,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.027206140499585658,0.16358936866324741,0.021015380981655552,0.10691122714306067,0.07996632666442838,0.03200693144310536,0.07734648526262806,0.014894259520427312,0.02309659968272795,0.03031947880087513,0.043841166097098004,0.16249773528221628,0.0928869853469439,0.24158222907499946,-0.07865363130403924,0.07548973864983986,0.016810056915999266,0.10321811152156798,0.04854892998527787,0.013076377458665576,0.007913608486813674,0.05747895394939763,-0.002487002235444875,0.01529089852076513,0.0371743343988931,0.07916208676698423,0.022738403827665628,0.024270219932184058,0.03429365503292361,0.11297330251275532,0.07590520985018917,0.11288668355723327,0.066726252059953,0.050859011228016476,0.05975714789937078,0.05851051013784359,0.14602635922284432,0.12324724480258979,0.016871546451672288,0.11147310818695025,-0.014620907578026813,0.12900697512372228,0.0562798641717225,0.015354037745062587,0.21067108104751547,0.04481661520589785,0.2198250084080442,0.09239639240819304,0.01815156542008424,0.11989172278505146,0.06796987574034355,0.06170877095029665,-0.07865363130403924,0.24158222907499946
mfcc1V_sma3nz_amean,0.12595950876670525,0.07090796603295679,0.017158055729357455,0.04477732510921433,0.03799024430189844,0.20008140821787343,0.0090589488557376,0.02729094711459585,0.027326187455492135,0.03696875626849186,0.008037208962212446,0.07927656022658158,0.021377290753410935,0.0645223478134089,-0.008710567109896476,0.0942836348560038,0.0054617587779506385,0.031943273402069323,0.0881088030596205,0.1759340411560777,0.010780090008104466,0.0833672188062182,-0.002647694585594353,0.03572264309390943,0.0710494608911485,0.07023740218220284,0.05148146005990129,0.022866349897676757,0.06260200196375233,0.039428665699238516,0.04830984102242802,0.06842688985136802,0.06529564568243357,0.11947642183753687,0.024484071982570722,0.03505545254833782,0.035790102043395715,0.07163211935133909,0.012488354406273371,0.09093029265508333,-0.01433268382415293,0.10424948287772458,0.06608669494045279,0.01207278987909948,0.09389389972251963,0.031839838264839486,0.060141304179720696,0.07642916353423193,0.012296272615254672,0.03223140097143494,0.05298877304616425,0.04293741044344874,-0.01433268382415293,0.20008140821787343
logRelF0-H1-H2_sma3nz_amean,0.011860194099574421,0.08083077330090117,0.003052421090293481,0.030902803614661422,0.02172642581218124,0.06405043636426083,0.007939170697423137,0.008946024328482217,0.005726821101489863,0.049881309655365025,0.0022123214800773084,0.05135555533320023,0.04953739444435516,0.01688659737716715,-0.015550335398392514,0.029617712881860762,0.050203195895954,0.00905950357767616,0.01669467525704681,0.0016006676850848693,0.006045523831982115,0.07868277244638058,-0.001935912419891712,0.005907914616941215,0.027096699414850715,0.06216160847551872,0.013906154454088621,0.03690778883192669,0.007526536379253517,0.054048664751640066,0.016318093077209057,0.06835451712937526,0.05063916287044607,0.002719352233917838,0.0459098657215919,0.04839139315911449,0.03306150663558688,0.1057794877704171,0.001513830050727608,0.009417406908276199,-0.011013660847087289,0.012877383212967377,0.07473339466618387,0.0008225149869325508,0.05759543227487925,0.036767819049776364,0.0776487401788165,0.05130340030228123,0.010047177247146362,0.02420088893432987,0.030079382498884838,0.027800648694429306,-0.015550335398392514,0.1057794877704171
loudnessPeaksPerSec,0.006762425195857664,0.03086518930978729,0.013524017814920684,0.04613295202030038,0.01795950440614683,0.0034337924141251024,0.011242304934972197,0.005033788135538841,0.019070221936400827,0.009061741335710846,0.004667223894797431,0.03203183883563074,0.024959598396269406,0.05526565528051931,-0.015879549914096753,0.043120409077000245,0.011758903251176131,0.030161597836109433,0.024249143043761048,0.06875231969424672,0.005334785860702426,0.06979691788897462,-0.0011729943619539886,0.0028413492704355914,0.02609345180170178,0.01952382608951202,0.012395742423671061,0.010041972554838836,0.06979962742964832,0.04356743069641907,0.029253731253419363,0.08447077309868484,0.03182396988670622,0.012013131243266393,0.061668201419802796,0.04041599981568574,0.03327602285513807,0.04238881763730585,0.0018322633313521627,0.013870198576716527,-0.0038448289490021566,0.022888815319066527,0.024639284784230758,0.0003406777716489653,0.016782536813609455,0.019100168831514625,0.08608780738652827,0.05900294667244833,0.025768898067691993,0.011974356860258167,0.02628297918458394,0.023269728198737294,-0.015879549914096753,0.08608780738652827
alphaRatioV_sma3nz_amean,0.006383736658733441,0.019358030682760714,0.01569388556387846,0.051568596851881005,0.03506019203770046,0.015944746639182203,0.00630895256483225,0.010060603625139917,0.007815319551296492,0.029469212567799014,0.0026634477630936796,0.0424370052432554,0.01593231658949474,0.018989877566741576,-0.010431789854074476,0.05209559478987912,0.004960969427589381,0.029660985231623756,0.019088475430251585,0.019921052227336786,0.007948327112464688,0.06501490093627216,-0.001279129130022726,0.0029324300113689828,0.017939639218620823,0.005199318809513877,0.01719786959384752,0.011625609826419966,0.00975071147530621,0.14742748333079422,0.02375433878007163,0.040393282939369723,0.034759406708341975,0.0,0.03747658772003029,0.07997144317533779,0.07257338020396717,0.0343071950818912,0.0005291166143646158,0.017173954333232357,-0.009328498895667359,0.019469338033169643,0.0960891638981555,0.0020184572654605767,0.033892435437670385,0.06205373661483827,0.029967496823341586,0.018595038427445535,0.02521696221959631,0.012751814071516624,0.0261680604359023,0.02833574403788965,-0.010431789854074476,0.14742748333079422
MeanUnvoicedSegmentLength,0.0020655322067091677,0.08689952711714179,0.01760387871036522,0.06933863926934793,0.01472287502479413,0.001685456604550444,0.02029683088823764,0.004616673909665866,0.009740103804328609,0.01051820010406427,0.0035019927656183996,0.019950559318293336,0.036842301930947494,0.036101670938082045,-0.021562303527044226,0.023595911629201858,0.003624785139978244,0.0315849337652249,0.023566000252913014,0.051396867064114816,0.008269604238151367,0.038019950630841313,-0.0009721458007479011,0.002005510830982196,0.029176571306352646,0.007599937618769526,0.01874744009227744,0.016650432247320133,0.008313486618401304,0.01118968018523267,0.026370082272358857,0.06898445390712934,0.010133481603757152,0.12653783524540121,0.012781621400195098,0.03229432029962547,0.0307523234804981,0.07536232133692751,0.0015360483704388278,0.042179914534578714,-0.003223424035687601,0.02150394327003139,0.04572382904643216,0.0032224611065465075,0.018545090248951113,0.022992075642024816,0.013905731176456286,0.06909777147355722,0.004768965727322088,0.023548866020169153,0.02464217234021658,0.0264176992874482,-0.021562303527044226,0.12653783524540121
F0semitoneFrom27.5Hz_sma3nz_amean,0.0038682156216108573,0.025137835769906088,0.006553389167617606,0.030045461464600964,0.021814985607184798,0.012377009524125833,0.005029689811888518,0.00480316743544498,0.01571048798852109,0.021795529867339073,0.0032416204580361036,0.02609941246958979,0.0028744144752251796,0.019716998195542058,-0.010336185307946505,0.030758651042707925,0.02183842646882475,0.024376838210309212,0.023019177742530515,0.05477982147698354,0.005837326259088508,0.030170228927798304,-0.0008088768271137919,0.003377242416045079,0.012976075233710749,0.050925087157266874,0.008439074528302346,0.006935627507764686,0.03401887838313033,0.029373962393076436,0.027300937649116164,0.03892898310928358,0.06654141197071653,0.025034442837381536,0.01869788620683928,0.028130681427029455,0.05379316403527123,0.023884808968969176,0.0002305695863516714,0.02605208907401332,-0.023293335983876822,0.02998055401742537,0.02019145877958578,0.00038529195067278426,0.022215196702511566,0.02689453290769476,0.07033925749824545,0.01904346484766511,0.009279023020520081,0.01659951141582147,0.02049959006980699,0.01784289618969472,-0.023293335983876822,0.07033925749824545
F1frequency_sma3nz_amean,0.02273938494140043,0.015075459077630976,0.0071600953915792395,0.03576076197607473,0.004546463309299554,0.035768502080729805,0.004252681936931651,0.015616844784193827,0.01530094232624974,0.012818364979622465,0.0034875912712383056,0.039029357650357685,0.0069344085140388536,0.013604781208896275,-0.005486581875763149,0.01099694720137824,0.011534610237429372,0.027607940772076005,0.023274865745013706,0.03626510677218102,0.010599405058503717,0.041763464553173084,-0.0014184149999766384,0.019509750717817624,0.002849697377778818,0.012298533245583675,0.011921265917644076,0.009778232995516613,0.04445424086780747,0.029538626267687794,0.037195151760797344,0.0428748101990918,0.013564225615043838,0.009218568434380446,0.015786279025861293,0.033299905037688746,0.06454879487555171,0.03728405600062113,0.0036206730108534952,0.008312278667247817,-0.007823891905692595,0.020774065996040775,0.03182995322116949,0.006828689793105936,0.027062485402978637,0.025433442239191043,0.020256108548711058,0.025436463835398125,0.015941963762214746,0.014408312155625517,0.01926871331955951,0.014536862726455236,-0.007823891905692595,0.06454879487555171
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0007105728714050182,0.03580399530344029,0.0020636710538988003,0.006524170317361245,0.004164472133357081,0.0,0.000582121687165398,0.0006725372547229302,0.0015530698300683528,0.014417871989775496,0.0009159540408225636,0.05251841538410847,0.007979643183885214,0.002768024797888626,-0.002507068822333833,0.005208037073378797,0.0032121373437362767,0.002589750487160299,0.032703488946709935,0.002095343980924931,0.003324344691374111,0.011455559390334224,-0.0016310577455591689,0.0011257146589582394,0.0022418810106141227,0.002015225582325776,0.010954652961671443,0.0010483825694467647,0.06864708432630054,0.00384973839307711,0.02362422005458942,0.01650720054933454,0.01658587218429635,0.08977946225183232,0.05345218938256656,0.05210516040496546,0.03316479993015209,0.04901457349615759,7.81665636860928e-05,0.003185356661110348,-0.0036666529057617684,0.02328110130275139,0.05229821707313494,0.002638369931729506,0.030547957320349164,0.002623487912582091,0.014685984929213466,0.06466791156061627,0.001309811758050452,0.016630755098750793,0.016390433603122524,0.02202171703911382,-0.0036666529057617684,0.08977946225183232
F3bandwidth_sma3nz_stddevNorm,0.0036120146119263978,0.015808731862849236,0.008277227810103331,0.03413816433786735,0.00812146792264048,0.01021831488924775,0.008876355964058674,0.00644761969242118,0.009748930595405029,0.0042494413119953355,0.003517246286263998,0.0375507202708353,0.01999832087429619,0.03280617985543475,-0.0074455388545859764,0.009944019357453487,0.01123608854247862,0.005850071577567039,0.005833130905239698,0.008995637288102633,0.007381058712378298,0.06087508253323785,-0.0006594338631658777,0.003493986862481043,0.01286816917943359,0.017954444870179602,0.010643204145175885,0.010332242340792136,0.009987145445894087,0.011875279028863681,0.03192240038698734,0.036181276296138834,0.013469213716384288,0.031503849118267854,0.021578622327092026,0.023676190640223506,0.05075577362625047,0.034180257496668864,0.0004396455346953763,0.01759935796195628,-0.002829466361847944,0.02229689398401823,0.0504731091308835,0.0028898659523338534,0.017074761450660444,0.01797307646703658,0.01851527711978334,0.01852322282951434,0.005880032304827466,0.00945123134298057,0.016081798313634522,0.01420391340645392,-0.0074455388545859764,0.06087508253323785
