,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.011052293277364303,0.046820064367082935,0.007371167909649798,0.025221584736187564,0.021794769948436217,0.02115527328962692,0.01231531302590491,0.005031949504532321,0.005985697730321251,0.007894315226708307,0.003050693533757695,0.03549608242956003,0.013995559710822633,0.0417973768776972,-0.011033191698192512,0.018350549998717033,0.0053805292888761515,0.018307556167448828,0.01566805574975111,0.022115725018139364,0.004338136533807793,0.026281175224340467,-0.001114085557743686,0.00885496730377484,0.008242828952233208,0.012295982582856515,0.006948799162893939,0.01226992478965121,0.013018711843203037,0.029054235722075973,0.027526767920334125,0.01975750647911064,0.016091548180124638,0.03276847655425424,0.02235275462416321,0.02816267290185343,0.023065323542155246,0.029544014590554172,0.0019770145486933425,0.017941100690274978,-0.004493941698388507,0.021736580490724595,0.04160798011527617,0.0026034889535400596,0.04376488019621454,0.02607524237085102,0.028413054044116957,0.03145092185137888,0.005702898031033841,0.01878304489461532,0.017655867438607323,0.012742099569357818,-0.011033191698192512,0.046820064367082935
mfcc1V_sma3nz_amean,0.014071283641812185,0.03305642511514947,0.008308573875020535,0.022005515362979077,0.01495815771367103,0.016116793909814738,0.012923271788256457,0.004151170016651764,0.009699983418628013,0.005994967967896388,0.0033554701559455518,0.022201861733506613,0.010999659907080458,0.024876610980422625,-0.00850929334157294,0.022872730979295798,0.004435673955145356,0.015809230533888708,0.0196009864482443,0.016736481389519872,0.005710457076408672,0.03611775877846609,-0.0010370713484874343,0.009196177895624602,0.007908860709549105,0.013351241698845922,0.009906661040169594,0.009673978622173392,0.013357545218651625,0.03548923318293343,0.031799762834092866,0.029819439865578612,0.017531074167241822,0.019022949843075617,0.018718262963528753,0.024732576608507084,0.026937419310196553,0.02670821839264096,0.0020192634640606826,0.011965083745043768,-0.005019103542307316,0.019454987942182873,0.04377280309994678,0.0024804074032105444,0.03575839023575205,0.021241319360673732,0.02620968279234022,0.02383903412085019,0.005775331939671028,0.016456866582285047,0.016251283391085256,0.011168120870589384,-0.00850929334157294,0.04377280309994678
alphaRatioV_sma3nz_amean,0.01044778675411307,0.01609033603262024,0.008463146822684463,0.02182356044739847,0.008416022953536694,0.013065190174304794,0.00768737430185439,0.004985836749783332,0.006530131299999511,0.00819543076122616,0.0014150766872871622,0.029791744616534305,0.010613567549361632,0.02680271944028539,-0.005809807678655245,0.01361301365902981,0.0038498445605868567,0.011170068218555066,0.01916033837602546,0.01965112658492291,0.004186620746910052,0.03166269154936946,-0.0006441127141351522,0.0046739426375677125,0.010034726533505792,0.005136192970812489,0.008740111489934378,0.006936875984780924,0.016651677843692432,0.030055198967849257,0.021465010058793556,0.018362797460371463,0.01253924995433774,0.016143050325008828,0.013653606995029701,0.038704903779797475,0.031095044471043533,0.025866162342742884,0.0009156068950568803,0.011025071670958054,-0.004342513096709947,0.013424410210765476,0.033073761855163135,0.0023288464975620682,0.031544363877684126,0.0300748767107318,0.021671206215832114,0.017492278328304484,0.008508512271388506,0.013363546989185193,0.014206124562695776,0.010440965914059132,-0.005809807678655245,0.038704903779797475
loudnessPeaksPerSec,0.008442947344192287,0.01578682286900538,0.004451937649494263,0.015210685510853531,0.007648375639300942,0.011286738464781652,0.00857446579089204,0.0019923804038316445,0.007355121952342984,0.006163973126941375,0.0015370988501373932,0.013885290274114481,0.007053271160251598,0.02862708575621222,-0.0041311388400406745,0.015803373603332952,0.0026179869165414782,0.008385614545314429,0.01390334856279335,0.014002961727890723,0.0032543406133829673,0.02615599163601233,-0.0005325518436164821,0.003344941639325104,0.0067207522806301285,0.006423407653817942,0.006104337046691435,0.005948896569505092,0.01031421871318406,0.04040483274421788,0.015501273206023413,0.01615169477242796,0.010056249824094839,0.014544401073169231,0.012415477527895664,0.015769968772843312,0.007043230647814056,0.016833889597495735,0.0010489529708012494,0.00867552924152914,-0.0027713468718525685,0.016324908369278697,0.022992335724984974,0.0006743587496979022,0.017161356625491155,0.013894680884696513,0.027044061686465042,0.015152876352394488,0.006228897928814191,0.007628545409383282,0.010782177017095655,0.008356160220857395,-0.0041311388400406745,0.04040483274421788
F1frequency_sma3nz_amean,0.011649233067991845,0.010571609912617238,0.005749692888735589,0.014514383219477699,0.00319703464291733,0.013252216087536193,0.006871670672924849,0.00414609173285519,0.005741551301895037,0.004890091309821055,0.0018248158242583573,0.02182271143164026,0.007366659767319991,0.01691741465355882,-0.0056893106536612574,0.009825135384562873,0.005661534163856983,0.007675388153848923,0.011719586091953279,0.009859053100383278,0.004932960332458708,0.02370020456132839,-0.001008135301114497,0.008481904548635854,0.0021378566378942167,0.0034396614278346537,0.006779099647752057,0.006708371371118197,0.010804909591631075,0.008232537265932715,0.01893516608298287,0.019083832260057988,0.00755505930232667,0.0160324005889034,0.0032481945871498824,0.018234880452374844,0.026560796472339155,0.030292446443574483,0.0017672999253630496,0.011327462117697204,-0.002901214896654659,0.011029935985465701,0.03164898404236918,0.0038633748709976435,0.022266592914195357,0.01024611214528963,0.008555299290396074,0.007572003485656064,0.005280682830167917,0.009916063410740202,0.010045826102987153,0.007894741670989427,-0.0056893106536612574,0.03164898404236918
logRelF0-H1-H2_sma3nz_amean,0.012318811251660691,0.013747100347977798,0.0021214481105949357,0.011771703660470813,0.009265435288325241,0.012221870974073963,0.003700856391540425,0.0026578460658946337,0.003048601835854047,0.0033637396498193803,0.0019295815152090283,0.016655362736440592,0.007280713996073716,0.013444043684219404,-0.0032264904296255567,0.005435274750611328,0.004651369535141104,0.004693419906115192,0.007183641454265093,0.009920318606712488,0.0021910243002634467,0.0174112556605955,-0.0009472665103332397,0.003407583540917755,0.006468208802808697,0.012028059182298947,0.0044574179253391326,0.010227740288908225,0.004430983262099522,0.010545086118528786,0.015615759406255697,0.012181206373440329,0.012895412054630061,0.01002340368057676,0.013415881174692607,0.016603580251697496,0.01782212877138036,0.013601272145233562,0.0006236984546066036,0.004210592752460702,-0.0026566247074801923,0.00448027669170569,0.03305245354935756,0.00134069785869253,0.025197792149492342,0.012345379987875826,0.00951929302283015,0.01054667702141522,0.002564941884205749,0.008348868412986658,0.008682748656777137,0.006817545070242887,-0.0032264904296255567,0.03305245354935756
F3bandwidth_sma3nz_stddevNorm,0.006062527093037518,0.010385737602304079,0.0038570693441366453,0.013946564192624186,0.004300995209052068,0.007229021168564368,0.006548688431707324,0.00227871394587845,0.006425302263074142,0.0031913001415747717,0.0014581743558450906,0.017697068475041287,0.005939679440594223,0.027231878254485063,-0.0027083238517911193,0.004402262463549685,0.005097933714986989,0.0053900965205244886,0.005840671220142877,0.012619350866954607,0.005245666222523033,0.01939309194725603,-0.0004297812706039314,0.002280692495793278,0.005043830563877317,0.009214440025793129,0.004172762735821892,0.005810554095873211,0.006088911190235324,0.013960042495621902,0.015835963840626237,0.011087017541252128,0.00867351768931636,0.014201154082990825,0.005403767617020472,0.01781093811510802,0.019432647038582062,0.009632582443602168,0.0003581825097879292,0.0031432299979511397,-0.0027171988537749887,0.014307699864790866,0.023515739048452278,0.0020757075110619,0.012955166948340101,0.017879282887816178,0.009312967304542678,0.008164861103918633,0.003975898263107561,0.006488705692079052,0.00839025504002099,0.006511383419919455,-0.0027171988537749887,0.027231878254485063
MeanUnvoicedSegmentLength,0.004180216926782541,0.012669490470149659,0.003754743108830217,0.015564565101089695,0.007207385872476784,0.005016947822220628,0.006343196198588484,0.0015186150274011942,0.003277299599808712,0.003852041381331553,0.0019502365003541823,0.014123682503515991,0.007207592254882225,0.02113746917470453,-0.0034473549699575476,0.006175974754656058,0.0029511762065218567,0.0065613379107858135,0.00945928024673658,0.011080944134304094,0.0020921945976995677,0.014923303661667319,-0.0003843918179429657,0.0016776937903006082,0.003369561331328354,0.004523331304037978,0.0018613266040111427,0.004140641783325878,0.0052521733768371905,0.009229006001407965,0.012965995771909983,0.010700104551552871,0.005275973005947146,0.016431702409563476,0.005755320065939037,0.011617289664758734,0.01323366375668313,0.016389601992267293,0.000955799480188277,0.007704252079400489,-0.0017184033938009123,0.007940164219464068,0.020153597242488084,0.0015351771263699301,0.018324276573023303,0.007421766614846887,0.009368958330061648,0.00915069411426514,0.0025177451245564867,0.008771706176560218,0.007435301315278031,0.005655846373580484,-0.0034473549699575476,0.02113746917470453
F0semitoneFrom27.5Hz_sma3nz_amean,0.0044624121691455585,0.005904299780130274,0.0031712099548992013,0.006464737888007133,0.005341647239842441,0.005581972064378693,0.008036866120783791,0.0015665142968638397,0.005168415111337421,0.0068495477710020115,0.0007498018017923917,0.008055247120836623,0.002819154410440171,0.01980031514350463,-0.0024462964297204907,0.0073609915061281,0.002633686414765659,0.007445814576927565,0.009472647670020725,0.007816159764341848,0.003337782397288008,0.0101561828898992,-0.0002800996327806158,0.0017363160646422262,0.004649110046580843,0.004793992266547147,0.0027481527942878692,0.0032895700683631154,0.004784770560320679,0.016537036285316595,0.008252986305694925,0.010066538184917205,0.007978577795297736,0.006754429764790977,0.006139465912055156,0.013100495269367539,0.020992271411267686,0.0139780106513615,0.0005737333863159772,0.005305292446087423,-0.004562067759938377,0.011519981607030383,0.01904984288074037,0.0004433573412577137,0.01150652334948313,0.008365376478995441,0.011602857122888884,0.004123007000986206,0.003011225185782378,0.006360443820088571,0.00665140612540727,0.005259635434000504,-0.004562067759938377,0.020992271411267686
F3bandwidth_sma3nz_amean,0.005596424619984079,0.008028896142696322,0.0026706238701200446,0.0071453181716837075,0.003853447761537896,0.01145285894312206,0.004263654229171317,0.0029820435084659358,0.005350178185097432,0.0047306595829860795,0.0018101305555673886,0.013049392510861332,0.005180268597861589,0.01412773198126863,-0.005882187753612416,0.004494507849957458,0.003249456905558674,0.005732276076781899,0.006769294779437436,0.011189372295696415,0.002698344340225015,0.010765594772175934,-0.0005715142354266745,0.0029275675952369724,0.004197186180005166,0.004572901296182269,0.00500666100322446,0.003813445317225955,0.007145951434576533,0.005797824519034521,0.010242000286079224,0.01044834091041254,0.00448168101523663,0.013699481166594458,0.0037275531680050172,0.014412728504661068,0.012074344604844576,0.01146383560202414,0.000603325124937185,0.006213910615890994,-0.00228259269601605,0.008512662419465633,0.01945289298149078,0.001158196355082373,0.015336730036526127,0.011149136553127987,0.004756855630889297,0.011955132787397637,0.002733730857810942,0.006429136114517714,0.006574347861513634,0.004841557422733674,-0.005882187753612416,0.01945289298149078
