,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.12790427394334675,0.22749923949084072,0.03991560411347627,0.15442079367892367,0.08943174996742358,0.15123130832659248,0.05840953676531748,0.023652481728108004,0.04517651586784015,0.06743444353463178,0.04632891046052509,0.20995838576680068,0.13469225668151133,0.21026353808377718,-0.08592004016767033,0.14118757654399156,0.05541514165106693,0.10497380081013286,0.11142553124804905,0.17907923207942233,0.031571139723591726,0.16020992341420603,-0.0064946799806700276,0.03195948409031354,0.06339151664739193,0.10153263493938845,0.05790478915635664,0.04458143559764565,0.13128835133676706,0.16270043454456348,0.09766943511994092,0.20335044642893943,0.11337929245707325,0.13782631900488818,0.08783021407277802,0.12336101098204355,0.1711248651197402,0.20461484156988846,0.01690704247458051,0.1614793133798611,-0.030075520972786925,0.17628537201612896,0.20973055082911238,0.01958496748271042,0.21257757780251668,0.06781544354809464,0.2642857674433529,0.17639630923710453,0.038466379570855455,0.15300021502133693,0.10953470305263643,0.07427571515181798,-0.08592004016767033,0.2642857674433529
mfcc1V_sma3nz_amean,0.06162699107942402,0.08849042402930728,0.024077547717428534,0.07186659674115033,0.04781259803017936,0.11892040699363811,0.027690983820551827,0.02992917674782141,0.022854684635537074,0.04504858644450332,0.014727934560549293,0.10117387355018508,0.02526144359858994,0.11281004452432285,-0.023316119087414797,0.06925931113890679,0.017858458354525382,0.05050354792270737,0.06492162172215793,0.08549684463346016,0.010290060994847458,0.1246395329011759,-0.0031698806524612477,0.027267483007430725,0.053116804908047946,0.057312994447946373,0.025965728860217523,0.02601584929173009,0.08803014666789362,0.10478590363551227,0.059470652018822935,0.10234005262192612,0.05878404411635328,0.11400334165083705,0.06734790279175037,0.07019206773200684,0.10237399604049024,0.09110256868357679,0.010528332603753033,0.061948515071155084,-0.014837932403540477,0.05591169242623793,0.11639644125219652,0.010211086663355625,0.08807679415114765,0.06673881784179858,0.07504590114609828,0.09374159715184933,0.04037209313245769,0.04517940777132654,0.057723939073669434,0.03674239182067651,-0.023316119087414797,0.1246395329011759
loudnessPeaksPerSec,0.02121348124528326,0.05175239963787325,0.010085651857110568,0.023999314089936885,0.02182121619377451,0.03044852356723189,0.009536646947783337,0.0045610903487951545,0.018826580103817887,0.015553657535923875,0.006502278824146813,0.03236234115081919,0.018530624644087963,0.030101203110336573,-0.01744748225564748,0.03291615669692246,0.010191584347813424,0.02319800198898819,0.03481189344427897,0.0459754606432272,0.0063049571657012304,0.03483792288123906,-0.0012170995840533,0.006902629662484972,0.02548717491368376,0.027736498308940552,0.0123385325813578,0.010249798064039417,0.04236856462500797,0.049861259205908726,0.025674424464006904,0.049584155636668584,0.03556271537121304,0.03725964074803099,0.028409559773658978,0.031689170220613676,0.016290886744981713,0.047965434277410825,0.003052662935578428,0.019330564832026473,-0.005587036004161418,0.03869241115801963,0.05889298785929892,0.001223708480846258,0.04092665786605709,0.023565220830689845,0.04497963902856998,0.04472455349708672,0.012022360260663176,0.015728530039119122,0.02419598219934387,0.01659802398460017,-0.01744748225564748,0.05889298785929892
logRelF0-H1-H2_sma3nz_amean,0.02984238891400359,0.052550825532064964,0.004880724448018953,0.026001437477896606,0.011944456275140243,0.03968967607860618,0.010623262074954185,0.009581636424185197,0.009625693800086387,0.020657895187868775,0.005976290439906814,0.030974075915136057,0.02260220513070391,0.024763593328363236,-0.011297037052543712,0.01414836520308713,0.007479584537169958,0.0176481254102996,0.030402846649629247,0.04146521345374558,0.004736361270444464,0.05170760812522668,-0.0011757702727791415,0.005415885482822332,0.01976745979434009,0.030924507473809225,0.015759373703715093,0.016606771730204972,0.01749058516223261,0.04540138103970456,0.021519631573409456,0.039170721166068505,0.022382903870404557,0.03465972775112318,0.02555914087063923,0.04152041772800425,0.012227869115299864,0.03092280837516172,0.0035054073373227104,0.018507357134200784,-0.005505495326753503,0.017715135350774965,0.05134471565820042,0.0018188478282536635,0.04643388256420478,0.02396354369083168,0.05954169091863501,0.05319517778251086,0.009687278617624185,0.011972310759346122,0.022526769910066125,0.01655798276150932,-0.011297037052543712,0.05954169091863501
alphaRatioV_sma3nz_amean,0.028234467032842627,0.02759142421044473,0.012174164130977851,0.035028095042246264,0.020604321850990634,0.02496613098726295,0.01232692769249309,0.007180812790443117,0.011001891875225973,0.018094545031412248,0.0050154464874345,0.03260016442752644,0.015431512438200623,0.040672244397139956,-0.013683249438970677,0.03342446008352937,0.010683827301751337,0.019151847262436465,0.030102749170868397,0.031949546056710715,0.006003461612700396,0.049515479771496965,-0.0007007922378321952,0.005219741479828914,0.020607557266249077,0.017726279625727624,0.010878692781918345,0.007017320249115527,0.032232375021966575,0.054129070880922794,0.02155846906243394,0.03484132268600439,0.023157157758412997,0.021036702675875797,0.021770152089035853,0.02931236802366906,0.03489578264159408,0.030697737452425006,0.0022738409751551767,0.028640228614022423,-0.005637170330323446,0.02371880880491275,0.045465413869057024,0.002506952465859007,0.05423204065696984,0.031547905030157704,0.033997105646136026,0.03354503477119487,0.01302630166950442,0.012736710492725643,0.021970067606757664,0.014680632503335135,-0.013683249438970677,0.05423204065696984
MeanUnvoicedSegmentLength,0.011980025848572962,0.043978635899508685,0.007470602217265098,0.04006982554527914,0.01788566970128443,0.013273784091686657,0.008635070887684603,0.00416426385303722,0.004898898109290716,0.018535251443094775,0.003241797842278546,0.020633297358450323,0.009762032181984527,0.06444383212371158,-0.019254641757232613,0.01733554408988569,0.005520225584636689,0.015983188188763757,0.027974933009783473,0.0245667161697465,0.0034541810912263942,0.017460817384381502,-0.0010141206399423939,0.00378612191008786,0.009812735176560325,0.02382739682337773,0.00646449364553806,0.00865424591866917,0.012985703614850753,0.03364833829204482,0.026388046267758133,0.022607754304841764,0.02011459219755026,0.04217823443006494,0.021742255393113686,0.041381256040939174,0.0405675464873087,0.021978377745856568,0.0018265450270875622,0.025833832853831302,-0.0037073384851501016,0.016215365741497578,0.030057049073073508,0.003772798242845121,0.03963855224557517,0.018239376000097833,0.03623471678156777,0.01586856216773489,0.008473511557764869,0.03039382761101746,0.018399674545797665,0.014995363477867337,-0.019254641757232613,0.06444383212371158
F1frequency_sma3nz_amean,0.012167902054056833,0.03865813859759867,0.005229656864818874,0.02982919339533892,0.01885417037303028,0.04018015732175156,0.005920411937266696,0.006975445635387986,0.011149085948223298,0.009670437636464727,0.004431805691364447,0.015430275701118802,0.007204886886602295,0.02982276694707346,-0.010990081406037432,0.013964350904268716,0.007501657623899122,0.014077819221281672,0.024642096069166505,0.02573912757350507,0.004793077637171674,0.026027740620328064,-0.0006361946823561996,0.010146015639788697,0.008892258429249808,0.009982824014560283,0.009237473984860705,0.011832601011484216,0.017240892255904076,0.023846387107198747,0.02326576737794778,0.01495248802042923,0.026873636885900835,0.03182939652928751,0.010891123622294269,0.01665368389926963,0.03468609645598769,0.0266491855434657,0.001837319932567988,0.012459484414487123,-0.0037354357348324805,0.026064813777753177,0.02924711880221853,0.0032914359946288638,0.04969269816901712,0.01926851931130163,0.035801349299401895,0.019044328491214024,0.00979617495277806,0.013394554442631424,0.016675722423642413,0.01210612649866761,-0.010990081406037432,0.04969269816901712
F0semitoneFrom27.5Hz_sma3nz_amean,0.008513079297817106,0.02424700852516291,0.0039950583197152145,0.016605574273305463,0.015916808033055122,0.014610531690200936,0.008184496905737733,0.005213207786860248,0.005245104527213309,0.01470779660223382,0.0020496679850736496,0.010284739379373652,0.005078401528933973,0.019805742730080813,-0.005537713533265977,0.01776839689892583,0.0025908461157608366,0.020670271289429484,0.014162273949935985,0.021901951600519567,0.002150933513363085,0.016451829463119967,-0.0004527147851955394,0.0023545994128940013,0.01484298335041897,0.013131476959518995,0.007985159544283504,0.005995112090817503,0.023009591280385645,0.024729116970190024,0.017308569598773804,0.016157193722919353,0.042044469763484034,0.019395303976115483,0.011084029270095207,0.024998471971487617,0.04717170066733336,0.014748947994695975,0.0008009328144078894,0.019806286809280666,-0.005138537552728787,0.00906772645598062,0.021131293938526696,0.0007775097255854508,0.03372104720546577,0.02376675262194317,0.02038656704416063,0.01233670866174753,0.006398112389149391,0.01114061109954991,0.013666300597676793,0.010583180769596441,-0.005537713533265977,0.04717170066733336
F3bandwidth_sma3nz_stddevNorm,0.005733213548235213,0.011428054195770065,0.004392246252151252,0.012263529580305379,0.0040242049893633785,0.012463459314297999,0.005805983445245679,0.0021118099181712028,0.005377171805468527,0.004088337924751822,0.0021583362966043763,0.02075857454832425,0.004363398887419543,0.02785271728067787,-0.007864571738536805,0.008112361765243306,0.004754834336128737,0.007299337360636927,0.008950584716892702,0.021101079101981255,0.005201418249234644,0.0306558520051991,-0.00038493138769142495,0.001948913828619586,0.004461336879204255,0.0148926348327723,0.005084832911568683,0.005061262254231877,0.013390538387054144,0.016208992899028635,0.011441027363942462,0.0156855669236461,0.008124959126875326,0.021327719642112757,0.0049311899353135505,0.022073820752932103,0.020487827602131747,0.017269859186305202,0.0006432740071856508,0.008248339334204772,-0.0029251341561573976,0.013621675509049953,0.030048070605868966,0.001985050331469441,0.01024906938497098,0.013357692757274857,0.020226449291821106,0.01187765746310038,0.005213229657595446,0.007000245437252803,0.010051662090905014,0.008256632226154456,-0.007864571738536805,0.0306558520051991
F1bandwidth_sma3nz_amean,0.00656231779413783,0.012814882321521358,0.0020963527501209494,0.015935216188545435,0.0033360901469216943,0.005970378628477801,0.00345131589659392,0.001763293999346615,0.010705814156926488,0.007737538143337292,0.002316445642995202,0.006823667503871862,0.0054654970096680916,0.02694322216254788,-0.002639367841914291,0.008757966617054568,0.002486746231772026,0.007489730445198721,0.02781684733755543,0.014272193121412109,0.0019792874234469257,0.02295270734139257,-0.0005096829780829459,0.0018296749848026336,0.005977049779679216,0.01206034628560344,0.0020759362178066555,0.0037733254734048077,0.01332786379365247,0.01636561217415342,0.011116413683358365,0.01910837664627019,0.008266157264315729,0.022173679377144016,0.010799281292803718,0.020259517265184997,0.024546525114878658,0.01843573795109812,0.0008343742454029032,0.005987018784670007,-0.0023606131857046653,0.002324261669707316,0.020939005525048685,0.0009850637264983515,0.011203636385818373,0.015355418887186025,0.013303572935752166,0.013264679613426502,0.004606488375949571,0.01889861671409369,0.009799709620497058,0.007884940007917063,-0.002639367841914291,0.02781684733755543
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.01736099130338764,0.012595995092294688,0.002542188485243208,0.006905286739086055,0.0028903484377470344,0.0065354709972498745,0.005070143790360058,0.0016893466774538235,0.007816156804595008,0.0069094180864931465,0.001336533362865632,0.021154134401346836,0.006451723329019844,0.028773906940851763,-0.009081976050391091,0.00534844874222293,0.002130981943458292,0.0016065537396321757,0.0034874902343817685,0.011002497177450563,0.0019468895294324445,0.009576720640645181,-0.00039444881159225276,0.0004831478413883749,0.004081095221109101,0.008854641693964434,0.0025987025468228197,0.0006847416284707289,0.009740992786705465,0.01078719192941529,0.005118882301644893,0.009124757381280728,0.007046667440757137,0.00714552040047468,0.011393842041886912,0.02166350822109922,0.021495674679346054,0.00867541810952724,0.0009380661093131782,0.008846771858567564,-0.003511147280126997,0.008965043104737965,0.02885246711365142,0.0004959293988720577,0.01299776475996583,0.006276519825447079,0.01623906666189283,0.003662614462637683,0.002733249351457555,0.01081558809677143,0.007597230385606306,0.007426394570664107,-0.009081976050391091,0.02885246711365142
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.005425300187360257,0.006804885341193553,0.0013557344180749474,0.004681659083635418,0.003158808512518681,0.007602925724580248,0.0034171833153420544,0.0014734059757705946,0.0011552108618520115,0.001742056202183315,0.001997726233320084,0.02000762171817169,0.006040779518821831,0.0038073170338550947,-0.0026165664283524168,0.0021246882302378618,0.0016061531410971452,0.004283533129402871,0.008869700075840346,0.010870118974720178,0.0019529045006266169,0.009173037420922632,-0.0006371205377447564,0.0010833255842733315,0.0006002698211582412,0.003908995818110269,0.005411428055526353,0.0012706601327917466,0.013959067430628925,0.005678133684360841,0.01119876590896488,0.01003655521590792,0.007845568059601966,0.008856376925773232,0.0035873183450494434,0.009671470130271574,0.009589274193048647,0.006843661239834486,0.0003836663656130504,0.0031457078825453334,-0.0013555768320042637,0.00917370913130098,0.015366945794970145,0.0008928544333563104,0.015366574517184952,0.00460660638316075,0.013061240522814528,0.019242457709194936,0.0031135495233216293,0.004233717687555251,0.005821387725954915,0.005116229786802776,-0.0026165664283524168,0.02000762171817169
F3bandwidth_sma3nz_amean,0.003715058162930375,0.012775569538918598,0.0011484339030815628,0.007167960654225312,0.005219473996799876,0.005262967891106896,0.002511518817519568,0.001578760817234889,0.005730053482197883,0.0070380195748676756,0.0023305657874159937,0.0047185889987740445,0.0057899848732821035,0.010428909613500126,-0.009300985806102254,0.00493461634007899,0.0018678934399771205,0.0034225591360993297,0.00888793115815694,0.01210122133498368,0.002135409505119713,0.01079464629644824,-0.00031490816848180915,0.0007506459686723635,0.0062436742680442355,0.008377044041517219,0.0050633579806890865,0.0036827734586023448,0.007116874194373595,0.00875785526769416,0.003909684475405648,0.005321360322710594,0.005309768460094219,0.007039766290698587,0.004015289007117439,0.005510253703687151,0.007385818693140358,0.007868570124819868,0.0008966154845599454,0.0073577692374064575,-0.001581165094623589,0.00449196750049522,0.009990511536358267,0.0005385235552621459,0.0143821778759884,0.011474512804475681,0.014667034756095739,0.015667286006002413,0.003938891833042403,0.005701373545321051,0.005676449692915717,0.0044559998820578916,-0.009300985806102254,0.015667286006002413
slopeV500-1500_sma3nz_stddevNorm,0.004275006709625653,0.011245102255614389,0.0028284803710512778,0.0056302873531492315,0.004633306616171325,0.005907502745118029,0.0016638003058762837,0.0022775816096761423,0.002901023334546208,0.0027945195227063453,0.0017116476620370861,0.004491362937688262,0.0020583275782872887,0.012183701013610704,-0.002278754697790322,0.0005712350636968696,0.0031680003957846843,0.005008672190482904,0.0019812619134607365,0.013063404409661288,0.00011598335492076291,0.007238961381269654,-0.0005420426402005771,0.0007205771156514437,0.002106758967412361,0.0038223108784615494,0.001995319320415818,0.0022154365169552302,0.006514950646446228,0.009729797440588902,0.00389503414755704,0.005757207544692568,0.007757537531595411,0.016093778136011108,0.004338836386755733,0.004227578520067834,0.007754126911486393,0.006083330052972152,0.0006490242696488228,0.005109831388482798,-0.000769272939837631,0.0053248235114894335,0.016088678354877057,0.000904308840474212,0.012177006019605896,0.005386127689369508,0.007031668218273652,0.009960692652392708,0.002304777880391311,0.0032730604350163944,0.004867633556473963,0.004118292505658545,-0.002278754697790322,0.016093778136011108
mfcc2V_sma3nz_stddevNorm,0.0010851863878818008,0.0047316715924538184,0.0007555266174008296,0.0034487098599989175,0.004412367182334711,0.004055368001641326,0.00014532090536361584,0.0003148213641919902,0.00014139468687664831,0.0004905748679013334,0.0003041458189642649,0.0006322598779054588,0.001259884375450352,0.0014792260989099377,-0.0014739239184794633,0.0008720111152987666,0.0004991181628725225,0.0013733659147522625,0.004390181052459732,0.005644875805524738,0.0003300770297284684,0.007940802207557513,-0.000285141716361982,0.00023914515820349673,0.002264767797284936,0.003559969289606893,0.0006476688443425145,0.00021278870457754203,0.003583516947892485,0.0034720024479264733,0.003096317386240738,0.005114389376980812,0.005543075697562176,0.0022585128115085017,0.0020912075836009756,0.0014761445424941635,0.005283163420629276,0.0020477344435374965,3.441417668367966e-05,0.0007238174659340328,-8.520096733846856e-05,0.0010454349965954297,0.009114671624704876,8.144292391204402e-05,0.010574516222015488,0.0007539585180949212,0.0010222633226582276,0.0029389030115709717,0.0004450021878406483,0.002542884454196809,0.002252606713597694,0.0024868806330993485,-0.0014739239184794633,0.010574516222015488
mfcc4V_sma3nz_stddevNorm,0.0009150447592243034,0.0018633910198914817,0.00021270606568040594,0.000743674033086098,0.0003551223441214676,0.0017237703369286559,0.00029145042740012436,0.00016709600924512478,0.0003955108013561625,0.0006077287227555755,0.00023375297225183603,0.0007275517646859227,0.0009903810847581426,0.0018482557869853456,-0.0005805867664591491,0.0009564517339651513,0.00027227484801851584,0.0003793535652714378,0.0003175570401719317,0.0009992102471667555,0.0001151059655765744,0.0012452900986641663,-2.008421336674744e-05,0.0001640846361780579,0.00047086268232786896,0.000272051880180187,0.0004630449780172639,0.00021279933438094343,0.0002121961773381715,0.0009001913788767581,0.0012097793731246581,0.0015778294891502203,0.0012202197302997107,0.0005581846584353755,0.0002349572555748542,0.0004763054596753622,0.0012885361626663848,0.003273982815677667,0.00012127712724289627,0.0010234050610794312,-8.204365821878774e-05,0.00043515526350057293,0.0018316625331469573,0.0003184276472533856,0.0015333357040226078,0.0003036005677409237,0.0011311685167637254,0.0005619626152067765,0.0002533111478781144,0.001624406540012195,0.0007270140744982314,0.000672899317675209,-0.0005805867664591491,0.003273982815677667
mfcc3V_sma3nz_stddevNorm,0.00042207041235315355,0.0003378993093126274,0.0002985046697356778,0.0010495998393171228,0.000987070729400765,0.0007169444202056366,0.00041230533740006407,0.00016073544874458369,0.00017812794120029805,0.0003813712034096234,0.0002939624543596825,0.0003201733653696128,0.0005106123457914307,0.00028991098564810187,-0.0007259224138823466,0.0005256770426041418,0.00015008598268688683,0.00014279971431083608,0.0004993535210760787,0.0008582510292309626,0.00024130806682245184,0.0022104126498029846,-8.932990877647097e-05,0.0001163738212865058,0.0009369923723642011,0.000986641081018081,0.0012547331586162426,0.00044714988627604093,0.0006331202154711229,0.0009510015257822035,0.001195808293863322,0.00034223763179432905,0.0007218878699028702,0.001055764695218404,0.0005819637607868282,0.0006882707196226928,0.0020417220151092807,0.0008794866134678914,5.403524538816315e-05,0.0007354751245622521,-0.00011003706867103775,0.0003711871524055203,0.002012575052501239,4.8934419421283975e-05,0.00047609102040583077,0.0001991238377190488,0.0009604701962082385,0.004034430353264097,0.00023457151784481481,0.0002922299671155854,0.0006462832924973791,0.0007212852692841811,-0.0007259224138823466,0.004034430353264097
logRelF0-H1-H2_sma3nz_stddevNorm,0.00048392635462877494,0.0005453206708053012,0.00012352051146867932,0.00046199192936497574,0.0003425679266218775,0.00032990934442967014,0.0001570910994569822,5.512376186242898e-05,0.00021091434949338498,0.0003172673144903122,5.031461887247223e-05,0.0008265486158678249,0.00015596401736533782,0.0009306003176614897,-0.0006600234687887558,0.00020327588494731646,0.00012039083778990716,0.00040392394978403564,0.00025616022738883477,0.0007618881463822577,0.0003331182908068445,0.0010397163935206787,-3.348076565911567e-05,0.00010653040262933346,0.0005976216797994946,0.0005418289993122387,7.600964219196058e-05,0.000271658261963969,0.0012088891999090987,0.0008221355004665011,7.861053218512197e-05,0.0007340542520089673,0.0006219404954998578,0.0006936306052652085,0.0003426243125962147,0.0005799303057651548,0.00080281341673836,0.0006533315851513664,4.0186993576960125e-05,0.00012213887648167545,-7.538644820403506e-05,0.00025709238490342494,0.0007860827434489951,3.641924913078137e-05,0.0005232747603900047,0.0005613074105060343,0.0007213908871363003,0.0008367565415714661,0.0001948565903533161,0.0007174186705774539,0.0004053835635983348,0.00034348272040103515,-0.0006600234687887558,0.0012088891999090987
slopeV0-500_sma3nz_stddevNorm,0.0003381979931125208,0.0012802206214352625,0.000188154641516311,0.0004184704181455098,0.00019763940906010816,0.0003581049618222201,0.00021643541594423444,0.00011096437507480722,4.599819304564163e-05,0.00021724155765055186,7.060415134197205e-05,0.0002944041223593929,0.00010591054273680956,0.0007414982491140341,-0.00041555339570917884,0.0003326190952452901,0.00016155101485631435,0.0002341898566436829,0.00024124383083505842,0.0003451824399293143,0.00010294254997121773,0.0006548379003404918,-2.0338015337640294e-05,2.6159075631483333e-05,0.0004753764206575484,0.0003430543880715786,0.00020887980275954634,0.00010162630743315137,0.0005077233590761642,0.0006013193203302682,0.00033643994152215994,0.0008188288602775659,0.0002044882027271166,0.00044353959733487694,0.00016856046396792002,0.000259529802580815,0.00045070687824190584,0.0007372978793158141,4.3622250599436225e-05,0.00024868863382119247,-9.121683575873712e-05,0.00019475867738899015,0.0024280636819511404,1.977356517765558e-05,0.0008306059766893983,0.000500298510797085,0.0015063669225536037,0.0003543751245521639,0.0003330071223359321,0.0004767997217334327,0.00037498387161806273,0.0004336950468399391,-0.00041555339570917884,0.0024280636819511404
