,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV0-500_sma3nz_stddevNorm,0.0456381687188546,0.07637066605317135,0.11251603132485537,0.05060262948697338,0.018362527526941473,0.07689254866899874,0.002593802409787524,0.02183784151922939,0.03634644948576255,0.008946527101512551,0.0746335370134039,0.20393420712208093,0.02348080616740773,0.20441577204023065,0.01581325538773705,0.015308136076429413,0.009875974184444676,0.03463260896527339,0.03189915073285362,0.08449252924963298,0.0076273298488141765,0.07781590331455362,0.007580866797679565,0.015309831504846732,0.028978759931141667,0.008096733039528374,0.020049324069582874,0.02987135647306549,0.030924784736989158,0.0057078516124441075,0.08469025855074602,0.1778406923010049,0.16666705918827932,0.04930323869022507,0.0030718391717762194,0.04931169443236356,0.18274976953590785,0.09892636281611196,0.007191816618834841,0.022693791519468026,0.008779055971999792,0.01722808262451216,0.101688456302351,0.01986458423936582,0.21115772187436327,0.05135911375707723,0.1795228993776525,0.09855601049581406,0.16375554815327098,0.069681543745825,0.06289190899862353,0.06159164150874471,0.002593802409787524,0.21115772187436327
mfcc1V_sma3nz_amean,0.015364061993263789,0.0141359337609528,0.05892329060083992,0.015599966232428382,0.015069773064994293,0.022715059475226704,0.003321968024568753,0.022792698959329238,0.04582249869259198,0.007591165202644273,0.07671264186677203,0.11195098972058852,0.01682456608275915,0.10543404331655785,0.008023425305858707,0.03671392792230551,0.013586022630639879,0.014918198388646381,0.05381175310122124,0.029197790893794043,0.02082717212387116,0.04642878777179725,0.005160037080497033,0.01357480094382298,0.011250014040755077,0.013334704365776922,0.008077690931901528,0.030771079879608088,0.03235703454174966,0.003343427854314268,0.028513433966193172,0.15247895916015486,0.05685909016238494,0.02054389435948657,0.001504299976692513,0.07782508101055434,0.20324568944534085,0.07673951522951052,0.010398893049388413,0.04582985810134814,0.005150663739015676,0.02341101838713541,0.07894480738885398,0.02567947491529116,0.08978555307851525,0.07736912879217872,0.07017591802972496,0.1073985121246965,0.03923163833023555,0.05301066336061434,0.042354612347547865,0.04097598222811723,0.001504299976692513,0.20324568944534085
equivalentSoundLevel_dBp,0.07317126733889462,0.04561267222265746,0.09164190615462495,0.03135980882497245,0.01782062126725522,0.02324520013231852,0.0034017983153340225,0.010063408532116534,0.06717758346663778,0.004454415450106573,0.02995762733885104,0.07135228519418821,0.022616195341821608,0.07024979582142711,0.01169119050831987,0.010932976928156209,0.03391400699246972,0.006575263889596667,0.030501669124927012,0.028465719175330063,0.014814789449314738,0.059538974484130563,0.006162695307215438,0.009826885346500336,0.0069871573864693,0.004745011860021484,0.005554888377249729,0.01200270837997791,0.021925227296916226,0.017832632720260835,0.04136962533628809,0.24672615344652477,0.0798402818772636,0.0428972867274142,0.00275231414686411,0.04606454436018098,0.06902227628954881,0.02449472295035021,0.012428924266261842,0.023036330556670488,0.008878626531531462,0.020905416137633172,0.04323406194257521,0.023538149201670945,0.01831137984779811,0.02762757736974835,0.08506609875911682,0.06775593925650582,0.05197452755259124,0.05162407424717448,0.036622893868635494,0.038739367567234125,0.00275231414686411,0.24672615344652477
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.09258173899236333,0.03555610085633418,0.04149353048388538,0.03327480387995963,0.010932862575612892,0.009324442031411473,0.0034705389400526616,0.009596719400295998,0.0387715157754277,0.0036815956520354774,0.01952114168539643,0.030004375160756647,0.01879529768501941,0.08083299572900073,0.018885469217078017,0.01312664474456436,0.014757624793744812,0.017562983899885354,0.015610431961623853,0.03321964874361365,0.016938720286749087,0.020979900061700318,0.0063843499185032414,0.004725488125729913,0.008429010407927921,0.01285351755269943,0.007339271428497884,0.04102773061173609,0.03740929679252695,0.02518920857988577,0.02261253312405496,0.09956411267435436,0.04864959447373346,0.04816956010908313,0.0022934256646112757,0.04907312595136426,0.013083319013436704,0.013419078897759586,0.004730917274571403,0.04324236372686417,0.006313102212175181,0.017281581518513826,0.061861201400689535,0.011265385851118071,0.036774148391273534,0.010509734385267989,0.1713263894397173,0.06262446501609763,0.02096736139662555,0.04473474981544585,0.030215462126215526,0.03014981297896761,0.0022934256646112757,0.1713263894397173
loudnessPeaksPerSec,0.05288613777931082,0.02685898901199069,0.03496845702354215,0.00959275905992844,0.007602580061206368,0.02504956650247065,0.0022918163874065416,0.008931692016112129,0.018892033871783773,0.005428465562270829,0.04878988158435754,0.06511813411202061,0.010860149207359192,0.04549669171850641,0.006403444112487581,0.015610005828762336,0.01521994810962484,0.007136226644113978,0.00734210632249098,0.023116548913063962,0.0077911513595550095,0.02936189712255163,0.006023559025172005,0.0029080470881826955,0.007843110455384102,0.009029757194139974,0.004249425467149241,0.02093444348818187,0.02288460675148158,0.00547624670889828,0.02743521283242509,0.1189832775121861,0.05667568183895789,0.027409119929166087,0.0015605605597806477,0.02789975696395408,0.03030892116387297,0.02753690873063389,0.0061767507400028385,0.028889999684822875,0.006178177845231639,0.021362026097786,0.031571981411331815,0.010987393712963563,0.03054313906291275,0.02431613305895147,0.08878025768245028,0.047190694949941006,0.021089977652871884,0.03854535129383403,0.024550784024271667,0.02250195396570248,0.0015605605597806477,0.1189832775121861
F1frequency_sma3nz_amean,0.03756469093343152,0.04358614714810676,0.027585705580747397,0.018589414122290614,0.00539962601114427,0.027976896733816002,0.001679874640599392,0.01028568227386541,0.03299777748088396,0.004827379603204868,0.006502519906712236,0.006959053583185437,0.013028183605925702,0.054088937739711095,0.009242053467695754,0.011069442886785678,0.019532344369084235,0.008790615060644168,0.011140795707568317,0.017580668214157602,0.01936024849214617,0.013784875444152444,0.005585148668768973,0.005572093076613119,0.00953179374145366,0.012282125596142638,0.009575654155543725,0.013022198358500443,0.012486745018410161,0.006149293312135063,0.029356904340700943,0.018954222223421094,0.050547775662929596,0.016998254228396154,0.00048258152717726386,0.026262930297494724,0.08220794309935535,0.027585267779792963,0.008404657727987047,0.014371143822832905,0.00979378731083673,0.008513270404989556,0.03628373502114828,0.012637599459350777,0.13002305591181418,0.014241159769383714,0.12187230517161263,0.015845154111733775,0.013773194849661611,0.030596906297245752,0.022890596679025835,0.02584391881404048,0.00048258152717726386,0.13002305591181418
MeanUnvoicedSegmentLength,0.047690951342034896,0.04326917175081146,0.05433518046436151,0.025181849915467246,0.018314486340614562,0.007423388595306244,0.0025638016307619168,0.004995655096996386,0.02993204934636172,0.004093443973516415,0.011644829724564508,0.0013727745358984005,0.016309652626078773,0.009073661837961171,0.018572718502878418,0.010284773167765746,0.02603021140623018,0.01810660016185476,0.02081288166417482,0.02637264620356269,0.010364737076671635,0.02913611295278383,0.004918310621566739,0.004442520634945974,0.007433887903511472,0.009436241040009547,0.004529766459879608,0.028092261148483354,0.016478446773918486,0.007081515175108188,0.01956167831633174,0.09910057726991575,0.04840947219001366,0.014642142870413573,0.001158202974006823,0.04643607855520613,0.01910673125273045,0.03160346919649577,0.005387747368252315,0.018964066233598698,0.008693710937984631,0.009848031161838178,0.045961316687987704,0.018291465474369804,0.03352604403514969,0.011169789157772074,0.04198882808186055,0.03644208150556363,0.008860027043753292,0.0414417918451954,0.021577755604650414,0.018199685853787066,0.001158202974006823,0.09910057726991575
logRelF0-H1-H2_sma3nz_amean,0.01195036100965458,0.015062609876236354,0.06293810805943739,0.03224747998674802,0.0067886337215031425,0.007074367576317221,0.001482396068459544,0.010115914317681942,0.02051498644582241,0.0038531160890989207,0.015387274605906597,0.00949437743370064,0.011899104994226209,0.03259642170431654,0.01719971152811067,0.004269360798812589,0.011437497425852752,0.008264466448369027,0.008903975512857773,0.01352396818165481,0.002953432320015232,0.017632256730479617,0.0022537432800803173,0.004572360364614349,0.011686412757173536,0.014928693586703951,0.0028444939076588543,0.026754902504578876,0.008520983749618561,0.00552469919564487,0.005523938423868503,0.05222370569082939,0.045111436046355126,0.010424133441184584,0.0008937296085226664,0.014520196373990862,0.03912971432618504,0.025587579849584315,0.003594375065553566,0.008162952302233548,0.003045636352462804,0.005917720842681306,0.07040207627794352,0.012274328654521828,0.02542809259808081,0.005468840650860894,0.06659850171294411,0.065596218089154,0.012855464420284459,0.0085880597491479,0.01768045621315449,0.018110460754384654,0.0008937296085226664,0.07040207627794352
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.03994053467497378,0.027771418932390716,0.04410184312362081,0.01870328279903621,0.005014335679561112,0.011116210866086707,0.0012093352956078162,0.0035424867000792763,0.020641175105257703,0.0019064000818762028,0.00952192106362129,0.011552220227875576,0.013305557731774382,0.0282146011649214,0.008972305849464686,0.02416081895888297,0.010984531100270015,0.008479201766760668,0.02085388398284116,0.02089441724996427,0.003118618894492674,0.012589592859962112,0.0036575788342496853,0.0032604365727140964,0.002175621381804077,0.005719980468519364,0.004456034277769403,0.016982810227108305,0.015051469203522017,0.01165348081253947,0.016129349223076375,0.06423267210946812,0.03954407908834317,0.007040406222919642,0.0035865839764785243,0.03599695985810962,0.027620472336653146,0.022036422389212534,0.004007846293588941,0.014130886604026584,0.005755340664175631,0.018445811680366315,0.053085353324808925,0.009551127724148182,0.016674548072540644,0.024057548876801057,0.014268474363595433,0.02092645470538999,0.012265644832119185,0.007225552528100993,0.01652267281522942,0.013553858447675636,0.0012093352956078162,0.06423267210946812
F0semitoneFrom27.5Hz_sma3nz_amean,0.014091148446057477,0.008161011096718613,0.008122129932415699,0.010346066179951085,0.008441928755727517,0.020548785442958316,0.0006784452625456383,0.0023955354967185507,0.012566054925312277,0.0075629740683839835,0.004312031228673789,0.01755859338247291,0.01425653304291509,0.019221592254025983,0.0034545144017559737,0.005313345225194044,0.007584373146052157,0.005234979672350112,0.017529986825542347,0.021473902734537687,0.008452065694791261,0.021508591223281512,0.006658820471179987,0.0028507193978940105,0.006430136532644976,0.008091725431891463,0.004577798154211797,0.006330759372903769,0.009701057289768186,0.0039444737557243845,0.03059825531493383,0.015406811842430389,0.04737956816474269,0.0077765957383011345,0.0006847019784222702,0.00950331443183315,0.03631361647414468,0.011713448695664739,0.004970581706963545,0.008868830099536148,0.001442817786330126,0.00900162640963267,0.021411766739625058,0.004815007649102982,0.10001353881718991,0.006671393348814264,0.09140932248347783,0.035225456990295514,0.013905608362529165,0.017122258892472552,0.015232692015420865,0.01899073306654781,0.0006784452625456383,0.10001353881718991
slopeV500-1500_sma3nz_stddevNorm,0.008089312766469098,0.03198991840743826,0.022981191904052893,0.013025087550746692,0.007371643760383592,0.005504492842105807,0.0010917039331730994,0.0011898347437567635,0.007613314529343889,0.0049291456435203,0.016888497180905016,0.021892076641243017,0.011189199770677076,0.015052200127631662,0.005665248087357084,0.0049071338060901245,0.015831887746063682,0.007703315053162785,0.009898170450251256,0.010901147835102641,0.00197970503977198,0.022594859986459315,0.0010620650248527937,0.0018403660572152733,0.007352712867112802,0.004848350996757385,0.002426064632016544,0.00766320280773885,0.013067858223795002,0.006095522556015779,0.018039540690319763,0.024805986063376192,0.04447167473099913,0.01865663301313496,0.0007520520321111082,0.007826426459360146,0.03785985046907908,0.014879181119291556,0.004063412028951123,0.006323514189812392,0.0021528579698787973,0.006730858717172251,0.024865316748274854,0.005468196667837211,0.06700920461934709,0.027071489613249868,0.04129170806146688,0.027133170329699235,0.013635114626741574,0.015681627980256976,0.014027260942031414,0.013053795673928222,0.0007520520321111082,0.06700920461934709
logRelF0-H1-H2_sma3nz_stddevNorm,0.11882070793502332,0.01450678480213567,0.008777001303003271,0.011012054502679378,0.0048194873637293755,0.00518437336990993,0.0006292063111078178,0.0036138410949040915,0.014644425479675453,0.002776935014728224,0.012248084318868181,0.01878670859546746,0.006460916635978674,0.01495072814604077,0.005440516230973336,0.008671592903883914,0.022798054062052125,0.009031887889189181,0.014890455417388683,0.017025800047065342,0.003745595510899638,0.030689495024097235,0.0034609353144686517,0.0017236801964789503,0.007370774414535662,0.009091669257144781,0.003251171550261234,0.009071829398916218,0.011215118850793529,0.0036811447242432746,0.0159505221753644,0.0446607105383964,0.013477684441965645,0.011749170132458573,0.0010894627952755783,0.008253791646267434,0.028132492007848852,0.013742559658579926,0.00252656807628865,0.006810707752984102,0.0032524331632416263,0.00551096484034292,0.02075666884754915,0.005347092999882042,0.015260221451784229,0.004419031361818199,0.016163831789313857,0.040826278843615026,0.010418531405404654,0.013328993613619187,0.013601373864152874,0.017622167304459903,0.0006292063111078178,0.11882070793502332
F1bandwidth_sma3nz_amean,0.028755933062456007,0.007434558268645397,0.007793450834705408,0.006861239518074938,0.0019037279336310692,0.010084601789220845,0.000733774131559755,0.0020963248243476254,0.006045956452795809,0.0024354434569498896,0.0060410330854855495,0.011531796237160339,0.0064665987476526625,0.03562312471835737,0.004632613971948012,0.005049978835092613,0.007858306838782577,0.0015289894305544136,0.013185090095514725,0.004399430781556077,0.004178997192516714,0.052831824946528196,0.004724571677426893,0.0024883931915938586,0.007759961074068574,0.00794201358586963,0.001019397696062397,0.009155374722426052,0.0051633026991933315,0.0020658240055367407,0.00895423250919983,0.02090274935776173,0.022548211932133726,0.011943963525670714,0.0007095598594446424,0.02010003876714153,0.027334788799741466,0.014692293149235175,0.0025153484757031172,0.0037825241970629968,0.0012447864108294758,0.0069611183695572655,0.011873180070495759,0.004087519059002994,0.017413211414562292,0.012539380765145961,0.030162898010259395,0.014208604987189417,0.005166838445066184,0.018188262414166906,0.010462422886501682,0.010221699354677169,0.0007095598594446424,0.052831824946528196
