,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.1013651278198664,0.246278881788933,0.0942319358428139,0.06570071061526322,0.12301225569526589,0.058407847451560045,0.018240226504787748,0.05478785748735296,0.032264857299857674,0.08057141022348847,0.2939564683884843,0.12436287844007043,0.2263834480199863,0.26881827980932765,0.10066501918858242,0.11883332046544551,0.04211219045147052,0.18962972758761143,0.013014874397850576,0.011845341627553092,0.04741136971783309,0.04395646652871973,0.028901136608859453,0.03817156499946318,0.03100015745638976,0.13883128572639242,0.012304632244094577,0.16874516849539684,0.008209838780049135,0.10045828935895591,0.30706400452341936,0.12090254440803173,0.3946538139146799,0.05366736840308054,0.016815067843601164,0.18701738768259174,0.3805397713657248,0.1837232772441177,0.09810750797202948,0.15458173517320045,0.045337207348212644,0.13147283417902209,0.056278501042849594,0.07328144017874651,0.2576064215248626,0.11334741257699661,0.3061748494559603,0.19165977551153882,0.06173505156622224,0.23402171599239854,0.12500920513858024,0.09963649071789599,0.008209838780049135,0.3946538139146799
mfcc1V_sma3nz_amean,0.2798631886731925,0.07117494305012899,0.15802227228939295,0.018041725083587565,0.055173203552468034,0.2640852939070057,0.0032569046555985075,0.12018647994232716,0.32675414027383876,0.06236898616961461,0.019481328908980036,0.06496665315794013,0.03902083008473746,0.11725436389490931,0.0358122672995663,0.12878733942156456,0.0,0.06196141664526473,0.20304301142000622,0.0982245832428889,0.09615469196031975,0.2710168752750285,0.023233715367870188,0.06843943540329882,0.08427255196943421,0.15842342042971103,0.08573653855984857,0.07151954534695804,0.10278439362633528,0.032688915993717475,0.096773323608352,0.2975339023064654,0.10984941190107116,0.020303275916837293,0.0053604533649301185,0.008742645291428689,0.07427199202759356,0.06276013609979857,0.08036653218441518,0.05384917655158089,0.04385552896462576,0.13994543739553514,0.03453716927246118,0.0672867784658091,0.13676713650643682,0.020991395507648326,0.06169517353454884,0.16886559042682642,0.0624307305882758,0.0758752648042485,0.09487620140648848,0.07884445224045016,0.0,0.32675414027383876
slopeV0-500_sma3nz_stddevNorm,0.039574164200160834,0.018772303581401202,0.07599670399534293,0.02802406110478878,0.01748719453515916,0.008659970837865348,0.0023218374262981042,0.024480747488029433,0.059187999423148896,0.011331152790671418,0.03044309630001825,0.07166088231582014,0.012042057606584692,0.10070989600507566,0.020665340925529425,0.001705544602091259,0.03910467624383922,0.026000100114862378,0.04592561572193657,0.06952817526310988,0.022245365854427972,0.057611924820587385,0.010752599773780347,0.007673349211181732,0.014838742628760193,0.010493951198729895,0.010513104951575685,0.026616315569008904,0.04425551192867385,0.018907336329299314,0.030396036825799774,0.1088364442967461,0.05992444311445204,0.026804049838382527,0.00671278391064728,0.039128115042967475,0.058287816008636376,0.06633779250052833,0.0018781742824989307,0.02190461628233456,0.017308802112871436,0.024842577293816264,0.053167381523100576,0.012761444868985646,0.058062120237756594,0.057193743621969474,0.1347420222628241,0.0669381461544555,0.0959033894660869,0.07877751782344661,0.03894874280432131,0.030381747630778944,0.001705544602091259,0.1347420222628241
MeanUnvoicedSegmentLength,0.014626576080256503,0.024252954193385225,0.14596629729998073,0.053116798375643384,0.01868594184702651,0.005200377205276693,0.0028801872913021185,0.018821239121738168,0.0304150604723233,0.009615647001727177,0.028449222992485892,0.034142287409521715,0.03608981528287438,0.035328693431815286,0.025348207663490715,0.028937661045904395,0.12057349487228058,0.03205428323880494,0.007330851140358808,0.08005671240625259,0.020742374477921426,0.19258327717526438,0.008106335578839118,0.0039925717715486855,0.006026265614257002,0.012116321733424832,0.007341930571461236,0.05245343009383125,0.0,0.006714496875990046,0.002976280981739755,0.08120389094439455,0.018693477971371594,0.07473807895106667,0.003511899521215298,0.03762137396311031,0.03047676393103532,0.11743916293176893,0.002751959022654387,0.015465121782318056,0.007003798258397717,0.0352013077642248,0.05586956275719818,0.012482990453490694,0.019282058735876146,0.06541402509106901,0.017620955797593502,0.11576392883583139,0.028989208924067436,0.032592702951921446,0.03674135723670665,0.04040326078236563,0.0,0.19258327717526438
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.03754268271102484,0.01186247701046315,0.030455755210820994,0.03471627164123935,0.004942342207644376,0.02268670519313384,0.0018480891352376228,0.02267235912821706,0.021629869196280075,0.00648693649468466,0.025710356182763412,0.043357778565034984,0.015988875423666376,0.0991853076836905,0.010810739938248309,0.017781112206844328,0.02323917172253178,0.008064292252231915,0.0148706315000016,0.03709751921964178,0.041438473791127764,0.035915013271688445,0.016563525945195952,0.004175790755479586,0.010556619693524819,0.0044750146827145275,0.0050504281486532425,0.02968196103672216,0.017433024545866174,0.0363674126194597,0.009121178406152244,0.0912689462246927,0.07392884707211912,0.04351710988522002,0.005487094328575881,0.04666074106916589,0.043400763076326204,0.04082206300223123,0.00432551459816827,0.015837717662041933,0.011829388719806887,0.015358728146377667,0.10582350068312456,0.008134430585745851,0.015000139983036656,0.0524977158654927,0.06682029024534263,0.04638006606862261,0.046917138391892675,0.03240663516398784,0.029362890925839137,0.02435653267992417,0.0018480891352376228,0.10582350068312456
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.021920926237115845,0.020623737015047966,0.05023587391174025,0.07992321810402209,0.009102231797728146,0.0026347902622849318,0.0010092258691201254,0.008255570475656207,0.03798236876008372,0.006970448765433733,0.0016484808488731158,0.018595751076390263,0.016007488055671388,0.04968003710600927,0.010040987239334383,0.03617388066935403,0.0419833822868326,0.007646503181153245,0.03531693078094356,0.02747918011394258,0.013423878137084958,0.03598037727845187,0.043692566699052325,0.0018689205740672263,0.006149887395923217,0.014719124552392665,0.01427513671142289,0.026111197166953263,0.0014996748150327328,0.03569217092193556,0.014288299613489028,0.019976577962152894,0.03466661804216763,0.030533598543701475,0.02029223029781283,0.034972611034812785,0.03282951348037337,0.06114833697603561,0.00451006214231739,0.017887438742115784,0.011493968584879923,0.017639753939971053,0.14651452670470586,0.006158107581822701,0.019666000966428492,0.07830092518949865,0.09983961886006983,0.039138468326110024,0.011045845712909806,0.03718791513829403,0.028294687292974467,0.027035822176396773,0.0010092258691201254,0.14651452670470586
loudnessPeaksPerSec,0.02765626472257962,0.017817405704069852,0.021239381422315233,0.026143745766396845,0.00777367205032407,0.013126258857747873,0.00437758978864759,0.012189400118983795,0.032487178710862825,0.0015897229735099597,0.012520091852663154,0.04251768165548593,0.044551038243911746,0.05830992778812647,0.01701789869688627,0.02176353620963716,0.0,0.009439910732989392,0.016545356960312136,0.040499248007529486,0.010723899646975649,0.04230224021257289,0.009938806768467473,0.002667379282027643,0.03561694698644936,0.011891168277807989,0.003814913769272387,0.01635132468688272,0.07258442518224757,0.010594019439882255,0.019913738530683525,0.11062259448601446,0.03954812862567693,0.02974959446841876,0.0038478578081390527,0.03877332754854161,0.016840295002655426,0.028626906653648677,0.010683187950863749,0.0162245691172539,0.013941177524918035,0.018088509070559155,0.022149016216697955,0.006382469489940882,0.019901917672977554,0.05404206601277302,0.06202989685298473,0.09791662542000447,0.022351223438476262,0.06150209911227168,0.026743712710381305,0.023358639245858952,0.0,0.11062259448601446
F1frequency_sma3nz_amean,0.03121294159706867,0.006514598323379136,0.0331180595863024,0.01565321674825065,0.004717132973648562,0.011625466265274281,0.0017451956646986628,0.06301062556399532,0.015608028197172205,0.00925171110184571,0.007809691564090577,0.02199443626373307,0.006291282025123538,0.052032873255712306,0.006491011767099117,0.023478788745490708,0.0,0.004612575580211858,0.012664466702296725,0.01250591261840524,0.05516414702688723,0.02613285430984633,0.00779281777101455,0.021047340534329217,0.009854384262480217,0.013283273158293654,0.003242694515818053,0.024109888439961234,0.04709032434816271,0.006747701314206183,0.019884833667662496,0.06143834030902514,0.023656190580000513,0.02096661851657024,0.001993816043137617,0.06622850104178593,0.07823538777945492,0.073106939873995,0.022437138859819666,0.008425361983080162,0.021750658305918026,0.021272910965390746,0.05289631662709198,0.024924181784719043,0.044641084340442304,0.04311333095570197,0.03439193481973203,0.012666594192666032,0.02727395684689959,0.04898735418346206,0.025261897838027073,0.02038345578766088,0.0,0.07823538777945492
F0semitoneFrom27.5Hz_sma3nz_amean,0.013103035137754357,0.0034684969584587934,0.026046883987951505,0.008682315566423588,0.02258205861425558,0.008705055828134732,0.002179867605489822,0.010613866971076006,0.04216692754760268,0.028807352070504864,0.0022041893288982785,0.024137697409808742,0.0022875406368104445,0.07911049511823734,0.001585611302067171,0.052068749262261196,0.014393833358995316,0.00370609330593856,0.01018230049444562,0.099705648212816,0.02527638306747821,0.02350649982026163,0.00568852762741322,0.0003983711280656379,0.009801484629195643,0.018363944663388206,0.004224086180210078,0.011056116375956096,0.05104057375929597,0.013828106668502892,0.015636598682777978,0.08302743404047493,0.02443777062731428,0.00982182345399391,0.0025809136341318688,0.04476451404702116,0.032838361508203094,0.03232928759192332,0.0004482683520239462,0.011789026900638164,0.04092729863669082,0.04325821104510833,0.022505745213388783,0.001723522983427912,0.032924857769855105,0.034526935341686237,0.07336218497342983,0.010623961894152666,0.029077371159416016,0.024102464578229642,0.023792573301431728,0.02268341826783015,0.0003983711280656379,0.099705648212816
logRelF0-H1-H2_sma3nz_amean,0.03232329024519512,0.034992359257654225,0.0023127955206923316,0.010048096552133417,0.00717168962790705,0.04488981642869682,0.0021186197065586037,0.0336094336724813,0.0022253090082667063,0.022659654686350422,0.0010759463345738254,0.02832691879164705,0.02987056777118707,0.017460483351476784,0.013079077807275416,0.004743192475314381,0.039878324179391834,0.0013130978477429937,0.005663249217383534,0.0293315793623293,0.02020067650522072,0.054782163136872807,0.018473308515778365,0.003908788168138996,0.01731334138041162,0.0024894450612822157,0.00513426849468472,0.04415926750481064,0.03490664118078402,0.010855045437462414,0.013049530248489587,0.07464777244061188,0.015575054489633904,0.004289383081157163,0.006773979039819675,0.03939361173415288,0.05851792010122195,0.07114873600395388,0.009512740949918792,0.0033924699795378696,0.006328297667280911,0.007472122138232226,0.04166664430239108,0.0049722351853588595,0.07928234938447684,0.034976440059537345,0.012041082957801878,0.07455394465188582,0.012204555093120337,0.041692585155042344,0.023736158037866596,0.0215097230690526,0.0010759463345738254,0.07928234938447684
