,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV0-500_sma3nz_stddevNorm,0.08557514209965485,0.02226654409363155,0.06952931260216073,0.024430965249010644,0.01181879123251862,0.024375294696687224,0.0019269194458990985,0.009694814413435948,0.030346094727516412,0.0034521598568181336,0.04160478702058603,0.10621170801951459,0.02656544429868816,0.135549745935765,0.014269404052155201,0.005378892435007156,0.009908724351487345,0.02495248658794518,0.017071378450573233,0.029051492817206346,0.012153022749169537,0.06377290161993773,0.012841188721774057,0.016633070492331082,0.02258139376742008,0.0082656375225961,0.007861221359653241,0.035131364604397725,0.010326441225081367,0.00622059421407483,0.05479846697739444,0.1099741148783311,0.09102438975866872,0.040002043947534045,0.0010697967655522531,0.030205444579323375,0.05485837649206348,0.08294803936891577,0.006380462239411835,0.022548412365238434,0.016877603674470984,0.018770138666231336,0.07092788956732356,0.021011949278237532,0.05970047114657117,0.04621019244794927,0.15638129813382226,0.03536925983927502,0.1175461851538752,0.07625176015416851,0.04005246468194112,0.03718659429070772,0.0010697967655522531,0.15638129813382226
equivalentSoundLevel_dBp,0.044352649774289925,0.05360994213705254,0.028286231680002025,0.023383116727036597,0.022778877025055454,0.02122111412983575,0.00284717249268008,0.02073626823843851,0.025658068469742022,0.002120250631687508,0.021589383739926287,0.0437966734970138,0.010337436883446866,0.08387016484326978,0.016677824643271638,0.015325318226945186,0.016544368178516705,0.023265524029139496,0.010838166368395276,0.019990700933456895,0.014514150847621587,0.03534315595565737,0.011189948411499805,0.0149372045526816,0.00828704354427049,0.02059503518746898,0.005312166114348033,0.03760424662516436,0.004690879718159131,0.014392267343937755,0.04513600103096357,0.08536782732307972,0.06190552824789378,0.03815344983607939,0.003680243177730986,0.018277013029400924,0.027895763986593654,0.05264646482139968,0.007603328586274778,0.005505553903582814,0.013954217375227241,0.019999198516527837,0.03849167793146554,0.015472978495858747,0.04502838229239296,0.036484992549474744,0.06042326842970388,0.055323153139707426,0.06604390814784614,0.04191687953787039,0.02826810362618171,0.020371581151908243,0.002120250631687508,0.08536782732307972
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.05872899736177536,0.021298245092364203,0.027263515770117656,0.02203087087541337,0.0070660466531618825,0.014485895265272405,0.002153983599439717,0.010381858046999919,0.022952190601822797,0.0021593113637150417,0.011368498005007362,0.04905446296397478,0.012701098120282767,0.10010026281115596,0.006977962306012879,0.005460815369896467,0.007853317102154669,0.009048620984843481,0.0071902633397741165,0.018781911578371214,0.01865812525648781,0.02644635830459471,0.008465421739947365,0.005615302251255567,0.007211527844497911,0.00797483671629445,0.004301993673697843,0.033337872015729214,0.012910140862371182,0.01778603481016806,0.014198300551990417,0.07620426766291082,0.059145309821405916,0.04067667502591837,0.0022433929307381813,0.019916592455931983,0.020964601200554364,0.03399745513039853,0.003575794728464754,0.00915493072482052,0.00822703012716131,0.01235947280140574,0.03543036161619816,0.009330806897585192,0.03358295699490674,0.02748380274762606,0.08506677866310353,0.024006957865069133,0.02808479264306276,0.027270697238035307,0.022613734370277756,0.021323672017368702,0.002153983599439717,0.10010026281115596
mfcc1V_sma3nz_amean,0.03160656073172407,0.01586210217238106,0.05446081144150731,0.0122964517760998,0.005071297010589006,0.012577451923069225,0.0016697456512567873,0.006327901246412098,0.030921241879388092,0.003236122978944197,0.01913131979996966,0.045598203772212915,0.00815325129447943,0.04404034576731381,0.005515481972186915,0.009317706142938172,0.004796382667853805,0.024358200674346145,0.011241839467535012,0.01780039358842554,0.016469001527332675,0.0385769282080808,0.005511251841959675,0.00904825605073684,0.010744104396505121,0.00619269703493953,0.007382734059851565,0.02145047545564621,0.004262266529921414,0.0032518741394369876,0.025975417255542293,0.04554830154928709,0.04092898525892159,0.013023469606858656,0.0004951193816380589,0.006035748151665624,0.05627643216456833,0.03170920540118785,0.008244651625688324,0.011767985812075624,0.004550251208018984,0.013150083443934096,0.024472963431399142,0.009493732866249915,0.024908854276266695,0.024133220142793104,0.036235490816943015,0.01889195612066099,0.028102649629635098,0.04391375260528079,0.019094613439033178,0.014839930426164152,0.0004951193816380589,0.05627643216456833
loudnessPeaksPerSec,0.03777447992724258,0.01470951276731606,0.01791310382259382,0.011123752407832246,0.006546493312896631,0.014980917971014689,0.0018998173817894753,0.006818103974619573,0.015937245004426774,0.0017724817206478806,0.016640640812187,0.042620009045529955,0.014292866181057655,0.06004229521001086,0.005866447925772682,0.0056380176977813305,0.0035563055435626264,0.010022837291351321,0.0040567884694408,0.01753907570591107,0.008169031536864312,0.029912120459446294,0.0035874817860183693,0.003973630729737306,0.00863610570546465,0.006407717225920345,0.0027808095503159746,0.019705053860555127,0.009088835778652634,0.004692042169971744,0.017491380909022965,0.06617052626911676,0.037868454897730865,0.019826489895201804,0.001192996392887902,0.013864858080481159,0.022269632650317023,0.028241459461198562,0.004061189606402435,0.010382856321596176,0.008026779204781488,0.011669951268954683,0.01825900910874826,0.008806027388355134,0.01718305617764188,0.028071817023078576,0.06752415893539374,0.022867379083975424,0.024044279920635053,0.027104964247880833,0.01723262575638665,0.015517683307845243,0.001192996392887902,0.06752415893539374
MeanUnvoicedSegmentLength,0.018947768599935546,0.015787639284206137,0.030100113300012814,0.01026844920141202,0.01009367791280891,0.006053071555947645,0.0014015676861850559,0.011544925966096242,0.01605792274923555,0.0016182904626254964,0.021155123129925367,0.02096137429767808,0.015180156311614028,0.029328056720923524,0.00814163557262813,0.007221906244563885,0.01518586654882901,0.010296124079203621,0.005833290524890057,0.018353780379536763,0.0080953507738773,0.02865611377678326,0.004019187231177644,0.005574270950844904,0.006147459962220274,0.0068759101189659316,0.0020550895534841773,0.016689651228126517,0.004107785377174194,0.0033601093748172645,0.019505090329646733,0.04844186539330655,0.04258344382508014,0.012358836127480025,0.0005984370764724703,0.013641138821109644,0.023093989459718234,0.040422912986208634,0.005216130309251545,0.006193817261707724,0.0066861328045197555,0.007424414970730618,0.023354696620093287,0.014257649598598397,0.02687090994163244,0.028968851947547884,0.02132130129166128,0.03107305683267917,0.007896920610168248,0.02918367749453375,0.015364098851557517,0.011261484221924545,0.0005984370764724703,0.04844186539330655
F1frequency_sma3nz_amean,0.029957246243371285,0.012110037205844224,0.031279890366381916,0.005422574998039815,0.0022658153093629697,0.009648155326048216,0.0011995635888872953,0.01152395999291289,0.025398125574335198,0.0019328258679139599,0.005420491120783865,0.017582047738845367,0.00785910191170867,0.05003017647573405,0.008218712462125818,0.0018880136150179016,0.00927790655007145,0.009393587083698626,0.008980686777426488,0.0056173634853795545,0.018474414113812555,0.022837661794384505,0.004176483433525277,0.009450160230878659,0.0032453913619650047,0.004654134294819729,0.002665264689223288,0.018281793748901785,0.006571905203475207,0.002084355600321648,0.019860512398046367,0.0352648675253253,0.03267518876044072,0.013295217376316367,0.0003707357493984753,0.02335898992396504,0.03250581804919406,0.03214425776406977,0.009732421805757946,0.011950092899738163,0.012352771834330289,0.009358184073822221,0.026943661341348006,0.013282594787684909,0.022639498038169403,0.02080773612398135,0.05361562784660669,0.006863521966265229,0.016001285846701952,0.027131760336067356,0.015352051812248534,0.012294844889776335,0.0003707357493984753,0.05361562784660669
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0221457506714028,0.014126205483539505,0.01790483053810918,0.006921879827791629,0.005799118936902551,0.008028669773278907,0.0008023135468625717,0.003795336987264945,0.015633261227547973,0.0015806575039315842,0.005635708726738236,0.012259865785116253,0.008644615608361925,0.03527697590412923,0.005163433385878003,0.006943226261314791,0.0024748669359290075,0.005771842781613874,0.0071243777371136395,0.023010182106539323,0.007170928346581273,0.0155067979630627,0.005408215115753247,0.0037483254828046806,0.002196072846230809,0.0049090521832647165,0.0037282865731507,0.02134166760662583,0.005100694834103233,0.00830606300851573,0.011346020572560117,0.046348167720574256,0.030829858392828022,0.006016976086830453,0.0021750566394685,0.009891042720354038,0.010874155993867459,0.03061274453935948,0.0018258530338530843,0.005573608119547215,0.00423418881560118,0.01290569408050171,0.01849278686514432,0.006966688319755244,0.011918358456359399,0.018268578116918063,0.028957130912633976,0.02204285396152633,0.007071942303090343,0.017893195872756534,0.011814082504259773,0.009762633461263761,0.0008023135468625717,0.046348167720574256
logRelF0-H1-H2_sma3nz_stddevNorm,0.049615641594074465,0.00989157375924856,0.010376824373487015,0.006496479070985614,0.002877297647901542,0.004373682855679724,0.0005404681153997048,0.001911050532875536,0.015576977012214862,0.0008241981039868719,0.005747619941034408,0.029219903332496012,0.004306640201999166,0.038986541649382846,0.004678076665317836,0.0024370775125900582,0.006334816534517276,0.00461159978657059,0.005308981904061195,0.009039311359347397,0.004982098850319796,0.018203527257441895,0.003477356882117389,0.0020120403987315245,0.006053324515683578,0.005100824818392413,0.001130807502557772,0.011574686996236557,0.002672548629802468,0.0028755799546060375,0.010742447731553298,0.04290595163398371,0.01905762264131782,0.008362254339772966,0.0008425560492091478,0.0059733497948323815,0.01525053622911451,0.010840749059866985,0.002364656483932032,0.0025391419743467938,0.003234498809367045,0.006455275611966701,0.012520387490030822,0.00472226902761764,0.010186107528423574,0.008170039012113352,0.02782912907230075,0.019446427647520522,0.012565814357877689,0.015810060298377265,0.0102211366510517,0.010696529300056073,0.0005404681153997048,0.049615641594074465
slopeV500-1500_sma3nz_stddevNorm,0.00946094924849017,0.009387988633721433,0.017307959159800844,0.009316665728672234,0.0033685580735937685,0.006675913872720617,0.0006922282734835484,0.0027655208904239204,0.005597679994010485,0.0016768853670969318,0.00743271700890997,0.01591932875312816,0.010279897710952753,0.017994691059392064,0.003057015028706932,0.0034919175734194987,0.0060591040215233595,0.0033541656148519494,0.007424033266091285,0.007115678734978215,0.0029552844532867257,0.011166296136106563,0.001740154033536548,0.0030830632931597482,0.00525060513187281,0.00323405045572535,0.0013458736034326403,0.01052652708663603,0.0030674270953905906,0.0029542553513622854,0.011354023852954016,0.02015506862743733,0.04349821351590245,0.01855831158923494,0.0006289660363829553,0.0064909031101351555,0.017393784690666995,0.017414436909534682,0.0022009107975874617,0.003349614178264811,0.002796362982782434,0.007214953398394329,0.016968469639456224,0.004725746915477182,0.02233291709597486,0.01360442654384784,0.018228607323688167,0.015332468411634308,0.007667778288651135,0.017657601014907282,0.009225519991547838,0.007826625587563724,0.0006289660363829553,0.04349821351590245
