,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.22297170168352665,0.2097485215127039,0.17821715650552813,0.12439547635752013,0.10850058661875091,0.1676977552334282,0.01742536384666137,0.09587663122369913,0.2419115918751106,0.07701679561565801,0.20106883557430003,0.15160012821316424,0.2297415082168767,0.19927143567202368,0.09000181816392937,0.22215550709920498,0.18592985032488243,0.17848567939351698,0.1784115069390879,0.18355335272767026,0.1623714663841922,0.24755329984024171,0.0733841653141506,0.056793946802961126,0.07086518508407512,0.1623682906705041,0.06915089409499343,0.1453189580076296,0.17473417912578473,0.10713834799946517,0.21463011459746362,0.2885530827347153,0.2705465489767054,0.09951356149101852,0.022833705748469223,0.203502433530537,0.274714175249212,0.28189182972559446,0.10964797242241967,0.15102661931606973,0.07477918258906,0.22338992954249343,0.2248057206407656,0.07391127104632088,0.3006636497874949,0.11416253816691113,0.23883444633762954,0.3106470882605184,0.12046034457672221,0.26928908503531207,0.16802926471793347,0.07530987012136027,0.01742536384666137,0.3106470882605184
mfcc1V_sma3nz_amean,0.09130440631367501,0.06953161326822775,0.11105132709684891,0.049724528631182846,0.057013882850182204,0.1175617064164864,0.006457247476744799,0.09668541771686269,0.09458384246689963,0.061850261669485734,0.0694205439512165,0.07201424291282131,0.03908639715575371,0.12718950663550105,0.05183314596885467,0.07653699689144941,0.062293755330846974,0.07519231334509008,0.052521274919904486,0.06975387208499724,0.03462343313115203,0.14739026464557778,0.03320397997616463,0.03922922169438501,0.041998886407770004,0.1038515932682976,0.030655280764349476,0.07545275520347373,0.08334187341677045,0.05894225749824141,0.12482175760191457,0.15082665738263482,0.11710446389797306,0.0489196525704925,0.016068574341077065,0.09102111224142823,0.1814774974182075,0.08051832322047332,0.06745038904854317,0.05629974289918301,0.037463300391250884,0.08710376917323989,0.09323900199606042,0.04096597552798106,0.08084414843827357,0.11479842553863376,0.09465395648952296,0.1390775547930143,0.07042874794248788,0.10824904902366726,0.07803255858090545,0.03619560303591661,0.006457247476744799,0.1814774974182075
slopeV0-500_sma3nz_stddevNorm,0.057803428836436715,0.020561993925375728,0.03882077085959401,0.024517030502459333,0.016986706407960312,0.02611658298668729,0.001543608183061754,0.00831022482503845,0.035943695572615196,0.0069816746547075,0.04030782861689923,0.06471234694540334,0.023110975072454527,0.09291549308349112,0.012825037625468575,0.01756539188803918,0.005732075101063014,0.014733330994786891,0.020264131289880645,0.04119395049011082,0.011612873534203958,0.05118917816772506,0.004100920403520034,0.006799667843347152,0.015373969484350816,0.012289429052513281,0.007206903953696373,0.02350223116853632,0.01905753408960791,0.01847795359042575,0.035471944276689545,0.07666363639803561,0.07672673798909746,0.02622680297843417,0.005739793158830152,0.03330120271024052,0.0437709822438386,0.056551190940107646,0.0040644527816924595,0.01701478573919266,0.010497856762078078,0.016330487187244398,0.041652646081803565,0.01699104935397244,0.05187070986572081,0.030187823481649487,0.10528511156265377,0.05898592728493702,0.09179757313002425,0.04602164795124208,0.0317141860205389,0.025169073278640076,0.001543608183061754,0.10528511156265377
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.03978973266165465,0.0237564656055115,0.027415451709076753,0.023632871096349813,0.005970184860337492,0.015250709253179258,0.0022630433513523324,0.009056392959442695,0.031074732099386198,0.006548512071753082,0.020751890346305216,0.03233245770061827,0.019494380871117052,0.08414590738622704,0.01065699903369688,0.011006748750165045,0.00463701425544614,0.00683375896050732,0.013077938044925567,0.024320035617058106,0.02624525272161124,0.03654077820578827,0.009067347663909826,0.0036661274146034613,0.010238864902082395,0.013886479018978062,0.00556577361825678,0.024794389718229615,0.02248278142808788,0.022091947809932864,0.013760298810591444,0.0848875913117794,0.06691627229232443,0.03350113496257088,0.004613478277164313,0.026756419256468784,0.039185769084117125,0.03960440328676053,0.006168157549597669,0.018172652706698076,0.011447017981027789,0.013617840009404086,0.039886998349894176,0.009216485147240383,0.026866082399576042,0.025628327437895268,0.06336468115682109,0.036132941533017535,0.013037822092343746,0.018348292819274522,0.02355415271200316,0.01873154160601402,0.0022630433513523324,0.0848875913117794
loudnessPeaksPerSec,0.03581681361931488,0.029440556760396103,0.017396003216511805,0.013000383109587664,0.014584259124894253,0.033260885496048685,0.0031443068044777985,0.006597250740039876,0.029634439902814943,0.005220301558320221,0.029722561680934827,0.01720492762730347,0.03463042500574773,0.030492507560369295,0.011920175394881485,0.009174004939946304,0.008395022471394599,0.005507375895814022,0.006045531330441536,0.0377535851888548,0.01155782403894015,0.03501499194010231,0.005672759771876225,0.0018753778202581014,0.016286801751450246,0.01860250966381982,0.003575322440927651,0.02634148816489194,0.025556909032364912,0.007502228913007248,0.020731379001542854,0.09452726785870315,0.04661830815548479,0.013612653718358549,0.0013581312899902057,0.022634296020286677,0.034561136086670205,0.040801968493322634,0.00881549378010401,0.013024846769590613,0.01168165585810358,0.020116744880277766,0.01923796940118739,0.01428805999674999,0.032141968542460264,0.03748607352936465,0.03949320049486446,0.047579628220632095,0.01211214969537493,0.041747855544314955,0.022069966366062333,0.016538718543659552,0.0013581312899902057,0.09452726785870315
MeanUnvoicedSegmentLength,0.02965219729842237,0.02822492333619337,0.053842733894757584,0.028634684761438184,0.01795803227385656,0.012051022274099914,0.0013637679883181163,0.02163275126352199,0.015706708629886944,0.01144052677541675,0.019167747152446086,0.013218091407375055,0.014426852557317805,0.03668745431891169,0.015659803419942026,0.013837046975577024,0.019240894193004555,0.0180854933068848,0.005532256361268301,0.021588407978527877,0.012534090968092734,0.05184582166031574,0.0047546579328466895,0.0024838518192141414,0.007730718343572418,0.017945027950691982,0.004037703201474732,0.025694763795443786,0.01729133636644906,0.006760119945092069,0.011089073213537798,0.04823584407297819,0.043073664596762526,0.023836732346788243,0.0036596526094120584,0.019057433846987815,0.047394645623334807,0.03044350085306939,0.008913830732271316,0.015227726337558773,0.0076388862341093215,0.012282531249786796,0.034137144692310974,0.014833850087109694,0.037761243100915824,0.03213367054064832,0.03233816184262924,0.03838705330185955,0.015404265219965334,0.029483851646641728,0.02108724500598076,0.013336677670415234,0.0013637679883181163,0.053842733894757584
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.028020861730170304,0.017555007888304757,0.035734645335748945,0.023471727036107993,0.011042983748172757,0.013318255141187193,0.0010726220803439707,0.003098842239422218,0.021640649076847412,0.0036796057068548983,0.008140236405929174,0.014950029676231226,0.020080483588398368,0.028305622075988256,0.0071923397343892975,0.018532019894385302,0.006382069020371128,0.005270876796140659,0.013186369327158174,0.02714066202114563,0.014759879126446692,0.05274596982544691,0.011046873310651604,0.0023919836662147733,0.007985668615941181,0.011465597803706335,0.00835941182948622,0.031371253281152714,0.01693296348564596,0.02258530252527444,0.02119327445161383,0.049355903175540145,0.05189632806219273,0.008517092797251461,0.004435025682590805,0.0195591055577349,0.025472679556166243,0.05002268102712136,0.004086029608860701,0.00961195992488186,0.006769205054435278,0.022000220883266277,0.0435938054556614,0.006331711414183082,0.01417433456940475,0.0376985443888042,0.04734168257035126,0.04638378963693884,0.013201684103425532,0.02574314674942007,0.019896980333262183,0.01455772911487131,0.0010726220803439707,0.05274596982544691
F1frequency_sma3nz_amean,0.023858042520722215,0.020546787164513115,0.0316107270877217,0.012700531830094718,0.007170499565660261,0.01968300315983519,0.0010950735899890513,0.01829697701858302,0.04706510464791832,0.005788344242746527,0.012673939954740312,0.012280227599971895,0.01149692969858972,0.035632781732616026,0.008450679766896636,0.008952584544051857,0.011101770135902939,0.012851677686799443,0.006384602490439992,0.009438621772832008,0.02468851794651802,0.026215233086240606,0.006246549030183623,0.012365109663814293,0.008155414398206972,0.020056352144484233,0.0037295648806188212,0.03438385868676907,0.014712004889545454,0.005067378223766473,0.019125385494746763,0.04004749205808702,0.054425903934380876,0.01713279394994607,0.0010405989770811588,0.023279787962302387,0.06548314064850273,0.024881952953921784,0.007143194550460033,0.008512740818933445,0.012092159325685123,0.020488562545030873,0.03204667285474145,0.010311717121942112,0.04593494753100183,0.033684979826470694,0.04521528516491762,0.017069321444841714,0.01394809969884583,0.02981257657314519,0.019887524051915142,0.014311293303281925,0.0010405989770811588,0.06548314064850273
F0semitoneFrom27.5Hz_sma3nz_amean,0.02007707525858502,0.0057400326486396255,0.01702526643262522,0.008293019753747462,0.01864851112480928,0.011231532793372743,0.0006218442112993583,0.005745994389040516,0.013793692707562543,0.006700004150136082,0.01215163131656672,0.004768604545227153,0.011949103869261847,0.03093918338739104,0.008676556141371123,0.01407638019807177,0.005693037323921991,0.020150208548694877,0.01321240396600994,0.02410326386009885,0.00695993096376064,0.029055651459268375,0.0036001835664845215,0.007664986634269831,0.010705305916828447,0.015464414366794911,0.004596544279462899,0.012727443803711347,0.015899933845715378,0.004880323731757532,0.02383036877317797,0.04762625450613884,0.04233212743486712,0.004525385651630973,0.002386792048896715,0.016478332952516488,0.030209042884963545,0.01881402507621032,0.002992819849759199,0.00819424448399756,0.009251825583710318,0.017011555450891197,0.008380885986579309,0.00653671134061201,0.0327318961619124,0.019026194949327502,0.03708743961301221,0.02526230939088018,0.012702813055593423,0.025488567779320816,0.015120433163369704,0.01061697839074407,0.0006218442112993583,0.04762625450613884
logRelF0-H1-H2_sma3nz_amean,0.02073836069265979,0.026022851509934986,0.012451874842615814,0.01634413244181221,0.004822490826359596,0.018480742312958216,0.0010895894821163878,0.009171275418964092,0.021482200406761593,0.004203751439805148,0.017783090778051902,0.005671565933651454,0.01663755561002683,0.016703429401633624,0.00905410292194577,0.003572398633880879,0.007093976023767053,0.009162146379555685,0.014705436171157972,0.020389556041996593,0.006567627664219291,0.028328889951872795,0.007755808184601807,0.0033854813646571574,0.009667115201531068,0.02082174702141374,0.006404881214612346,0.01875898094036696,0.008110497134671045,0.008390294046902712,0.016301602385416784,0.042988933375403535,0.030074204069639426,0.006789982367498445,0.0011925133101731123,0.014126074003114152,0.007297685992422545,0.027996257586511607,0.009464639067848174,0.00494640466131768,0.0029483143082253568,0.00793032350685656,0.02603955796981721,0.0037278598610406655,0.06344484546413577,0.01048796966510832,0.020169405064825032,0.02942202591725665,0.005820714694682238,0.01867223997044799,0.014472268064724916,0.011397493922280563,0.0010895894821163878,0.06344484546413577
