,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV0-500_sma3nz_stddevNorm,-0.009220457922482215,0.0,-0.014288441287708032,-0.0011042562791825671,-0.00371736611819789,6.660649757000655e-05,-0.003225122049399424,-0.000627734401285595,-0.0030771882197956667,-0.0005821903253844492,0.0007641121536572211,-0.00027485066019487515,-0.0011854974874770225,-0.00022812361151169862,-0.011284230098814707,-0.0011821184188559532,-3.083457412477147e-05,-0.0012464358095180183,-0.013933367201097469,-0.003205978289161075,-0.0012099394897694018,-0.01917994045809918,-0.00047795036364293097,-0.001931678084316984,0.00011450249205427826,-0.001586312088930009,-0.006944908139110315,-0.00843444335695727,-0.0007962178600583798,0.00018745299625280582,0.0004889667102802656,0.0015105600617836919,0.00023946490921473922,-0.0016633827024022576,-0.0005484061846086843,0.00010372465793630308,-0.0014020255697469101,-0.0184066612968947,-0.0010093381795715473,-3.162606626858424e-05,-0.0022892256233579718,-0.0023613371371922504,-0.0026720806440283886,-4.90182146098074e-05,-0.004299231364050767,-0.02694661643878652,0.0015817373877786269,-0.0013734261304460468,-0.003583179007344156,-0.0009458004563044351,-0.0034299961948832196,0.0058264810737001516,-0.02694661643878652,0.0058264810737001516
logRelF0-H1-H2_sma3nz_stddevNorm,-0.0014367902434762184,0.0003852212396418311,-0.04465178685541692,-0.0024246976987297455,-0.0009885828700313118,7.40126530939766e-05,-0.0022490647451176926,-0.006272302183196233,-0.0005678442788117674,-0.0004194368879928709,0.00023116180561508342,-0.006181408966759958,-0.0004751054746116151,-0.00025702934306274876,-0.010089408093140887,-0.007784372395027013,-0.0004272860601953094,-0.0004633179240252744,-0.006052328453286453,-0.002098922509330631,-0.04235777134246175,-0.0031231854800194735,-0.007354788154137341,-0.034483985636607935,0.002076504672408477,-0.0010219186208052294,-0.002274468217219087,-0.007787052763858832,-0.0045570255834559556,3.7771886617392244e-05,0.005467623049655669,0.001263195888817454,0.001556185519373981,-0.00146217758580443,-0.01258155425562891,0.0005873433834333773,-0.0006555396525016722,-0.001983313720942586,-0.00197970081907235,-4.2458158724431465e-05,-0.0009407241309781083,-0.003108515987161385,-0.00022158476011416436,-2.239480347004082e-05,-0.002235381768895331,-0.001186361079609515,0.0006696419152137149,-0.004658069249573823,-0.0004761439932673465,-0.013475677765626103,-0.00456961632996555,0.00980726137765713,-0.04465178685541692,0.00980726137765713
mfcc3V_sma3nz_stddevNorm,-0.01398258396261483,0.0001860722062357431,-0.03618073187008536,-0.009400959751166994,-0.0050395059641430776,0.001251274070577531,-0.040262633022141864,-0.00023222717162044078,-0.007956653399935116,-0.0039752528349245855,0.007383257036187173,-0.0016802952657316542,-0.0019927203315062256,-0.0005711208031643805,-0.02169446865132329,-0.004049178954904679,-1.5570195978727426e-05,-0.0018011654191820877,-0.004944587146606985,-0.003128877622367782,-0.032049988430194166,-0.006620744077065175,-0.003535783174099048,-0.005084170208438343,0.003119992915276988,-0.006420966698150084,-0.009410635464699887,-0.0032757237667714783,-0.004870509019054738,0.00022713049225954032,0.004491408885684592,0.0022500228213057057,0.0009754969823343788,-0.0005218889926333636,-0.008980353508066348,0.0005092390884797769,-0.0004942071268384146,-0.004049199483533703,-0.004726314860566893,-0.00019699087042123256,-0.005617555905016714,-0.005804399887824744,-0.00014139321529594927,-0.00011526329190067487,-0.004464636586536363,-0.00017523467595552132,0.0016085186768236856,-0.018320606375941236,-0.0043631501952034095,-0.0018727803096059304,-0.005320372306320927,0.009345414808982145,-0.040262633022141864,0.009345414808982145
mfcc4V_sma3nz_stddevNorm,-0.002797265942718963,9.708486890551126e-05,-0.06024673218919916,-0.008267217085327305,-0.0018661754306684459,0.0008444070957116838,-0.047554101682302875,-0.0006224733880770873,-0.011974940272276753,-0.0023336185125629855,0.0005768812190542078,-0.000701000270491105,-0.004441338770128898,-0.002935030756747716,-0.04456056766454055,-0.001293091150457305,-0.0007413206872533291,-0.004135990943786463,-0.008084454322822435,-0.012758299601894285,-0.0006208493970858373,-0.020205107050544954,-0.002042926485749784,-0.028066805944584654,0.0005399305681626853,-0.006707750784145208,-0.00282656665161125,-0.00493364173146079,-0.01650434524343882,0.0009072603812220402,0.0023375425766359714,0.004788245225144688,0.0002444644752166237,-0.0007956845705655967,-0.0069926232691426915,0.00025747047813351936,-0.023151687604387704,-0.004347305190999303,-0.002886948549099808,-0.00013816276011326792,-0.003253514440438949,-0.0003209838969412678,-0.000597130126918296,-0.0006520554982518901,-0.030587553857816925,-0.07107247857665949,0.0,-0.01114623630792553,-0.002122612546033948,-0.023614286741484473,-0.009366151780169384,0.016046262885471216,-0.07107247857665949,0.016046262885471216
slopeV500-1500_sma3nz_stddevNorm,-0.013175215101268989,0.0018298470661191062,-0.0045320175382595855,-0.003945462542105889,-0.007143182010915667,0.002551515243666609,-0.009872153819127592,-0.00018120039851067283,-0.012817251903287594,-0.005197951748512981,0.0032869084093035,-0.0003125907449481164,-0.006637777842377717,-0.007425254184282358,-0.05702827190071011,-0.0003013366980580773,-0.0013463130405134255,-0.0002278783321932094,-0.019756852681205042,-0.010450851547335495,-0.011284134996966674,-0.007896985522146249,-0.0014221211760810813,-0.02504161926069681,0.0010547644054645095,-0.004527093633637625,-0.024513877056425642,-0.03274835079416958,-0.026033659536505445,0.0004234152410436951,0.006125663603476686,0.005088495972932194,0.0022571438617733715,-0.022626136753873732,-0.0005995085438670495,0.0016016858936459743,-0.014939189910529888,-0.011680671470711088,-0.018369457244132244,-0.00024832709153733794,-0.03220528164285616,-0.01695075746095676,-0.00467683130213251,-0.0002749499340894677,-0.014788815887943924,-0.04222735646910568,0.00466106869835291,-0.042165972551954777,-0.0012627321317830805,-0.00045395185236802454,-0.009768176717246096,0.013619368637665845,-0.05702827190071011,0.013619368637665845
F1frequency_sma3nz_amean,-0.035513519384436254,0.0017139447153771974,-0.003350704342458769,-0.00020208388974875924,-0.01795492810809863,0.0019874907309970313,-0.053656562677116104,-0.009156633287108005,-0.010742299401147582,-0.004862953454516607,0.003304170882917539,0.0,-0.00082115058250361,-0.004453340725919796,-0.03011579602999326,-0.015958429610029322,-0.00042689210056027317,-0.01259718005501809,-0.00847973187241013,-0.0019189382082956414,-0.006441059365773447,-0.008910703286775018,-0.002781232166229176,-0.013864959716058703,6.492861360209485e-05,-0.035788646850423315,-0.01171392103351269,-0.015011212889115546,-0.016052231837651008,0.0008544147785110129,0.007671553840917346,0.009896218181167376,0.002200033403051472,-0.0005958623595612968,-0.021068347534639483,0.004757247423810956,-0.005562446777668266,-0.055988413377032524,-0.012455548994209168,-0.00019116384758994262,-0.05279514894432051,-0.008178983654375012,-0.00033873155765483127,-6.410396625821192e-05,-0.030117243991204596,-0.014380556833863373,0.03356054651349098,-0.003898356311382293,-0.0004869889035612625,-0.038377641583654795,-0.009985282008560647,0.016673705181826797,-0.055988413377032524,0.03356054651349098
loudnessPeaksPerSec,-0.009364436423813464,0.0013073915594641451,-0.03658100823592925,-0.06966243856042288,-0.01348319725754114,0.00015660743190334546,-0.004000614988009098,-0.00014571627199907861,-0.010166947789365114,-0.008361435469077758,0.0005285875653223152,-0.019764336170104906,-0.0037557085009151136,-0.0002770540917063582,-0.036391240222857106,-0.023853317181494478,-2.5143646501608134e-05,-0.02082472702947454,-0.02694948228211786,-0.025686065604922245,-0.00778408974313963,-0.042953903665342595,-0.0009819912344409141,-0.044143162803304305,0.0008527575815681952,-0.005773471553311031,-0.011302051388417542,-0.001177681234990956,-0.004868708520349407,0.0015883962632100013,0.0002819416091166653,0.0025306048083706028,0.0066554635000076,-0.029024914472694188,-0.016185554292047502,0.000519275082443732,-0.007133953109538075,-0.001721644028433003,-0.025955136385488287,-0.00036971535922351823,-0.003374443354285232,-0.0009835602133146505,-0.0038885959688125756,-0.00028501030521501226,-0.0014348365715619908,-0.020309609955016406,0.006039465487211381,-0.04999080425630256,-0.026143316667413916,-0.0035449628987034086,-0.011963269936379613,0.016257379874502743,-0.06966243856042288,0.016257379874502743
F0semitoneFrom27.5Hz_sma3nz_amean,-0.020489951268899104,0.0013679052736210871,-0.011040083848001148,-0.02985246754521552,-0.00031742799679867264,6.909823158948669e-05,-0.029467909672468304,-0.009609886489848637,-0.011702456508353287,-0.011216845387157276,0.02691197910525275,-0.016481532212563064,-0.0020483078793335757,-0.0012851249940231783,-0.09859114520541308,-0.0036959570495572044,-0.0008567217252128296,-0.0008381638872423448,-0.033665225970637216,-0.020808764328720416,-0.037327671672042824,-0.015516537794625054,-0.004900954774568033,-0.016335192999474193,0.002249197159373314,-0.008862010408631696,-0.0025205101602696137,-0.011526904691441632,-0.002875957788719548,0.0009679445975552472,0.011889611783706585,0.025908611186356855,0.005339747444231721,-0.007410383108039957,-0.0016289657083488123,0.0020736388098650037,-0.03468921515320626,-0.011072912227078424,-0.010005606872825448,-1.3496870512478143e-05,-0.04016120549597083,-0.013913041221928645,-0.0010674457878101485,-8.339291310760017e-05,-0.02544073024063113,-0.004836760409110738,0.006158257396816305,-0.004911415312677831,-0.0005674532470729803,-0.15026671623502338,-0.012499329241483875,0.027113416721185786,-0.15026671623502338,0.027113416721185786
logRelF0-H1-H2_sma3nz_amean,-0.02460425758476064,0.015028070183752245,-0.06593616895620927,-0.005192657719555184,-0.018642671165517804,0.007866922530396185,-0.051539504409122895,-0.004427094907066324,-0.021159451026819084,-0.0003308591134406728,0.001654512036531077,-0.007937437480686725,-0.0007741805508368689,-0.0017041907854998795,-0.13833281760690283,-0.017292164902653416,-0.00022374008166698637,-0.0020302881858679047,-0.14676903807933123,-0.018287694604253862,-0.013798447109470346,-0.02701148976459744,-0.006866739993800793,-0.0018267498395282515,0.00039558999064721667,-0.04904461429985544,-0.0060248746061468,-0.004356282081541836,-0.01438585188249745,0.0007847872005560829,0.007043814705923382,0.0019380510337387946,0.006701779706676606,-0.0008132429435293938,-0.000913493821338902,0.004686559367522542,-0.0008238418236581179,-0.0105518864675907,-0.008159494895511927,-0.0006742362336586584,-0.05804173801030967,-0.02365519218306524,-0.004268076303324044,-0.00021260758823660213,-0.017439830408067115,-0.016367103592942387,0.11177911827675896,-0.030985798672318193,-0.005383061596063246,-0.034918632096619225,-0.014076565966827206,0.03560247587325202,-0.14676903807933123,0.11177911827675896
F3bandwidth_sma3nz_stddevNorm,-0.02582794602396398,0.0052878030594246655,-0.08996458425562656,-0.01960077099880797,-0.02173487815303219,0.0011563686515873193,-0.05803799462936259,-0.002217745835852075,-0.007918492186144224,-0.0010853159476939159,0.0026874876260719787,-0.003687327563804306,-0.0030804985164306726,-0.0023006478891472305,-0.01114565623129098,-0.01504300392274579,-0.0007078128076447766,-0.00976980707043318,-0.01572726402225103,-0.044234222103202964,-0.0006203601385395143,-0.051623121208443666,-0.015883226090480658,-0.028374803712370864,0.0039129024545321205,-0.01573031733083614,-0.012749387241362152,-0.025919147206677075,-0.030975879066172957,0.0006899400209018639,0.011591554138078284,0.002757317282306075,0.00027892524729005954,-0.04406109329653492,-0.006267757751581436,0.0014367605750665073,-0.0029501144942776867,-0.026463333741037185,-0.014615457616731727,-0.00028441606660867925,-0.08262973976479403,-0.009296964122746656,-0.0003188493332144978,-2.395076112958715e-05,-0.00475390249902833,-0.025358970415658943,0.01403231391653038,-0.0014268158922435695,-0.012606942125957754,-0.009101115936221602,-0.014205765219965898,0.021226208765409576,-0.08996458425562656,0.021226208765409576
