,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
logRelF0-H1-H2_sma3nz_stddevNorm,-0.0008022045205677558,0.0014346815324094162,-0.048623184374543105,-0.002180238179724762,-0.0014731155348948453,0.0011507631510734027,-0.0027442256397027897,-0.003249556324541433,-0.0008815497352313746,-0.00019747980725931072,0.0001220228473926956,-0.0019410953070829837,-0.0034777041055199906,-0.00039209051593961004,-0.029020881374986096,-0.0014973303040662152,-0.0005402180457195519,-0.0011353117618482817,-0.0032082911383714964,-0.003041384158598547,-0.01967654923163401,-0.0034601332765577535,-0.008211782299084336,-0.0469296248386608,0.0025126483761451234,-0.0034066143561135437,-0.011030022532034885,-0.0030768239702243386,-0.002432467772797823,3.2205019633321174e-05,0.003380922523321844,0.009635351683198892,0.0017644460048108455,-0.0009175338585491123,-0.011703787175879726,0.002254426831620863,-5.344937445721581e-05,-0.0018359551813795655,-0.0007479795024129477,-0.0001559007671500945,-0.0021659108503734596,-0.0034384514377902645,-0.00018810081738602352,0.0,-0.002281919786921605,-0.004672405052946171,0.00042135095710768734,-0.010702524259060806,-0.0004389528876648878,-0.0026979380124665863,-0.0044384373828686,0.010521068733701283,-0.048623184374543105,0.010521068733701283
mfcc3V_sma3nz_stddevNorm,-0.011487669166927948,0.0006588037992036237,-0.025942209457597353,-0.00818665784328109,-0.0018875089540328607,0.0016013460440291337,-0.06245180945762632,-0.0002875053836871468,-0.016853009792463246,-0.007435359807601464,0.004038745963085084,-0.002267181426837065,-0.0027023677270748073,-0.0003314277856459142,-0.04516770011886936,-0.003926497182417205,-7.37023459168912e-05,-0.0023749514641166077,-0.006954997288677937,-0.004927179603368357,-0.01428244989003052,-0.007785675646951707,-0.0031276293813737926,-0.004520150520276278,0.00488337103955466,-0.012050938225709937,-0.013499623424743689,-0.00831308949170267,-0.0023678342846763668,0.00029070606134440195,0.0013525236294565873,0.005472305086867712,0.0003378260603670814,-0.0004247406999075206,-0.00550775718630052,0.0005467972448231386,-0.00040232734582743815,-0.006179472246829678,-0.004648877946681681,-0.00023129303068975682,-0.011968470530788202,-0.001857370873053929,-9.067929679710326e-05,-1.0553659580784708e-05,-0.003339593307932821,-0.0012530231416550295,0.002430724129829669,-0.027528687288997454,-0.005053795601633938,-0.006734431565385931,-0.006456461006702146,0.01186109048577584,-0.06245180945762632,0.01186109048577584
slopeV500-1500_sma3nz_stddevNorm,-0.019462699983421435,0.0023587916679181985,-0.003973871335108882,-0.006383441523107822,-0.004489811360514676,0.0024691717121074065,-0.004244596596771885,-0.0003651674693198118,-0.01519000039185107,-0.0026379831374540408,0.002008801869168191,-0.0007503227770783836,-0.009057394489944016,-0.001919522501346488,-0.02484316357301169,-0.00037778685869008715,-0.0010813204695095582,-0.0006143225240037669,-0.022234437181629308,-0.002216262036522382,-0.016242384398000836,-0.0050566082698878835,-0.0029567583547136646,-0.036675574229300484,0.002612793865993246,-0.0027408165928966815,-0.03699661411030777,-0.00661918030742043,-0.011553502280985735,0.0002670604166792779,0.005379945626753058,0.004584453928822336,0.004500985698632641,-0.010217977357685691,-0.0015771191078389315,0.0006411769019783744,-0.0020976796161546393,-0.00923631177810624,-0.011551521877992155,-0.00024901461081994084,-0.030104257754128342,-0.007577900993769734,-0.0020596189738945393,0.0,-0.010338737337741148,-0.01926271746429325,0.0025158264748600476,-0.02956284371597438,-0.0008233376222264382,-0.0007814628707469286,-0.0069357007134251665,0.0104481071410602,-0.03699661411030777,0.0104481071410602
slopeV0-500_sma3nz_stddevNorm,-0.015141158232096084,0.00061566599088532,-0.013183529204918457,-0.00195822524990851,-0.009361689002321972,0.00013830228732151595,-0.003304152069076166,-0.0006075269201304093,-0.011331376580586,-0.0002978545579069962,0.00022515230534495448,-0.001515716201801307,-0.001564740912373438,-0.001311127187220133,-0.014026020683547176,-0.011194086178402441,-0.00012116713850551974,-0.0016084546807197467,-0.031549994334918265,-0.0019876967037498862,-0.010066317320554572,-0.05770675812223372,-0.0004665552506794402,-0.0010349072898459034,0.00013513457201250214,-0.004948200371507653,-0.029713818917889608,-0.019544642295551466,-0.0009168458214472649,0.001052707343939639,0.00044870461025241633,0.0010376524277486718,0.00029350034422142917,-0.024233558752062158,-0.0010531595240065104,8.803427473842226e-05,-0.0004237559658597877,-0.07064827597251452,-0.001279466006660415,-0.00017371454551383137,-0.005324272060168419,-0.00352707638130949,-0.004132882200187966,-0.0003470221209256841,-0.0027142639405638557,-0.03632763859126116,0.007685014903669348,-0.0020968786466125395,-0.01176440517679239,-0.001532416812857115,-0.007966429577301076,0.014620597665469618,-0.07064827597251452,0.014620597665469618
mfcc2V_sma3nz_stddevNorm,-0.01083705499602111,0.002658291840467772,-0.01982794627404735,-0.01880440938052822,-0.013251977794589143,7.438376049601269e-05,-0.030814226343879605,-0.0035522059719482655,-0.0014236467815145256,-0.007822015259784713,0.0007406636969864676,-0.0024545431641942953,-0.004498673624172676,-0.0003685257346225857,-0.04590539007553349,-0.0018246592378137962,-1.9827101094513903e-05,-0.0008873946022246188,-0.01648275036890594,-0.0785423739394439,-0.047621450595907985,-0.016309231897678352,-0.009423086867592235,-0.013322134835141643,0.0023698460150685667,-0.005157521210600339,-0.010714593960780982,-0.0022437133077035996,-0.007329866917436453,0.001057049377156896,0.001124995259350426,0.0005936547271977756,0.01048163526720589,-0.004053635506625781,-0.02251279607496946,0.0016412551658557437,-0.0014880390551111687,-0.029140456142352722,-0.015623972011412619,-0.00015096893229310737,-0.002209681884259569,-0.007309177927906028,-0.0005264881354903786,-3.0419374287740522e-05,-0.010349276024938953,-0.003985572862899518,0.013901821605554551,-0.014423903636761758,-0.007233461528337779,-0.006217856017766852,-0.009201026572864673,0.015383120720419266,-0.0785423739394439,0.015383120720419266
mfcc4V_sma3nz_stddevNorm,-0.0014441165216809283,0.0006834974678530196,-0.044266816393420096,-0.01540224279634197,-0.007601850049407493,0.0012440007284145757,-0.031625081745095256,-0.001318161081543868,-0.025591978217161557,-0.004341678263757494,0.0036193452890492047,-0.0025082218469551546,-0.002833870923543981,-0.001324969541382284,-0.06163261222166754,-0.0035111961046303893,-0.0022120134671704352,-0.004523538874618861,-0.018609582673647578,-0.021356187213740843,-0.0012172015591881238,-0.05414201837224533,-0.004964931975710132,-0.04292644939580923,0.0005843064533906397,-0.0350804315806504,-0.004836449873081875,-0.004914258637904872,-0.04217491232957956,0.0014609187293579235,0.004650169953021198,0.015645757229369773,0.0006125793994680034,-0.0014761278594812713,-0.002589560684894447,0.00010069647859532715,-0.005237425354459168,-0.00683394090734585,-0.007202268621668551,-0.00016040519495621276,-0.0028979038718335132,-0.0005723000203373302,-0.002273139909148424,-0.0003072101856810747,-0.021509508072266474,-0.024530769206634898,0.00023051926739294857,-0.008782720078347097,-0.010650066119215576,-0.00792454622513234,-0.010289537459508497,0.016063339971614413,-0.06163261222166754,0.016063339971614413
loudnessPeaksPerSec,-0.0049334656211435885,0.0015494925727695644,-0.019086968906187562,-0.03910635431193175,-0.010240563244200829,5.822643874362884e-05,-0.003972387274908328,-0.0005300883856458219,-0.014663666562946955,-0.008776217899194211,0.0007784841652031452,-0.010252639477709906,-0.005804824647413818,-0.00025053474728846766,-0.039284804208631244,-0.010017270934419974,-2.751171865750287e-05,-0.021984001408034692,-0.023000133158848628,-0.0171230673036931,-0.007867961635364502,-0.04457835045916705,-0.0012196277007935185,-0.04038136395373579,0.001962153875297748,-0.0060321770927282805,-0.008730885840249425,-0.0010661685451351425,-0.0038502861562147747,0.0017855677979917565,0.00019954333225665106,0.003693220551982662,0.005864594572125826,-0.060682501922576515,-0.02799976410557381,0.0008739864890917541,-0.0041510131232610735,-0.004523710213657858,-0.022339898114514537,-0.0002580932713858241,-0.0035252778941636826,-0.00046014283756026466,-0.003656622051892432,-8.671223930229236e-05,-0.0020104373632144927,-0.017897724399403486,0.017061892300610074,-0.03889155206819371,-0.01801736701545922,-0.0070872623375799375,-0.010410844761118223,0.015099997836427622,-0.060682501922576515,0.017061892300610074
F0semitoneFrom27.5Hz_sma3nz_amean,-0.036445437662222406,0.0028415549125325457,-0.008192410557175862,-0.02346552075628463,-0.0005690028644708559,0.00011604580449586862,-0.025133050278980888,-0.005345676218198295,-0.019441960280890316,-0.015048518393983266,0.015823279753973143,-0.006144593329494389,-0.001870651636675549,-0.001899438823808386,-0.07921647708957705,-0.0043471904214478245,-0.001549143830665087,-0.0033825322167804132,-0.020682686760516548,-0.01682888836783308,-0.05501281104660311,-0.012112937710084775,-0.005393291658549037,-0.026612008322347502,0.00240551213390608,-0.010378175268627424,-0.002316514286324977,-0.01549317510066302,-0.0029514126513974738,0.0011402395277902294,0.007956370978507358,0.035593556625457795,0.01109118270340317,-0.004811884441516164,-0.0028587529436186563,0.0014797486336535545,-0.02617118204266303,-0.01074451377972649,-0.006229817544893961,-1.4552111535457596e-05,-0.04047257225578606,-0.006227649617946062,-0.0014359725110004182,0.0,-0.01869003455853945,-0.0034156087028590198,0.0015462211691212404,-0.002503947727335094,-0.0003869003180457097,-0.09275493464028937,-0.010731162329730322,0.0209918272096941,-0.09275493464028937,0.035593556625457795
logRelF0-H1-H2_sma3nz_amean,-0.015090896071414544,0.011810098578241003,-0.05022774682557926,-0.0041631622358560836,-0.01152958861527415,0.004778901400027929,-0.05413853586498027,-0.0024805380994314904,-0.03364483904429422,-0.0004645475358033058,0.001233932280467446,-0.003395837168431339,-0.0005050778257816477,-0.0009140945519728116,-0.07574055878747848,-0.006633996122925432,-0.0002587546863081478,-0.0015313031742568116,-0.07300034605814344,-0.015401087347059177,-0.024002544671822192,-0.0310113413902392,-0.005641599941823916,-0.0009635298568333795,0.0004563853147439779,-0.0438918454290156,-0.003485588612637891,-0.0040292962181161475,-0.012270401356358625,0.0011870984253530743,0.004979321869317506,0.0025169544040254104,0.007858138313287829,-0.0007247864509779503,-0.00012836631795644883,0.006425901110048508,-0.0010876323632834511,-0.02124465325636148,-0.009039984502274655,-0.000423929437329306,-0.05143987862584626,-0.006969941138811184,-0.0031446749834973826,-6.195380490808584e-05,-0.01006985995270356,-0.015860476311584146,0.038093032115263936,-0.011176874896507016,-0.004660603625923142,-0.027047112114331397,-0.011163160429267129,0.02097552600048314,-0.07574055878747848,0.038093032115263936
F1frequency_sma3nz_amean,-0.055834573403796973,0.002048121264021064,-0.008268844349984645,-0.0007979998263879687,-0.016781236437231683,0.004390341418346395,-0.06433034710786653,-0.008331658256974671,-0.012489115106708854,-0.006725287175521669,0.0020218114573637962,-0.0006863847664182011,-0.0007281244418802881,-0.0016480848179422185,-0.020332526122606356,-0.013574276858763714,-0.0005677623471650376,-0.018795836154235582,-0.004743281080299473,-0.0014306764148916142,-0.00790686880063843,-0.021223839601625744,-0.0013084422368994843,-0.023057622000445924,6.935408041034021e-05,-0.06581563943581817,-0.008474988459582259,-0.015116530264196246,-0.020655617324236635,0.0012806066046374496,0.006474804395273433,0.023258862490478854,0.00119986777505461,-0.00018751924254288866,-0.019393953332210168,0.004094598446535959,-0.006457887108236993,-0.04640634291862061,-0.021661541846037375,-0.00010939919152355467,-0.05088204726220418,-0.0101058332981947,-0.00010634582909094584,-7.86117996182041e-05,-0.01807040887348763,-0.019767839262917412,0.036078667270983106,-0.0031823631962918535,-0.0007381195853927041,-0.0431664560640159,-0.01118046392798797,0.01947646697680155,-0.06581563943581817,0.036078667270983106
