,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
logRelF0-H1-H2_sma3nz_stddevNorm,-0.0014831555321704695,0.0030521350626866494,-0.032215063331780355,-0.002693660043314053,-0.0008181775566071549,6.967772962846259e-05,-0.00442555926145806,-0.0017537454463464526,-0.000678585486896333,-0.0003699483007246894,0.00010699456794888677,-0.002730123906128404,-0.00017534638410053995,-0.00016858132666081903,-0.012987028406388752,-0.0023075101834886275,-0.00019565211174642295,-0.000398186785245838,-0.003729746930155059,-0.0011756852524206789,-0.004595376646065309,-0.0036418296492244863,-0.004954959436808935,-0.01100663140672946,0.0017652390969446067,-0.0006817559752974627,-0.0018561922921375375,-0.003622960840265816,-0.00338239090310774,2.5224198183251617e-05,0.0007236248012831319,0.0015194221872292816,0.0010323677155697508,-0.0006637733564167073,-0.008878027394145503,0.0002357706297314902,-0.00031733963696671015,-0.001066198747296653,-0.0015911703448756422,-1.0183703302510668e-05,-0.001705618398896009,-0.00234834680567595,-0.00014764002972900882,-1.0039234210995545e-05,-0.0033291137480069783,-0.00068771218215147,0.0006721137122466052,-0.010321906992312686,-0.0003416861194700744,-0.001923068883274403,-0.0025237421854109724,0.005269756641939543,-0.032215063331780355,0.005269756641939543
slopeV0-500_sma3nz_stddevNorm,-0.0071075957624583035,0.00037276511350557836,-0.010958580391887988,-0.0017390605652374516,-0.004997517911719616,5.483607557404435e-05,-0.004782403329217531,-0.00016556400568303124,-0.0038742570532170058,-0.000784579201920877,0.0001537027805211969,-0.0009118035561653235,-0.0006508841971367812,-0.0005666582591051531,-0.01597630203361257,-0.005846532191684785,-2.7199137091214006e-05,-0.0021871674061339145,-0.02889183219113438,-0.001206002892622163,-0.007850509047675399,-0.024051433758327346,-0.0011764122775224262,-0.0014669171390861145,0.0001672118570025458,-0.0020708122171459583,-0.006823758168974019,-0.022411232523856243,-0.0004037570780207357,0.00026171323029487665,0.0004667186436766318,0.002253512685816682,0.0004277295876018173,-0.0014643018775204303,-0.000663120624767693,6.903350693340632e-05,-0.0004157108829209371,-0.0288161417684176,-0.0018834386370978435,-7.374217047025557e-05,-0.004057504131482458,-0.0014631820609705872,-0.0018982592862402759,-3.792074372003049e-05,-0.0033532744507644976,-0.019785468451899,0.004406998501776295,-0.004452766749024346,-0.0030740993175823335,-0.0017341625201109327,-0.00442935287973845,0.00762117692890224,-0.02889183219113438,0.00762117692890224
mfcc3V_sma3nz_stddevNorm,-0.015676707466792818,0.0004423672111125759,-0.02207925514491328,-0.005594649898797864,-0.0023010612477753767,0.0016877793805441142,-0.047353389383521446,-0.0012147543208760466,-0.00644368145798606,-0.0034249105644751894,0.004845517988077136,-0.004563232797749787,-0.0013745428541340513,-0.0011344458930012272,-0.03068055835641178,-0.004585410865055602,-2.7840777024173578e-05,-0.002833128371142011,-0.0073383649385453656,-0.0039754451723426655,-0.03546082007622768,-0.00950777945071324,-0.0021585453196667206,-0.006462856383597089,0.002051754525736125,-0.005540681884118034,-0.004027857763059583,-0.00331867847746094,-0.003099110497299413,0.00015306237354736533,0.0015692952413561489,0.003421220814985921,0.000691720647322011,-0.000706082043919408,-0.008004208266294947,0.0003703045640676743,-0.0021501393017386147,-0.006032636276441776,-0.006337062869115569,-0.00011719532787509501,-0.004114058932330407,-0.003192623790346396,-6.17549469126974e-05,-0.00011879600067038652,-0.006196657400951209,-0.0009825361641705472,0.003350923288993917,-0.012027872480435993,-0.0032699192260545198,-0.012978040802864054,-0.005557666943141321,0.009634511030511514,-0.047353389383521446,0.009634511030511514
slopeV500-1500_sma3nz_stddevNorm,-0.01401038737678274,0.0044915714824694565,-0.005136006556068731,-0.003218030731122289,-0.004773737807670358,0.0026256562058737257,-0.004495318186019225,-0.0001889943701271325,-0.00843970683175757,-0.0026538759088112376,0.0016728624242058978,-0.00046831876182543,-0.00286492991697493,-0.0020546849209837664,-0.022776378528962242,-0.000334180186411551,-0.0009069338995041618,-0.0004204072055912832,-0.014809484884074452,-0.002432619640907973,-0.027711674931675236,-0.00808289015363218,-0.0012856799452485373,-0.022631850880991063,0.001157295083179786,-0.0019052205293559855,-0.01321899703811617,-0.0044362934904050326,-0.01235389329016027,0.00020007042880528314,0.002822247628994619,0.005025934506334089,0.001097210455430773,-0.01090098095363834,-0.0008724846797415762,0.0005735456316809995,-0.003384008152858662,-0.01605074582865726,-0.009239615580054721,-0.0002653541379842965,-0.02969000580818405,-0.006609469172551923,-0.0017219646443368205,-2.8340334725457905e-05,-0.007098218268669822,-0.012197081208219579,0.0043620069447215075,-0.025508316316162447,-0.0007462583419603173,-0.001098275491024456,-0.005659864282005062,0.008422663945714426,-0.02969000580818405,0.008422663945714426
mfcc4V_sma3nz_stddevNorm,-0.0017380764458343068,0.00045091989826864413,-0.03306493586582445,-0.013566679126985733,-0.004713372605714481,0.0006349647137816464,-0.041607752871814035,-0.00047010836270179596,-0.008151196723172726,-0.0018344713810278237,0.00027556577006073693,-0.0018063595989180321,-0.001757561861233706,-0.002138011198294418,-0.04975856726629531,-0.001790362212857592,-0.0005643664248745393,-0.0033034124740473677,-0.018029267403088377,-0.006356192599242291,-0.0018808564129465398,-0.021422681158278195,-0.0020190539398089458,-0.015354375922671519,0.0006504697210677726,-0.003952800408249507,-0.0017557579034032421,-0.006371596682384023,-0.011157015258678108,0.0006729505671432734,0.0024669922120672256,0.0017346751983314344,0.0002290573178886874,-0.001283185880061924,-0.008282808617848287,0.00036489916483753887,-0.004466390190719599,-0.00489521490039449,-0.005937357994023642,-7.368214510774795e-05,-0.002615617686566172,-0.00035750779968658113,-0.000507777198884918,-0.00030108147541486993,-0.027440277487045753,-0.026225516169554264,0.0005735031987880446,-0.003786489183252331,-0.002783133407925252,-0.014371601379934741,-0.006996769517250653,0.011176914920518682,-0.04975856726629531,0.011176914920518682
mfcc2V_sma3nz_stddevNorm,-0.01494533031839133,0.0057730922458916435,-0.005422623230393144,-0.03280172476974943,-0.007967063546496768,0.00010978238213334093,-0.05439734305296868,-0.002410657065824441,-0.002961995710272185,-0.0010955596306105354,0.0001455631607959055,-0.006026633191733703,-0.0016130499121659108,-0.00012291118659334973,-0.032105126540280304,-0.00444002987077333,-2.478588087632742e-05,-0.0004474001450757791,-0.006658690543542639,-0.040278265072878294,-0.05596379511584198,-0.007498855568320516,-0.00275470200579037,-0.00336722873734999,0.0004766364549546,-0.003298179353645188,-0.010861387917915525,-0.004917214774509629,-0.00848204247896815,0.0003439406808224745,0.0007627679329793524,0.00034924903718735453,0.003761939542381625,-0.005955772202318996,-0.013963637953971278,0.0011449791820982158,-0.0007855759305255667,-0.008275754898461366,-0.009439814607493097,-0.0001563009501168372,-0.007635816888922404,-0.0033661699883092487,-0.00024492942273900234,-0.00035081491474521547,-0.012047379273573057,-0.003777921935177652,0.011886794115914562,-0.006844723102034104,-0.005949339723781889,-0.020296301807372196,-0.007703962089707005,0.013335010889417746,-0.05596379511584198,0.013335010889417746
logRelF0-H1-H2_sma3nz_amean,-0.019810165889584237,0.011933951856178205,-0.03525431215048888,-0.002565697417209204,-0.010151354552567854,0.004859041431165235,-0.037595535560329386,-0.003734678310894636,-0.016604733078285316,-0.00023979931504962713,0.0011413280324233434,-0.004372479063686624,-0.0004063329814146519,-0.0007823095649695269,-0.0626432623891744,-0.00897707292267244,-0.00015966633102419692,-0.0010604902178994683,-0.0703109395822427,-0.008132275145327817,-0.04040165703403008,-0.026621329720226097,-0.006808129051428928,-0.0012410693155291315,0.0005140192478965775,-0.027146339434663887,-0.003032796161229126,-0.004484382815983009,-0.006985026641821204,0.0005583803036954279,0.0055713020034188435,0.0013185699492368381,0.005007084259443201,-0.00042764015137786404,-0.00034040721780197506,0.003334429845702452,-0.0010041329821477525,-0.010107107155053967,-0.006920444024030693,-0.0005773620988914037,-0.0480155033984963,-0.008741087824474135,-0.002734564604976179,-9.27328396960854e-05,-0.007872847570098047,-0.013392533411264033,0.03345047546503306,-0.010846748006737269,-0.0030856014870471508,-0.0254909849650134,-0.00942965899981291,0.017975997392784337,-0.0703109395822427,0.03345047546503306
F1frequency_sma3nz_amean,-0.04026781793627416,0.002120447470663658,-0.008375338360417761,-0.0009375273320042125,-0.021215042670107723,0.0019270967661671734,-0.04645598938892463,-0.007640455246718025,-0.008711876098638813,-0.0032345406582037586,0.003222373725918781,-0.0002932830415497186,-0.0007899582903356597,-0.0022931670742148995,-0.021635996651502943,-0.015974207369475617,-0.000488335655278099,-0.014036515984170958,-0.005789403012664061,-0.0011208849055303854,-0.010169371301499456,-0.011985907978442387,-0.0015217286359944578,-0.016355807221153137,8.725393123967837e-05,-0.0393013704200848,-0.007122513376275129,-0.011221502457662291,-0.00783414401251712,0.0007510708846048147,0.00539298415009166,0.009211565154330663,0.001810421197874673,-0.0005689062100668051,-0.013360835457710395,0.0027105097912005945,-0.0035428571124977997,-0.041737844555097214,-0.01738314418555552,-0.00012750744085570867,-0.057053874652879706,-0.011416198282549585,-8.609331567896091e-05,-5.189855612651685e-05,-0.030411419967096412,-0.021562834895093353,0.035084142140617045,-0.002579833921358125,-0.0003723338037909439,-0.04931654919756437,-0.009840539028417057,0.016546280999740627,-0.057053874652879706,0.035084142140617045
F0semitoneFrom27.5Hz_sma3nz_amean,-0.027010272190830836,0.0023124727841567056,-0.008328452519853648,-0.019897707375958962,-0.0003763878433801124,5.622752556059736e-05,-0.019793816852036846,-0.006526026211609631,-0.012712619456887448,-0.006306866681814477,0.013614447717287457,-0.009569929480222561,-0.000953344898570959,-0.0021009478815238194,-0.07300511217605024,-0.005999423050069284,-0.0008259274649950713,-0.002464190179178126,-0.01966832548179995,-0.009900800155788939,-0.08389680355827882,-0.009426170818091061,-0.004731863063829586,-0.016242069335248806,0.0014831635665436909,-0.00659767862618794,-0.0013593384013252448,-0.012378765082723621,-0.0014716156779817293,0.000883386516900437,0.006466757073227492,0.012764548273247212,0.005885179807512987,-0.004522968347849568,-0.0012743437290922172,0.0008099903822654556,-0.026913040494341404,-0.007866570916257204,-0.006522690603298406,-1.2910022414288414e-05,-0.045288536458630305,-0.00545419263261654,-0.0007151743772288815,-5.388006373667547e-05,-0.018925133004046683,-0.0035986478137046045,0.002965275770760123,-0.0027658382988443313,-0.000500722875847252,-0.10616514585724664,-0.01089765601083861,0.022129743913914958,-0.10616514585724664,0.022129743913914958
F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.002341284414011102,0.0035452171528540743,-0.05201817687258382,-0.011133129532908995,-0.008335034142981137,0.0017763426184879965,-0.06753683575540814,-0.010027885079381675,-0.0047610653128240255,-0.005784238470446487,0.0011127555154060104,-0.0029755706616758537,-0.001956116813003822,-0.0031175792219195536,-0.0115394050957349,-0.004636702005678952,-4.8917215688146786e-05,-0.013728828260265977,-0.04120613919943213,-0.010624143955378414,-0.09091391346316074,-0.008128037624233241,-0.008851753668213716,-0.024556206154432453,0.00033754956159021214,-0.003246867909033496,-0.007689650199655269,-0.01037550529134625,-0.0005781235018359156,0.0008719369891346581,0.0034297608330959117,0.008353902907347648,0.0002089283983514745,-0.00606094695695567,-0.0031400042602785262,0.001485054318896895,-0.001502565857005984,-0.002163505987067709,-0.02131612821443011,-0.0005345740853600789,-0.022465245511702307,-0.0003742367669852577,-0.0019710839663072102,-0.00023329427275029874,-0.009828709688321145,-0.00188251704914596,0.00017609543574205211,-0.0699119436407171,-0.024973323432524265,-0.018869271826228152,-0.011400818352122137,0.019787229428626443,-0.09091391346316074,0.019787229428626443
