,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV0-500_sma3nz_stddevNorm,-0.007193087112493447,0.00037745990084797924,-0.005578131316138051,-0.001683055969582382,-0.002863933030074915,9.734917692996255e-05,-0.001959326491268576,-0.0005169998218252095,-0.0035734865674691314,-0.0003421108258667709,0.00013816336329583567,-0.0004860842954900149,-0.0004430133630184972,-0.00017191598976499186,-0.014071689407756237,-0.003545684730148278,-1.7086493141837867e-05,-0.0010344512309979645,-0.0145964039573239,-0.0019865033468864325,-0.0036507160533622725,-0.01751365563723271,-0.0004391518153383015,-0.0009506334014032722,0.000157029128355414,-0.001707236175362381,-0.009587764069364764,-0.006984605150620562,-0.0006087813493543125,0.0002253808680101555,0.000406891090379112,0.0007683160139439384,0.0003281192583014136,-0.0014062764695633868,-0.0005849696666058718,5.869830003056148e-05,-0.0003564223704816651,-0.028401184044682493,-0.0017509141344902487,-5.1895919053509725e-05,-0.0029292343656164687,-0.0015390930415479574,-0.0011553341709815426,-2.1389774487175782e-05,-0.0037138196996847534,-0.015952422648081385,0.002404764094105404,-0.0011905354528724008,-0.0008982646819581265,-0.000986071443386369,-0.0031496232858115756,0.005677914018602064,-0.028401184044682493,0.005677914018602064
logRelF0-H1-H2_sma3nz_stddevNorm,-0.0012321493022791768,0.0011210446956507034,-0.04951405465834152,-0.003540704491068873,-0.0006667267027316905,0.00016134124042216022,-0.004357986123773078,-0.004357660166820169,-0.0003904929651703531,-0.00040816568414933207,7.19228878130334e-05,-0.0026377724903216553,-0.00016806101631014838,-0.00019986555613616552,-0.021993857063433646,-0.0019530993668371343,-0.00016528917023322823,-0.0005782082811873527,-0.002990808923763099,-0.0037754264685814984,-0.009206137371243116,-0.0025875603536565698,-0.004793087254139708,-0.023496386103286845,0.002450142006708043,-0.0014752850150208479,-0.005443895418118007,-0.0029646457835629954,-0.009243364204607444,4.768465114037456e-05,0.0010566805371486677,0.0007008981594602533,0.0015825357982048088,-0.0006738293275481239,-0.005509790605575569,0.0004248641351174214,-0.00033299406673109735,-0.0010600413112369293,-0.0013788428999897367,-2.0429584611357025e-05,-0.0023000235911622125,-0.0050359730263232925,-0.00015924187508073654,-2.602006694034061e-05,-0.004110539905769543,-0.0007961137566207272,0.0009313437689383369,-0.011317343976685676,-0.00014495413696998525,-0.0037119745842392913,-0.00372340689539309,0.008195631656890228,-0.04951405465834152,0.008195631656890228
mfcc3V_sma3nz_stddevNorm,-0.009662293328836995,0.00040933005399788544,-0.021577374750826342,-0.0033847715404906626,-0.0017231451025437325,0.0017066605579361775,-0.05626500100244285,-0.00033680122606259216,-0.007502649781564225,-0.003033214128163079,0.002473427274592538,-0.002216688139884951,-0.0023011645137250947,-0.00039721871261194186,-0.028122796364417724,-0.0023106635296794124,-2.2445502693317985e-05,-0.0023788781148153964,-0.004566168953358837,-0.0074547116088855316,-0.010285782088945176,-0.008738398694707817,-0.0024693452109917306,-0.003011827927563902,0.0016612383023250053,-0.006536878401901636,-0.00546057744747855,-0.0023988437275008026,-0.0035898300584191775,0.00019227046209538184,0.0011425897902360947,0.003247170846947599,0.0006176097564867357,-0.0015176695770235085,-0.007102138374588979,0.00035296663435594155,-0.0005645577307109199,-0.0037472196166679927,-0.005702444682692833,-0.0001651899864809317,-0.0072681355109798845,-0.0022694351876324905,-0.00011973216202388079,-7.647506591058785e-05,-0.0025282463916748775,-0.0010529576784530958,0.0024782649848177846,-0.0166953466258539,-0.004397742499237899,-0.0051744952741065746,-0.004796954551175174,0.009329382010758804,-0.05626500100244285,0.009329382010758804
mfcc2V_sma3nz_stddevNorm,-0.007963355726975346,0.0019234600771573078,-0.014930967096213346,-0.011919758959029808,-0.004834526103066744,6.503116419013483e-05,-0.022109849154005067,-0.0023892560122266674,-0.0015084278684383298,-0.0019722568810035973,0.00015078187526214174,-0.0010798051713123075,-0.004917574120180148,-0.00023138111306121988,-0.03254708785314456,-0.003195289350393686,-8.002140306799466e-06,-0.0007069480013806406,-0.01229497095786188,-0.0460260063892463,-0.02748621751546818,-0.019032211418306688,-0.0022098269638273793,-0.003354593479897404,0.0011854081314426764,-0.0035110535444572537,-0.0047231315243034715,-0.0008627785915591488,-0.008323856047375714,0.00040362630926707677,0.00041516596531946586,0.00037036109892101237,0.0022374405171739827,-0.008710489977768111,-0.010744953555661796,0.0011886566613427641,-0.0013959686617612042,-0.011096757441660651,-0.01260617555327566,-8.261744907191062e-05,-0.0015910047700808609,-0.0018563196751870653,-0.0006748328272567843,-0.000328547177200683,-0.01317242122324942,-0.004735156236206312,0.007583314497230297,-0.010807396919928509,-0.008414336491298458,-0.0018900612532470455,-0.006214458497971786,0.009553601568815798,-0.0460260063892463,0.009553601568815798
slopeV500-1500_sma3nz_stddevNorm,-0.014885430286058316,0.003097044546664917,-0.005953355537320345,-0.004391057356632334,-0.004977829921327109,0.002580354555481832,-0.010521361581876987,-0.00023417789012167644,-0.015737606130056786,-0.003690719984883364,0.0016029606072315507,-0.0010223827794814478,-0.0033933412774400013,-0.002051969666997356,-0.026534938520356332,-0.0008075642726213154,-0.0010323075222739007,-0.0007518413609626524,-0.014413559440315832,-0.005684667477968851,-0.015480608520558816,-0.012026461513581874,-0.0014321235574653534,-0.025489358486710394,0.002226170710840528,-0.0059231754781537615,-0.016222827190593814,-0.012304779836861665,-0.02057017135024954,0.0003350273421517386,0.0030466812425839758,0.005874079812212614,0.0014578748499293475,-0.012269600526811687,-0.0009340009921203741,0.0009100981589027687,-0.0018035758108668298,-0.015731615926924767,-0.011880876074962158,-0.00020896928925066247,-0.024024785628014307,-0.007815081710179144,-0.0033467202989058255,-4.1375552395718776e-05,-0.010264467996575365,-0.020612027773371212,0.0056786612963982,-0.03893953890490639,-0.0007026839804258972,-0.0009932441591357982,-0.00696586456886637,0.009447444169293238,-0.03893953890490639,0.009447444169293238
mfcc4V_sma3nz_stddevNorm,-0.0024478384601209833,0.0004260682525186827,-0.05724253500523162,-0.009823201503248589,-0.005379026196504436,0.00032210018145950765,-0.04319964923257714,-0.0016835273919013028,-0.012532321431444709,-0.0015295261302614629,0.0008383713882762823,-0.002016542631168265,-0.0003176067005340847,-0.001675664469892097,-0.047266084207957665,-0.0020835860911449446,-0.0005851274123256337,-0.004616607224982326,-0.0069288502149995055,-0.012944504277902858,-0.0018697924379404323,-0.01883281475638332,-0.0012298370641593958,-0.019485734454410028,0.0006619182187011455,-0.005704141405992532,-0.002745508324199978,-0.0035897405566787926,-0.013286970422175682,0.0008039332420718639,0.001441189173602778,0.001198689996089847,0.000557425397317004,-0.0013401785884657497,-0.0030029815461541506,0.0005632346610509345,-0.0036073509288529673,-0.006701118735025946,-0.007536096967631045,-6.940673158081018e-05,-0.006550547397461497,-0.000293065189388486,-0.0007725838863690167,-0.00013676098867597923,-0.006793356133623674,-0.022582275236646358,0.0005742504720469305,-0.008290057585556518,-0.0030139800803166686,-0.01186304957929618,-0.007083647331920958,0.01210744340947867,-0.05724253500523162,0.01210744340947867
F1frequency_sma3nz_amean,-0.028813332671932514,0.002329339383844686,-0.007115024392307399,-0.0008656581756623874,-0.016050072426992325,0.0033051114751414695,-0.04831201648745826,-0.006029651970825103,-0.011639055328711954,-0.0061463039989139755,0.0027569165838241946,-0.00040271624257167516,-0.0004576548503582265,-0.002209269588609643,-0.02542700194547309,-0.010302656783516008,-0.00039349235981718517,-0.021376140676584884,-0.008756348145496433,-0.001892481720244501,-0.0032570831969911847,-0.01036951767422406,-0.0010704422880883691,-0.01884105175975185,0.00012043883066626604,-0.04354484714390138,-0.006363402742485382,-0.018117647194644437,-0.014681702587971569,0.0009866605415494371,0.005138045837018029,0.011414622069332463,0.0021784253797754796,-0.0007427942802720255,-0.020978579235507923,0.0020932507120162216,-0.004126239550433718,-0.02852902860115772,-0.014194972818333712,-0.00021646308452393371,-0.049036787121848016,-0.01018542056008839,-0.00012124948280812607,-7.659049611322969e-05,-0.0334273884529477,-0.02120453736230007,0.026331700277743925,-0.0038478065515177807,-0.00017869318800284214,-0.03615806496854253,-0.009576093540340386,0.014901432304562028,-0.049036787121848016,0.026331700277743925
F0semitoneFrom27.5Hz_sma3nz_amean,-0.03520135306905695,0.0022750972137092268,-0.007932201740755238,-0.017386920724696893,-0.000599920125169756,8.528393156368711e-05,-0.02811891220333096,-0.006452151279447956,-0.014313301083882062,-0.011244971299352497,0.014853861933894374,-0.006501637885890044,-0.001488518363096401,-0.0025465576233002557,-0.07150425979651583,-0.004122131629873621,-0.0006999611659731881,-0.0032151677745551107,-0.027652486043352836,-0.022487515675887127,-0.027808632285516596,-0.015231446421973046,-0.005519231001106491,-0.02075600716522439,0.0023206081032671874,-0.006889198706505882,-0.0027178139368610804,-0.015561812690655347,-0.004823200128759647,0.0010002679347428107,0.008131242731970106,0.017995660414124395,0.006290061698173386,-0.008384688994342372,-0.0014060399310396625,0.0012474764509359502,-0.02695256347999779,-0.013671380197610798,-0.009745380744984005,-1.610847721316014e-05,-0.034069361923003263,-0.004854153077494659,-0.0008955936265255411,-0.0001168714083151925,-0.021238122368743322,-0.0036847374892479095,0.0026216548972017853,-0.004086073532167452,-0.00022268146361776006,-0.06629935449197462,-0.009991944114348674,0.0166361731000673,-0.07150425979651583,0.017995660414124395
loudnessPeaksPerSec,-0.007057833158120996,0.0011617413863260963,-0.022742616897825252,-0.03257217596664554,-0.007349728529352821,0.00012921809030355815,-0.0019823569579677457,-0.00027579681924882126,-0.00831804679261844,-0.008814827184207868,0.00045512002774043353,-0.007540327572820034,-0.004605172760837451,-0.0002071528869590637,-0.036268983318596903,-0.007064578559513286,-8.685065656077174e-06,-0.016929921340877438,-0.029645636248113255,-0.012640105903354654,-0.004710032407358275,-0.038850949153029495,-0.0010954410161185106,-0.05961413768157446,0.002282707601466922,-0.00459321428633102,-0.012559611371472932,-0.001681748799815602,-0.005634503210777274,0.0010219021403133236,9.718525374922752e-05,0.0028738641095629584,0.006397933262694624,-0.04341832261254934,-0.019135833221378327,0.00046310412519223623,-0.00408958955214693,-0.0006340126273977285,-0.02133038461140936,-0.0003783934514846715,-0.0060875149743396546,-0.0004922509881652478,-0.004000428181923348,-0.0005875742070758807,-0.000550381436596859,-0.01375475698651642,0.008798405048893936,-0.058707189397531695,-0.018500521724423572,-0.003349603749195811,-0.010081983211301694,0.01531061724060946,-0.05961413768157446,0.01531061724060946
F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.005159427966834115,0.0020971469466364292,-0.03270201918996994,-0.0044577036820911435,-0.005141095898378773,0.0024244804706784052,-0.10649913881487588,-0.005741285642166035,-0.009789149469930359,-0.006492183234049798,0.0011323916104293626,-0.0020506078728387495,-0.0035961512433631488,-0.002394478240440954,-0.011323512451058499,-0.0029572436305724294,-2.3455807916315044e-05,-0.014297968753540037,-0.04324909021688904,-0.011846269888251297,-0.06587282141888394,-0.009797183063363173,-0.006498310819007911,-0.024431398154389813,0.0004131649076622993,-0.003320815594937797,-0.00853161016670342,-0.006998316461940098,-0.0007945663060735993,0.0009314566429520419,0.0030090985793586223,0.022135488338916456,0.0003419795631307759,-0.004753638889202072,-0.0020185320884818386,0.0008917348168134955,-0.0011547761576503905,-0.0005272869790935052,-0.031064839009780403,-0.0004783390027264853,-0.023752580805294358,-0.0007264819496556255,-0.0028031935122193774,-0.00019820578326433028,-0.005522754027778496,-0.0019277404784198476,0.0006834899734232869,-0.07724476275346176,-0.01389954823798547,-0.00773112675327783,-0.010674183571335136,0.021388960113589622,-0.10649913881487588,0.022135488338916456
