,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.02025345916490686,0.41132883975192813,0.5570202644277613,0.19215794408499087,0.48882438186870697,0.02787047187684417,0.012935639498517766,0.013068323778111304,0.17710962488383294,0.12922377545882033,0.24829066521910853,0.03273816592885114,0.06843459789893473,0.16128993984370055,0.1729196290624114,0.2085895424869566,0.2186009458260198,0.21289242854365953,0.1142833943921398,0.25706154935924974,0.2813658203896603,0.07843692497615026,0.17678829510447955,0.09892294151972592,0.22996336507272422,0.1537148285327915,0.0452102738090539,0.365971566180218,0.17049484014384178,0.330675713617262,0.23182385312260725,0.11661281100808579,0.2738026329024148,0.15409293559882453,0.1580210743342766,0.1382250218168201,0.03745534319613413,0.15751240346534717,0.10392442381657947,0.0744571509093443,0.03100510783205563,0.08516952088269121,0.03878207093318658,0.11332006441377632,0.13817625035376277,0.13045875103436563,0.3434251577705532,0.049468297595866684,0.24330483982763282,0.16172813446663642,0.1687440799596464,0.11955297176686414,0.012935639498517766,0.5570202644277613
F1amplitudeLogRelF0_sma3nz_amean,0.013171059132834617,0.2289408418793944,0.07638136207929638,0.08462454498973128,0.0898287901571521,0.0322721703271189,0.005655628599314795,0.007161082102964861,0.061007193494568866,0.04998075933478369,0.0674404796041518,0.015566618133726213,0.10567364262768118,0.0515959831265858,0.10508111576446934,0.06037859414950577,0.06625314436259204,0.08160364726850934,0.03174622899201131,0.1027395084844959,0.06478700303281884,0.04506847178540204,0.047588958651345825,0.026968242140236236,0.032046542398819204,0.048706011707964875,0.09763105527973258,0.12440036758485563,0.037638049997593556,0.11178854010224219,0.09302250503232777,0.04267975450346865,0.22099188257036964,0.05286317741531573,0.061225241664145676,0.04436755292269786,0.07279962787222742,0.04882443904240968,0.031580716827195834,0.025369404313684323,0.011808785960146199,0.04856097836200452,0.018864100299581844,0.045745302276152984,0.10376163376610299,0.0673679485290926,0.06551798384271029,0.02128037518054223,0.09356053897743132,0.06204281825505019,0.06411920809809116,0.044190528029339315,0.005655628599314795,0.2289408418793944
loudness_sma3_stddevNorm,0.006111053474684875,0.07302482290822578,0.10705539267562562,0.0653285538312473,0.09995070762910492,0.03897767215134321,0.0041045230658045,0.0044970383516624085,0.02347099050187212,0.06974205254207795,0.07198958114868924,0.014690504001800674,0.0772050130280098,0.039242210809159565,0.06692742480978825,0.058003948180973784,0.045469983605569954,0.11978370262612445,0.023562489288747736,0.09192574761845793,0.04932774985662408,0.014854136726098957,0.020897487861246237,0.010486347775703017,0.028384462262460792,0.05165265298847629,0.06051956049419837,0.10237291945384966,0.02796843247926512,0.06869251917147715,0.06900328397462487,0.04420536576160662,0.13137375106678328,0.03183504547108703,0.06512849836494078,0.019086229181905164,0.014787982228864995,0.01715380300120547,0.007530473244185182,0.0313247895663107,0.004273978715134349,0.027664243613591384,0.008468887950073863,0.05487036612142179,0.09429957059046085,0.04154331051749909,0.04258458044172891,0.015534283842459399,0.10977861892615177,0.06937723783535232,0.04872087963467514,0.033586935911993764,0.0041045230658045,0.13137375106678328
shimmerLocaldB_sma3nz_stddevNorm,0.01211772988064859,0.036572227703845245,0.11494904864135494,0.06202720154091125,0.13805615963083362,0.026091867877662035,0.003912428344173094,0.00738666702436217,0.05232065358715597,0.057228765789729664,0.09801389728246389,0.007321197823791657,0.0569513405555204,0.034956738589715056,0.04483110623190987,0.07439973524661822,0.026973368729705533,0.13234960343665456,0.05548972462423976,0.041594041991341715,0.029148731174009266,0.0362925044699811,0.05146309147397014,0.03313076765278182,0.054265233417340984,0.05256987930303165,0.05121272085566602,0.04557680881304707,0.05900128319438804,0.05602026342924863,0.04858743095879636,0.03295406294028898,0.054455563985950056,0.04708156516155364,0.04989009881929723,0.023429513108355195,0.06372477849543219,0.029789322310176787,0.01743015791514994,0.022751999226635324,0.01811962749023035,0.04709555819467786,0.019148748225248282,0.04876907410379754,0.047675852330895434,0.04369495012468543,0.16051255196828831,0.009088864009095126,0.058711590636829306,0.024621015029885403,0.04839514226702742,0.03216774414613442,0.003912428344173094,0.16051255196828831
mfcc1V_sma3nz_amean,0.010598782524963327,0.09752429964413704,0.029387587286850494,0.05762937633456365,0.03693886402601359,0.034928811850881356,0.00237248943550581,0.0025731125404888835,0.04608275056101148,0.08136700465801786,0.029279324637044423,0.006474600138021315,0.05520566545132873,0.04377208420793294,0.048075871603597796,0.13285834575631555,0.003215599457100142,0.1775276352003857,0.0338060724326863,0.06525579597338602,0.03626648080699448,0.051899673812245764,0.013903032904699427,0.019265670934445294,0.013396575187511634,0.042686824048925424,0.0665589284118155,0.02890850905275009,0.023239348158506548,0.026665693113660256,0.06315883213128265,0.041175340179453096,0.07506308232342795,0.09381537619525601,0.044502723754098174,0.017535474014345208,0.07286890026005305,0.00903735265615311,0.0016516037248403771,0.03395332106739477,0.03015614556516472,0.04015545946884954,0.002980983702021514,0.062355465969401454,0.05351991344969012,0.10789204841366333,0.033044972719427,0.0018124423746266045,0.05473610375082684,0.025738649781120455,0.04365638003305765,0.03473704465179017,0.0016516037248403771,0.1775276352003857
mfcc1V_sma3nz_stddevNorm,0.004233862701566867,0.033118046920489565,0.11643033516929947,0.057936289382817314,0.18083200073504038,0.13024715375613746,0.0010884508974021818,0.0041426615784989585,0.07242268482705912,0.019408738547796952,0.01380874236027709,0.0024675443829312144,0.015888965690216836,0.0470943834103363,0.02746025118748305,0.021062272853355272,0.005288833286841527,0.016257948876725183,0.016451728819473564,0.07850308504286559,0.03457024227561664,0.045187123019842124,0.014413178507830405,0.03542051501577083,0.01450050939468738,0.048921177826978086,0.01992633110709939,0.041015129908059805,0.017825045516828255,0.011562790725318253,0.0322600295226435,0.04150516150135019,0.008971290737481053,0.0276608411803043,0.04342814215114807,0.01333487311302963,0.14361009032490787,0.018833863886068617,0.003248634979318291,0.006223988872684234,0.008499069996036758,0.032170827557454325,0.00809637509295373,0.0208376445644421,0.03210877779982862,0.019556855430948473,0.012500983425746919,0.003454498347639372,0.022561304497526753,0.010769753411375283,0.03314238060235066,0.037242314150076984,0.0010884508974021818,0.18083200073504038
logRelF0-H1-A3_sma3nz_stddevNorm,0.003352873310153621,0.04780203979065942,0.04443526552404145,0.03280367180068013,0.008938827292169481,0.2738305498772686,0.0017480086681470374,0.00811148808255867,0.0011496698590553486,0.009582104948693305,0.024769165336043904,0.002976116613587905,0.031229288017714265,0.0010410035471264648,0.02110720188024945,0.019952567260995396,0.014960572830399383,0.030086595279530785,0.010457223678616356,0.006052068461278662,0.024854640338094685,0.08434880931848839,0.0006600563785475001,0.001868268362160046,0.009866183270038053,0.014934951404678215,0.009529620447724624,0.022499897538423054,0.1091977213960227,0.008346276519877266,0.02879245570211749,0.021449995133385386,0.00772799963094265,0.011183588959676194,0.026631870603840993,0.008527338257144738,0.3071399196187843,0.0020119277604391706,0.001813824012524081,0.005775592048610295,0.0025202183858132085,0.06869960132432537,0.03191100742704273,0.018069422146967423,0.03755483942413802,0.008778246060050147,0.007865281129695145,0.005615398764110859,0.03786188948868767,0.00079195765631881,0.03042430201135278,0.05733624987493143,0.0006600563785475001,0.3071399196187843
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.005633318254998629,0.060967574363931076,0.1074152826984072,0.05046984311769335,0.06899094087180045,0.011400974478076165,0.002560556902323111,0.002340287620075445,0.02428651849216461,0.042929289780022264,0.04071317377082995,0.007630320778970255,0.06113649203823293,0.022581422646359976,0.07488169502976982,0.024269432246948185,0.026689558904054056,0.07959014102696398,0.01712750903703953,0.01567767952990636,0.05882707418495132,0.021601656728175926,0.018027035795128692,0.021848003807281573,0.024946242594039093,0.030765665960230722,0.022621627508593863,0.08258924303143109,0.03041842958221529,0.0037783310645089795,0.007371248132252238,0.04052646760531269,0.041752710758978545,0.028704406448382694,0.026132518994709506,0.014027150124325935,0.019217168123817015,0.009806356288907218,0.012082436995241834,0.006764605597545792,0.008186756910581617,0.025958511130876293,0.004158259994889813,0.024238862144469075,0.051461692973368854,0.01931326334655752,0.02874555777605479,0.005387274927095108,0.0426855953268776,0.011747814481617045,0.029819679598539695,0.023667494866900337,0.002340287620075445,0.1074152826984072
loudnessPeaksPerSec,0.0014585046147458408,0.042840797108357156,0.0834646727724522,0.031905517280672674,0.06444164856025246,0.015305436152967868,0.002194494165619894,0.0062237654153620954,0.017263197600520704,0.03814721674360459,0.06148855419297462,0.0038893712844230476,0.028094949602626942,0.014115246942254979,0.00808487743104168,0.03089889081725018,0.016075205244474755,0.041121060113625416,0.009245300837906074,0.01562075597097989,0.025717332836781858,0.020207451811055002,0.009020857729323144,0.012189218988371863,0.02277115933077317,0.04003297260039402,0.02492701943746059,0.16345402304438156,0.02321569149101506,0.04924808181732879,0.05072736232580165,0.04566756607716174,0.02228554641817826,0.014627116250328599,0.04689375772444133,0.005807198049229826,0.04176966283327808,0.0027475849082170675,0.004851921520493341,0.01585421695127469,0.0022378329351462434,0.010065610122419615,0.0050054229450142325,0.03329928833793053,0.034552872771162584,0.007299246982691398,0.059361004722443884,0.004002355257001534,0.032675433075846506,0.016251710429564616,0.027572919651532475,0.027124792192942875,0.0014585046147458408,0.16345402304438156
F1frequency_sma3nz_amean,0.009482549393350382,0.06781549529595489,0.06944487697724105,0.04481502624431646,0.055554364775940175,0.016362084406017562,0.0011154516336382523,0.005284309095120463,0.029518993875788685,0.021922712783589045,0.027948768087982717,0.006171920890608308,0.04157959008575721,0.043410932952953035,0.02135418509467285,0.018401419651142382,0.02728797405296956,0.017187192338276293,0.010716802759567804,0.027393747693539482,0.022256723301542183,0.023783251209946416,0.012886407100179395,0.018896465963599084,0.02587880529289897,0.02606989280254419,0.04320615395995692,0.02563661474303834,0.03210631476871242,0.01183509682843553,0.016004594482237105,0.02460746065600806,0.009363117271933766,0.007049688104946061,0.018009149555193206,0.011707499470279915,0.05065793782713146,0.008351021857646919,0.005547909210109613,0.007013437165200248,0.0014392244026116554,0.02350072670809,0.012779779206170357,0.02298400263797155,0.04333762442650854,0.009277557916945393,0.016728401894996497,0.004486723776478437,0.02185219552951629,0.026879490403572615,0.02293803333125655,0.01587119756406267,0.0011154516336382523,0.06944487697724105
