,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.012117400499407653,0.15547785696164312,0.06326417327002065,0.3330707733323754,0.29506417452321154,0.2675670767122925,0.01201356389735031,0.012043853291039885,0.1580645433892054,0.18190869077096875,0.09173781091587245,0.03177331761494749,0.11965929328665943,0.15102760905646215,0.24707073915962013,0.30206924519656736,0.1359142047571271,0.18397576947545444,0.0977026783268382,0.23736385298889873,0.10028142365111399,0.054965086212563734,,0.04292572084993997,0.10815962378539493,0.1707880403074601,0.22346579583808895,0.31986501454927885,0.12718022838489215,0.12432524549859036,,0.12135366730328971,0.32338218923545325,0.0349141825643596,0.09374781507516394,0.07083416425148958,0.16902900604489554,0.11547324102518025,0.10505415566500373,0.05800821484683437,0.017629587274285614,0.06524806916961733,0.06474288827535685,0.08630139323798713,0.08036722180982799,0.1340474834074368,0.25169346524377134,0.09064376393052646,0.24532341493398035,0.09365617090073383,0.137131102097885,0.089227107053016,0.01201356389735031,0.3330707733323754
F1amplitudeLogRelF0_sma3nz_amean,0.010659195140701311,0.0999917858811416,0.0834128653410606,0.14274300526555408,0.17153587525974578,0.11448461598709457,0.015956477863614652,0.00877998206480946,0.03801349239411635,0.19110756113544827,0.23833203189550037,0.013830225758815259,0.1399513427780212,0.09279608820643286,0.13247598745113182,0.10345980786405591,0.09513488150698886,0.17778228535106144,0.07567231485344371,0.17511475102580915,0.07955207497542548,0.018051269642727397,,0.07626779422128434,0.08484312131801541,0.07493895956718051,0.24990100447519786,0.1457622009213052,0.07796005829245257,0.2730981040253729,,0.06769233782294641,0.18342478749451066,0.12219953261981917,0.1370271701890635,0.01003304344818769,0.10963992047332886,0.17528723631837684,0.045504473707864604,0.07034133180679894,0.02047426829970737,0.07549977759083039,0.023569697145215653,0.06369094412269517,0.16746149924761897,0.1126257721930688,0.18737952560564067,0.014057909578524295,0.06536697956242997,0.2247012423613619,0.10578305437607288,0.06840784571020402,0.00877998206480946,0.2730981040253729
loudness_sma3_stddevNorm,0.004865729630216405,0.051123318979559094,0.12229422666943918,0.1567624361081302,0.15399684415592496,0.08821440976912069,0.0022218363915997713,0.004432958281966041,0.04942617802444507,0.2578792782643068,0.1357752932681356,0.007239297238366249,0.08359317018566248,0.05578229134921434,0.07069719901997784,0.052679277233912115,0.07484680724336391,0.18152691972573862,0.04506956381945682,0.11328858287253771,0.07537317322949792,0.01005792423573632,,0.030245622572761328,0.05346889946746575,0.07188818715815856,0.14552360501965816,0.12398962408762923,0.05893380805981331,0.20552615352881762,,0.08327720647383462,0.08678992565515557,0.04148434223304202,0.07543524399302759,0.037972982688931387,0.06051057368035415,0.08286930502422049,0.030784569876825013,0.0318684993894767,0.0073409661623873865,0.05302902908952004,0.014884816264442593,0.10546890817880532,0.08857882040659915,0.02216572092015455,0.2113978466532449,0.009927379268766991,0.0633496940028776,0.10835442197900821,0.0771294347402351,0.058230094059871416,0.0022218363915997713,0.2578792782643068
shimmerLocaldB_sma3nz_stddevNorm,0.0057947082615692255,0.07705932783361417,0.03327049490320423,0.04747180452389591,0.12949146414965618,0.06233853732688477,0.007076142652901236,0.01376076556562884,0.03741610997891665,0.011221683368435178,0.11236727960253144,0.004307045078735992,0.05055271525487187,0.04176911280151099,0.010007754820935497,0.08721475575179588,0.07200908102446521,0.09387716352604318,0.02491033620853454,0.087280383970789,0.10363019511317854,0.04344504250425235,,0.07244111432113612,0.05042858369637343,0.0632527071224005,0.06277868940500332,0.09580672083334887,0.08640241714441892,0.06005988470278741,,0.03347077621938453,0.026528960530535786,0.05138120083160968,0.08382930699784542,0.0,0.05251990364735233,0.034230135487540225,0.05374243423290167,0.05080533723565056,0.018816734248947115,0.08240607189675289,0.028797458650797976,0.0226518677010658,0.05983094363367564,0.06005021466962145,0.0732813243312407,0.009638958459714833,0.07880855130211883,0.019877206827568404,0.051835612674002995,0.03126208884935818,0.0,0.12949146414965618
mfcc1V_sma3nz_amean,0.0053623918442194714,0.05704125747136298,0.01845889832022931,0.08624144058150642,0.07656373789504882,0.07644392167044879,0.0030242911124298503,0.0012118298355816449,0.15507820661410882,0.03196162387411856,0.018094977115150068,0.002426184377962038,0.062114724068241596,0.03281326372664685,0.07084091123773424,0.03320112100385792,0.0,0.12642524062532923,0.015133181373337593,0.07366750706657363,0.07114128456766008,0.10082532284942526,,0.021081296926268762,0.03283021410220008,0.035695523256163965,0.08866131977641309,0.08777918829028558,0.042101181153866664,0.08209834090893753,,0.02750851352492607,0.11987002286190868,0.03321600944514366,0.08000771169963798,0.03210168738101275,0.04509305993776563,0.07672366894452387,0.006821624397558594,0.025669407652138466,0.014608262196881425,0.03301530818600859,0.002077323760265592,0.040962915564864,0.057420826260074886,0.13621318613135186,0.05006179469806599,0.002066263643284921,0.03811328614502384,0.0,0.04853894279324053,0.03845304270908202,0.0,0.15507820661410882
loudnessPeaksPerSec,0.002350266711850558,0.06300981219537817,0.07251851269073538,0.06621170323031635,0.06292346399456317,0.059162361200884424,0.005631720046070307,0.006544012160916379,0.0425200003894791,0.01905261480415016,0.11588742335209705,0.0020036436455521662,0.03639721937278404,0.03381954027821966,0.0,0.03449856797894878,0.05245194429253191,0.12782576295928902,0.02561015665920602,0.01798192486342227,0.0324131982606815,0.014137551962535218,,0.01653780901828957,0.024303069938699032,0.044997996075679,0.0859255967910739,0.08104753117799579,0.030362957668740243,0.09280660134967243,,0.046127364873815566,0.09057250300425689,0.05763066520227729,0.044074723834351355,0.023394167320793073,0.11135860284355961,0.045750038763117076,0.019502419733106673,0.034352675429863345,0.006795355008512476,0.01890729366422273,0.004510407553108519,0.05194992141051328,0.05082679656858549,0.034489559020239244,0.10011975407768475,0.006246292961172204,0.05772882131930073,0.033820699158870426,0.04389772968368983,0.032031118767014304,0.0,0.12782576295928902
mfcc1V_sma3nz_stddevNorm,0.002077423761852731,0.040632056333311344,0.04482366567373199,0.03716122124554365,0.09757658902677202,0.07937584715811541,0.0016791056995268316,0.0041281694666160575,0.054541576972687536,0.03518753588548228,0.018778633146139357,0.0023399517662270356,0.068765624782893,0.030796748478295027,0.01533011400237717,0.05367291450962308,0.014481658203827191,0.1071305376936476,0.03058599630939951,0.07247939644228914,0.06536290758214099,0.024082346307432285,,0.01969354226061897,0.03147018784230131,0.04217444215539869,0.08178929565049575,0.05158478576662755,0.008778871967317536,0.05056545907267986,,0.027396335106885036,0.10235947798861617,0.03519605450863045,0.041492003810053274,0.07323446635862113,0.07861299115142821,0.0773925118251366,0.013779799480361152,0.031847180029378176,0.018480374088335406,0.03511814559750946,0.00233768357382608,0.06028703144237076,0.03455397389819051,0.08104004047007567,0.06598638415134953,0.00652659446895106,0.050326504174627806,0.0,0.04214612827682745,0.028755065513475682,0.0,0.1071305376936476
logRelF0-H1-A3_sma3nz_stddevNorm,0.0021162498096879115,0.041297829557369235,0.022207924527493046,0.05023459895054111,0.0,0.09392087105069226,0.0028045215549175606,0.004788330959508302,0.0004557783415548968,0.024837474380866514,0.06313267234275112,0.001548681226479806,0.04658857091013182,0.0016659524238220615,0.01671580314981193,0.05124362169249664,0.03614279333506363,0.051214216654984816,0.014155652267759255,0.008661844987604354,0.041878504441384204,0.022751349264450056,,0.0022800990263407246,0.03112205796397427,0.035265521270210515,0.03468151901221507,0.04587950902418132,0.07924288151373254,0.03657152820332403,,0.01631219504557145,0.051848409063213106,0.014505328726904198,0.030418036053146368,0.041579732080385845,0.1429045474457043,0.007531285668971759,0.020269341354497327,0.014040872473425631,0.007447235687044962,0.11430008795861031,0.017136799832451987,0.035227835520088686,0.07986351822780406,0.02945058833670121,0.07470628245441004,0.004156323899330309,0.02441085539932422,0.0,0.033114909022311144,0.030701376103449286,0.0,0.1429045474457043
F1frequency_sma3nz_amean,0.01661693293381064,0.04444898577355753,0.07259851676340191,0.030741118804351587,0.02835393592008309,0.019187353637775083,0.0048409351024964456,0.00631434945551441,0.10104890604637466,0.0,0.07333473789084721,0.016294264328916126,0.04332874173184717,0.009785506359013362,0.0,0.046991778722459986,0.029495409568819752,0.0629998539870837,0.022784716046675466,0.09801973228969982,0.036168622112445384,0.08030316840435765,,0.02414117095874399,0.01881986717597773,0.02269214617664608,0.04126541322705356,0.0318119065428834,0.04132487756783778,0.006209428318051773,,0.027571471329061275,0.02537445504559305,0.016270461421226214,0.022458382641497802,0.05029542796829985,0.05415172959872687,0.02786791000488051,0.0233189941239876,0.010863754148022972,0.004053724923319765,0.032439947037876726,0.004208105022179814,0.026415166413887192,0.0400073225488319,0.0032404166943621163,0.06504558203307927,0.004264786119512782,0.06467423902652707,0.0,0.031925921915574966,0.025145598246611202,0.0,0.10104890604637466
alphaRatioV_sma3nz_amean,0.001416213898123342,0.04934226704565373,0.02944084319085977,0.05611180803618301,0.006974718519081874,0.004971753376370351,0.000728323289766064,0.00022815224990148966,0.013054438206122104,0.02990070030660747,0.023642559806410335,0.001986867623822421,0.03328454421451103,0.020386886146046317,0.0183340190754295,0.039151028686024,0.006295063510733777,0.0487255614845108,0.024724633244586347,0.032274072355895,0.03861181384748551,0.0020228267329875896,,0.002960382676369818,0.003913182983655113,0.04945828471573629,0.10705123678375697,0.038507164317478915,0.003832443717076222,0.14189920061674113,,0.0011772474734533908,0.03338200934738952,0.08920782406219122,0.044304930415671157,0.031526841130490486,0.05030037911766256,0.0,0.0045021411739768645,0.012016488934703097,0.011034044024623851,0.0032020267688553246,0.00015017610958613665,0.045334193372034065,0.02444210140333795,0.023495824013435845,0.04094413455830629,0.0,0.006015283092041554,0.0,0.026047221576160115,0.028823897557564065,0.0,0.14189920061674113
