,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.014522530814154245,0.11451484732347697,0.2529684092539657,0.15323402402388914,0.2486116249831442,0.19374160282834837,0.006807590781392452,0.00919078124201368,0.09862278777660508,0.1423313901096747,0.12323816726380904,0.012983698556151991,0.0933820346252358,0.09682187415268761,0.12457963586876329,0.13356010187783404,0.12352253378265218,0.14110224182608208,0.07759560542375912,0.15432171224244423,0.08635307663347268,0.0526610535750429,0.09525401253837087,0.06272499215168795,0.12404094195816069,0.100468853732886,0.18282467050500384,0.23958492789898117,0.15184354765978292,0.19641619373906308,0.1302806850287852,0.11214810393199016,0.22222620204756854,0.08633346118787955,0.09854337066772834,0.09615629246508539,0.13664726767090526,0.12243128835659522,0.07378409674526785,0.05919596062707058,0.01914438799136699,0.07559552457135518,0.035115529008680854,0.07233437909258324,0.11495744861345433,0.11487394295988786,0.24105247958668707,0.03330912572763721,0.10734168349258681,0.10624336866365909,0.11331080127170623,0.06168010895428708,0.006807590781392452,0.2529684092539657
shimmerLocaldB_sma3nz_stddevNorm,0.005214133634572394,0.07009948941083928,0.14655080534783466,0.08997899307933846,0.1542864338061545,0.09926144731288611,0.004051616640775407,0.006927748043076427,0.05875366780805994,0.03625215173032252,0.08503774004663185,0.005517931792227788,0.06264399641091924,0.05396390938329946,0.06866010354527545,0.06268506175655249,0.03904260835128609,0.1099039502394231,0.03224324884666901,0.05909942863773129,0.07448233972316237,0.04650133540662504,0.03717943465859352,0.03646589525811114,0.04438541014187442,0.08313262869568826,0.06708579437024095,0.11307106691521411,0.062398181360391394,0.03366723268043186,0.04778601292596632,0.04937173806963376,0.06015318574059746,0.04008942330817038,0.051232173922002584,0.031867550815749233,0.052319574570793954,0.039145151939264315,0.02984505211254548,0.02343652893234874,0.011043095137570931,0.05194680210422491,0.01961166793134034,0.04683913911020826,0.06775097947623973,0.045478551617069186,0.1227952444715233,0.012049848338408515,0.05883130420868779,0.03491551255805356,0.05490104644649214,0.03348053257811636,0.004051616640775407,0.1542864338061545
F1amplitudeLogRelF0_sma3nz_amean,0.0055694771083296775,0.074578338788327,0.11629225360761034,0.07158974964541569,0.11752552278478748,0.08195182520640061,0.00488589481373039,0.004226069963580492,0.044648263813780634,0.04365801863969471,0.09357848607947983,0.007457143011800727,0.0756608515560279,0.046773888740831895,0.06465827918939554,0.047845144983255955,0.050442920660980085,0.08676891734691115,0.03190620115195464,0.06378380927391612,0.06862329005871805,0.019455761722220893,0.039619731854037055,0.030942340239722897,0.060664127963380166,0.061543389962689765,0.1105580542381869,0.0820879476426026,0.05393303531218217,0.05530008385483853,0.053193174377948765,0.04733750567406404,0.09456694191326959,0.03848977492040186,0.05101609456852569,0.044757788470345505,0.07510408801812501,0.02632369567952818,0.025232190550815724,0.026453658763534796,0.008866533478568467,0.05355603364594684,0.01752542556969123,0.05139770508511848,0.09144524685491814,0.04484073633406121,0.1122060084482375,0.015106597869668111,0.041677487553478776,0.051562447980914965,0.05374375909943906,0.029634684284138332,0.004226069963580492,0.11752552278478748
loudness_sma3_stddevNorm,0.0032052935243203524,0.0510805481736223,0.11012360796063946,0.0849138236408113,0.10763053704290756,0.07087095497672065,0.005363799928504349,0.004755811202687608,0.03319751408301848,0.04401774902518839,0.07728875292173752,0.007970759536484979,0.06450287508198774,0.024024084755814995,0.04613590186382648,0.03167831460281451,0.05131077233366837,0.09341950348503997,0.02322687690673773,0.04002886902917382,0.05919339284846232,0.021957372389564616,0.02778335007797291,0.017643291706773714,0.06486140869762134,0.04061231428414519,0.08599251494986103,0.10439614037908045,0.04962672173526651,0.06842392615803436,0.05752899273294706,0.04327031055414727,0.06339039104891141,0.03253504459271857,0.06206614559274145,0.019900789869970178,0.07129450633247324,0.019340000536936363,0.018757283730466288,0.028543628958550133,0.004775301142201652,0.036734014713992645,0.012922626925610253,0.047947477003494575,0.08088078257165306,0.04344950369717856,0.11812071977234541,0.012540589027874582,0.04233057276448928,0.06167105144027795,0.04786473032622938,0.029657666969030164,0.0032052935243203524,0.11812071977234541
mfcc1V_sma3nz_amean,0.002475614374537958,0.045398100559326776,0.05650641221133433,0.06450482054843616,0.08919290327378478,0.04362976406491967,0.002236819387856576,0.0009187809091657928,0.04333385764373992,0.06466209092859856,0.04548155847369797,0.0026348756913966436,0.040363519368502895,0.021775207678329096,0.06625747855838897,0.03534485067398526,0.0019679125484515112,0.08732979664815436,0.01203355113739068,0.03536989064927189,0.05677120086472366,0.035181263261682326,0.010410807437303474,0.019183251260557335,0.019052114129752832,0.04206996295494038,0.10298594671304584,0.08032375403615677,0.033687926559710896,0.09166783002795725,0.06501599247758032,0.020547216143639024,0.04218616959302855,0.0364961700023778,0.0546165126520562,0.02969550179140158,0.0301931940304638,0.006283670761226934,0.006147633978112611,0.015191608579534641,0.010510223505146235,0.040855192603142194,0.0009780490235500772,0.05046015598387659,0.04626275763580566,0.062408302690906726,0.04071537889865867,0.0008321885740137273,0.029777044014160117,0.024261368628152015,0.03732372388283868,0.026284175073115902,0.0008321885740137273,0.10298594671304584
loudnessPeaksPerSec,0.0016447141634799353,0.046059907560400536,0.09859433181737384,0.04763047812361783,0.0955372000741863,0.04952022829827553,0.0038399954158075786,0.004173705285557462,0.020977869000984736,0.01935483772145366,0.06264881200554889,0.00362985287143032,0.03738844924426583,0.019284696205249117,0.015059446629705627,0.017298160740382342,0.015987198830060625,0.05577096985821726,0.01106069925731881,0.016899947295481305,0.04505627162557095,0.023141148222435695,0.017119625238475294,0.01461145050308213,0.03045521634674009,0.040465290887325756,0.04371924920372993,0.08096675294797526,0.040748452295821386,0.043132922883439145,0.0512970269674393,0.0350237301156145,0.03556915199518234,0.021939834913927012,0.05246250266204206,0.009803275802985722,0.046867777810726007,0.0039002771250753417,0.012024994486747962,0.018820813082515927,0.0038163145421309876,0.019756937741712048,0.008135017107133055,0.04181722760004062,0.04591497944447868,0.014300415506861931,0.08093282527447283,0.004587815485407617,0.027775007738216024,0.023872269126019658,0.031607921501642454,0.023591734280695748,0.0016447141634799353,0.09859433181737384
mfcc1V_sma3nz_stddevNorm,0.0027807804216098916,0.023184220827096275,0.0532731988991913,0.05430373184196465,0.08241664965831821,0.05485787434409478,0.0012407105538401477,0.002245876837489974,0.04099348442281048,0.024050314497408666,0.02566380928777216,0.0019115107326638618,0.03414696993738578,0.022740593054130887,0.03602843221223109,0.017736489778258282,0.00848828296819141,0.03680904060924878,0.010722825562110246,0.02960488071992413,0.0332895986271661,0.028876527804074684,0.007728516505336709,0.02179576856490308,0.02212975807672701,0.0327291180429351,0.07435990298925296,0.051454871711944294,0.009950702040047861,0.03065467652616612,0.03265745302556739,0.023164688217912652,0.04025812418914314,0.01819632943493183,0.037831589130214754,0.011313871873558335,0.04581047978593698,0.017678066295713106,0.007150205084259578,0.012467102888529062,0.005540535228205211,0.027244945490762597,0.0024118737584694124,0.02107646481586215,0.028085014076670644,0.037015439707681404,0.03638542292560001,0.0030053948305022904,0.022568328108373097,0.008363531873358783,0.026287879575910944,0.018167446189373288,0.0012407105538401477,0.08241664965831821
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.0037128908940970602,0.02322325715821132,0.11945127426883877,0.04345262205771114,0.06766950352911338,0.03357029757623379,0.002677048155982317,0.0017842059682007397,0.023170592098106048,0.02642656913746116,0.03540936701334485,0.004219701719864133,0.04414055766884004,0.015231890194464784,0.04925509971302478,0.01937823305102835,0.01607325643794438,0.05996638622250277,0.010300112903571515,0.01970975582807946,0.04045473942385887,0.017224871329527776,0.018938412258071566,0.01894264678609135,0.014427750073914551,0.03193670277277714,0.020537156417542474,0.05264991606233614,0.02167399940740393,0.005211911979213744,0.00446321324821868,0.02602626245162962,0.013000944167096587,0.023188153277921432,0.025090152680734223,0.014474618338110385,0.02339732744526142,0.00932129957082192,0.009332321623490486,0.007906946934278333,0.007062950770133538,0.025901443210978533,0.0053876970620528606,0.022176622793225895,0.03935086139529037,0.021817429298489545,0.028442158001854106,0.0030789441483008474,0.017733103316988613,0.01511711808482182,0.024061805918541145,0.020268007516127763,0.0017842059682007397,0.11945127426883877
F1frequency_sma3nz_amean,0.0044462542858812,0.025227381419050062,0.06428460524378196,0.05289521311459661,0.056339746110233666,0.024430769922668016,0.0011268687229396821,0.0025046821625708793,0.037973469999046494,0.010870830590333766,0.04561189633345152,0.005635344523735528,0.038152071455645836,0.014741040816135663,0.01512368702723619,0.024771856434492086,0.010483410739707594,0.04558969793034074,0.013856623559575993,0.0277935076674059,0.015125000392715617,0.025985327488701207,0.00850921579612746,0.01821539262917711,0.028039347408786917,0.023155165646449316,0.04888456299684056,0.04963497462052184,0.053190212599059754,0.017965096342979273,0.020713531522840497,0.02814423778267194,0.021356138627872272,0.019265667787327755,0.013181553354695251,0.01707235156862675,0.022961181755920036,0.007551424908281902,0.009603791746663926,0.005372552911313223,0.001867686702109424,0.021470913153870244,0.004906440407673383,0.01983222327480652,0.03644006153607569,0.008142429592855507,0.055092869553638256,0.002911021185982465,0.021588046524792504,0.024882451582760545,0.023458396589219332,0.01640153496147687,0.0011268687229396821,0.06428460524378196
logRelF0-H1-A3_sma3nz_stddevNorm,0.0018503024751766906,0.020334326114966897,0.020082587326119845,0.03482179753943597,0.0039556058220535095,0.09212128852914121,0.001954396093469466,0.0038439091028780355,0.0006639539135230465,0.006209913699143268,0.03808576163772542,0.0012337841729665683,0.026773871418303955,0.0007574722168625325,0.016514462018796285,0.024301810629744278,0.012027285660153974,0.02972570916078584,0.007431954782255295,0.0014824766890656016,0.017142621628580726,0.03748902399003955,0.0006768926551962377,0.0007373994547439134,0.017551085973492506,0.025865834644667213,0.024432059178237507,0.022301148140372155,0.07546289592815737,0.013133728631503166,0.019277459325631945,0.014741056839065524,0.021973093818581417,0.011544653442023161,0.0188051281067497,0.013416281477440357,0.07215619863298384,0.0011743493709901142,0.006927847036282548,0.006103241869081546,0.002213295822513881,0.049339559203645765,0.01430420469876033,0.021502487698260422,0.03005011697020075,0.012128974268035369,0.029378213910641264,0.002851392424949292,0.01190434104699088,0.0009946664303325697,0.01879503843241437,0.019436574062230844,0.0006639539135230465,0.09212128852914121
