,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.022788928038739914,0.19942717952997507,0.25450817006632837,0.12052718060533686,0.22515337499567886,0.08925775052877484,0.017787256062622277,0.0070625253499314,0.17049396294714667,0.18569367354391708,0.10752867744530892,0.023884358296486587,0.10656237441942769,0.17810186021323787,0.10297831590824506,0.15898473069986568,0.125563721143591,0.09308243210297076,0.07348351884994651,0.21268844676142015,0.12804195806777374,0.07669034180430036,0.17367292449886032,0.07123325472746314,0.08136477720117473,0.06906313347777059,0.240275462413443,0.15609135010890754,0.06974420704873227,0.1599940070995276,0.16268442166684463,0.04835169274582828,0.31630329905593835,0.08827220001311363,0.08474070912503481,0.1292460805722242,0.15319498466922482,0.153239005052577,0.08321032040304292,0.07307446725393638,0.021187343074769893,0.07485705038948123,0.044006572918490534,0.08346560765829138,0.1075739231372756,0.1353842632505152,0.10549106036165787,0.05764455257611075,0.16020321594094708,0.1532761682308062,0.11874273584106032,0.06526959271462716,0.0070625253499314,0.31630329905593835
F1amplitudeLogRelF0_sma3nz_amean,0.012251596264152254,0.10464179340792715,0.1253840088970171,0.0987092957307141,0.09273498560576299,0.08635387421263724,0.008435726689972613,0.0063266428860682695,0.07047073058598892,0.08615288493069201,0.13263665139208347,0.015173426135272967,0.09592977486913308,0.06704224624712285,0.05347177083691747,0.09045366465220012,0.11348871537362613,0.09959146639405105,0.04823264969711872,0.14171329474566094,0.099894749914362,0.0346432893561947,0.055910503125336394,0.04223929012395377,0.07703585816626797,0.05642295791000453,0.14998194423392175,0.09967585432961173,0.06834218346755862,0.08633676231392087,0.0733876120056567,0.06682341978982241,0.1778750838056341,0.07191825478933118,0.07553096661468581,0.06858012636766843,0.10993412862110274,0.08340671552679803,0.04258654277296973,0.05041245576331319,0.01046587598446698,0.053707056843757414,0.02259648776699396,0.06393732653356644,0.08473277725094758,0.05366079955496089,0.12213138029974123,0.021343282658048503,0.060542664050618554,0.0951509795180012,0.07456805058026673,0.03764097370824801,0.0063266428860682695,0.1778750838056341
shimmerLocaldB_sma3nz_stddevNorm,0.008538004633728941,0.1115415321712287,0.08977344520035115,0.053125323778522256,0.11029083951786611,0.03837289481039536,0.00560580999232844,0.008271273528220437,0.06670999828963153,0.06185397087538771,0.0794724084525428,0.01189128976560704,0.0449834713623478,0.06495065810267162,0.042466270316091306,0.04707231009662721,0.0992623067867766,0.041197483141692706,0.045604038877938465,0.09750089381586743,0.04560846921865719,0.038034476556665864,0.060761523743734336,0.03637330583584058,0.031184963471943095,0.05048097716244953,0.08768594091736807,0.09180520291655483,0.04468560477453737,0.054279419376980526,0.04815840547293138,0.03132728653328657,0.09393799907535708,0.06545242574331948,0.04402345166940511,0.044329003703110076,0.08132953954521945,0.057990614986598236,0.06653252014922834,0.03514121398825236,0.018194974566846704,0.03854366572178398,0.031584874609969955,0.04244502763975047,0.056389955284408155,0.034423206705455185,0.04090147489315695,0.008983636812345335,0.05573758623219789,0.05126156778363669,0.05232145077213629,0.02604960574057567,0.00560580999232844,0.1115415321712287
loudness_sma3_stddevNorm,0.004929736849173054,0.06206954928049921,0.1144565811701452,0.05329961810162836,0.1262962213890966,0.04569448033924176,0.0032522558696701856,0.003619843040951606,0.02445058804258351,0.05698409127940311,0.05735208409460002,0.009186639058769099,0.05157156242889093,0.03075684693103715,0.04843401618925041,0.02878468606519657,0.04565932325191134,0.06212147464958566,0.020006719523823335,0.06396586161265544,0.05569102766609683,0.021289801052787605,0.02232228032010312,0.021628491146165475,0.044541806753168316,0.035123535793555254,0.0957549334218163,0.08981213575445322,0.028244574626666043,0.03826965945180341,0.06114637619161185,0.038685094714618895,0.09281663812423531,0.027652538709271212,0.055462790687027225,0.037938778318004816,0.043067067441918225,0.027307417294371597,0.016810082125001187,0.03422432469413781,0.006400536126994878,0.02186438274803473,0.011228874924000348,0.037560006759284115,0.056028870213154544,0.04057622683620943,0.06053949145978138,0.012401615532925113,0.05313414634415501,0.042082647599312406,0.04284996663997557,0.02690142534141576,0.0032522558696701856,0.1262962213890966
mfcc1V_sma3nz_amean,0.002910043118286885,0.053917080322967936,0.04841207577849841,0.035575519602973546,0.06173713953279072,0.022263907023205593,0.0031428720561551314,0.0015492758526915106,0.034257376352441714,0.05978823573286906,0.02519782824165945,0.004724597946565524,0.02866868358244753,0.022453554495243607,0.028115798893283014,0.032969990042737415,0.003197890925899506,0.0444514932089504,0.007160235208497684,0.04676464450263132,0.03832155848357401,0.037165656191470046,0.012358897208084814,0.019252046682810983,0.011165018547656431,0.02996796187101774,0.0715309154535317,0.050863681403061876,0.007175968661177649,0.08118007948795035,0.07052597117923949,0.013498083481931574,0.05201066760187718,0.054271486683852815,0.06919949570768888,0.0492230473623859,0.03511247919678554,0.01461541159537122,0.007378797171489108,0.016303119178319007,0.016758311569997308,0.026465229146625198,0.00102630325916399,0.027664795433918074,0.04022364127921809,0.047581349313937996,0.01652852482771356,0.0008992118310294749,0.020296865918013007,0.022814208174014267,0.030572740526474063,0.021121245325486364,0.0008992118310294749,0.08118007948795035
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.006550449037517129,0.041986783204563755,0.057545920151149475,0.03015191480071253,0.0424188116395135,0.025000085221519124,0.005390391426462831,0.0032472292026617983,0.03537577813218109,0.03624517397177263,0.02420242173909578,0.005313781084311297,0.02814792588432353,0.022603515630092573,0.025878803949251534,0.04083746113284242,0.03648683964500303,0.04827165378091188,0.018310509752236633,0.05328296893586367,0.0340875202348346,0.021617009937761573,0.015810800235560217,0.014327416188003926,0.013712635909972432,0.020907209497618703,0.055407401234049886,0.040724102701125704,0.01660974871668106,0.01184697465334348,0.00605446724993525,0.012638130360595393,0.04907062763227678,0.03762375599884499,0.023455564412335747,0.030232357625193846,0.03441597843121165,0.030313421955425156,0.015244410461251752,0.01729642407676236,0.009923386831705726,0.023375665335127627,0.009608091730618351,0.01437308739049802,0.03154997074857814,0.02711767349802697,0.023798678345946876,0.008362081688983614,0.025068524667923534,0.031799062133162366,0.025872411964106837,0.013856882704171555,0.0032472292026617983,0.057545920151149475
F1frequency_sma3nz_amean,0.0030380179949837634,0.03990754983731645,0.060874993234479036,0.03332741580887869,0.043734252583035094,0.025649428174650088,0.0020558380839398923,0.002840833131520833,0.04613872111506218,0.017939468401650453,0.0289790473656025,0.010147057843294529,0.026201416884987738,0.013929201366006163,0.012013330829822947,0.040672282016567154,0.024207427291900514,0.028862485371049088,0.009253359457653296,0.052415685299935635,0.020209274150485294,0.02817118880427034,0.008136630813685836,0.014810210241643527,0.028009862036211378,0.013981687665779851,0.04618462713285043,0.05103235840046006,0.026866773407194254,0.017296188434304346,0.0400184468674649,0.02794633364427781,0.038224416388169535,0.04609075756251176,0.0267149198542179,0.04167809455823901,0.03336915416631862,0.027218620874743672,0.016571525071778215,0.004397262411238008,0.004291369211021201,0.01902893671379103,0.005621480248046521,0.013962307578626541,0.03013719827818312,0.008603781268202278,0.035655479242612115,0.011273581058028873,0.01277855471592112,0.026996359233316117,0.0249493038425186,0.014747936788516464,0.0020558380839398923,0.060874993234479036
loudnessPeaksPerSec,0.0017652159249126843,0.02514888139284254,0.05971883956513279,0.02347592899175342,0.04074187526972406,0.026153922679314354,0.003321298499420291,0.0033022143922104086,0.018489215179496067,0.022243778717157086,0.0289885603989835,0.002581224935387678,0.01815781787421992,0.02165714406732881,0.009581601553661442,0.02432007397296605,0.02269838066121389,0.037456117973957134,0.01237774772956651,0.01980206188191053,0.014048800836403334,0.01880032078709444,0.012018682080651277,0.013587308176547854,0.015373760735545111,0.023992612476315085,0.03358289327077726,0.04188651082366494,0.01346249008755028,0.03670143252170518,0.03378884852989517,0.023884801123678148,0.034063497772030105,0.022449356741047928,0.04685149509647858,0.018958290083477266,0.04434947035940249,0.008786329105974915,0.008000721756576967,0.010535306198259984,0.0031816537495540174,0.01108958872765185,0.009667317098475955,0.02329476514050652,0.03204155018287215,0.013018783441768782,0.025087610032089838,0.005755619200349741,0.01632559114777187,0.02126168654562949,0.021156579909818108,0.012622916881692476,0.0017652159249126843,0.05971883956513279
logRelF0-H1-A3_sma3nz_stddevNorm,0.0018327560160601155,0.01939868960462392,0.01967095680771558,0.0295551279613695,0.004864509860406756,0.042979612167960535,0.0028027109632305014,0.00503274618891877,0.0002682724199932806,0.012356573631323486,0.02220611844044851,0.0014351548532661664,0.021586773353102412,0.0005673319950588228,0.008542685256173502,0.038083028811305666,0.01725892368452966,0.028089748699756792,0.011144203548103795,0.002279194481288678,0.010670023964730132,0.03568524783201169,0.0002895712868890675,0.0008866339936161805,0.015232888287669817,0.01872348015431489,0.019039493289453754,0.027951543021666095,0.03779539079877749,0.037251464681281946,0.02362108686390905,0.0125777407888637,0.019296771473154548,0.019920491345897517,0.024916148164736765,0.020924168629381776,0.06039573802329984,0.0027611366639449333,0.015375544426129477,0.006324032138855102,0.003666593075865162,0.03691662347750921,0.012598505271514723,0.017759943169803234,0.04491400261269498,0.0193986205716625,0.017587632484744598,0.007550732806708075,0.020441528966926928,0.00014721824342359173,0.017611502305081465,0.013656039540276027,0.00014721824342359173,0.06039573802329984
mfcc1V_sma3nz_stddevNorm,0.0026366713492841734,0.021976963510499367,0.032892679575844304,0.023952830562716285,0.06971501243248511,0.02417207478117726,0.001328187963679268,0.0016502927658745942,0.016926513078136626,0.02255167897802139,0.013695533820927646,0.0026970066885663307,0.017194616968074613,0.010460375638879641,0.015162778162040905,0.011900377666381478,0.004227980448921715,0.020062162166140245,0.0057476230293514495,0.03053037646659037,0.022898195846177114,0.017473624875966765,0.005459488303928226,0.01312440143424241,0.01237986779167314,0.020275395888715575,0.037985951632913934,0.039635247571510955,0.0021862007306803744,0.010745861982492515,0.021533485938712633,0.019060096227136586,0.02404706356633481,0.02522471066167165,0.03526728514246631,0.010604600455958381,0.019744145375588214,0.015048209104078687,0.00552419844813328,0.006306027402163313,0.005461677735494824,0.021080654998700286,0.0010402760254907618,0.016876108839996767,0.014665302352990137,0.016199439810933275,0.02032952083914219,0.002533339409068205,0.008218459764833349,0.004904233452896803,0.016506296153273686,0.012399308499485447,0.0010402760254907618,0.06971501243248511
