,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.05276417573800977,0.13659784308047018,0.18320604623994266,0.09266998503917964,0.16553207376548412,0.04549340370171861,-0.030849550472871197,0.05037437380661839,0.07358108496548987,0.052525954715863375,0.09374053519894797,0.11326162143870912,0.04523906328471948,0.15948785454926467,0.015744129772574743,0.10006489306620263,0.20091805565805895,0.06949856740171392,0.036201492893578165,0.17109607262568471,0.1859484845655292,0.048147895743033964,0.11975190231724492,0.10709844006449033,0.061885235741557645,0.05479297327037276,0.02038991583731289,0.15212982802374728,0.06861487625395488,0.25733779801477397,0.13208938514284055,0.021406434255848285,0.3413444449705274,0.06529425902454715,0.0651247723713441,0.0852101619101584,0.05412217383450574,0.0574008903115995,0.09842323572216026,0.016798978870809517,0.011975509151803197,0.024393134901409375,0.03529998624621531,0.0647831737036895,0.06247688876562834,0.06736540873857819,0.08039019366028806,0.04537754665664173,0.09240642178015175,0.052887641971085815,0.0875563133658242,0.0665512563694069,-0.030849550472871197,0.3413444449705274
F1amplitudeLogRelF0_sma3nz_amean,0.024238048088549687,0.16537922126976778,0.12949241013532858,0.06175022134648321,0.08521687208586774,0.06598352860446606,-0.01614866946499659,0.02535893891670762,0.03744062019480383,0.03647066981060926,0.045491420580046744,0.05279687213551543,0.036938416796979345,0.04851692272330838,0.01235258091242408,0.025800877578893492,0.05223982251327169,0.04116716961904292,0.01282016785468282,0.0829735312852932,0.080234238964314,0.018991106731504896,0.030477680169792312,0.03132180110634975,0.018206382375390087,0.01977262251333541,0.0154139919659629,0.1350282772381334,0.02597270809502416,0.0820645044429827,0.056095950432269205,0.023167565496899713,0.17411617282171318,0.0329927069411995,0.03456947893325375,0.02315049440776235,0.05627501181725619,0.020178260619867175,0.030710342659087755,0.0044281537375994145,0.004525671516591587,0.020233624075802977,0.01579362978323312,0.025180340722037692,0.030294189273304205,0.022870243300226016,0.025119682017529073,0.010418908701450123,0.03603987331664486,0.015182283195677486,0.0429021108071848,0.038547799660849424,-0.01614866946499659,0.17411617282171318
mfcc1V_sma3nz_amean,0.04011129210073186,0.03153113627901092,0.06400242455997329,0.027021880437322298,0.04261410049946807,0.06927158305204222,-0.012260337039796216,0.05594560392615477,0.03407883341851615,0.03180710241393404,0.04741000041696534,0.032897921072150164,0.048820601427129434,0.03811172460251558,0.007323520056043773,0.1278435603826006,0.03987054534034263,0.0840705265783498,0.03356638234079445,0.06815019090656951,0.06684235525172053,0.05935316144192318,0.023970387237201265,0.04787407600919294,0.015069142121903387,0.032934997430602055,0.015641120868433733,0.09369212340153701,0.04066416468909746,0.025874215286140242,0.047957458916436935,0.025083892892243356,0.06350171089874206,0.08148930873243866,0.03077969012279745,0.01618452873168078,0.03399285555904665,0.0076787472932482136,0.0205372713750683,0.010910418992676446,0.01445731804086858,0.012104354064219353,0.025324547996248902,0.03990985461729493,0.045116899365949294,0.08058169246884243,0.11372249909914274,0.012899558325602295,0.036411089517923524,0.016303109284058103,0.04138102285606198,0.0274813269262883,-0.012260337039796216,0.1278435603826006
shimmerLocaldB_sma3nz_stddevNorm,0.01984993540677493,0.1313359563534249,0.07876260698622863,0.030208499125967174,0.07291024493770938,0.059007184986908066,-0.00808783788111243,0.04094067011618491,0.04365277119942601,0.025204554576333044,0.0628475315732335,0.0361414246646384,0.04085402348798507,0.04885407000105624,0.008235421457903345,0.030638157157517353,0.04293191371764129,0.03245185117109214,0.02741269584418644,0.03940308152504566,0.036049083601729925,0.0311398842304335,0.04352193210597191,0.039465103610481854,0.023490939482054888,0.016840278941441324,0.006862045742759181,0.04215484631038659,0.03364987530297915,0.053033245359318575,0.03464436332395858,0.021551511702019986,0.06907980104897064,0.03364084511153777,0.02597025482192374,0.019303860659776257,0.03186968394025108,0.01726065726835677,0.0640329344816504,0.004294990622437804,0.006659420263985031,0.011492700327155842,0.02262371379589341,0.02631830871892344,0.015880316729226084,0.03568738208964647,0.03961218138780413,0.013582518208546758,0.05656134031306936,0.0130248524826364,0.03505707256786942,0.02293917616125735,-0.00808783788111243,0.1313359563534249
mfcc1V_sma3nz_stddevNorm,0.01764482684274098,0.07945833203699668,0.08887871928285603,0.04449579619064377,0.08478430771059986,0.1401319694311803,-0.007474372562999233,0.04351865217352602,0.06124890796120754,0.030790923989200355,0.02206104993935236,0.00988026940934933,0.019723940336991947,0.056404084209274286,0.003123640523158737,0.012656032413793095,0.03246017752705514,0.029778694975386523,0.017058722586016952,0.07310612070964369,0.05319907514286676,0.05008593927218923,0.02308956074049421,0.04760261071751984,0.015526358715560422,0.015986011321014633,0.010992040132473345,0.07438032523967886,0.03403737758577734,0.02467957108777265,0.027171862480012004,0.03113998892153645,0.06995376749310477,0.03607225273835478,0.03017192420544216,0.025584811480882295,0.06595267789901398,0.017227937740154707,0.014675567138506417,0.0022396155513707966,0.005962862563592819,0.01530696513516484,0.02356918333862915,0.01426772096907205,0.01795821805600459,0.016918276165300603,0.01869016564224928,0.0041188082803028025,0.053486685232360394,0.005024554495069785,0.03409607022334892,0.027940085579936772,-0.007474372562999233,0.1401319694311803
F0semitoneFrom27.5Hz_sma3nz_amean,0.010566686319672683,0.06774370494751077,0.09443928477022474,0.035325605016539884,0.06408713588881228,0.024254884585326514,-0.01027391452000568,0.03739972848686714,0.012107906983453173,0.02172222811643932,0.0849510457134501,0.028823620484880744,0.0610474840368753,0.029382387112446746,0.010900677174885218,0.0053421492153850345,0.04610332385142778,0.040207927541203344,0.016374121339867872,0.02262854875505521,0.06057235515053391,0.026284229366043674,0.03798200658520885,0.04092306704423134,0.020035001963266085,0.011785065075841868,0.0033342320331897234,0.15072214296758019,0.027413336189250053,0.05632998233183515,0.027438897592298856,0.01890769595343226,0.041782656810531706,0.03340290436689903,0.04819619365711975,0.015102544472757568,0.03444848149957882,0.019692720763714942,0.04854813576442229,0.0037582086924004983,0.00533553289700926,0.007417003834781146,0.01772153349533234,0.011657229884356753,0.028773179500562233,0.021424236377386035,0.032138459505981654,0.008270958545389402,0.08250882883707904,0.00444508923859886,0.03298972892433862,0.028094415568898082,-0.01027391452000568,0.15072214296758019
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.010591312348121655,0.031031116565720468,0.043808839524671885,0.02940521790523385,0.05428152600918149,0.023271059769189428,-0.005323718664604516,0.042932630992200786,0.030985268154648953,0.027454607065582066,0.035156398825935485,0.020746031149815325,0.037990135725750815,0.04513948524371316,0.004778590419954107,0.02209814899169058,0.05817202245506549,0.030217791391606838,0.017392592536584907,0.04651124209061879,0.053807681978446154,0.03619772833372261,0.023977296756622798,0.029965425930105413,0.017439789853165508,0.032368210793473275,0.024202846116520297,0.054929866789572034,0.021213286870290306,0.05580473204124147,0.031232357231152016,0.027992082042538342,0.03379186305398075,0.03068457783700541,0.0291151812246502,0.025027718384528275,0.016708921659243203,0.010544996045350736,0.02090266898551289,0.002914219124162946,0.005741164254893526,0.007925178397373795,0.008693799947952364,0.021696144186043875,0.0514503096629441,0.023230102146716468,0.050188680548874265,0.01266974667541283,0.034728157344434143,0.010328227443882284,0.02824226520320988,0.015259863390993618,-0.005323718664604516,0.05817202245506549
logRelF0-H1-A3_sma3nz_stddevNorm,0.011599176425042344,0.11549779521891727,0.07114754907530761,0.01101127859290384,0.029568594288593614,0.24886676182886117,-0.013408575777147878,0.04693747513581326,0.013540751362005263,0.010263304161358304,0.013307440170112414,0.011611667048803627,0.01301257631219862,0.01045235229428161,0.0021648499803374483,0.022639420129493854,0.0057455251975762804,0.01718529576268864,0.007845549986468404,0.03134216506174282,0.01525264497531557,0.06390264430606918,0.0053179443708508195,0.018622500204672175,0.01131062158054793,0.002701961645591814,0.00876388026303859,0.021696566752818593,0.05058809571592778,0.014822001332106807,0.025473399106455904,0.01094517049133649,0.029398847736391995,0.00807235924615467,0.010533042003335998,0.010911101049431084,0.0819383885702262,0.0036679631129926255,0.008353977402857734,0.0012856286756924517,0.0025070259292398565,0.02489207520878241,0.032215947071611815,0.00651786209962483,0.03348804491600388,0.0074728795587696625,0.049650063638587,0.006428650014618232,0.019264777550702522,0.0012753111940123204,0.025352046559582512,0.03927449757514521,-0.013408575777147878,0.24886676182886117
loudness_sma3_stddevNorm,0.008760573718239963,0.03627968552578367,0.08648301477791022,0.028959402746035895,0.04832349285394765,0.017026363858852585,-0.007389397570383894,0.012177050965747817,0.014122039702896891,0.02359461157729307,0.04343337448183091,0.03281469103008078,0.028566616239629132,0.03171252886861348,0.00612087792656275,0.005702453805031297,0.03542920145542342,0.028309196000619357,0.005489447794237462,0.04622540942381795,0.045625709709338935,0.011625051666640544,0.018558482527854445,0.015073835753089569,0.012968477453043808,0.01279353927257064,0.006562502229540093,0.0865892578387784,0.011341100446325232,0.04497446848633354,0.03714961986282642,0.015273546587875386,0.04280184407006375,0.02132464605647366,0.020402025200476084,0.017914692853723407,0.023314728423227057,0.008856933582922093,0.01599731996456997,0.00555428770564077,0.0014246828235366421,0.0036693739565170536,0.007505026577908752,0.02245357385592875,0.021430130230640138,0.012948784299420306,0.01185152123812753,0.007927230470742902,0.06428922112527545,0.012943802697027178,0.02346572104297218,0.019445770097272823,-0.007389397570383894,0.0865892578387784
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.02762746630558694,0.021609216281681387,0.054207531572426075,0.020727578415308097,0.021210180450833522,0.021580456110103948,-0.008869190012164203,0.01891973870777389,0.010396672176857568,0.02930584805903652,0.027946295876566465,0.02520767938686068,0.0378552393046034,0.019366401777196937,0.005324372510771371,0.02695179197784588,0.025746005354905194,0.028620012326403852,0.014833625685392338,0.035850357302048094,0.041198471268116134,0.02316681165218694,0.02909658273414962,0.023534747550571476,0.02141990536050941,0.013928254639307344,0.02042038105068064,0.03941887360290974,0.017805147270388948,0.015863486911373268,0.024430189653386673,0.01672614842422707,0.020921589088606512,0.025007605292097855,0.014679608497223008,0.02372264885280785,0.015998087948385337,0.01687707802857542,0.021580031568532904,0.0033789898074261158,0.004300711008008859,0.010207892442919161,0.009816275987689773,0.011762022140062214,0.03360445016973956,0.023524201626601276,0.06960308427018057,0.00492213777003273,0.029254390989247238,0.00810902790079432,0.021973922261535522,0.012754916822982049,-0.008869190012164203,0.06960308427018057
