,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.033235364781862,0.11020195445758124,0.08362208369719756,0.08609533773440259,0.11197103470996746,0.33409726516629845,-0.01023275715871518,0.09239855778911965,0.06705221808886104,0.028686733038537724,0.038788020746830174,0.09060523637183092,0.1023795705940048,0.16332201739432603,0.02234879364988571,0.12501790690888298,0.16918290081177859,0.047772049092718,0.07562088723691228,0.07538017477388767,0.06764609486999296,0.04229897024036701,,0.1054904874806179,0.14673670543507972,0.0590483628108867,0.12974670113997486,0.1874947304711476,0.05701247583829723,0.08121567537345577,0.06531356003762646,0.11043194349168975,0.2592040434110584,0.04888139322515908,0.05268928460147876,0.01939626341105724,0.08777731323207931,0.04367710843271383,0.10033933590657768,0.008002185766518465,0.004795953234360697,0.026528032691851024,0.0921807788813677,0.031687974328836965,0.04454305826032011,0.05052689815732091,0.28496390726140103,0.07515867859637843,0.2850414375215737,0.01676812031933386,0.09045189437376924,0.07376344796624286,-0.01023275715871518,0.33409726516629845
mfcc1V_sma3nz_amean,0.015682493179082668,0.05389945327005289,0.023282184246645243,0.014893638464174467,0.06846433003417202,0.04093309629893373,-0.024461192162414682,0.04471993547778247,0.1450288905351007,0.25423948657614576,0.1609552451952747,0.016484336849900603,0.09225131886558163,0.05073677095970224,0.01472660655784223,0.04984394755599239,0.049251417108402716,0.05405832560595593,0.013346055532398803,0.08638493335944544,0.08656645105052002,0.19074484095030272,,0.06606031912320574,0.013182242577971902,0.022004133921899236,0.28156851990444703,0.07571294073416257,0.12082460333496792,0.5396563828346677,0.23363279297473186,0.01828163261806281,0.11349017370204832,0.015044668617098836,0.07108521890599323,0.025048284687750524,0.020057234186129373,0.029199174677915527,0.02887361458211511,0.003972948269174945,0.0056143387779632225,0.011522036541053762,0.012568170790103514,0.02253059410405274,0.08333556037475391,0.11185749218027932,0.0575307061975168,0.01026098756290131,0.0264070218294593,0.058975395177425644,0.0730679541775275,0.09403859199718721,-0.024461192162414682,0.5396563828346677
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.003721956476459211,0.2230804424038875,0.038745388055035246,0.10342426944961751,0.06302126519858324,0.11863070725726334,-0.00323498527992492,0.04867728807519391,0.017405918721213096,0.012326368754199383,0.016641345192922652,0.038429169505326426,0.12364249570607426,0.11764708431016925,0.0027365230524178754,0.11045620446831365,0.073438146255502,0.03512077147053212,0.00588727566304112,0.014967829890000938,0.09094391978327854,0.009299753937489877,,0.013038752522450488,0.0154823752151927,0.026635293143472846,0.027600748207551335,0.11709001345136912,0.035991604905240046,0.01812677602253253,0.010409743702873042,0.0062641156160483675,0.0334230971280064,0.011660752077829387,0.06583930018442534,0.14795458899451003,0.03638322728990958,0.00930111698918851,0.025798660804058904,0.00525851245321422,0.006590468023009556,0.009759089198514566,0.0007748182483558306,0.04974359222904189,0.11020105951041406,0.05078165175606269,0.08040528719612598,0.039056587645155315,0.051479961473388826,0.01089707499199536,0.04655015116992925,0.04739127729350951,-0.00323498527992492,0.2230804424038875
F1amplitudeLogRelF0_sma3nz_amean,0.0024356578092119834,0.07802356468745208,0.10159454863240283,0.08092705666235436,0.10738957119652599,0.022432240701103383,-0.019541754452064235,0.07109695645952532,0.01577384296705069,0.00912962813545525,0.05434340449935735,0.022884567230950878,0.1165233658883031,0.0159136382502064,0.006716992867684457,0.022882979868212545,0.03407182825265078,0.07163287924166517,0.04391696316629945,0.08180540541918699,0.047019322429289266,0.01660451948880745,,0.11257723561936811,0.04606803346516753,0.046715388505306106,0.06486472745572738,0.15253516600619632,0.0322789366083429,0.011220129957692306,0.009874199856545474,0.03196078418782164,0.09726388903037234,0.1020314056767156,0.06482631467835179,0.008228985773826759,0.025810681205996604,0.028852630406609497,0.037657155933140896,0.006279003015355202,0.005151479015841261,0.026237035445037606,0.02016521775934352,0.029820190994584213,0.09801663228383688,0.02928071972493447,0.14962865242377457,0.005852572005947609,0.02007374742961383,0.011604754065648426,0.04649903771291287,0.04024707108890278,-0.019541754452064235,0.15253516600619632
mfcc1V_sma3nz_stddevNorm,0.014900935359819657,0.08232648681504176,0.11235346915756941,0.06494898747708248,0.08538351809101585,0.040916822821777735,-0.010330362682614957,0.029942536426452143,0.0363511190284402,0.017826485877600887,0.0222551652428478,0.01447828058886772,0.10457918003229394,0.03877382855103728,0.007039707726503061,0.0369689293617997,0.04571936213750019,0.028336902957153836,0.018948472864616574,0.07465470794546523,0.06780048337529708,0.017648903148262958,,0.06289605624920169,0.016789352815850922,0.03188126318708363,0.06410354778466602,0.14721163292106706,0.034905039255462324,0.02672669435366322,0.04809855714155357,0.030098495662424674,0.11084100618385713,0.04423566520041008,0.049606070219268994,0.07119900352854874,0.04395166501325439,0.038290842347173254,0.017262108685478752,0.007167276033077601,0.007838222832801004,0.018275586583753563,0.017716040277142145,0.04545348681513887,0.04978843966271925,0.03369534006998491,0.06148206292007705,0.0036742300605503582,0.022547994037844576,0.008653361575172455,0.042167611504511364,0.031651665027071126,-0.010330362682614957,0.14721163292106706
F0semitoneFrom27.5Hz_sma3nz_amean,0.00834216588361046,0.11625360204004159,0.07923732285574896,0.07007576006166398,0.12520033347903514,0.031382593549221,-0.02215186261203262,0.025787870205201596,0.013332077843543448,0.0026180811978315024,0.06635478374310905,0.022416941976678803,0.08817154424381206,0.03805312767839301,0.014242877576350337,0.010697487100114764,0.08045134938248658,0.060207812003077565,0.00661195288444918,0.08648430341412777,0.09874642607906346,0.004129599045417909,,0.06467844696923931,0.013921862067095015,0.03732150161192905,0.017178994046369685,0.11998536692367502,0.020926289310796698,0.008389116397335446,0.024233425366647337,0.004484270272769617,0.08339234411493306,0.04482227187868527,0.05895665636767701,0.0098416923353142,0.018220279143123085,0.051261186966283366,0.03492675131034962,0.013249935358668532,0.010344112315975906,0.0652537470243226,0.004971863305843979,0.02299114995060947,0.11573022319101538,0.02125475950161374,0.01550066708917989,0.00331376887695539,0.02165038959849604,0.004814775847122328,0.039556367281081056,0.036676248642085324,-0.02215186261203262,0.12520033347903514
loudness_sma3_stddevNorm,0.0020117507609515592,0.08190323402276638,0.10014062212537038,0.0926644030068354,0.10055986673106239,0.029791330513388243,-0.0069288833347358764,0.022547518131324794,0.01755544821956474,0.016466031731063816,0.026246321907824756,0.012420752051287766,0.10403828458866982,0.03319970030304856,0.005453634753176471,0.03182206814635469,0.11534795926520003,0.04108819771719982,0.024527779958773605,0.024751694289358857,0.03352933917142478,0.009278046258218672,,0.042121340163263396,0.025136888291798363,0.03191923290335622,0.08923280129867599,0.08478638624872782,0.008460123413683478,0.0,0.003496044301515027,0.045650499038912475,0.03868196093729808,0.024810071103611563,0.0251435007540251,0.02582302088667527,0.0242032172357075,0.037809357782324214,0.030161935440770813,0.0063130875380054295,0.0012225831960160295,0.015784126102460598,0.026150570904076395,0.0451422703319703,0.047494291858816304,0.007663420840136508,0.11354693233794552,0.004322314958036633,0.014331718729425867,0.006648914219648274,0.03560146349255128,0.03262467768619279,-0.0069288833347358764,0.11534795926520003
F2bandwidth_sma3nz_stddevNorm,0.016523381753609408,0.05548932400103085,0.060305576072486405,0.007934603797848928,0.07687195178866892,0.067387545004485,-0.009195120907537414,0.04287036265959299,0.031505148117408205,0.0076122592645283225,0.03869057884249957,0.042517918529485305,0.014748355795664489,0.05179128591447197,0.003793723720444467,0.05272403789688708,0.11350092058102988,0.022270497123370973,0.008345255799169596,0.07980693235334793,0.031641904175062095,0.019271418442628765,,0.04438815330555321,0.023691289902851922,0.013532105711875487,0.031731694614296584,0.07266814072730751,0.024337565920662507,0.0408868239117916,0.04860974589671165,0.013589834849308317,0.07317332274820923,0.023545681301962496,0.032306557940471624,0.0076728930623480626,0.013505190769723882,0.02110703509069284,0.04927446322203405,0.0036159201535260308,0.0016672084359294341,0.007610436899718326,0.006714456468552682,0.021509675424493765,0.04356461687877379,0.015278414112168234,0.14453607904613613,0.012156112322330253,0.02330570912422132,0.004873063927486542,0.0337808173978637,0.029605220837312065,-0.009195120907537414,0.14453607904613613
shimmerLocaldB_sma3nz_stddevNorm,0.017076967793664306,0.04862687146033826,0.05151224481806563,0.018641290227776657,0.07895087464964752,0.025368063033299675,-0.01646890273571101,0.04714372750294371,0.01886365611139743,0.015377194059939493,0.060048435588148596,0.0098467523624095,0.012894416044126125,0.02788588206223083,0.003135463008122312,0.03669008225941629,0.10585217235797334,0.05256636371565364,0.019580405172225594,0.027334719408654055,0.0911298702157981,0.020687549821178965,,0.07915900088688553,0.021156872899480088,0.039231625046545975,0.017506003534261613,0.09226719942969126,0.01974132755239747,0.01667766962950768,0.028798940821808092,0.011880907534949893,0.03191378459538535,0.040569916242053056,0.0750162961073074,0.003922855383967654,0.009256903527782715,0.025163296440090476,0.036076341098585964,0.0054913226056229015,0.004232286999737138,0.011082182351120936,0.025307178590028942,0.008656606553949385,0.047785346709297245,0.019852966800094886,0.031561019833863856,0.005852512132923518,0.02777685519540644,0.012214854684011211,0.031038697390286855,0.02587281530524991,-0.01646890273571101,0.10585217235797334
F1frequency_sma3nz_amean,0.012672532547696277,0.014039769394515525,0.08497167664434599,0.007551455884259772,0.016224261559741483,0.01881651098418704,-0.016450844860646956,0.05783734609615529,0.03689019725961968,0.05289406807492469,0.09453208129542943,0.06540254487138629,0.018579333381724874,0.02441664309453247,0.0038674292003775205,0.029526943822320673,0.03581166127112062,0.01272848836812069,0.018052043024096583,0.0625638464451865,0.015526417632581549,0.10319897594431085,,0.012461480939592885,0.020418361808163987,0.005449939661850406,0.10960877044860873,0.04400104353095013,0.045991987967377364,0.09863293481768753,0.030987423074909426,0.011434998136436874,0.004552083466646179,0.021734786731455905,0.01137600928335353,0.028281006241357785,0.01922406826481642,0.010434644395073285,0.03213108289223714,0.0016728311488332936,0.0012508449484505016,0.0034597008240856006,0.004610002647499104,0.013998650675917717,0.022633996898881438,0.017080053086950108,0.06042393316885471,0.0022248184801505087,0.004288050890017497,0.020739730389783422,0.029158298301141392,0.029118440589421864,-0.016450844860646956,0.10960877044860873
