,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.032311462950394186,0.09687483518312608,0.09168579920970703,0.061944673731356176,0.07904158640617374,0.10123134340469075,-0.015044412080892767,0.04246796164100925,0.04853607827827004,0.06197550574184558,0.03599217118314522,0.051595455946978105,0.04169611175544196,0.06505792898509526,0.008247355978767,0.08012677378439256,0.13279025847789938,0.03541720856578298,0.03821631470431404,0.09297919049756527,0.0507768477384701,0.029362950197979115,0.06912787026876457,0.04646300220831962,0.033941366788476014,0.02874960009082287,0.10702854488065715,0.0997634870162221,0.045690641957438334,0.15205451780416335,0.06779501594950268,0.03003904178108819,0.13610016056247484,0.04267196879722997,0.032672657787030004,0.06535643792469695,0.05064665649024629,0.043012087498526926,0.055695193873727775,0.011425046545141277,0.007574081024682139,0.022176249463190804,0.029116720841434168,0.03443306372725657,0.054792656526831365,0.04361690960931743,0.06930374181132369,0.030486899716867712,0.06447261821161085,0.029803987347934466,0.055345872575729774,0.03338039748450059,-0.015044412080892767,0.15205451780416335
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.010684630592701212,0.05734709656405934,0.04535573651907172,0.03844331329185477,0.03511826741365654,0.038517524199292115,-0.005696651345248345,0.03578373919837815,0.034412555657684675,0.022229439902267698,0.02319913327330093,0.018814280726297403,0.034032423284864485,0.03266600758848347,0.005434729280064034,0.040029021903039544,0.043353702829102995,0.027122566488907065,0.008999308111069314,0.043400400230283076,0.02692137130014958,0.01793765700332717,0.018863340781725534,0.01968914629511452,0.01780583958745999,0.018278316292002834,0.03587742035694743,0.04491858254548645,0.022115247673181678,0.03815832848052746,0.020041816518614527,0.008973683010363,0.035081814365240466,0.026815285390710715,0.019830573915472802,0.02756658886045037,0.016429021750505066,0.00856400378406128,0.018025710313337037,0.0024746887285736277,0.003389994449818394,0.010315019362039074,0.005562362042912656,0.012734590209153957,0.026769246549168978,0.020216600902960836,0.04223796294726685,0.013549978705040088,0.03546543124279516,0.007061138342379429,0.024218359748318347,0.013646198169047717,-0.005696651345248345,0.05734709656405934
mfcc1V_sma3nz_amean,0.010146257217903626,0.05048446998144744,0.03867473355176676,0.02990233479197106,0.03993803349965869,0.046426262120043436,-0.008631285607916362,0.02225748408471309,0.028228985339486666,0.025191295628180992,0.03344475069011987,0.014719020086845563,0.02575373902994486,0.023158285450942617,0.005833226275535319,0.03065215375382983,0.01776652757624568,0.03834790663309992,0.011411881967758676,0.02683233057976705,0.041968086137701026,0.03297067308584696,0.012250002464532068,0.031709979973712464,0.00874822726459469,0.014289524690972654,0.05246842703138519,0.05717060016099751,0.020948257367044767,0.06430700363299632,0.03206272220916214,0.011798325329286772,0.032225967403377805,0.026397155488598143,0.025176447936790646,0.023175079905356305,0.011143178637383627,0.00500260657638966,0.011803114782550247,0.004482295372403933,0.004609139984106347,0.01218269595631392,0.006446311145822734,0.019790971020916762,0.035707645591427375,0.01814408219536214,0.04055493621198816,0.00549232480027298,0.017816237130012434,0.009346923046830751,0.024014546703709626,0.015265888653110224,-0.008631285607916362,0.06430700363299632
shimmerLocaldB_sma3nz_stddevNorm,0.010026323883768565,0.04675881674590032,0.042255333989318127,0.028166938197494582,0.03632733765063009,0.04522625664925409,-0.006632082008894506,0.03436631007109319,0.020535129787676763,0.014856712518401479,0.027695409073604443,0.017914272829143266,0.020550009086909023,0.03577633679108503,0.004036548102541085,0.025941305489454683,0.03707026058267455,0.02266999696407503,0.014285808406808478,0.02270492338068341,0.02678805619649075,0.02862208282530569,0.019468693331013583,0.030168975383482923,0.015295094216036342,0.01958600422542126,0.035357440259462504,0.04389883401211139,0.021381974146528985,0.036173637439501735,0.021033448763026992,0.012535458384882127,0.04441862515815183,0.023426954397153865,0.014115384469927335,0.02186329315529536,0.016785879896321864,0.013392245597223107,0.020391475325636375,0.003548115843975707,0.004570712126218807,0.009180502058695039,0.015143351013182583,0.014434187793738349,0.02682747388039009,0.021043168676258175,0.03353050638691673,0.007344528324636979,0.035013616157198835,0.008938005969223966,0.022896193472100618,0.012031521700214756,-0.006632082008894506,0.04675881674590032
F1amplitudeLogRelF0_sma3nz_amean,0.011599279920036997,0.05406550577106423,0.03473901584514071,0.027694110940117075,0.03868117990253827,0.048185078363492256,-0.011096533419565534,0.014330272472066936,0.018800893955537384,0.018065326333470424,0.02959857638334838,0.015093534512193184,0.03175461311242692,0.0270481946492331,0.005414339220100999,0.020005763430620046,0.037789064046915566,0.020264907408782475,0.01069336901329311,0.02380279981416005,0.037500766617081245,0.008826333560355882,0.012105928882456337,0.035646413607999236,0.025103557061532892,0.010356351746719521,0.047611106530443086,0.05259293995981151,0.015729489649770542,0.04128934006525566,0.02050185106380762,0.01732073776230686,0.03870090955843046,0.01725674485981385,0.01540121692303535,0.02052897617462265,0.017077099969842423,0.00666764968618666,0.012260878296678704,0.004668546497835318,0.0022380237343340038,0.016622459681298597,0.010242513583648824,0.026860474253231705,0.03312532432801101,0.008478514192101898,0.03813734647303058,0.007482108574594013,0.01534270769465301,0.00858519677208649,0.022015815988718976,0.01401358334680149,-0.011096533419565534,0.05406550577106423
mfcc1V_sma3nz_stddevNorm,0.012470003902297449,0.04129834651075945,0.037743240123576154,0.03307247361600314,0.04767043452983754,0.04305344562454651,-0.0063300397049928705,0.021322135678332726,0.036038000792819706,0.02244311718160964,0.0198638282420523,0.009480693403659443,0.028957651079458992,0.02166797800301872,0.004091265774995363,0.020384143858844392,0.02706057186848058,0.02265732904517531,0.01017584338901723,0.022497342413331994,0.03585867774281623,0.027215203742457256,0.009539217967145729,0.024172420033262438,0.011195799293806036,0.014102224408326737,0.04978000340069532,0.05462833220488407,0.016696293746390888,0.05189448115486144,0.020330881767082642,0.010577290326266493,0.040102779843033114,0.017452236409865172,0.02338482114645738,0.014118279144474208,0.01824842862054559,0.013727762032578632,0.015192199182963773,0.003664363789695942,0.00338190256669198,0.007495832906746612,0.008874495897144643,0.010724803011611744,0.02037133709438076,0.01874270381699542,0.02061215578752792,0.003238696250397765,0.022236063563573324,0.00784460181698262,0.021420441880049716,0.01368937318656653,-0.0063300397049928705,0.05462833220488407
F0semitoneFrom27.5Hz_sma3nz_amean,0.007896178464556699,0.02593519059028045,0.0434652249553341,0.04262665343970112,0.05675782206952445,0.06550685764855334,-0.009299373225371861,0.011603565228711804,0.017289820974397206,0.009038613275445133,0.03963930462209661,0.013253506463578011,0.01976904149618813,0.016455142291487874,0.007135366272513455,0.010130358016090378,0.01715695954498273,0.024838662267996935,0.007720041323054547,0.022078448863130897,0.05326016709152926,0.0196882098755999,0.012611114851772217,0.020873521125048165,0.0078379918700755,0.01680719272574337,0.024790311572585554,0.05040861361766453,0.01585015933806598,0.03143560125029757,0.013647650810963903,0.006423940161547204,0.038469791091244154,0.017287043738097013,0.021916329292273107,0.01090250298582841,0.010017010912775369,0.010443812105578685,0.01317276359944505,0.004242349416210446,0.0027942903254194206,0.017685207460720265,0.008869864961246171,0.008119000926944665,0.026371012671179066,0.009457415315914612,0.012683033910757492,0.0037226524464313905,0.02084628006101736,0.002725393488205139,0.01924715227164866,0.0151555236719773,-0.009299373225371861,0.06550685764855334
loudness_sma3_stddevNorm,0.007543218171247902,0.03363376806933331,0.04391016603189011,0.0366392477933998,0.047674315688932774,0.04815530737221454,-0.009478775758355902,0.0069080241287399315,0.011787571172245232,0.014921082170009327,0.030577461688921823,0.01552465716500761,0.03025335367776252,0.012194952402776077,0.0037295304942032447,0.008594877171463846,0.03235057150288631,0.023624088176024318,0.00852394594616584,0.013504989638680858,0.025033249764384546,0.012377559813140062,0.011208878763349165,0.010285178507750964,0.01727838799184384,0.010637552730273291,0.04099903741566293,0.05692873168635729,0.012600353608393216,0.04404708832188054,0.022920144715552634,0.023409903777506704,0.025929791185910045,0.012016625877657503,0.014105378693529758,0.012284507688417372,0.01447649022178072,0.0046129296474958165,0.00990444166208423,0.0047672303522852755,0.0013053257714549169,0.005886131041026669,0.010049848099130822,0.021314861565076667,0.028586988496822036,0.010051779231943636,0.0345714540975602,0.007181264579238749,0.017818888457433176,0.010791035267825108,0.01907906783472635,0.013973200586268376,-0.009478775758355902,0.05692873168635729
F2bandwidth_sma3nz_stddevNorm,0.004257747999153213,0.03437332491555134,0.014754680110251299,0.01731720916920517,0.05429762812872269,0.031904660074966944,-0.002088766855505688,0.017876995078142544,0.017949254095251867,0.00994047365500669,0.02410168676434916,0.017889126419544696,0.030423331076410275,0.016091157103055916,0.003900028058170598,0.016471098890856153,0.020689969066639464,0.021277115029399996,0.005478635789103847,0.014787383665777537,0.030364866277753394,0.0071667920017671975,0.009525858093394882,0.020263678255893477,0.008322679604694244,0.010963112256110926,0.029234604270102344,0.03841674959189528,0.014633837243842214,0.035648287809000236,0.02246862291311294,0.011055008846616185,0.02870600032378086,0.007182251020927452,0.01777500458173794,0.011847038434903253,0.008498552917488836,0.008535152715153064,0.010188618049679271,0.0017997296209669273,0.00260834614969593,0.0064413575727732784,0.004742390938400708,0.010391294407246156,0.03464812066997583,0.009113570108143192,0.048067443305770945,0.00746257032038877,0.013445507485239757,0.0017844699730202257,0.016859885079870587,0.012182064442159173,-0.002088766855505688,0.05429762812872269
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.019522593054406782,0.042285587659518724,0.040947052233348866,0.020079921144545067,0.01852401309032111,0.029601337010804016,-0.007760727576375749,0.014199608471954906,0.013579038528897145,0.021269787543242782,0.020150184354921538,0.017144789686784175,0.016119505326171398,0.02145365474764393,0.003010432057857496,0.020127299498741903,0.021223969173068704,0.01878302696351324,0.013078718892991406,0.021094007394034813,0.024844165814928973,0.02455329206605067,0.024347016186999144,0.013253946652254224,0.006601386703787373,0.004780162574967082,0.02235355341712908,0.02822661169153389,0.011829250392302738,0.01913823613550635,0.014080369787054969,0.007059088404795013,0.012365334609297686,0.02668058204920721,0.011297016004050574,0.02377677127983011,0.015287614245851448,0.011480216058184169,0.01574491532706682,0.0031795960893818507,0.004505374770924206,0.007050626550510103,0.009232764219539119,0.008486300839382682,0.01913171923317081,0.014151072395986506,0.017793617264270686,0.005224167203997165,0.022947027846811203,0.006547240371653645,0.016407656708856355,0.00911465443750248,-0.007760727576375749,0.042285587659518724
