,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.054194696662083076,0.20294947726800852,0.24360359918500202,0.1179069445138265,0.15097132245535946,0.1236375526313982,-0.04227497676986761,0.0649330310077199,0.13510006850067027,0.09172512749730019,0.09373946407519194,0.08479163973716981,0.1657058383224434,0.1773482242541157,0.018319265638520866,0.11838189939250125,0.15133609912137624,0.05395856707267123,0.04790904514954559,0.14976394313454391,0.13165869236485533,0.09147381752351387,0.13498176772275558,0.14641826766750438,0.11022665226770954,0.06307038477961573,0.19044862909453802,0.19360876221461562,0.06144920593567085,0.1443254082327371,0.10125564524692773,0.0437145493701514,0.2300172618858933,0.04168945502128888,0.04536769824384559,0.09887516589069482,0.07751432765346931,0.06813568619043041,0.08903957759020063,0.016788819543955998,0.010222089793921857,0.03994713637006954,0.05692043466818662,0.07639718408569257,0.13234868664438756,0.07553349274161285,0.15561668600559905,0.05536118678196709,0.15561536052773303,0.04435501304185853,0.10172755747901967,0.05920908686526998,-0.04227497676986761,0.24360359918500202
shimmerLocaldB_sma3nz_stddevNorm,0.03563829125082047,0.09848219262454529,0.05618771058484649,0.05799450847848626,0.05067231250592573,0.057596154998470296,-0.009977846538721302,0.061368201305112495,0.03774435739872937,0.027906392506169136,0.055239676219468514,0.03552824963873357,0.04996630369832206,0.05296190977346647,0.00698731369782573,0.025423502476873874,0.09935632056724142,0.037373890038892674,0.03798486702245583,0.04588026799794153,0.051060302492977154,0.03878626243943882,0.04048300905428918,0.06734640760454771,0.038758305152552124,0.038940779301867144,0.056737104450853684,0.09230617135442129,0.05001968756664831,0.05469129727865656,0.028467320612395458,0.023308195899131804,0.06900503292563442,0.04025599412402397,0.04559811978151582,0.032212308097709516,0.029991853408945356,0.0232286846901064,0.07382384751463829,0.004831373745998562,0.008162091340646273,0.02003740825897795,0.035382027489346886,0.043279695091140644,0.05395380540275589,0.020484398224623074,0.08240378639419962,0.006818787500714961,0.05157171351664729,0.01176248957848203,0.04308045673078984,0.023080156122403318,-0.009977846538721302,0.09935632056724142
F1amplitudeLogRelF0_sma3nz_amean,0.028693714105486583,0.09824653211503931,0.07422384992915926,0.04241155369436176,0.05073010187749511,0.05756511858104634,-0.011882224070182617,0.04020256441481888,0.04207240624705243,0.025980555339139573,0.0508119906267425,0.03971267113212163,0.07718752590354441,0.040863982705354414,0.009789116029993291,0.04761671512349003,0.11582970162706269,0.042953449727115525,0.022183286330868236,0.06618016431089362,0.053785649419883695,0.022161449437519652,0.027116344790232484,0.04929525664991345,0.04250235554480055,0.02217433254222947,0.06887017759417528,0.07904477805579427,0.03008895556981378,0.07369793122656944,0.03367103762745696,0.03059402786882825,0.07895634412445048,0.03281380929216018,0.04840802537956297,0.03946106277842518,0.02979725101026706,0.029665061690278313,0.03588801961991664,0.0075228324082241655,0.002918757079624693,0.019011476575315114,0.017185907629862565,0.05129026592904196,0.057416581616700324,0.022189000856279,0.05711562924128869,0.016108728763890957,0.03934991608520186,0.012618222496474766,0.041841839293095706,0.024291178853124505,-0.011882224070182617,0.11582970162706269
mfcc1V_sma3nz_amean,0.037162916909536624,0.07735041058991658,0.06361759360628853,0.031993140373543956,0.052022901983157024,0.06018978059627205,-0.010616844176709942,0.038744049043455506,0.0378801976271795,0.03280355282960392,0.026712606128620062,0.02679984630706551,0.040553959516565166,0.033304772621025686,0.008110887678074535,0.03215750909353483,0.04399863308922501,0.03785862864783343,0.01446557741355572,0.03647661752534993,0.0478679304021466,0.05196390258296453,0.02333388248723546,0.037499262588115555,0.012986569938261097,0.02110592879631269,0.0617035820965923,0.062475855061867015,0.023323376988416623,0.06944800672578987,0.04735233997648606,0.02452278298701512,0.05321126709716779,0.026589876788680123,0.06766769357216536,0.0365940141486062,0.013781313676860222,0.010299282336460852,0.024157417340921784,0.004771880200648565,0.008515798703906891,0.014900611826679644,0.015314971224448165,0.02808750565101389,0.055343049663467536,0.028214614022698224,0.06802533472759996,0.005634751740337534,0.0265039706156522,0.012306552722153447,0.0341018012818753,0.019729760092110905,-0.010616844176709942,0.07735041058991658
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.034091868377786966,0.07005459198861111,0.048328780561137735,0.04633680559589911,0.044201729405565236,0.06158637495859375,-0.015284311764379093,0.03422499223286453,0.041471630341089784,0.02074455715523683,0.04203362830664296,0.018882299943771143,0.06569577114211819,0.028098743991308597,0.006921379488890749,0.03872142013639064,0.04824078782529485,0.0470451312668192,0.02110161130355111,0.03825132315883574,0.06243255750285415,0.038901209882452395,0.020961031823707794,0.038749027109711134,0.023133559113421288,0.026849734657525073,0.060165805030440236,0.06110301401981031,0.03620202484312158,0.041334995731199094,0.025486779394792082,0.02461237899110023,0.05538419592485142,0.04067014747061058,0.03376036466515553,0.043194323619643024,0.024228730348432332,0.02191924520287423,0.02818392055817461,0.00628673402507749,0.005709683714628089,0.017633229400462483,0.018496064260967143,0.02493547700239696,0.041219758033183174,0.016812028090391076,0.07204292520841515,0.009106200974609596,0.032053105644559286,0.011516779880121918,0.03407668295081437,0.018223686339261625,-0.015284311764379093,0.07204292520841515
F0semitoneFrom27.5Hz_sma3nz_amean,0.01455546543287823,0.050207237841688984,0.03866721889447,0.030869885943396007,0.07572697968708528,0.05910776807082787,-0.007899092731517192,0.019503518094986717,0.01856683617905667,0.010962034840017724,0.06114232181565601,0.02527280846438795,0.02846096932299028,0.011287790203919724,0.005986962559356497,0.005315338585882453,0.037434265305083224,0.0193280833371363,0.009280307158669074,0.03556536181092927,0.042761365334565274,0.02515512726147447,0.019510505275769217,0.02802007306702403,0.019802270171010713,0.018391860259523298,0.013753196725350999,0.06963968421634902,0.010919206606714915,0.02073172389300158,0.026828039505251144,0.00915822054392379,0.026979318978432653,0.021027438233625236,0.040294108769051956,0.024501068095151603,0.005930560357954682,0.018416724142253774,0.025172376272356953,0.0035999560664449533,0.007263170080519005,0.010537577707426953,0.010916916309263135,0.0067791592075606925,0.02464287322402315,0.014184599028669058,0.016623598834076374,0.007824295037039927,0.02305741678285397,0.0018455321163580421,0.02287220045839843,0.01722689316704405,-0.007899092731517192,0.07572697968708528
loudness_sma3_stddevNorm,0.017862410502885895,0.03956029875062282,0.05534123590166022,0.033178913526511276,0.04485796501656546,0.03722454994543436,-0.004366008817623116,0.012193527050928639,0.011639075698936767,0.014316850637464107,0.030054171701837856,0.02814413645646347,0.04139760349250628,0.01833119796654893,0.008102432379921837,0.012980038126125696,0.040496423072968295,0.029816660545853843,0.014142773796596328,0.02484927525276916,0.02816889142531093,0.01309331041385626,0.012516106381579389,0.012289756806644559,0.02026689654960358,0.008375926598811962,0.051834201337623544,0.05755034315242155,0.011498937540555263,0.02654046519372262,0.02918754951699688,0.025025239655546896,0.03888489905481186,0.014617350918943327,0.021197158228271683,0.027250134209149946,0.010056531317933758,0.009499377037061,0.014821087405209769,0.003970898531931556,0.001787024200435487,0.006574859417545614,0.009863481451336106,0.02281881519959922,0.038338349106926364,0.012997463865176364,0.039297582085765864,0.006120031426545988,0.025030914297843775,0.005640800900624048,0.022304758284655266,0.014393851970854339,-0.004366008817623116,0.05755034315242155
F1frequency_sma3nz_amean,0.019667202781143887,0.03837210804639562,0.05099716525411154,0.018565976752341815,0.03097364342624782,0.04335267940689474,-0.006535286599855724,0.019913543622852546,0.03506037845553468,0.012422021670062306,0.034676808629728516,0.033720070032627995,0.02268076449524693,0.012608116742380427,0.004303113173040342,0.030021388065385984,0.028350627464136066,0.022402261904933843,0.010951491025857874,0.02835310246120758,0.026417526963595617,0.024213480413652122,0.00789565216946717,0.01656575997462983,0.031674717436110764,0.006449707311767352,0.030733705355618837,0.04712249022143331,0.016089001798361178,0.016538695788066052,0.023891177396550025,0.022923832502970313,0.020698003895202544,0.023642169270189695,0.022802851394262184,0.03772120210950297,0.010973960624501991,0.011152428756890112,0.023982415268957773,0.0018210451645202317,0.003062804566896299,0.0070906717172517,0.007460329809920216,0.011505021422952687,0.02646003221193473,0.016502888215074604,0.05231666413516817,0.007662864799393309,0.009035903075510712,0.0084652602715798,0.02127458881704414,0.01294627744303299,-0.006535286599855724,0.05231666413516817
logRelF0-H1-A3_sma3nz_stddevNorm,0.008212075860188957,0.020285159816811595,0.033809131566319026,0.027477352441743243,0.014875624160046156,0.07681444114590849,-0.004512823402225811,0.04335740317155462,0.005857614779572436,0.008932057283639983,0.017404176149431495,0.009435780810306497,0.027941376319041405,0.008909028395498907,0.003227873789194454,0.02764922519309099,0.023279294076136745,0.027411967609158625,0.010912073967621814,0.012554917092842231,0.014040367794836054,0.036498874068040775,0.009495300093084807,0.01613362738547681,0.012565047999468405,0.010892398082969053,0.01154478032485733,0.04204011682302459,0.030700948187910044,0.043668316261829515,0.017487412429328122,0.01122062467477814,0.013241487405416969,0.013722365343563964,0.0237467111862314,0.01933744884438408,0.03603577920835862,0.004677924714613731,0.024494086433681925,0.0012386482787261428,0.002131806858592869,0.01589624563880744,0.011558160021297212,0.019319318641530372,0.05871480116304042,0.006285259370045882,0.03438808403698707,0.00801776560029708,0.023796158071495783,0.0005287746504740194,0.01954504779638061,0.015254828053533266,-0.004512823402225811,0.07681444114590849
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.006112203398812991,0.0282674466286489,0.028537274389228186,0.024002763213233965,0.04772127305172427,0.04178734275161367,-0.002375109534009036,0.03493844574869097,0.020817068834196904,0.01567068601563008,0.02469995264372902,0.010233858178818105,0.030248655851441795,0.0183816361606262,0.005246544592254951,0.016799214934611593,0.01956758056088045,0.027262820813260955,0.005702046859008099,0.018648279179528857,0.021226103594602707,0.01741675692077898,0.01040204289566399,0.026831304857302795,0.014510793552645078,0.01538215858050558,0.027471963820462714,0.04841602654798262,0.016034872574108378,0.021654829700402684,0.01155455763936751,0.01048348994838852,0.021329616980947454,0.013790231866718359,0.019232687307438257,0.014473444045687551,0.006889572758957184,0.0059478373912600375,0.007919090157818888,0.0016659393739450338,0.002600481235486459,0.01186428474219079,0.0029220120334932155,0.011793750460670658,0.026201338708976965,0.01079291442377455,0.06475882136270476,0.00879380076670419,0.016900324127480056,0.0050264504235876094,0.018331149661439693,0.012875046951803306,-0.002375109534009036,0.06475882136270476
