,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.058349252165337206,0.13502789214298813,0.0286612411171898,0.024699721102346046,0.0004369676021620344,0.0009246976160977406,0.06240025762617324,0.004754384291887579,0.012168270878562985,0.03464297612288062,0.005338509421743356,0.1855808486719135,0.013766881421348463,0.06505210904689535,0.0008842296269783197,0.1382144674354564,0.10785803588375373,0.011127718751261072,0.006303559514119975,0.0827774549331293,0.004028078656930626,0.013860202106501272,0.05752945214631511,0.009103961191498965,0.003961960449982325,0.0590970043837707,0.0197664768124418,0.0032487714704570263,0.005054519185399323,0.10719220820790139,0.04433698546391184,0.0006128807635829911,0.09978101057358578,0.05117993369125939,0.027549241584527803,0.04420160669180241,0.02137161510322987,0.055692372048487024,0.13455741320533585,0.07390036561032953,0.07798373518612857,0.0009745658636686839,0.045661163230637396,0.001710261588934637,0.008228049115018713,0.07037147361283483,0.005847962290408973,0.03612469776096175,0.023395319882832867,0.09390216394013313,0.04358389854382071,0.04411343966385086,0.0004369676021620344,0.1855808486719135
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.08078938483664902,0.12623614301188996,0.02081348218587424,0.05008844241344292,0.00018482301185118039,0.0004870215386294806,0.06989873260923893,0.002257986903847217,0.009298009715558985,0.09704580305116939,0.03212348600309556,0.021496874478963472,0.024105299502114243,0.031018362619250495,0.013964387220653523,0.02634613594099806,0.02388936303489355,0.05620014654339221,0.049237055448839245,0.05781787250940548,0.009239805658050547,0.0047093988541566725,0.026302612520504035,0.0037333872007626096,0.009890589277561075,0.0072077974398367,0.02484747634381772,0.0036294258461412885,0.018616238944697577,0.018842857864771863,0.049459484066088064,0.0012895372792429266,0.0023393814678400885,0.043220469481696173,0.02276282861591637,0.0372205069643893,0.031167957666476107,0.020585019682800795,0.011298079266974648,0.040702280325856356,0.05804833664440927,0.0028798396808095367,0.06941075229851239,0.0009200511299308709,0.02125737180140019,0.07975556788076765,0.03097147570591724,0.017619666394859294,0.09921721156073639,0.03665927064267202,0.031942069821747056,0.02876621766383588,0.00018482301185118039,0.12623614301188996
slopeV0-500_sma3nz_stddevNorm,0.0015950737115104578,0.023553675760614696,0.048407806227788876,0.011051945679226273,0.0005631165162200745,0.001173048147137221,0.002700072986871451,0.0036807384430015124,0.01419362100224933,0.04603441018737218,0.004799457372853725,0.007236792943981034,0.051272902355647104,0.02989063867782203,0.0035627614661610015,0.043118231663605316,0.0042888683165743366,0.011830893649455262,0.012843903976981336,0.00827174346392318,0.023083645988061324,0.004517916994922668,0.008844832216274249,0.003963024956766503,0.008070499011747454,0.027796653657419564,0.001658615706552639,0.008407873732699857,0.026127245169416027,0.028588623244641762,0.0028544777635348254,0.0009284951139455909,0.009608057478052892,0.014136538533598864,0.006025148277762354,0.004055763163945102,0.05722076912941734,0.011925333727466847,0.00522002006739035,0.005470268359449687,0.003929300751505499,0.000871225167022531,0.0012175966033858478,0.0008643443092451377,0.002522661115205385,0.006064910679774299,0.012073293990543486,0.011576238676042712,0.0353125199642076,0.010395348436854798,0.013468018890716991,0.014656219094213664,0.0005631165162200745,0.05722076912941734
loudnessPeaksPerSec,0.008066607540753683,0.059398341759167674,0.03550775462002997,0.007832705827250366,0.00022692044069585739,0.0003100146307595143,0.014708467668176822,0.004145302652851335,0.006436350565082386,0.02806234728162512,0.014152144657452093,0.008657399844119744,0.030015137092191693,0.007381792623354985,0.011747420714999,0.020000019495021948,0.007661398697537422,0.0487030335002786,0.00277750500257129,0.00544690641418609,0.0058326337845767155,0.0198680603649523,0.022404574403539303,0.0011411499394252532,0.005535836580724149,0.023335343499804182,0.002908005155862512,0.006164742213859344,0.010840872477497186,0.008015342222175812,0.005565388781229363,0.0010768984742567792,0.0,0.008431348563397938,0.020701153114862682,0.003462674277043621,0.033274550183082494,0.0022429724771775655,0.00686101634167266,0.015689494193318335,0.004280776186510751,0.00042781036354686534,0.0028146434387916488,0.0013601045320282411,0.020644504450571668,0.012792079466780126,0.020598045766667055,0.0055715817395698974,0.03896332250660674,0.01110891729002521,0.012863028276353237,0.012916220656057902,0.0,0.059398341759167674
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.005002243609386886,0.05833367813444123,0.034061654475459634,0.008465184893385656,0.0005406990102317816,0.0008117479241547135,0.00839761042309828,0.0030215697187906195,0.01176854022926965,0.014907653054669142,0.007957751006039794,0.005551709310020078,0.00944719540883005,0.01503369095136485,0.0023169862344884157,0.004145954823121279,0.018547221527584527,0.012945340412410328,0.009270039584093061,0.044724693775070865,0.012519020777034031,0.0046702324508098355,0.010799619596953275,0.00047813786328581263,0.0033912136806768683,0.012738648247792495,0.0032664863129440685,0.00440163350182777,0.012037215308576701,0.013496199950192236,0.007202980646589878,0.00038437883611338203,0.030010763315609167,0.030528946194332798,0.0158403287413175,0.009735921805270933,0.03911748943845687,0.004809229982264507,0.008699724247498186,0.00973806166186312,0.012714399036993914,0.0015571582680982874,0.0034039433727771455,0.0018137507962826226,0.011583455052254414,0.013885688672167525,0.01043027188688051,0.005290525576113107,0.039527316487436695,0.026990806660643386,0.012726294257499358,0.012447489264987635,0.00038437883611338203,0.05833367813444123
shimmerLocaldB_sma3nz_stddevNorm,0.008551647963819436,0.0037810812826351604,0.01924836529964943,0.07094982927952288,0.0019476356141633227,0.0020817177108757566,0.00634999154229443,0.0028553444479016378,0.012360455584007326,0.013174211794510088,0.04341619728296744,0.02810274835235239,0.0022062520199184416,0.013481970039431126,0.0017418302099099095,0.0057351863233145945,0.008724539654369767,0.014885099636237846,0.008922926561487446,0.021170375270853452,0.018448260065886506,0.008038327838615123,0.004638872557946851,0.0015176924237150313,0.0010117271419994897,0.014230188129810424,0.0015681637398862476,0.004160252630963967,0.00836447768776587,0.006373537096247808,0.0027636657267847767,0.0003834033511849718,0.01909593733390858,0.01105643139006237,0.017894185786799213,0.003501894672824594,0.0514070489432189,0.002725956265820948,0.0024481010845702794,0.011620040503074063,0.00928796221563758,0.004619286231365809,0.005528559144932578,0.0023244074080460073,0.01535045466254328,0.0031721976111253303,0.0038810356428124163,0.0026488912070125417,0.04303972724787142,0.0182184349440921,0.011780130531134943,0.013882048473241365,0.0003834033511849718,0.07094982927952288
mfcc1V_sma3nz_amean,0.005735079462553135,0.0,0.024103190641467098,0.003607735815626732,0.0007573981384178138,0.000699978022003851,0.010018699008258828,0.0027578233958914827,0.006242207972214633,0.03230322261115287,0.008238157008028043,0.015676728222032314,0.03046650764410576,0.017513667807148962,0.01689141886330377,0.0004808951003640963,0.012503147301859774,0.02171079518096626,0.007644643208974506,0.003670127493238297,0.003985330643891979,0.006626920199825899,0.0060103374228259055,0.0027334515088667413,0.0010350981046254276,0.004423270185879677,0.0010278410841108958,0.010615913773407565,0.02937665808591623,0.016941349018600907,0.014302819826619451,0.0011230530639137347,0.016408974962140575,0.016849780409788077,0.006324943658485361,0.002396471278645915,0.04032651157036295,0.004603254504212814,0.0015354545201893982,0.020057380800435412,0.043531056294163824,0.005048122100455084,0.005310058578563985,0.0017567630469198406,0.020862067289818716,0.015123539787453866,0.0104628524852316,0.0020054551221490315,0.03259414115198123,0.02273811257938993,0.011743168119129605,0.010963718435551233,0.0,0.043531056294163824
F1frequency_sma3nz_amean,0.010840695877409328,0.05885401007437953,0.015356563087374974,0.00728407201257476,0.0002154015629484933,0.0019914199726708505,0.010302624912760386,0.0034525013722434754,0.01832022388541655,0.01095621217765515,0.006893353914972337,0.007966199102967359,0.016121656112514145,0.01279870901946513,0.012253112704772987,0.0,0.006535508354289658,0.01700019604779757,0.004025792392791935,0.022560582410514146,0.02894533530516465,0.0030749841249733253,0.008020738907152046,0.0022775168779645104,0.0008527023628963244,0.029508198720046796,0.003578169072508216,0.0033289228037537656,0.004261764383268367,0.002606775500168978,0.015168935829648683,0.00046773945086961454,0.0,0.014677201627984814,0.0054257782183739205,0.0024554110572763874,0.028926672851775588,0.002187729914729274,0.00031682333998335325,0.009215988999231975,0.0013454535378896629,0.00025538023377900786,0.00926579765295402,0.004398370193473107,0.006868794262951595,0.021386035501338403,0.016924706721932616,0.0026692989103233576,0.02778480118449812,0.020050967610055166,0.010399516603049688,0.010868576736955097,0.0,0.05885401007437953
F1amplitudeLogRelF0_sma3nz_amean,0.006550772619229675,0.008281334079528099,0.016084519709937645,0.031459165319201975,0.0002770282663993013,0.0006590847015031238,0.006174577038145377,0.0034388093957734875,0.01670297009188816,0.0149255759112298,0.004347449593725692,0.012788853567051088,0.0156475946423133,0.013742921803879572,0.005062663072978954,0.0,0.009885513481238414,0.013265001786165444,0.006053738615629274,0.015090949234513703,0.011587071444990169,0.003451753315604715,0.005584055208500968,0.001599992241450141,0.0005797603566427611,0.020191711740462043,0.0006791610235762596,0.010151913357378719,0.002682206187407318,0.018352384463873737,0.005541884957264626,0.0006344628649533816,0.04102443183321283,0.006579246471852581,0.0066882232047782335,0.0028546929406984317,0.0735718033170153,0.0034247341547825414,0.0,0.015664624404357973,0.007076364793495144,0.0019163657410156132,0.004126965314005214,0.0015430277404248774,0.00287762096945143,0.00875320264590538,0.0005236398599872614,0.0013194213062709872,0.02462081939719356,0.011853312017741108,0.009917867524092508,0.012325764569077623,0.0,0.0735718033170153
slopeV500-1500_sma3nz_stddevNorm,0.003033892909410658,0.0408805556823807,0.024792896235999423,0.012374100646763744,0.00070711342221602,0.000318039913032408,0.015247351976141807,0.0011802985505719832,0.010083976428449796,0.016215348551466786,0.005045385000197628,0.006439630830569887,0.006768973555804317,0.017724777311415005,0.002723974321986827,0.009903284532057147,0.013830667941936211,0.0057243270287271955,0.003362044912203589,0.008807706895113752,0.013582925453909368,0.0004324311806872667,0.012113627173511846,0.00035596390899570227,0.003853603998430682,0.01576579009501852,0.007447097959778787,0.0075345361784417714,0.0013962124569275646,0.019932235011336494,0.005651445118208602,0.00021312004116729266,0.0,0.01196580465458005,0.006577866337687212,0.011394294961064288,0.017857344024986697,0.006723127853689559,0.004321167880010071,0.01685379529599572,0.010187148296203569,0.0008020048095002114,0.008572162582190642,0.002545306064104147,0.006589646977853987,0.003179812203204946,0.006038197315121127,0.005834309055696578,0.02520765406714942,0.015583656387209427,0.009073532679782129,0.007854191477857174,0.0,0.0408805556823807
