,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.03454210350345457,,0.027221597510732942,,0.0,0.3944138773236073,0.008267565759678975,0.0,0.1307097565324607,0.0196942199620714,0.027513433185874434,0.4366415472221266,0.01502664396213534,0.15514269068065534,0.08458154729997405,0.15754407270731596,,0.17246156816462518,0.0814059339071885,0.0958640918768599,0.0,0.013818114610084765,0.08222465778582162,0.0022562130680351226,0.07283954170646416,0.08423981571820675,0.12902075365426066,0.011351139530514556,0.17559487859600237,0.060902922415281065,0.04601723293781861,0.022836240392052874,0.2560461631110788,0.020200882070057064,0.00856233677818017,0.06063136097166384,0.11957298387212441,0.053392258456536584,0.28600211993034896,0.0894244940209853,0.03199664430182085,0.17542125664799638,0.28911163446815175,0.3038816095031559,,0.11248171235467455,0.21612480184240648,0.19225945383607462,0.31272696276692774,0.06205325971873267,0.11156569771009173,0.1094847575622198,0.0,0.4366415472221266
shimmerLocaldB_sma3nz_stddevNorm,0.13399208300798476,,0.09839832091391938,,0.1865211798907024,0.003209784604445496,0.09540787705016583,0.1764987278437481,0.02765215100489285,0.022162499287156766,0.025296784413273907,0.0,0.10571756124989953,0.04594372200330998,0.0731195701637895,0.18690530694504934,,0.00519654413876306,0.03268702298459435,0.09398859338420729,0.605466475805895,0.11062463012153258,0.05334046575512267,0.04872793447833118,0.01715096380321095,0.09488873633862842,0.0038226390827492095,0.07495487633992771,0.06631749079415816,0.008995738143974268,0.27706530169456584,0.0012757250373368492,0.015075425964482017,0.04946773286694344,0.15776225732530802,0.15258148674776925,0.020670385012081446,0.006761421436739717,0.10255571458056907,0.03236581103466882,0.08810260365148403,0.01400600075098167,0.0824789535965452,0.006677540916966574,,0.24100847758047705,0.016047733582035484,0.0,0.05127730119340801,0.0015450260909729817,0.08073288214375583,0.10290885326363546,0.0,0.605466475805895
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.05685447709273202,,0.2928368828850149,,0.009071729271462804,0.09073081112282988,0.09294597496482272,0.009318392006035042,0.05795334795544658,0.23538566084145204,0.0,0.018502564928388265,0.01754809577062841,0.014007754909908961,0.017660482960760244,0.021589006244686168,,0.041657034638660655,0.052441079950957876,0.08311941234945705,0.0,0.017688936859789058,0.041825451199743346,0.004734056181417228,0.018760967604407854,0.014712018863674492,0.029026326417183435,0.018696480242792378,0.038169730331875255,0.01808923636704234,0.040617635752840595,0.0031619442580070093,0.04177807450965533,0.08462817219066598,0.013272954829085297,0.049512258920097516,0.06313740010830081,0.02204100796228162,0.003397013472745236,0.040432862223556125,0.09365457935777169,0.009485079155875424,0.06513426808132164,0.10428505238107326,,0.04968161257578292,0.018631526827618226,0.006143414592134083,0.0612340416998769,0.015564968520378655,0.04563303868217907,0.054729989046249296,0.0,0.2928368828850149
mfcc1V_sma3nz_amean,0.010829058398292643,,0.004137717370885403,,0.017973716975370854,0.0,0.008660518665499184,0.0,0.11742958980360366,0.016060742745648074,0.1694335418835996,0.0,0.14654207766516764,0.01589657230857084,0.051395846652958134,0.016230300392462746,,0.012097728797043565,0.004990442086276916,0.005416510795972767,0.03315202315702601,0.21796834487297614,0.025014029740735577,0.0031632942582625464,0.00045025522963349076,0.021222521399720796,0.04824058232197337,0.021623863916148376,0.1275696960978428,0.3009143569942825,0.054331944389979264,0.0007132268459020141,0.07040673141793859,0.004885121833453461,0.02011950949284163,0.0,0.009200164407462956,0.08736268489862714,0.0062867259738346275,0.02525127846036526,0.03897826138282924,0.0030683635363658933,0.00517095561621875,0.0032942164649227648,,0.07104838390036974,0.007586270225748539,0.0,0.004723374783357895,0.22674326696268435,0.04425182202440991,0.06791858600484953,0.0,0.3009143569942825
F1frequency_sma3nz_amean,0.0289068438891256,,0.013537471484185788,,0.009767873208891777,0.0042262058680400056,0.05925779449910483,0.0,0.09428963147841847,0.02938104456215746,0.24258490046886447,0.0,0.04252108637372263,0.0,0.04194322158348408,0.007066504293476441,,0.033984281188904654,0.0038384627707432457,0.06284340694316538,0.0,0.15095931642565136,0.031461757250655385,0.0011204825579222877,0.0027905416598018673,0.005062498186519795,0.04635193882426091,0.004227516776419642,0.10478369066028044,0.043272800828059094,0.06013910118253216,0.00010860066650719144,0.006433724768192318,0.009031369126299173,0.01895055749247264,0.011192814806633027,0.014937518999863553,0.026896461083916537,0.03137220993603785,0.008203618968520055,0.005700264208582711,0.0030471942364995023,0.0,0.008769179330252064,,0.0,0.006726193066020416,0.0,0.02926034148342749,0.2608020192982693,0.034038053052953945,0.05571230525141051,0.0,0.2608020192982693
F1amplitudeLogRelF0_sma3nz_amean,0.10895729523493872,,0.017096787966328297,,0.082025240029389,0.006741486313542394,0.011710249361438949,0.027763286564607182,0.012564560064539515,0.06972501734150409,0.0,0.0,0.09217713458942403,0.00941003998110257,0.002748400719906119,0.012964717744821969,,0.004651353276785755,0.017615244737424127,0.0479121439116676,0.0,0.003586557493393008,0.03824154659191589,0.003935662289306974,0.017617260464901266,0.22738692793919668,0.018354270910797072,0.050578076744134864,0.051192355767612885,0.02883906870952604,0.06803396258150284,0.001966570751897413,0.05130537272087231,0.05134309759192624,0.005636900484137902,0.09371138583870163,0.08119301927725177,0.05355905679178399,0.0,0.03783989072466074,0.0026759009635024416,0.018561504643342098,0.0,0.007546061712904162,,0.0311448983581686,0.0499619637745715,0.0,0.013254414726762143,0.003420160927986675,0.03336845318735168,0.04132509371886506,0.0,0.22738692793919668
slopeV0-500_sma3nz_stddevNorm,0.009644803843927349,,0.01544986234644521,,0.07916109984872334,0.0007186154072691234,0.0031321976644572524,0.0,0.03606756529190881,0.036235215137808224,0.052095902848261794,0.004375222963840966,0.07993822684395915,0.00425311166302274,0.008330162117704274,0.014136293118508867,,0.022308946009901038,0.006926804921873927,0.021613127137360428,0.0,0.044985111257879885,0.03246930123885158,0.0004977162437204846,0.006080073716886938,0.018975230881317424,0.004946491295862817,0.011656690854355738,0.06697133311048764,0.033913903876948266,0.029570143963873332,0.00015615865470517583,0.03421046516097019,0.0036448457517994485,0.004887409031204926,0.00642069867628509,0.011574561036528083,0.052563381555763615,0.022497223986931995,0.00035109346789494417,0.010978032465608295,0.008988970948701953,0.001919876361144525,0.0,,0.01708510785643248,0.0042422754412703295,0.0025328904730025047,0.008869042336845854,0.010553140934690244,0.0183897462553247,0.02064073236524475,0.0,0.07993822684395915
HNRdBACF_sma3nz_stddevNorm,0.022084610295851355,,0.04009465490305566,,0.03453269966090724,0.01256596545003956,0.044004635812133125,0.011204727896167246,0.0017075727335755092,0.09091996140157882,0.007468784062562114,0.0026773830033020546,0.00416555228678035,0.012797480081575621,0.011258540839338707,0.009990791728401598,,0.02470545685892069,0.0022939235420424277,0.033063612091094034,0.03421187869835866,0.005671223899111216,0.03613118545076555,0.002587786683078158,0.001042261120633094,0.03926782312344551,0.00989496627809046,0.010438189800412338,0.0,0.016993096592032537,0.011025676264729351,0.0012876230370343822,0.02447272292118883,0.03217701702140166,0.025476006909508256,0.008984689381486197,0.03617955932795762,0.0,0.004962771761393069,0.006419001705964128,0.015219149618529739,0.007265005038875585,0.00881341540222621,0.014095701988065663,,0.0034033717588674403,0.012196175760831233,0.0008441752685769506,0.0012985811810989243,0.0,0.015997726274804107,0.01701843306184985,0.0,0.09091996140157882
loudnessPeaksPerSec,0.0011449659135116448,,0.014509738383630113,,0.047245686601610305,0.007764904651319911,0.00762381607009263,0.020886129769822882,0.0339537387566974,0.012682920625564328,0.051796646089072654,0.011760537023504021,0.06687233926272823,0.020079981282345328,0.011469589582332441,0.02228143889238917,,0.018308953681800754,0.0010860246153191124,0.015399919003186227,0.0,0.02784015334533652,0.021180828750180083,0.0024864903022634066,0.005305904929087805,0.037559360055829,0.009977958256786422,0.01614699929375236,0.027476486529083632,0.026213376564319907,0.0023180955860288193,0.0005610793014743458,0.014081843542368614,0.010390972807072027,0.014428698896591756,0.014358818724858377,0.009846520358526414,0.02009365165225556,0.0,0.00950340667189422,0.003045312049879506,0.006366608141248218,0.0,0.009720899285885473,,0.034143972747290495,0.003526706093813544,0.00334291501916805,0.02836267403057934,0.011863367029340157,0.015978487612387852,0.014396005907344665,0.0,0.06687233926272823
alphaRatioUV_sma3nz_amean,0.007941060361737293,,0.0,,0.01038045388283021,0.0006058465457144871,0.06867743897819467,0.0,0.023529647645429152,0.001702306980777855,0.059257056712324216,0.0,0.047611388841005464,0.005813324620304999,0.00117968647894745,0.008217489757783854,,0.06205790423898863,0.0,0.04483740581213189,0.0,0.06530129479995246,0.02309904392567989,0.0006737881692086122,0.006440024295354,0.0,0.002326318333522898,0.0020182178781860023,0.024665710398467315,0.0020769670745223717,0.0,6.517497809565252e-05,0.013176701706763199,0.0017821592115240571,0.06071588947297068,0.0,0.007137526291804559,0.0626042212829833,0.04704971359414081,0.005206402659476739,0.0020169676668569873,0.003416284396782212,0.0,0.0,,0.021249783693298604,0.006799209584894777,0.0,0.0010750633977707627,0.0,0.015232771166704913,0.022147723879259562,0.0,0.06867743897819467
