,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.06703631550128987,0.12059858552273062,0.017726108486679146,0.0059400681957420985,0.004407589780866957,0.003240700454051063,0.05074652305140089,0.0016620290949045779,0.015022747845933763,0.029852169348788614,0.0010480359503542817,0.10443394586757589,0.004246742000108526,0.05575520163360765,0.002063012061773027,0.1160867066824944,0.10658077864556657,0.0032647609313162726,0.011181077341473946,0.05978223388178229,0.003556690087923081,0.00823367293982288,0.0449226805295624,0.0008674933262633947,0.005594306890744387,0.0037559637031315046,0.031451955854214605,0.0035739409432990915,0.02501921909673753,0.11346971247583533,0.04331424861177519,0.0015945826209968507,0.053421439665722326,0.05017493905308458,0.006132431167804785,0.04859189139599084,0.043935746337991806,0.054435319163000664,0.10805490435930502,0.059359682860313005,0.04687812684266073,0.0005965532705263658,0.03933621860941927,0.0015595494974336656,0.0036913071636498324,0.06593501371947644,0.008547929920037747,0.040187049343143925,0.03478823372037919,0.07709275763618831,0.0361749778616975,0.03566635264008889,0.0005965532705263658,0.12059858552273062
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.06495200694090415,0.07560734811319099,0.02378681878749619,0.007892422073027837,0.0005776001580526395,0.005467967974750764,0.051283822084354426,0.0004850447661975256,0.008893292531628476,0.08243697155257362,0.00695149162933126,0.02648096802310802,0.004408775704777522,0.018887544096559315,0.005423880129011429,0.01921312826040708,0.022510080160672057,0.014041979216385942,0.03935817598625164,0.042356203251731395,0.015502774381496142,0.002472688753128812,0.024395115158937865,0.000394616312306615,0.0037219816020119902,0.002497968769612555,0.01797847637353067,0.006296987228700214,0.02910610422510318,0.01931785531300894,0.04300529181000895,0.0003448306711849278,0.026483926023424302,0.0363009613571704,0.005502890029470531,0.037228960424842285,0.017182072665204908,0.017078611908696216,0.024511094212627677,0.03310481836788924,0.03722208419632977,0.0011593014325629173,0.06715046338277517,0.0019699482606828416,0.0030554425318438925,0.06370725695899317,0.007395014449132308,0.01629786540505353,0.06058386289569767,0.022451267821281026,0.023288721087262418,0.021460729068388296,0.0003448306711849278,0.08243697155257362
loudnessPeaksPerSec,0.006692395635348683,0.02820734412557603,0.007386426009863896,0.004126339655712502,0.0020952247568971774,0.0011747606121108815,0.004673915884141918,0.0006553614462096619,0.00835801566341285,0.009346930825852744,0.0028677361524059755,0.007794676799496365,0.007056612207017022,0.009076336075067243,0.001854367631290882,0.0074966479828020805,0.010667671244399587,0.0025584410842190253,0.0031119493577364855,0.006557794121203544,0.004580039365782911,0.00938746915000952,0.024673504229273308,0.00028737951442779267,0.002957058252327982,0.0026422645123512956,0.009269832101594664,0.005623542229707068,0.035531157651011704,0.005994133660783428,0.020054133072403824,0.0002856376735617126,0.009676490112960429,0.007351029395930166,0.005029419917852265,0.004862566787220865,0.02440856197302055,0.005707450783848592,0.02040806660446241,0.010249933101572286,0.006937925600230948,0.0003924152801343257,0.00744560834763614,0.0008364680626471471,0.006495989544119674,0.02032034564259737,0.008453247879970432,0.006334674108428494,0.026802607135683065,0.017836892107758434,0.008851895821401468,0.008024192886813258,0.0002856376735617126,0.035531157651011704
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.002070729729123308,0.022744887484439563,0.01598145254563625,0.0030965266149771704,0.0017846004032324744,0.0020646153813493025,0.008900952742213518,0.0007524383608821517,0.009285971810945625,0.006395887147364172,0.002456442532872603,0.014769179013242907,0.002055472338147242,0.01447063394731237,0.001355049087128729,0.008695965404964751,0.01313802446172918,0.0028890048390175266,0.006793974014166548,0.035028784204780665,0.008097112325407928,0.0018251812685211118,0.007766050730879375,0.00014302319596444995,0.0031928006825455747,0.0025511742552179885,0.005937117488146962,0.004286500890786571,0.020004675056036755,0.006739481675820798,0.004205151966697334,0.00024667233226458675,0.01823275443109815,0.01624172174042196,0.005298260339534812,0.007591742443240826,0.013871818825412609,0.003741006831950854,0.008525165424065024,0.010835462293717013,0.008044065948549266,0.00022666077676277178,0.005141991311320755,0.0009280719986617551,0.0034288988703544986,0.014664591680516481,0.006645237294988247,0.005140288596899826,0.01862526303237037,0.016076766983417815,0.008059706055101971,0.007012239837803253,0.00014302319596444995,0.035028784204780665
slopeV0-500_sma3nz_stddevNorm,0.005393878727934606,0.011253328202670929,0.015340690514353848,0.001527071249255254,0.0017190311057806702,0.0019425635557344166,0.006116104491230131,0.00039604664220337137,0.01651736373918439,0.016703676366276753,0.002906932718819823,0.007802953833758063,0.013421599376995743,0.012592233712811934,0.00282059514097832,0.01638141795106134,0.003851371084300145,0.004012642393259413,0.004493447853368937,0.004874459598915051,0.0051492234460678715,0.005231738444739532,0.009003502740722875,0.00047733672115549526,0.005827389795539098,0.002939321315947069,0.0056934877422940905,0.005312835216970022,0.034684558669830695,0.008978111462034663,0.004746988684147321,0.0008668348292030895,0.01733518205210741,0.007009339157591086,0.0026469831896244965,0.002361300976635146,0.019396040675434684,0.006318613561488239,0.012866441208087723,0.0029782546610727205,0.0010223526667946805,0.00028832937007611915,0.0027552835883362485,0.0007998497979122426,0.006809635788235339,0.0075844785998474395,0.009277082927251185,0.010680364279371963,0.005706970037856435,0.015179421750374084,0.007399893232312843,0.006458032156190884,0.00028832937007611915,0.034684558669830695
slopeV500-1500_sma3nz_stddevNorm,0.003102101733684531,0.018141677692682455,0.014501067305669057,0.002497554434809629,0.0016159055099916496,0.0008376224996058948,0.0056231450820209295,0.0001144883605716321,0.007780113384662742,0.01410618550938492,0.001169648094243528,0.009410921051725784,0.002423729955488815,0.014655743617803094,0.0011581419430534141,0.010690322308978878,0.01069466704095068,0.0012472274277364893,0.0034246158702933567,0.00680134729223123,0.007361098502275292,0.0014606237772916103,0.01355899211334995,0.00014790143563388203,0.0035044146741861552,0.0012939609140405401,0.009786683932258476,0.005361560025948135,0.005215018709985203,0.011786594083953562,0.0026089365174067646,0.0002388987914731876,0.013188354570098836,0.005472337467394242,0.004413436408368076,0.008390082407698564,0.012995211194231672,0.006803283902522638,0.011158104512628072,0.009021290127130115,0.0072710059550015246,0.0005423674169492182,0.00844043286518261,0.0014482966207312235,0.0019092980867494698,0.005730344512951367,0.008036177717110958,0.007195071657747097,0.013465679587161848,0.012778592106218425,0.006611605534185348,0.004805404772917898,0.0001144883605716321,0.018141677692682455
shimmerLocaldB_sma3nz_stddevNorm,0.0017338311476122002,0.00821855729928998,0.017301190689705984,0.006461187339261368,0.0043982986638006405,0.00620684672187758,0.006316253873371316,0.0019393616192045823,0.013234224850156658,0.0042794524884740585,0.011214315360202986,0.009172839430660898,0.012412743993751349,0.0041808646990266814,0.007161019176642496,0.014553838099479445,0.005064218199673078,0.0037809420825751718,0.004307330463470616,0.0060719956903696765,0.00715249564234214,0.003127506146094084,0.002942036016718694,0.0007306185591233635,0.001085956733718634,0.004125384596268822,0.0023121328726283335,0.007897449187003585,0.019074602687223975,0.004928888378722931,0.013709858206959913,0.0004381933333587228,0.008140909836847444,0.005563157793199315,0.0022165597586115467,0.003054369906720026,0.01417579572192515,0.0023235199704487075,0.010445528200543805,0.006034087673616806,0.005322854370914203,0.001284701287342838,0.0111098426285926,0.0027791476812840795,0.00738462952071419,0.010694698951818168,0.0033465870929461016,0.005072525493556053,0.008718031510339239,0.004192556585239996,0.0065478787646686045,0.004379535218825406,0.0004381933333587228,0.019074602687223975
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.010330597276599686,0.011623026937947785,0.006934027586701416,0.0013026721104119777,0.0018587491450267571,0.0021327037549992117,0.002857870323800883,0.0003867168100360206,0.004685596318227659,0.0054481254953853055,0.0010983676010012965,0.005407069259873966,0.002094786353557868,0.0030946586334517677,0.0011190726866773552,0.007232133780398711,0.007843501111309483,0.0006549115240371664,0.0032928728128187898,0.027695152260546568,0.003757275749608159,0.005077021434474572,0.007987041407516347,0.0003876657959359175,0.0012747604521297195,0.0005379157710370754,0.0072903470324609055,0.0019118491689736619,0.005108665270519465,0.0016297950662526157,0.023968103186279625,0.00040925181051678104,0.006449854605296312,0.007200872254978159,0.003406228782671642,0.00682191074693977,0.012066561733279049,0.007113732200019505,0.006199198808337755,0.008814735110363573,0.00959747386009931,0.0002665610697925552,0.007573972535404545,0.0005748922384574352,0.00416740742696236,0.01856113404799327,0.0011557874442853766,0.002768809879292921,0.005961714983964473,0.005499772569571552,0.005612658484524482,0.005547364726846254,0.0002665610697925552,0.027695152260546568
mfcc1V_sma3nz_amean,0.0028387829064101745,0.010792450397150828,0.006709398380857043,0.0031957247303933257,0.0014969860238266829,0.0022198965457544064,0.0024430145820462366,0.00024440377641355375,0.015937863876881037,0.009263728055270995,0.005264398284271974,0.003589869249871069,0.006469034847545758,0.0070947937410107435,0.0028466011359007375,0.005284331895427366,0.002741882861618372,0.002778224988797402,0.0038950062666504907,0.0012639322107721352,0.006022206184529281,0.015595164872076859,0.001842552821722208,0.0005028752011546091,0.0011579458812471415,0.002904179093104318,0.005280898016960503,0.006552656361150958,0.014927970686327938,0.007298080881372044,0.009592716046638418,0.00023959609837741685,0.012408621244935239,0.002611899781982622,0.0010876059780377096,0.002130267516274341,0.00365321804282353,0.0018606435207379713,0.0050175345561446014,0.007468228448628155,0.0045732501252090186,0.0016336871728298867,0.0019129117472233609,0.0015676885167111908,0.009412971761373897,0.01684651094314599,0.002894728336785411,0.002764654385193349,0.005234515863868886,0.01309951291924072,0.005289312355253557,0.004354498395715321,0.00023959609837741685,0.01684651094314599
logRelF0-H1-A3_sma3nz_stddevNorm,0.010869875955467203,0.01003364625686806,0.00473998463402276,0.0017464200699773551,0.0010492220964027584,0.0019010096010048548,0.008714526019821858,0.0003628895479961076,0.003737462803559396,0.004274073664787362,0.004244050740354037,0.005408132073795581,0.0034069082384084034,0.0022933290978456406,0.001066836787790004,0.009110864299807418,0.00522844840629985,0.001115751916143134,0.0038531510479676433,0.003819172326411232,0.009351978947848321,0.00546728589412934,0.0025902911264104518,0.00035340117518565444,0.0013170607581915856,0.00062684497401867,0.01039318561141853,0.002139684588004705,0.01145105108451633,0.002869857068050441,0.004842234046713406,0.00026611203013491804,0.01760413257554916,0.0029858965283019036,0.0028396631176383982,0.002821109901750486,0.015335690541901509,0.00484668924681216,0.004069715765162849,0.0076390613460922885,0.005096774667085894,0.0009912095326859126,0.008371860548044435,0.0008015670069834545,0.0030187400711386048,0.0032695646261440064,0.001744002748274811,0.0029818442176827486,0.0071202718554052875,0.0035176124885981344,0.004674002993492101,0.0038316205057634294,0.00026611203013491804,0.01760413257554916
