,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.15270673732588896,0.21993041457723816,0.18750140746271904,0.19828401226679054,0.31009828166687403,0.1916364436453195,0.11583977987344164,0.12655458765544753,0.17950624542473373,0.17254187675662097,0.23782692112795256,0.18063955705424345,0.23594246693767834,0.15326036628856987,0.0962823312914556,0.1866433563718183,0.12992665097513686,0.16049690375730538,0.04433372001406942,0.15100400223065394,0.21704377652422313,0.21599190732862608,0.15252321611659792,0.0392185963905954,0.05141604993091408,0.23914865878709116,0.1297395543675356,0.1049171466346549,0.10501084521179249,0.12687754507636612,0.13040999698560765,0.014880648574584139,0.22600296190044447,0.06522000912977588,0.049913613251918044,0.09542076697861654,0.10740506610195519,0.11467778673688374,0.17552408813450843,0.11668893448791993,0.0904949812007908,0.11576622316099915,0.13142259473578116,0.1763369110748889,0.2667737694390855,0.14338950214693152,0.15748674787801864,0.11664797987040841,0.17075225230050003,0.13457951951788558,0.14825275425359716,0.060891567601282816,0.014880648574584139,0.31009828166687403
shimmerLocaldB_sma3nz_stddevNorm,0.09781116762162916,0.14149842146772074,0.10204498599962816,0.11669248646354219,0.08993547422939312,0.10125526999814531,0.06241316425947417,0.08640468867699277,0.05063351619819865,0.04846891064016561,0.16009960296279313,0.11711227684202666,0.15531842904489157,0.04372259389883978,0.06765292807464791,0.04074478270031673,0.14270155173859647,0.11400210931843947,0.05823667767479394,0.07785526854028632,0.140369933939679,0.08380242045312442,0.07369384824326247,0.01307902772761152,0.02068467109668124,0.09631354074562139,0.034995006739843106,0.06472665490848041,0.11417607438069327,0.07636255348261309,0.13762030358190736,0.007352481800958337,0.07291191844629402,0.05437119059226117,0.08526209783185572,0.04664000939208003,0.06262159404492917,0.032880830129220176,0.09670310995463889,0.040821891764539146,0.06693364038321435,0.056855801835326056,0.08572098186114012,0.11520648478296566,0.11819394990407671,0.0988920102837841,0.06634650893700339,0.010126592241596226,0.06574771950047233,0.057349993604926895,0.07942734297882645,0.03754368046444204,0.007352481800958337,0.16009960296279313
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.05458747080338499,0.07699722587667447,0.062081601813019464,0.0781841197076851,0.10557831843088754,0.09035350323800821,0.047048953767567486,0.04012500086126337,0.06429128126842305,0.06807670153976987,0.08919833215764947,0.02507412331867358,0.054950193371908436,0.017132018553704786,0.02463374252240395,0.028604052512719854,0.048680219932631386,0.0836531683774088,0.036023054682076956,0.05099533433658613,0.11548790582520077,0.046927108964443194,0.020956282558098466,0.005480507363803099,0.019396282064434847,0.10005946907008159,0.04129825179233639,0.03120763357479367,0.07799390472932849,0.0721789718386179,0.05383681478784631,0.0037694633478576414,0.08107103704211122,0.038263191903070704,0.0384043997114918,0.04064790790672625,0.04561383247684677,0.029285480445211075,0.04690450406242219,0.030736558571259745,0.0362295467778538,0.02904309472000479,0.04646450991131229,0.06931228064228433,0.0659497271855754,0.05166730584156998,0.052418973501178384,0.0203041376914171,0.054027032558017024,0.029275033376993383,0.05080959134629271,0.02525393077402466,0.0037694633478576414,0.11548790582520077
mfcc1V_sma3nz_amean,0.02941921144413159,0.05685226704396878,0.03576715437857855,0.024115620006509908,0.02388298425210406,0.017027682779839768,0.01481079127294698,0.008095453052297885,0.04460371806522396,0.035608200700974056,0.021341119940426333,0.02773239910464199,0.025897509245964852,0.01652973078916695,0.031222267476021956,0.01816321020117861,0.013371607681814286,0.02121873034794236,0.004590889801642789,0.02863514990784074,0.05440022275283057,0.08439557633762954,0.007058073074496965,0.003159297754280335,0.002859562528479526,0.013593553483136995,0.014738970893691895,0.013853252929560302,0.03106689605436258,0.047927368142264115,0.051617461261450545,0.0021945913630609147,0.016280010344719396,0.014587889765769605,0.022355791623386804,0.015832816929923388,0.013439276474192631,0.007200337984066758,0.016130994500944996,0.022058327172953057,0.024291105247655254,0.01769164979376499,0.011045624570852836,0.01346828142853169,0.045479921840857265,0.038130365406398734,0.009093745426993273,0.00981511650135126,0.03237767445946438,0.031282583801826025,0.02372624074684226,0.016109180643975127,0.0021945913630609147,0.08439557633762954
HNRdBACF_sma3nz_stddevNorm,0.016856237485221446,0.018719488291697957,0.022637244362682378,0.024810139449826973,0.014364063382029587,0.02186073437533831,0.012170813596626364,0.018678710026911093,0.019401794091280757,0.01556698915764908,0.016586075628831597,0.012833161888999238,0.01971591382317199,0.008365313642884235,0.010438652069545369,0.007797217864001193,0.013833735083756231,0.012610580341315451,0.004551425528132863,0.012164746717993379,0.028302181438932747,0.014356471448955334,0.014025975804348324,0.002352373469274993,0.005325105511849514,0.032775341079316116,0.008265328869143117,0.009794710718930759,0.061644675052379916,0.015471568834770572,0.026332535170328596,0.0012505426725341673,0.014427981911151204,0.012210217041032326,0.021606453599941917,0.009200154087781348,0.015573571188534084,0.0068322223456375964,0.016873080565138074,0.008457661247763655,0.010640748999125727,0.012667820653386482,0.013633485851132426,0.01587014697360503,0.025599762068753768,0.01913882691810514,0.018707177899333242,0.007724984974147823,0.012502448508487765,0.014416304633807877,0.015598857926910504,0.009225310144205228,0.0012505426725341673,0.061644675052379916
F1amplitudeLogRelF0_sma3nz_amean,0.02273346592876809,0.03851283898906438,0.023728294891743787,0.016970235657871525,0.016221927503889476,0.022339659974374395,0.01872286265726351,0.018129646111192367,0.008517315915149686,0.017748102634517527,0.004578539366458399,0.027528686053038137,0.012666092804162478,0.006546034055571502,0.00639499473461337,0.01273130643785405,0.03237021873026847,0.008878595579161586,0.005060950470364235,0.021042879463726533,0.013707043736947687,0.022684348726524993,0.010320058119284688,0.0014292078983648392,0.004151490770472396,0.022127585059573986,0.004378757526766915,0.013724038892548177,0.014745619155871553,0.017706216246116725,0.023266670518246185,0.00249560279367691,0.010334150503080815,0.010982594663522523,0.010943203335900426,0.015413860038328855,0.03806995380656658,0.006010333394452571,0.017268070779404912,0.014201879204954962,0.017331269388833413,0.01234500261999592,0.016358903863725006,0.025905372712652534,0.03971541016807195,0.017935411079986342,0.003036924416635903,0.006597164484148565,0.013774592916238204,0.010758095798369002,0.01558282961156634,0.009101236165140683,0.0014292078983648392,0.03971541016807195
logRelF0-H1-A3_sma3nz_stddevNorm,0.015055105053182298,0.014239766665459579,0.012635652110573754,0.01209061348726464,0.009063187803751298,0.019420228176498855,0.008210150768579751,0.009820344853677825,0.008541666865180353,0.012370132419298263,0.004419395524672752,0.011681318358534634,0.012328808292051734,0.0032962238800435676,0.0041308177733215224,0.018882562456568282,0.013212865864746473,0.03457480942608706,0.003099148305620963,0.011483244449685926,0.013649615471953444,0.020201137497552445,0.004277439991139499,0.0003029761843335084,0.001633898696316192,0.019728535223284136,0.0034560302889768122,0.007992104165518618,0.024832576802968447,0.016519225263307957,0.011022366487351422,0.0009936324130106306,0.006574389352128656,0.004985434962498084,0.012015072807395574,0.012582926887914575,0.014994296680755437,0.005241903267799654,0.009517431195379317,0.005403917435650268,0.01780235686014505,0.012377790862880949,0.007888011315203542,0.012272264288452288,0.04582427254426113,0.011324525239532311,0.0059224100005086195,0.0040178204288013955,0.01026905682020804,0.005213774415874732,0.011347864727718046,0.00809926860803229,0.0003029761843335084,0.04582427254426113
F1frequency_sma3nz_amean,0.0032673401902400673,0.024041325602132565,0.023331392628088,0.0118408710878186,0.004774248510553921,0.010066988475473179,0.010127477327619164,0.007576201008990237,0.017111198656884496,0.011611583431176454,0.012095091802215598,0.03229435674101597,0.014502936186685926,0.005541119021482953,0.014743190692009798,0.01003762417839688,0.015159681913031462,0.01263818429823618,0.0006592862521486666,0.024405711641518172,0.013605556053001393,0.02033747268592909,0.0023417225348459684,0.0013260628964244289,0.0016443236021810538,0.008395246468750383,0.0035776722828002186,0.0013277882592675242,0.022133738035698586,0.006586672118212246,0.01698595225698199,0.0007300567134908583,0.0042092081806669535,0.009928449415418164,0.009498252139370344,0.007427113830709785,0.011490071669728404,0.0013754538534997605,0.010491384326416395,0.005749660258228083,0.005883359662858098,0.006972948450055059,0.006101351776904856,0.004442572755574325,0.018887135732025325,0.012207825050901943,0.014790572679575504,0.0022874217792161426,0.007453370023762745,0.017036914559323962,0.010421022793950758,0.007154812291202788,0.0006592862521486666,0.03229435674101597
alphaRatioUV_sma3nz_amean,0.011710450538636103,0.028802882650726072,0.00919430810843249,0.0156126886379833,0.005636661761910105,0.019122207600090535,0.013679824640499789,0.0077334464046717654,0.01232880419473514,0.006012440610990111,0.017651536955496018,0.003842321033060062,0.007229277534301391,0.005304552451250809,0.0006371263130090773,0.011795354013355021,0.009174277604343615,0.006967732018554785,0.0032594558756782613,0.01857010118435079,0.01279599327605454,0.026108013539521326,0.010702097538800335,0.001217656843127114,0.0022637372297733866,0.009078652594254019,0.004415837470415203,0.005447310097287228,0.0027812155794678826,0.004742285797240229,0.010720384854148435,0.0005894538593467865,0.005758773379998267,0.007127812850243304,0.012344583832557446,0.008161480157771734,0.011315601862919154,0.004015466940235805,0.01052255530616206,0.0093402287517449,0.006932472552195756,0.0056045668173255285,0.006875859726107214,0.0033030018608852345,0.05386056743910847,0.008765533968003484,0.01534535383377235,0.003099500623202105,0.006220660515710551,0.007201329419248404,0.00981846877297407,0.008581026556199483,0.0005894538593467865,0.05386056743910847
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.002462557042906688,0.012172673120748868,0.017484411977686996,0.0067666673470433356,0.007592065123682695,0.006870900125223442,0.005951598660884703,0.010212509108320948,0.0035408680998680114,0.007344772630420627,0.005790024955642097,0.007235517746240313,0.005372444334908916,0.00460912615548225,0.0010646240234527039,0.00483214141950021,0.012618403841260672,0.008160802661943854,0.0015768522534854099,0.025468987698881916,0.010119872358117643,0.004745638885584398,0.0017635000089056868,2.1355524522501057e-05,0.0021294732253482086,0.0225150537055267,0.003698975554385726,0.0044650691072783775,0.01911284921742678,0.005228725306143558,0.009259359308947,0.0002916840704574717,0.006859399374231859,0.01677942534051218,0.01473776425937004,0.004716861654031204,0.01381626323589786,0.0012273283065271227,0.006974881932280852,0.007250440961211775,0.00951938588711413,0.004058910582252478,0.0019528157094070035,0.00197783830680124,0.017598785994261776,0.010848970692273622,0.00939363945498125,0.0018168170917700723,0.0068535260527318315,0.018119104928160497,0.007899633287280909,0.005926746315946803,2.1355524522501057e-05,0.025468987698881916
