,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.00883063287958696,0.12319034731482817,0.19569063723343616,0.06638577158766809,0.09070638016682875,0.07084028574461577,-0.09182289198067208,-0.01801718618680225,-0.001238636231418122,0.10838333435006088,-0.051719169961548045,0.056041351785706336,0.0796524800303676,0.08705210590595747,-0.06546860584229747,0.034331502094799314,0.1832058461976476,0.04806603149548596,-0.05217519438976745,0.034225009242448444,0.09891579468604994,0.05901354831504676,-0.0067607030465983925,0.1081222815063272,0.11520324058647714,0.023716226442272524,0.029703436051060787,0.05273418717255263,0.025251971163568466,0.1178251430092607,0.01027975584346843,-0.005124593228895094,0.19619341304662466,0.02274465084979006,-0.04492056773052209,0.045555144667076226,-0.0020374828494736227,0.060280745316429823,0.03115344166040957,0.008575553071349067,0.051265169119434933,0.007547587662095238,0.056390153157342214,0.053419012432386004,0.12730622299856256,0.05563073446297362,0.06849250407578976,0.05305487696108765,0.1418890067906501,0.024218545877162972,0.049835980630133836,0.06223803489576849,-0.09182289198067208,0.19619341304662466
F1amplitudeLogRelF0_sma3nz_amean,0.004555303121583501,0.10730592524194871,0.043519666119125874,0.04304794673646114,0.04503628387838353,0.030194414567861778,-0.046678742342761814,-0.007083037155047215,-0.00046168061009656996,0.03187925151789884,-0.04177819530441364,0.07699946094482665,0.11038946818676641,0.027342043727190287,-0.060655363302936444,0.014705598907694573,0.05465204619177526,0.021672072080995138,-0.025407588260237205,0.02476993296784499,0.04033107202164473,0.016379399090553574,-0.0014870431924836232,0.02377248489272167,0.021947111938359975,0.011420858453608875,0.05925765115753284,0.018984988430018165,0.0046867808483113515,0.04808413807865359,0.003350698935666497,-0.0023749341538167323,0.1171122803184259,0.01268473299609737,-0.021124907465852757,0.020186033057944044,-0.00312552585120814,0.02648235620542996,0.014397700185274802,0.003994899860294905,0.02550035626149242,0.0038366289447437424,0.024702144203909843,0.027730012375980252,0.03742583891175369,0.03961534391409222,0.008935124374631993,0.020814899704494516,0.12060278333942868,0.011234770369428682,0.02378726970843994,0.036757286637647865,-0.060655363302936444,0.12060278333942868
mfcc1V_sma3nz_amean,0.005311401914297888,0.05886362604759406,0.05450539082625126,0.03866403463886029,0.03265795610521643,0.0894429794142374,-0.049199231548064846,-0.007286326826043977,-0.0005468935783996573,0.08251101678435477,-0.015054639667536743,0.04216939013868618,0.07085848091482784,0.0353063810764159,-0.018583598779236068,0.020539897586518283,0.03143802478134964,0.04007860084423505,-0.0566807645190793,0.022343796483946254,0.03380981502735392,0.020074948000437125,-0.0006361146337471363,0.04553622004134626,0.013945476228637161,0.010698204687706278,0.030708173369873804,0.010642025419865985,0.003353175886044493,0.054803057610720546,0.003144308952804224,-0.0020404772830298584,0.09724094543135493,0.030047923600684315,-0.01462678595127739,0.01174085509357335,-0.004537586879625669,0.015035103393434853,0.0070188418865596534,0.004373973772090193,0.056758492106684044,0.005055684374669702,0.020361628874627936,0.04702998653279656,0.04115030850954506,0.031964723442864544,0.00489080098042615,0.010606812513394766,0.06334782353775961,0.009116808955708666,0.022759093522434295,0.03085947743445902,-0.0566807645190793,0.09724094543135493
loudness_sma3_stddevNorm,0.001761912019873944,0.05800324023550031,0.10562533894469062,0.021199336136514382,0.0540275823784327,0.03794115786864943,-0.03720026111303549,-0.0033015495700604944,-0.00016371853848140888,0.054409539580032716,-0.021241643405755135,0.06072561588018381,0.09046204015228416,0.037519627862197445,-0.024174247393601172,0.006488798527108235,0.06095269501469139,0.023635975627228013,-0.021416354839241643,0.028984022533809137,0.016927210086631204,0.012607171323512112,-0.0018391094865782684,0.020934501259162082,0.011502947515754326,0.008516153090969193,0.0553036309920998,0.008598665841337127,0.002339839423588381,0.03164496918840102,0.0023082456205464888,-0.0011707924697912913,0.050563808129177955,0.009846471118262435,-0.020689016285661974,0.01012204363251733,-0.002000147225097184,0.012362056119013195,0.007722163496715503,0.0055002064520536485,0.0156449433306832,0.002035117137367,0.012879543127374595,0.030444415176625432,0.0559493533161939,0.025972005921789262,0.007300711142739082,0.013403595065056213,0.16265585563137244,0.007928703897090281,0.022191087389398508,0.03451440115586347,-0.03720026111303549,0.16265585563137244
shimmerLocaldB_sma3nz_stddevNorm,0.004242971027466757,0.04397056544066528,0.11512955673371819,0.029134650348072503,0.02361457083800293,0.09048450264601048,-0.042975780056769185,-0.00927554627665598,-0.0009645924506067548,0.04170101261177188,-0.018383435012860164,0.03987254891119861,0.051819059327145596,0.012936637852490645,-0.03130379639421144,0.01329914768980281,0.03236689045026366,0.028835644249509382,-0.05208978527764502,0.007963584506720784,0.03408592401755871,0.014531916401662905,-0.001198122271267858,0.04458341509267306,0.040322465836751156,0.007221779421457596,0.02034228768725538,0.02328559997573953,0.008186623761541027,0.05496317278759094,0.002126315134528928,-0.001068166546716949,0.0958733896890357,0.012094910784533923,-0.010865866764254937,0.00893806363971193,-0.0032713184979575134,0.02301584199545337,0.014908893041188547,0.002466666333598096,0.022117214908401968,0.0033780937529453168,0.040590072752225335,0.030903370847920494,0.018596089518780067,0.035437789367186896,0.012045180624147509,0.007369647983869255,0.02196138094280563,0.004748876423116491,0.01936139831611147,0.03004213385938179,-0.05208978527764502,0.11512955673371819
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.003513424537761285,0.05726372550923529,0.035496689112167704,0.0028788061717935453,0.007417580733697575,0.01133788509923435,-0.020992663624201876,-0.00731768507670983,-0.0002407200291694825,0.022066129258197325,-0.0010943465766247234,0.028750863140529645,0.06731718017069632,0.0028308760506210668,-0.02836389687029041,0.007129386776144138,0.02979995199573335,0.029893431564367988,-0.011966599469961064,0.008060504178221439,0.03328255741410968,0.01986749438185844,-0.00010907249453640591,0.04330664745762722,0.01837887980640106,0.0029189280127131846,0.02634489103967338,0.009919048618324194,0.00016535966673576508,0.0009326210400071316,0.00104806133060318,-0.001721774062154436,0.030963855766471943,0.006380863516540412,-0.004348346750472559,0.010201096171488762,-0.0006544485644265328,0.009344005160520055,0.0035693974298316496,0.0019891549001027843,0.020436729763757027,0.0015862366274488626,0.007856497753151044,0.004911810459033891,0.03357469400948769,0.013057522674688939,0.015974589628743773,0.008776370670049934,0.03502704740933385,0.0030291840180965454,0.011995808510133084,0.017811658518445947,-0.02836389687029041,0.06731718017069632
mfcc2_sma3_stddevNorm,0.00026707959925574386,0.005361382225992975,0.004506019046319356,0.0007314456022854143,0.003704004072906542,0.0019087128904739376,-0.004237940134023865,-0.0007466185760328513,-3.20348752855322e-05,0.017607997763482798,-0.00038913536487019605,0.009763376337955832,0.0014389450316913666,0.0010454747865421582,-0.00032099087007134386,0.00424376528652089,0.005191896911342924,0.02413156839734665,-0.002962694666999359,0.025532471088887877,0.005323885693150153,0.023860569997046666,-7.68149172981608e-05,0.00231899131465673,0.0020042257480285845,0.0015826087903557094,0.0007258906224758115,0.000993934203872318,0.0,0.0012192074490450676,0.0001439455390461013,-0.00037757854743675163,0.0037149265388109996,0.001191042565052125,-0.0030763079709666213,0.0006865312570762315,-0.001787748781277048,0.0027459927861141235,0.00020427891511391792,0.002122105823627586,0.02487267594229636,0.0002698239934406205,0.0026545776698136897,0.0044855455991689094,0.09019415484715002,0.0016798387927781965,0.0007130090636294048,0.0005247247657159045,0.31959732008957775,0.007467050420813834,0.011854462655291992,0.04612846166035359,-0.004237940134023865,0.31959732008957775
loudnessPeaksPerSec,0.0007484936603067304,0.016241376376683176,0.07186932064783819,0.0018622963771024411,0.011026126851940902,0.03119253007455809,-0.013566575153357333,-0.00421266710125641,-9.868076328447487e-05,0.02557971559772975,-0.00944185946124492,0.001759955831450412,0.02034630157652214,0.009570771591722798,-0.0028183334780857374,0.0021254058908691314,0.008355626157324453,0.0120843527288605,-0.0009474722707136363,0.000676228349382644,0.0014848645014337051,0.0012682564145578687,-0.00029215192997863364,0.004135993963433468,0.014827863919797278,0.0037328330033724122,0.005581392985533944,0.01665674465925666,0.0026361031502167426,0.01890513860639579,0.0008574449087757934,-0.0005160154902591749,0.02359963404342906,0.0008379737550236591,-0.013109235566344338,0.001844082877808414,-0.0015358886760674846,0.012313692694039013,0.00203826897127194,0.0026552555017139556,0.0007408201215160621,0.0008779737384883415,0.0004154092396406862,0.01376340698969725,0.018814837692878058,0.007649088628806072,0.003358104928265667,0.0027772806650445056,0.16484020241480404,0.003710312670070514,0.009944452057339402,0.025652247707264788,-0.013566575153357333,0.16484020241480404
mfcc1V_sma3nz_stddevNorm,0.002271162092336696,0.02497888368648428,0.027510035372199624,0.01245793132930119,0.03926432921697726,0.05397414246747378,-0.013043019824199599,-0.009575640301069208,-0.00046888472393172097,0.008505220738506816,-0.0007229886599464854,0.01005952792715658,0.012331936782523477,0.013659518711186184,-0.003933679001332267,0.01238490169516518,0.026137292545103774,0.005014706733326522,-0.0011021705616347656,0.02203368463848006,0.05484812384985412,0.016611934748547674,-0.0010256640404512204,0.019826572511523335,0.008355054010486418,0.005452762531369085,0.011702394615063427,0.004476254604061617,0.004928976994404428,0.005562416634561012,0.0013800192974962482,-0.0025180442204634037,0.009687497693695833,0.00805573725176408,-0.01045579256139202,0.009586120952145867,-0.006780855465865841,0.01193847102893572,0.0035506984488798774,0.0010524280199566709,0.006050691114700644,0.002478475434819641,0.02990631623959858,0.0040348415776934555,0.001555343187503063,0.005659778420650389,0.004390619463402262,0.002600744459706666,0.013404713286396473,0.003959215463357723,0.009440254728330183,0.013746687116934464,-0.013043019824199599,0.05484812384985412
logRelF0-H1-A3_sma3nz_stddevNorm,0.0012167424688138233,0.013252477037344501,0.04168410637443562,0.013445656259281553,0.01141863795030545,0.11768346155655746,-0.05732508592058067,-0.012590259375259616,-8.573789774099267e-05,0.00825910786144095,-0.003837793411628512,0.005770553724020262,0.01296259289702012,0.008356589758587298,-0.006759825643111547,0.007186953444644791,0.012879170242706437,0.0024096026295479054,-0.00584910816405968,0.01036283757858322,0.002289728247205064,0.061592204238099,-0.00010007396173135952,0.007321384616162913,0.0019835860739849773,0.0022413744185574382,0.003093450041813986,0.0014556624496350097,0.01309320763761716,0.0065399629007562585,0.0001456538864225562,-0.0011545798254439864,0.014801524416478052,0.0008027427389375785,-0.004913905469527244,0.003554990534601757,-0.007976089821546687,0.006101696665948679,0.003571943157054799,0.0006763104609616294,0.007652954831451663,0.006015466734350751,0.05186086921686328,0.0077691854497162665,0.0058545404973736025,0.002735950638870613,0.0009135381261549764,0.0020332681395107757,0.08801256058480804,0.0033810425027692684,0.009435816589975304,0.024876173515488504,-0.05732508592058067,0.11768346155655746
logRelF0-H1-H2_sma3nz_amean,0.0030078312994596566,0.07166058440367416,0.03514482582409798,0.013046947261058478,0.014617065357589751,0.011944099027023111,-0.034790781990653476,-0.002345939760588035,-0.0003884338101129778,0.01382007273204366,-0.027407042853494375,0.04352796909093475,0.13166580332901834,0.007135009993332305,-0.05202249121401262,0.001483754994498233,0.008047556020221806,0.010911845687311746,-0.008002458844631563,0.008066972423145911,0.03271351504578292,0.006044783931115419,-6.266759118755087e-05,0.006582253176595063,0.0031505024945101576,0.0020927634838056874,0.016101746423009024,0.0009836236234260986,0.0002977803153637769,0.012552215705169924,0.00249658824534798,-0.0010604492532870571,0.024472680919888207,0.001267322804517963,-0.0012318363539560735,0.002395918477397058,-0.0019299284982191062,0.0032394976494397234,0.009913560722604433,0.00046970994603773314,0.005279027608497904,0.000900935238152683,0.01958704690360864,0.0025930811939760276,0.007576181714229172,0.027463849870015433,0.004836175052631365,0.007706040699551883,0.002895579931310503,0.0018918642422553636,0.009006851053830147,0.024878308455393152,-0.05202249121401262,0.13166580332901834
mfcc4V_sma3nz_amean,0.001537865656535647,0.03865433064129877,0.03168871564106845,0.02765583922032701,0.00992224916498046,0.020026806285180408,-0.015293519011333648,-0.004022414349317899,-0.000712235931459669,0.011931756668726997,-0.002489845834785763,0.004485347823956319,0.0027448720746308794,0.023322118286914804,-0.008728848137212454,0.00359367106704467,0.01416641765265138,0.0014832664866881867,-0.00724711683928315,0.0161475472002604,0.027905729205777996,0.003301635410205087,-0.0013260307312582267,0.027413465845156984,0.003512237598017861,0.012151374863308454,0.004946524313676625,0.012260883967874068,0.0009843484259799806,0.002274214316938223,0.0008471991867051038,-0.002105173765052072,0.010553507682094473,0.002575082567481164,-0.02238038283037464,0.02033449141535763,-0.0014967218934931839,0.001323263656814642,0.002901735251456582,0.001272860946689116,0.012833531808917192,0.0011897952468908931,0.003950364767505777,0.018525827892978554,0.015020336220899317,0.0037793161432581614,0.005294895411830887,0.002371103271879216,0.09952467031669594,0.0025028330395691772,0.008822194866413056,0.01737513703858944,-0.02238038283037464,0.09952467031669594
F2bandwidth_sma3nz_stddevNorm,0.0019779530998337218,0.008101806305675903,0.04327130324897753,0.03426926922152122,0.007851316912108754,0.004604055009258629,-0.019628301866723954,-0.0030297352092362563,-0.00024445615682354346,0.012916703963283442,-0.009630400467330685,0.014668930947551229,0.048712205807455757,0.005664887967272858,-0.025335793378675853,0.01588386000819998,0.009893388556920728,0.034877582354765936,-0.01698510871822076,0.00741926515497059,0.012403193106910258,0.0033527598166067595,-0.000532595879129999,0.01646002308370562,0.0056995875530932785,0.006785832216036096,0.02575949416188592,0.015518560352952388,0.00013832792389659954,0.043325157151944016,0.001966166381220217,-0.002147511101775633,0.04617813209066582,0.0016088614422093582,-0.020998841627645207,0.008901088096934158,-0.001033538580833701,0.012917598730667938,0.005083180528639377,0.0020675003706112547,0.004056439575920116,0.0011814419676467595,0.0012003042777502873,0.010425212706531973,0.005808849112418012,0.004018452675864383,0.007242606449373128,0.009319654840896679,0.010959561477530409,0.0006278837095772874,0.008271042307457774,0.015620929273903785,-0.025335793378675853,0.048712205807455757
F1frequency_sma3nz_amean,0.0031698793981936074,0.026930687150928573,0.03429724290617274,0.0036376405025639975,0.018952650518380566,0.016634788614139195,-0.006192806521665911,-0.006972607401603514,-0.00022338978493075163,0.0012299301093004974,-0.011436151372119306,0.016038135110901294,0.03212538617783678,0.007100178374267914,-0.012208479883413823,0.0020077905977168016,0.056202019216969386,0.005299103509661241,-0.010017773836016743,0.00316602118592072,0.029599843305228322,0.012381337576828367,-0.0002598062757917951,0.002355244228545154,0.010494204953658909,0.0037947955044376966,0.0324784662630881,0.013197184402724965,0.0035786822955992826,0.0075435568937476235,0.0010044209059284009,-0.001753766620502859,0.01388396149012888,0.004213935039381219,-0.0038168163503765557,0.010805274340458795,-0.00012081100336915533,0.014106329572790122,0.0038366511121896906,0.0008522332407635156,0.0018004623977861227,0.0012728417083780006,0.01360821964449781,0.011859330816018856,0.0012464427340585804,0.005583756974898724,0.0013250963897514596,0.006744281028836925,0.01279100481530251,0.006280768994085142,0.00800854741904552,0.012645580450410018,-0.012208479883413823,0.056202019216969386
F3bandwidth_sma3nz_amean,0.0016182992325591773,0.0484273779229807,0.03330946157136381,0.03024103490582243,0.02447746071521929,0.014385684804836261,-0.007830850117755481,-0.002257673693210497,-0.0003186468524033736,0.017083217795420155,-0.0024721033603386992,0.004979179395005889,0.031062143344949136,0.0037995502613540144,-0.019773488655247994,0.004957850128228513,0.005255823275709134,0.0048634710594465036,-0.009959486305708424,0.004076317513065543,0.019174548769272874,0.004158277952701347,-0.0010055963116013171,0.011400632627655956,0.006964261995416109,0.005756822041702493,0.024440098506225832,0.021908899116532782,0.001219268646570607,0.017907919572398363,0.0019602448224876412,-0.001240735988583251,0.004575635473873303,0.009954016450188553,-0.012627430054592912,0.008034721421589648,-0.000740145954172877,0.012473847402106686,0.003987586516646345,0.0012646281158006942,0.00927730000067192,0.0014342087538738442,0.009371158840462612,0.010656257501293396,0.012558355103187119,0.00024013837376065346,0.008548992449204927,0.004980025100758266,0.013059344442273316,0.0012919843690211519,0.007938197779960444,0.012013268768804056,-0.019773488655247994,0.0484273779229807
slopeUV0-500_sma3nz_amean,0.002484522707836474,0.03886555059525102,0.018162677856637527,0.013744251004041407,0.010272372225560109,0.024049714595822058,-0.016005621204069318,-0.006622102470902276,-8.767735392175319e-05,0.009792468159499025,-0.0019297671258969589,0.005443634459169154,0.026053358954765297,0.00685224276143921,-0.0020287393491920515,0.005027728157165811,0.026652851565907392,0.004060500962769747,-0.021732438574286195,0.005706411288696359,0.006300628263235665,0.01202599474313048,-0.0004836979978157196,0.04669177788782265,0.00046548473038545866,0.02313254605551512,0.008603037933500536,0.0036939972517394805,0.0007957786227346468,0.014671856004844856,0.001402052965938054,-0.002911061047262364,0.0455353788665652,0.0004791512623264737,-0.023136213425117347,0.003040927586356321,-0.0010433484918248516,0.00540309222278514,0.0018869342600791679,0.00032435037796608334,0.01035541218298955,0.001454528186819672,0.014665760697320757,0.012653227685324021,0.007689597457090598,0.004056376894299431,0.005680488451278364,0.005310248679990234,0.026815013675984906,0.00039944382433489427,0.00769441410049259,0.013697676923767239,-0.023136213425117347,0.04669177788782265
spectralFluxV_sma3nz_stddevNorm,9.759780625333187e-05,0.003006578500592125,0.0980062491007458,0.0005008233526883326,0.030599669939455156,0.06490655310476216,-0.0035833035814227913,-0.002254388879303146,-7.357592960592255e-05,0.0013888500305598516,-0.0024494000547444898,0.0013654835965064335,0.003788874989688694,0.0006972646604603509,-0.0013733171461532058,0.0013777055246576393,0.009732703242099893,0.0007477512053847803,-0.005703242399387955,0.002732931252281183,0.0038201841284567425,0.004119990683113387,-0.00016877069390263476,0.006844463376490671,0.008486674517531068,0.0016117245787845478,0.04017878133666004,0.003330085095790763,0.001226327183911184,0.0012384419243279135,0.0009736826834655859,-0.0009152028131009862,0.004371718270560873,0.0009496576304074395,-0.001037409164392,0.0010930251027086832,-0.00011233102011234327,0.005321681128294769,0.0002675016732644425,0.0005785823554517046,0.001912361691059215,0.00019209101083057694,0.013923663700507443,0.0005283751410107123,0.004065913976126223,0.004612438792140868,0.0022168700293377567,0.001473889611804257,0.0060188019234736325,0.00039512514570497903,0.006420602946304517,0.017319121057774195,-0.005703242399387955,0.0980062491007458
alphaRatioUV_sma3nz_amean,0.0007502659390819983,0.0044088168172552985,0.014612349013783523,0.024755561479321307,0.0031974059684640632,0.001466379124719739,-0.0029797958190962773,-0.001801566561190979,-9.422530856832528e-05,0.001556454939185913,-0.0028803519339130152,0.01929033270799211,0.04840412856725814,0.006819427626983777,-0.005600863143120485,0.006990638661577447,0.018797894418802155,0.008091688569354945,-0.017535593986799578,0.005986051265965787,0.0022514885172019413,0.012895628546374584,-0.00021676227960504193,0.009487578449057373,0.0014130593893532629,0.010203265375404327,0.010555279288854478,0.013321423109390293,0.0004474668027615762,0.004365627294158638,0.0025866366602605327,-0.000358432491321235,0.007791041382161609,0.0013511311413978,-0.005863188951140187,0.005481899830374028,-0.0005417443195797629,0.007554678846194166,0.0006195729796997724,0.002070910259670844,0.010382950608231457,0.0020103810445147616,0.009699911606176564,0.0026615823553347434,0.0,0.0017865070452776834,0.0006722072895514685,0.0022757112795738946,0.0336280390131267,0.00022673490229003322,0.0056599116664360774,0.010107478807180478,-0.017535593986799578,0.04840412856725814
VoicedSegmentsPerSec,0.0011448025544536227,0.004077666271275795,0.04011150832757417,0.00982498876209282,0.0015971640919542048,0.008670952655103299,-0.019376323445052634,-0.00230628543893098,-0.00017806199902821858,0.0031467386502714726,-0.01296398607335968,0.01425018041451272,0.05442692965111626,0.0067591873474405545,-0.0071914902192980095,0.0026332874568378763,0.021639750089195317,0.0034014679629347094,-0.0015895498975779857,0.0038190378991291435,0.006440239871143091,0.004931155805211093,-0.0002603874977131948,0.027133436665541577,0.00555065645437909,0.004634467437809374,0.011283185367254455,0.004726736397300474,0.0013835789310063914,0.0026433860266152397,0.0008708140715130543,-0.0001963306316709507,0.0,0.004257169064323072,-0.010580249034392137,0.006030153254844067,-0.0017456337359775653,0.010262623686843636,0.008161717217187305,0.00012867274161020505,0.009121162030030694,0.0018333827545622323,0.0024051243995421765,0.011824556545869705,0.013944494654009007,0.012669955916636335,0.0005401855891662475,0.002620699906241736,0.0,0.0006040664322951691,0.00546233970763652,0.011475634848509777,-0.019376323445052634,0.05442692965111626
