,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.006704404744528558,0.06403931480015201,0.08033646160212676,0.08088844057927146,0.06456684627413357,0.11246137983742183,-0.08878678048635116,-0.015396299626841164,-0.0010357322582768237,0.14484936839518422,-0.03153281067410969,0.052024262123573785,0.13966684225096107,0.06637351906105021,-0.07364037639879607,0.028846233591644857,0.07379827401332203,0.03470457599240192,-0.05083071129675966,0.0402979495678224,0.04359032612956246,0.034013646949682584,-0.00530110507549088,0.045887017956486253,0.04816604307336782,0.02059600666819571,0.05645079010239384,0.04502571922435353,0.014291776715013325,0.07760347055170058,0.004315719031704612,-0.0043532736128927335,0.1860444331622596,0.01851571495596719,-0.018995616701051717,0.02761717501399154,-0.004380962182042305,0.05297275593696986,0.02611517528157012,0.008211751002146838,0.012489545535252812,0.0038026939148855174,0.059653229773275425,0.05406231119200936,0.05674675482865474,0.034238838758149745,0.032905590524636166,0.06574144436515662,0.2340631950885174,0.008971460878028262,0.039347935822698285,0.05670219299062393,-0.08878678048635116,0.2340631950885174
F1amplitudeLogRelF0_sma3nz_amean,0.0028452033003456296,0.04452854576834963,0.048712050983671026,0.03343809908343273,0.03668392818931459,0.05258109331745001,-0.036185431040412205,-0.008363970270788099,-0.0003694941212082523,0.11765778719191484,-0.020264750738347947,0.06371821764220985,0.08662974393289322,0.0364329987389078,-0.04681630440999462,0.013818341419142273,0.06671724578749094,0.030584801058196148,-0.0524085640278241,0.015980851169220236,0.0498110990152412,0.013250431539601716,-0.0018199655474561232,0.043990899188067666,0.05818582307091492,0.013254159297576755,0.06649844129506882,0.018515450780763314,0.004830235662463596,0.05775566540928256,0.0023670878730485704,-0.0028615667976530494,0.05288367802928439,0.024560365935620363,-0.02403729966289121,0.020615690119684605,-0.004028407142467166,0.015530920722401129,0.009694591132427882,0.005064074034740559,0.020298085688898036,0.00472874767819109,0.034641983200335506,0.03466896834983763,0.08221743681296358,0.0330484984213836,0.014364978180925834,0.020510154123614423,0.10299568901852389,0.025689038481527347,0.025662906937717708,0.034530381711246935,-0.0524085640278241,0.11765778719191484
loudness_sma3_stddevNorm,0.001032267486185603,0.0733704650206496,0.055631671030713835,0.03597237367072219,0.04989190569549366,0.07495103940221912,-0.05320721984463174,-0.0034504571670999056,-0.00024242577484598194,0.15575930195013604,-0.015919049198920607,0.0522162436397311,0.06577244249032393,0.030936153865662484,-0.01576318139660938,0.0038757364723131706,0.1510239159020504,0.027167928736100563,-0.035066620086282765,0.022803555219246027,0.026850002938822743,0.007898690653349324,-0.0020761047239457324,0.04342412839884245,0.02821647610729993,0.009203759545378753,0.04046557484674773,0.013369871339140913,0.004509733341021152,0.0655508290398585,0.003628960856350936,-0.0018777600518446408,0.015730307165123122,0.032334979025716526,-0.0303717945760821,0.014328592995196699,-0.004760291725858058,0.018399565421848472,0.007933016896115972,0.005253926660236389,0.015603897684460239,0.0038682480508282968,0.029176999526655607,0.05109375663679732,0.05798007377169304,0.013783560240752283,0.023960914955018345,0.013216408963635582,0.05141020178272482,0.014566548813842763,0.024988582433857695,0.037692918064592136,-0.05320721984463174,0.15575930195013604
mfcc1V_sma3nz_amean,0.0028862236157045297,0.04683518937907446,0.057776588636068486,0.03280934414291188,0.02307194462262133,0.06044957332778905,-0.04466388531403379,-0.007619947608047499,-0.000940952025564276,0.029989516088689796,-0.032156579596319936,0.023391619684263003,0.04953059918618551,0.049103831344721266,-0.03509969314929879,0.00708353731274649,0.02620365419695776,0.02628715375838963,-0.022878914698599026,0.018338088916916646,0.036656779088638944,0.028214169771960722,-0.0004330862071818157,0.023469823714350264,0.021390451744054264,0.008595912006028165,0.0435419160078953,0.021721167934134443,0.00521503800894028,0.05486625028180525,0.0074863187454714585,-0.0018064994460445323,0.0684053117776626,0.014996478356244047,-0.022086628221057635,0.020098887519101653,-0.003500635344718865,0.009708281400217705,0.004186028076001676,0.00475181269256828,0.011171244451724816,0.002673089758735282,0.01244954028245466,0.0351005777216379,0.048950854438645296,0.03323570077707304,0.003943591150538429,0.014221523424913514,0.04948204335608593,0.006450374993818899,0.017471064201657532,0.02482595188341722,-0.04466388531403379,0.0684053117776626
shimmerLocaldB_sma3nz_stddevNorm,0.0026999859392536885,0.0542507349173719,0.031324624839107064,0.025931569209601928,0.027009990458754022,0.031327945765741445,-0.050511890102567354,-0.010696315832052853,-0.0006694389734513734,0.015649931376288586,-0.014234897067823132,0.014186307779896237,0.0528911544351174,0.0227981478239876,-0.030096197235032485,0.01247199470762318,0.10940555309471374,0.018529846806562965,-0.0382594558758844,0.007269897146171213,0.030344538195019678,0.01863504078454818,-0.00103415380889421,0.05855393630343224,0.018156604333482176,0.007659440147100407,0.02512386117183491,0.011860173308463545,0.009335197259845584,0.04141353792489496,0.0032402863876983758,-0.0010367662634492983,0.0431196150242617,0.012150776120936208,-0.021480002852448794,0.01194584450829167,-0.002536196175730461,0.03531625468093386,0.010303339879696095,0.002646140650862486,0.011177614136883968,0.0033387886388896405,0.03687656030007639,0.014797968114249438,0.022667399878112976,0.038332301196190285,0.006748501313656549,0.012128486650185061,0.07795214678298519,0.00696711097264527,0.01651967669556067,0.026780123376647997,-0.050511890102567354,0.10940555309471374
mfcc1V_sma3nz_stddevNorm,0.0018338783424723597,0.026247895609912142,0.01464227883008534,0.029788826543806084,0.01209079604618289,0.06739881407421318,-0.010978740926804982,-0.009134167146155553,-0.0003662437357887083,0.005001906429822132,-0.0008917832916726018,0.021750025209896995,0.018654752193381845,0.013019493188339669,-0.0054286776141826915,0.01308499961324337,0.03779923449105604,0.020029248901613547,-0.0014740074987350787,0.016199229878946,0.03285578236684303,0.009205899297444664,-0.0008137580822255817,0.013773350894594453,0.006654227068459659,0.004336467329572841,0.019137745634757015,0.007127358701677236,0.003546175598487628,0.025143412935035553,0.0025008267981654394,-0.002102078092161641,0.049192580333046215,0.011359494928043747,-0.011285190781853601,0.01747952555980136,-0.003705745979199728,0.017613558820437025,0.005823189488001301,0.0026957681280407883,0.012690042153866946,0.0025091569923222147,0.018764738515681917,0.0060084186274108565,0.008197755026486406,0.011834180790996887,0.007890865141899796,0.0029772253810829443,0.04271225054174136,0.004046129422911688,0.011948742253620005,0.015080968311238754,-0.011285190781853601,0.06739881407421318
F3bandwidth_sma3nz_amean,0.0013348547963666028,0.048839543933755655,0.04382592518399063,0.028352585791668793,0.013651349724198892,0.030449402732683133,-0.01172583570717703,-0.0023189190366641353,-0.0004463679725176769,0.01985674036833852,-0.005043309437145913,0.0028004779594060685,0.043496953313916585,0.009582262481601172,-0.010931044582804986,0.0051097750435948495,0.006330263530644337,0.004144022614884339,-0.006359574538114325,0.008948266987594619,0.02723190616138577,0.006313835824783278,-0.0015043221088349666,0.02519458028799798,0.00857996622211504,0.005844450806041538,0.024199554579891716,0.010663546631056783,0.0022804832118729157,0.04237885970064684,0.0024891954111075933,-0.0010277372193028768,0.002900674620456944,0.008847238642012825,-0.020066194393874744,0.01553583745775144,-0.0015793517619919998,0.012337017441733518,0.004860999720996933,0.0017669646740010147,0.011784064596023602,0.0019928238014218945,0.01036327043098603,0.01753321454405477,0.029993400142893215,0.0020068731941618235,0.013089608493790747,0.004915889340532842,0.025055670464540224,0.0014836903830357346,0.010507267689790172,0.014707666531989955,-0.020066194393874744,0.048839543933755655
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.004172046018177447,0.036193649096018084,0.015868853338781495,0.0017730093728190368,0.009880233100132425,0.02748561121921178,-0.01763465319294605,-0.006923711414155219,-0.0002630512946460013,0.009467987358629984,-0.0014054738946773844,0.02725294408450868,0.0763548686255304,0.004864640786709953,-0.016746643272591163,0.006200511717442967,0.028694251241532263,0.021359576516067902,-0.009533747472552317,0.006186168595481662,0.016275202498721483,0.015978865057506127,-2.0022194681133935e-05,0.044795642052325,0.012160229743922661,0.004184739361780754,0.019387885794584978,0.006836807950363695,0.0006373199772661236,0.0030718936538477793,0.0011687077406906628,-0.0016204413045595109,0.0050470534834056655,0.008416580050835752,-0.0028465332827077704,0.030176409369667655,-0.0009459004245867635,0.009012953807938488,0.0013050878432308412,0.0020616767982846907,0.0036833222559568436,0.0010892906890137023,0.004095346437071765,0.003966050328543949,0.023317251682394013,0.010180373763352677,0.006661273207627566,0.006690315706900288,0.031823929208706116,0.003913609537640995,0.00987503982649042,0.01573399814098426,-0.01763465319294605,0.0763548686255304
F2bandwidth_sma3nz_stddevNorm,0.002012709650166925,0.020430615388086992,0.033084629782293436,0.016125385218019574,0.024194923209603904,0.023124165140178933,-0.05222181825443076,-0.006844539252843274,-0.000390302967720797,0.031652865892682555,-0.014422305483297404,0.029443424555048604,0.06357738186855992,0.008132034845792295,-0.01869522453729582,0.005354897522772176,0.007730072265847812,0.014486423372853403,-0.014135220600802112,0.012667140760532991,0.01506871217768769,0.012824886571755291,-0.0006804677595460688,0.015013136133402539,0.003974907940177317,0.004922104197146215,0.02548584919752016,0.011695479357374942,0.00023009153014745065,0.05369511986202788,0.002031972278824716,-0.0011261452516693508,0.05519860130291432,0.002664348967008446,-0.02045981790023354,0.005229394007399896,-0.0031292637660342523,0.01038119033646656,0.005578622769697841,0.003669705891525807,0.0012793886965092962,0.0015401913185680122,0.00048041414752524107,0.016062536938533465,0.018977910226291816,0.0077645482838165835,0.005069256872688661,0.02292134124014294,0.005299164971903331,0.0011946611158287733,0.009363302000629029,0.01883484664649431,-0.05222181825443076,0.06357738186855992
mfcc4V_sma3nz_amean,0.001630790880043102,0.0692280215608719,0.040311988838482755,0.03171244997268448,0.018789096402844988,0.028930129316150032,-0.03305228584225334,-0.002069951359587337,-0.0008030506972941306,0.0,-0.0027362357535617604,0.005016478405695811,0.005762938862665522,0.03436849846846982,-0.010272867347265567,0.004353307827071429,0.00696347727405292,0.0037351148380355393,-0.005297096038681811,0.028096714882012666,0.012475252843717005,0.0014103409645888616,-0.0012034872964716919,0.0143161887767175,0.008449701645374735,0.008963972014089506,0.010295629880923744,0.0030592865354547713,0.0013914710943036678,0.00940001027767624,0.0009850731028038836,-0.0021712531207671365,0.0019683088573769826,0.0027590556152711568,-0.015639313856767485,0.047209959645129106,-0.0016340372621353812,0.0034229364392069682,0.004009622660741252,0.0005616238746298312,0.015494718654257346,0.0013153043013679091,0.003606251774299525,0.018481561726884515,0.033354175631963794,0.006338535861475924,0.007239971741071091,0.0029953108579484577,0.018670475037043506,0.0026310500822028606,0.008896504377016308,0.01638051869331692,-0.03305228584225334,0.0692280215608719
