,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.005925117040604853,0.05598058186753017,0.07549930404766389,0.052393606631688586,0.06096259063562666,0.1246653093336922,-0.05125431865826893,-0.01227881380945208,-0.0007062452186891567,0.10423444176068139,-0.034357878762010505,0.06157831965155389,0.12166068659961458,0.05304856179768227,-0.053009045020453616,0.020240626700843634,0.1069071714879563,0.03854863889714503,-0.034462019517539765,0.04256381821355412,0.04494685907439573,0.04827697930591939,-0.0026601430903392524,0.06833054610747552,0.060911845213741586,0.018601649668152448,0.05691877536655941,0.03679279823360179,0.019250367740708235,0.067382299560264,0.005911311159264451,-0.004153233383479623,0.14916053519676262,0.016466410617646778,-0.028458010757358487,0.03194697104830951,-0.004097026164313766,0.0485250463377788,0.025743540349065442,0.007208544678179316,0.03306781281569545,0.006318769237242952,0.053420812497751526,0.03841427907550972,0.08465004734002114,0.04103988373238579,0.03787200078257059,0.03292228524392983,0.16279435027510886,0.016625219321085922,0.03824543960526118,0.046214114974349484,-0.053009045020453616,0.16279435027510886
F1amplitudeLogRelF0_sma3nz_amean,0.0020271972662309285,0.05490845640681508,0.07158955135535483,0.03331140980206949,0.035905182150192845,0.06648251313204658,-0.0385052375813158,-0.006124435613589979,-0.00037262654832179864,0.03328753543892068,-0.02830725996057485,0.05010369838920153,0.0910174439319476,0.027329091084043057,-0.0432065503278549,0.00830527881229066,0.04792572288107108,0.02524044923556595,-0.03469051712159158,0.014993858680847589,0.05176762940693176,0.006499484858415643,-0.0014752855585530003,0.02903011759422424,0.03408071024505785,0.014192396461479944,0.043470199158911864,0.016269340329674763,0.0072798139804697145,0.026356773020487802,0.002530557182525296,-0.002111832198232383,0.051689729835643086,0.012103606393369503,-0.012120784569555272,0.01752354457549764,-0.0036749247863765793,0.015190667703373939,0.0082548918463435,0.0037463994086615066,0.019847810396264626,0.004844671331383861,0.032982052705556604,0.029011406896781135,0.06549445942598149,0.0271087162695251,0.02170856918482959,0.017831471029190204,0.09303525897859036,0.008092336005497148,0.021035610970506,0.02913083619624606,-0.0432065503278549,0.09303525897859036
shimmerLocaldB_sma3nz_stddevNorm,0.0015584379673515027,0.05665744362942162,0.06732355472188614,0.047169674701833565,0.035780940263753266,0.08561094389818566,-0.024442548786336653,-0.00906897153197675,-0.0005059600696251415,0.01711032931687759,-0.020262768720236274,0.03849299273794894,0.0673967244465591,0.018976968935490994,-0.04428314596928982,0.010052671175133752,0.05716982658279089,0.04252927328093389,-0.03449589486763218,0.007288184648442234,0.04433015254418496,0.03970296466189955,-0.0012725305932305198,0.04139211265089338,0.03173217371844859,0.010614568098993596,0.02503489199218457,0.015033256799219802,0.006261448576242231,0.02511204405602386,0.002989669692440741,-0.0014378405123309005,0.04075807514365109,0.013133372852178698,-0.010180380712846408,0.011900471480622657,-0.0037346703933970223,0.015130644149971714,0.011474747815237036,0.0021614244297184764,0.01614543769367972,0.003239845359589204,0.030198264998618295,0.02929685105676858,0.042837201395129726,0.027996160267298793,0.011556384526506359,0.008170991880594636,0.09753223716166184,0.005677321597090511,0.020256919374971122,0.027923142181784683,-0.04428314596928982,0.09753223716166184
mfcc1V_sma3nz_amean,0.0015169532480179746,0.05651748018583584,0.0490284895199694,0.03986431008556896,0.03212790729591232,0.06837605359938781,-0.03184650631153132,-0.006236117504256906,-0.00038753564003639947,0.06695243009175356,-0.01683867124578593,0.029011611931062387,0.057808784899123486,0.023371271645143254,-0.02834934126795021,0.007850919338278714,0.02244578355907317,0.027357042590263086,-0.02591827965339332,0.014741365826959044,0.04656421716739439,0.02094060751687439,-0.0003723001567960259,0.04288584379848663,0.017785374736193738,0.011245370260121079,0.04023473677692131,0.017228507550084236,0.0058776971059463865,0.056929694457484345,0.0031779466756902595,-0.0013657451640543819,0.03321043433208978,0.014868132166157236,-0.013848785491224123,0.01212877736307161,-0.002968435931998021,0.008310789297903168,0.007289407997976763,0.0026455226326114033,0.021703347295984485,0.00570844216331747,0.0128037882547068,0.03690802843104294,0.06410955919346503,0.01774023913968776,0.004662880277353728,0.008241328837985314,0.04719482319044973,0.007806947578159936,0.018740822592929644,0.02433811624520394,-0.03184650631153132,0.06837605359938781
loudness_sma3_stddevNorm,0.0015168123611029457,0.05097193340858395,0.056334775273039046,0.030993937104888042,0.032104115673072246,0.0411644531152676,-0.045108018302617986,-0.003262808537171208,-0.00019383537808349336,0.0449126918510552,-0.022728409971330077,0.03520103811750165,0.07887948883325775,0.023722324894993412,-0.022100614134308253,0.004018919304346922,0.05247028375865881,0.02755531635507853,-0.026155746455071443,0.02023634241952479,0.02704494849560677,0.012511258827203395,-0.0011431486873296468,0.021024650990284294,0.026016819498071844,0.007077225848034326,0.030138508837538627,0.013728393709638888,0.00461968484079809,0.024724702136529046,0.0025233763884368434,-0.0017022249640979343,0.024516567799519922,0.014854914083928335,-0.01657220518834789,0.007942905742911106,-0.0033149660667438586,0.010721000052388227,0.008904770040777657,0.0035823246480351733,0.013913329485973867,0.0028816175852531597,0.0237269464509782,0.021222806464087685,0.044352684956446564,0.025141622761604605,0.020879779624548827,0.012275471093440161,0.0678818024713829,0.007549155055182472,0.016751154453477402,0.023402575744153595,-0.045108018302617986,0.07887948883325775
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.002955539556744882,0.03276676704323576,0.022543682419490375,0.0015939361155562946,0.013200010252928093,0.025075982874378445,-0.01638099364256215,-0.007154258497134357,-0.00018768289234897292,0.017059180075510955,-0.0008041195045235472,0.04050154989050663,0.06031892503757518,0.0029855791354809922,-0.020663418628393125,0.005575074820162036,0.021528129704181245,0.027853538328390774,-0.008804705262844064,0.0037831209511819193,0.017570172284510525,0.026440042145777762,-0.00015857882959589189,0.03414765553576515,0.011240473939398804,0.0035906493656822423,0.021724422306082104,0.005300403614769806,0.0004755001109618517,0.0026586714180914734,0.0008407754471640597,-0.0015128460482321739,0.01570709296136194,0.007494114996073743,-0.0024703793502018185,0.008567428167421507,-0.0008636220553936391,0.0065121573942830985,0.0027939503839884607,0.001879042484085837,0.02085952663952262,0.0013725361051674164,0.004924841995759755,0.00484331764636243,0.035009307502962675,0.013506129196998505,0.013461491463964963,0.0068838963019594605,0.03261266320558117,0.004122538798140166,0.010465584258118627,0.014879592013894615,-0.020663418628393125,0.06031892503757518
mfcc1V_sma3nz_stddevNorm,0.0012515916517817937,0.0205991280159536,0.029006999719732682,0.028027608971247408,0.019998796087911556,0.04125546515623739,-0.013300751818823328,-0.007500483116563461,-0.00045244151402291943,0.009662421914315546,-0.0009145809934488473,0.03191452299020902,0.03908837491384274,0.0051612985406173,-0.004029026781970052,0.009877500220010898,0.02659098250123697,0.009044773405386362,-0.0006760730658978566,0.013515346332653187,0.03265703566415747,0.01586505819633367,-0.00042286108555804883,0.010636652248272373,0.005591472627648873,0.0030067588890198664,0.01240895583721051,0.004419393438515448,0.005192700061813642,0.014464875351666856,0.0014203207529933626,-0.0015353321010438733,0.02295516711536584,0.00852283814530959,-0.012909486615314446,0.007812607779288891,-0.003446674662567423,0.01042661003681157,0.005405437463108324,0.0019476947418525586,0.009100507513396923,0.0016449634229418542,0.015038794743596632,0.004384784210045052,0.004041468092111797,0.008504216102147997,0.009695860650956267,0.002147721564491106,0.06069936031951857,0.003982778646950067,0.010435622645629026,0.013986699203059946,-0.013300751818823328,0.06069936031951857
F2bandwidth_sma3nz_stddevNorm,0.001110200061167018,0.022826979453324205,0.06181054784848759,0.022337784486452218,0.018866508584130078,0.027434783591336866,-0.019909118339631847,-0.00450449710452667,-0.0003450849383362431,0.0143110507352013,-0.00907593027862927,0.023245937611770726,0.06072669557959319,0.009058955620459986,-0.02251408230818243,0.005880665717117231,0.011805649434681157,0.028064423865932664,-0.011803648839526363,0.009034804174011334,0.022782529393304208,0.008418508741133712,-0.0005103556854001253,0.012960022329203623,0.0058939705477888855,0.005226292720737326,0.023179495642489525,0.010222674534916966,0.0003543498657854435,0.04308942667190708,0.0018371849193074602,-0.001390412665812597,0.0381716584539446,0.0017910579683118038,-0.014574451793299466,0.005230005588106281,-0.0038311495260578573,0.008606212061824395,0.005512058935346274,0.0017511863905420298,0.003653354597936483,0.0012010696631500658,0.0013907256447450971,0.013736668996458331,0.021059744074721554,0.006096242638431864,0.007349532907664742,0.008437626999823115,0.008563293241178192,0.0007953039584447624,0.00990732905542933,0.016599905565659153,-0.02251408230818243,0.06181054784848759
F3bandwidth_sma3nz_amean,0.0007390820412815133,0.032294023847110866,0.047239025683924595,0.027786803671259314,0.01671149832526936,0.020174900072270456,-0.006082843590644614,-0.0020051668591201132,-0.00032250831709129164,0.01603115751720412,-0.0023245954640837073,0.001605053381285911,0.024481363518951093,0.00786085998188182,-0.015594631683957576,0.003711435374750715,0.003306135175178507,0.0054961879499486384,-0.006301608707314569,0.005206673460250398,0.01965900264426387,0.006500073382802054,-0.0008608784822573436,0.01211965734718898,0.009493209699006876,0.005194701243807094,0.016230319608232076,0.01225818052282842,0.0031238223799426,0.02779668006037591,0.0012353248164867184,-0.0008267479979181423,0.0037060558314863986,0.005409100218450108,-0.010347052030063354,0.007477686218976844,-0.0015057047525783675,0.009425364147697325,0.006334781146530732,0.0007583227669779466,0.00922408397006861,0.001250968890005277,0.012038553017521865,0.011157362162573268,0.03559659869673634,0.0009994055322321454,0.010427563605562195,0.002917612248203193,0.018007364266736915,0.0017163532777143074,0.008330612196358927,0.011742038623134336,-0.015594631683957576,0.047239025683924595
loudnessPeaksPerSec,0.00102640005479579,0.03164208424464303,0.03433222506566159,0.004036577209115289,0.01925517669405592,0.042061062202756495,-0.02229198984863072,-0.005036199778240397,-8.564125237833599e-05,0.018570385514542313,-0.012800249338879579,0.004387460454561761,0.030057249237281793,0.00809968571121704,-0.0021593991128102323,0.0011775468731335746,0.007388120435386601,0.011448187306943348,-0.0009980405800802136,0.0006160316314935305,0.001282254774133097,0.001438230764380876,-0.0002394372461358443,0.004769401532227255,0.018782985775090702,0.0031410336948784387,0.01363640831715022,0.009636507502840265,0.00489159725906822,0.011594816741591237,0.001438801940011963,-0.001041468294334833,0.015616802829389542,0.0014821692442351752,-0.012033063260577062,0.0018703271577292676,-0.0017398246222406965,0.010636023306047095,0.006439029291159808,0.0024898477236700053,0.00275443666271284,0.00137655537961656,0.0008700277886841763,0.020977062412688773,0.03372815655294068,0.009402613697983741,0.009276509849091157,0.004284300879918179,0.06353615516198963,0.005122988619519077,0.008322958483200563,0.014364841190686484,-0.02229198984863072,0.06353615516198963
