,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.010984111596333532,0.07554916041472808,0.0877622710386123,0.047355969045004255,0.04877072443112594,0.04674199703372779,-0.1352314682363276,-0.009332554564818706,-0.0012638223450612885,0.12364001675227321,-0.0256305735957023,0.07243575582198883,0.10576436343026425,0.08381050459782177,-0.048536941581582956,0.02337231982622269,0.09349789645299014,0.018446704158831206,-0.043290315826373965,0.05185585772867055,0.0730051109483255,0.033661291935479606,-0.0053320660496765275,0.0721119755196911,0.03402578029877872,0.015800727820264725,0.06777351144147095,0.021503751982072654,0.008669203653186516,0.06197855014078229,0.005640488916597123,-0.001693772208819976,0.20224029810066993,0.01631306392384286,-0.02335554052608712,0.034022063090036664,-0.0036010547510688653,0.08708266760027497,0.023370902466705944,0.00889887011029226,0.040671886648016936,0.005474344380111645,0.050886256483488004,0.04534678496668593,0.051175511110982196,0.04745337870276557,0.013418902425416821,0.058236363669646574,0.2089382614130562,0.02192147342277706,0.03804681927628988,0.05556773946088644,-0.1352314682363276,0.2089382614130562
F1amplitudeLogRelF0_sma3nz_amean,0.0040303662082926284,0.04384652531669879,0.050013945902302334,0.04260139625212842,0.026003289637647004,0.056703521302886126,-0.04905973906620454,-0.007440300921726557,-0.0006398851423581113,0.06388106266910125,-0.02657917159340938,0.05117866271879894,0.10354905130163518,0.04026625417906118,-0.03565384183431457,0.013062297922401697,0.0921318587807101,0.02367164820940935,-0.044907214457716074,0.02051613941910736,0.06152051225698813,0.01454002297844264,-0.00181807085801921,0.03604440461775116,0.03752300980166653,0.01384358820824715,0.06277684603601195,0.016982699820846738,0.008047498234622197,0.039681449507869775,0.002318188858114797,-0.0022334906582897347,0.10443698578594407,0.014975970576520973,-0.02167082919207129,0.01649748402117843,-0.003187880247055639,0.05468026591494137,0.01330339160894388,0.006229299450021138,0.02257267740878093,0.004139042049910634,0.03365619738335884,0.03681962120339579,0.04976613110887289,0.030500438360189504,0.014485171753660833,0.02264304932751604,0.12006146051400657,0.019328619859259894,0.02591279244992157,0.03507509318323386,-0.04905973906620454,0.12006146051400657
shimmerLocaldB_sma3nz_stddevNorm,0.003455843811874903,0.05238063062478043,0.02659665530776276,0.024682666409732594,0.02477266093462297,0.021860206494636273,-0.0370751532743606,-0.007504916729125464,-0.000576592123175318,0.026943357196619992,-0.015369381658059312,0.021713277769183466,0.04701398252589613,0.02299293846047167,-0.02814542469675973,0.007013450119469193,0.08941668115726029,0.01049451372085477,-0.03993124932135624,0.009814549245113286,0.017205931202592527,0.016000068121404948,-0.00204936762247857,0.04086263837800741,0.01564619652589615,0.008269387547709794,0.022709029885802676,0.009346873050018563,0.0038414614794398563,0.03325304713626111,0.0016401136862987747,-0.0008636751045110466,0.060665532199200914,0.012349863186080053,-0.01260041725193256,0.015163862449191594,-0.0023630133795467414,0.02961900900223194,0.019366891205358797,0.003300268636199642,0.030905535134942635,0.002159201219972843,0.034552085025457174,0.02814670653699308,0.018425574353121164,0.024187807656958788,0.003100243130979553,0.007392849620734672,0.09521942673600835,0.00725861470794877,0.016065208808635698,0.025024598988597123,-0.03993124932135624,0.09521942673600835
loudness_sma3_stddevNorm,0.0023451183719229436,0.04183676061741808,0.05133552645437089,0.018873241960784545,0.0351671531138215,0.02216900548805739,-0.03561309185063106,-0.0031975955185752523,-0.00018867578043883093,0.05731892566086243,-0.013220062370239285,0.026385902960152585,0.054346404633208445,0.026170898172983004,-0.027686859095969102,0.002736014428804001,0.04346331028835689,0.014513690713146008,-0.02067370219301479,0.026169048493965053,0.02873601632748324,0.010389187215058238,-0.0009535357889652481,0.024885029428185313,0.01438242712228336,0.007119940191985532,0.03043434486186826,0.012131014970042287,0.002070107586946426,0.013028424025068609,0.002306178085389629,-0.001331917643146963,0.0345816901888747,0.011671321376290629,-0.01574237931743678,0.012448165553078632,-0.0019100613850492742,0.015712363297236485,0.006769486228041248,0.004525251777251017,0.01611748544877622,0.0015961034333384252,0.019105369400515913,0.019742888680097447,0.031246396413324606,0.024490439520258513,0.008403088813182713,0.012744113523711494,0.0812895379142888,0.0055548688686357294,0.015075887213312015,0.02133242538117674,-0.03561309185063106,0.0812895379142888
mfcc1V_sma3nz_amean,0.0031604785478807533,0.04230965389892473,0.035893029653142464,0.022722800738773148,0.01945400662230233,0.023352836413382223,-0.02973063827367637,-0.004575121475069615,-0.00028489364998068406,0.05926073804296426,-0.006730441595328533,0.019475557437689583,0.033855269598992634,0.027472340520424132,-0.016114152817871725,0.005374435138777117,0.02462406351217384,0.010731842754202787,-0.01711537810590474,0.013696478188281448,0.026695103437582867,0.014249828808922647,-0.0005763563190727771,0.035887234703614636,0.007223070864564411,0.008320492356287186,0.02604910441669767,0.01163831535366258,0.0010594428865139862,0.04000988984505837,0.0028160853346835264,-0.0009708366799467826,0.04343769083294259,0.013343721498820868,-0.01814424039174145,0.015051358972629646,-0.0016775836601279198,0.0121798978082299,0.006806033205377762,0.004195270346812789,0.03232928036659327,0.002853250253504247,0.012965613950257266,0.021945269945687233,0.031411415511615526,0.012197236699318234,0.001976332234275383,0.006606549652233063,0.03399518988075294,0.008045078759871083,0.01357503292051401,0.017458288614760276,-0.02973063827367637,0.05926073804296426
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.005168834600577476,0.030831122630430773,0.012139695310856981,0.002076654917194089,0.008790258973382955,0.015551772455133447,-0.04201052180060965,-0.005660902788861168,-0.0004031758286023608,0.019038000063380023,-0.0007273861198833514,0.025178389447226248,0.044734081838110236,0.004767439643519318,-0.015999538758486302,0.010150575018816962,0.03233925207889189,0.016700462195734143,-0.015441577594819742,0.009214886137529545,0.019036666830169392,0.014044379112475594,-0.00014292227181286038,0.02662579388830487,0.008022817051511005,0.006423952452097051,0.021965427176710864,0.004021540722762128,0.0006034004065618236,0.0046838859830536095,0.0009421580194788256,-0.0010263761903927596,0.05209420767852578,0.006975239944907279,-0.003214956834166701,0.01753845219203421,-0.001070897592136352,0.018062414230917985,0.0033308566232112015,0.004273288439340335,0.02687314856059647,0.0013091520172607892,0.007772521429119975,0.0047979811757943485,0.01801153233470578,0.018278077257251432,0.006669243303802673,0.016550119555855773,0.050103360480867734,0.0071408609824353,0.010342672947615301,0.015877244121865745,-0.04201052180060965,0.05209420767852578
F1frequency_sma3nz_amean,0.0012856685181894976,0.02548387621839392,0.013164707736493834,0.0034154055927541963,0.01076381766587178,0.01826764424826761,-0.008723730732834415,-0.0041486614113693575,-0.0001130667685277552,0.0011727657340096548,-0.009054442911777219,0.02278449114010433,0.02328301524212971,0.0029467890602012845,-0.009772071198027806,0.0011212079895540747,0.03467557755009455,0.0047555645186662335,-0.009816250127064783,0.0010703205403492938,0.007428637319677251,0.015513992540736675,-0.00010617507998620042,0.001591661343699314,0.009860243371564888,0.0023441288386187088,0.018913799333633064,0.005324539495594845,0.0013563598070668002,0.004408733615073186,0.0017555318809060244,-0.0016115918182534033,0.01645255095950573,0.012866000479884872,-0.0013256567636142215,0.011142026573841196,-0.0003113095865388705,0.009600535661642212,0.00789364923689825,0.0003971435582573888,0.0027557448825917866,0.0008282366887797985,0.01669522377894574,0.008367569627722003,0.001371763070661986,0.005985728239918177,0.002025223522784729,0.020443063540411508,0.018460474678871134,0.005863729209746272,0.0065770837322823884,0.0094989958869079,-0.009816250127064783,0.03467557755009455
slopeUV0-500_sma3nz_amean,0.0025601420181892835,0.021382819511278187,0.008218171167449183,0.012344635742676888,0.005681034316306041,0.016938569479423776,-0.02299429299111273,-0.00484220695459151,-6.864316711062438e-05,0.013109850654006303,-0.001615278043390411,0.008242547189991515,0.021209750879519065,0.007478059129691917,-0.0010936008803169785,0.0021104973889718697,0.02015793220134703,0.003991514727996533,-0.01655203917312471,0.00683816197340856,0.007934645424146944,0.008943266487497388,-0.0004196757262689687,0.02041460035527417,0.001242424259987592,0.008996820894523309,0.01207007347604094,0.003740542632498968,0.0006828489974689925,0.010042228883357878,0.0015085345467707198,-0.000752955100573211,0.05066775763907897,0.0006996791364093657,-0.010684713580042526,0.0033890143149995,-0.0009962365224372685,0.004647950061456166,0.0018139722134832342,0.0003591444310728418,0.012572627484075144,0.0015747475752735081,0.015714071903653898,0.009957129381766726,0.007616747240870974,0.010530847351873634,0.0027289145205170733,0.005910767836231477,0.022921658597199135,0.0004741200930000707,0.006347983599596318,0.010868494111182665,-0.02299429299111273,0.05066775763907897
logRelF0-H1-A3_sma3nz_stddevNorm,0.0007402870345672642,0.0040693684136996495,0.009864220383553689,0.012908739907700566,0.00784118593061552,0.032627123004848685,-0.026692197660909748,-0.00840381299873182,-5.030828955089701e-05,0.014683695693068618,-0.0023601147963418327,0.0058464801400979005,0.015017950063443452,0.0038591613197686316,-0.005684977524088861,0.007681090737289751,0.014534773943240212,0.002345048950954227,-0.007632340580890284,0.010869732502520291,0.0009536049185442586,0.01835725872737389,-0.00017026458304063457,0.003481719333604344,0.002413305702869417,0.003813290943397371,0.005344345751396745,0.0021710631409810333,0.00359974490288047,0.02113469281348948,0.0002745490101619748,-0.0005812588389169634,0.007781898012510437,0.0027496811947269654,-0.0034040797302966287,0.008158590505884867,-0.0024059503261026588,0.005204244724814502,0.007620464103080559,0.0006107071615155018,0.010156815991556425,0.0023539560139613468,0.02487027916793679,0.010129952933415716,0.009005064572978685,0.00661628578754425,0.0012375438309434154,0.0032236853683255784,0.04935829232899172,0.00227275353977476,0.005967946863583171,0.010861844924790339,-0.026692197660909748,0.04935829232899172
mfcc1V_sma3nz_stddevNorm,0.0016005597236065506,0.012658162176102767,0.014272301117237087,0.013245514193881258,0.013461561885910857,0.012439396132198724,-0.008435159847039055,-0.005280037247769028,-8.958847787352177e-05,0.0073867530924592905,-0.0006967859401420401,0.01806868340770468,0.017786477793409,0.00417221563370433,-0.0031151852649110275,0.0044507758373007736,0.0160996888515272,0.004826478387348715,-0.0006188651701494112,0.01048552097001278,0.018518364364281694,0.007112106783418922,-0.00019291873447746925,0.007578079453419999,0.0027639752601551206,0.0024653782043248342,0.006668919957335091,0.003653301355425466,0.0009408634647484786,0.004710710453761704,0.0008504665526819557,-0.0012275479195480333,0.021566038262981875,0.00713326444496492,-0.01323734688199735,0.005765467373818994,-0.001029794966296776,0.007057383027839352,0.004001738585882651,0.0011796567523478815,0.009623888169180786,0.00105740817016436,0.010914392261971585,0.004888396123482808,0.002309632820111935,0.003971566119113158,0.0030682723531592353,0.0020198676316831705,0.024912706738975467,0.0021181650950835035,0.005677617370650304,0.0074024544845488925,-0.01323734688199735,0.024912706738975467
