,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.16298968163829144,0.12688677436957743,0.0406568801567744,0.013276839164018568,0.07876213862854864,0.11801209710683305,-0.07443225075567599,-0.08586520582130668,0.08044675832303964,0.02334566781168891,0.19409687042670892,0.21270176836476368,0.043867734997646686,0.1617115706244007,-0.002672558834475826,0.07516060400748406,-0.01350556803954043,0.019004306794008444,0.036934650987468794,0.05855960373500354,-0.025260784218059537,0.14333322181262123,-0.007465301976022996,0.019011279782503523,0.010905085927191248,0.09883356568522185,0.024567743133227342,-0.015743906153206477,0.059544228954334776,0.03256678817519549,0.08602422478424253,,0.1017387604542659,0.0012956757419802648,0.06960270225815962,0.06291445281905518,0.09126553437335304,0.041110104257639286,0.002325340966429522,0.022358915582073067,0.048090494578654976,0.15286738907307007,0.11358448492326353,-0.11561780167868367,-0.03567884110205596,0.13872108719582227,0.19688856219637826,0.12931071718423584,-0.07951248037156465,0.08853384873034083,0.05563374401581477,0.07437031832855497,-0.11561780167868367,0.21270176836476368
mfcc1_sma3_amean,0.24571591366972956,0.11264337609600038,0.04677481496889613,0.006867992551316585,0.058888939535102505,0.055622696467690406,-0.041487239774879066,-0.10512556005653591,0.04756417553016366,0.04612296300665586,0.15085317870416842,0.2291692414945009,0.01977943899908326,0.12238261252730635,-0.0018245010040491485,0.09036684656100163,-0.010998761996044312,0.032817849978317486,0.022709865277834904,0.05165786894872563,-0.005836405817524566,0.09772499881533159,-0.003989847815469268,0.042943813372650096,0.01498311178269216,0.09105649883267318,0.018668079246042562,-0.013790730926646932,0.04070116684400926,0.019974644497747655,0.05760652751279076,,0.0742322946625582,0.0008606759313159061,0.04368979234790865,0.036938525698328145,0.057906123891453117,0.04622037046807002,0.004206462554879667,0.024552814934351665,0.04208869288531525,0.09287984465088904,0.13903779603721622,-0.054090960691566235,-0.03300222963303097,0.060867291512730515,0.12873946167334796,0.08537922465030826,-0.04831374541446558,0.033158544095344356,0.04644682751192318,0.06421034409839066,-0.10512556005653591,0.24571591366972956
mfcc4V_sma3nz_amean,0.04163136972140577,0.018100882687748024,0.04189322279671148,0.0045410121847735165,0.04624212864684901,0.03822080256364276,-0.0317757524951602,-0.0028870376989654106,0.02639358456968605,0.019083529741278544,0.1052378729802325,0.22718810835899725,0.015063139369679544,0.08364250863317473,-0.001631789581040388,0.01898479377653972,-0.0041258304954681895,0.009473096216067881,0.013003208933641026,0.027251048682718663,-0.010242323399827478,0.04383072190380339,-0.0010913600964281172,0.00824090144869784,0.003956456364753328,0.047177237242099095,0.00781229414536779,-0.0028608622774952967,0.025757163791564005,0.01418776456768648,0.06459672228509078,,0.03402386353472649,0.0006032285235867021,0.016614817602218456,0.041301029172124255,0.04872382158789456,0.006610480063723778,0.0007560175289545064,0.008494188269548916,0.027250049448075346,0.01615401561169543,0.044804478200372706,-0.02296826400021354,-0.005231016403496554,0.08982013053857829,0.08496997625872921,0.05959881712831682,-0.030527536940786103,0.009497838193535911,0.027089603058885903,0.04124366151592026,-0.0317757524951602,0.22718810835899725
alphaRatioV_sma3nz_amean,0.10080220054947481,0.028459607280340755,0.04715575118423829,0.004147043440977291,0.02306659882713489,0.039812069364867725,-0.023076909792109933,-0.09007268544398313,0.029872142761754157,0.047338174263892266,0.055708306294474194,0.0,0.013407211674124044,0.09799117838720675,-0.0013864881065789834,0.028586956724237424,-0.00410232517509334,0.01870316752370959,0.016759657444421816,0.03237753333944109,-0.00529593816377821,0.053882658958003316,-0.0046193390929654314,0.01799339025551931,0.006088051495196405,0.14489927278825337,0.023820839727019174,-1.9582730368393453e-05,0.02851952309286556,0.010051872736027635,0.10548590778440695,,0.044053169357428014,0.0006245343136469123,0.021437005631868372,0.057205432920236776,0.03950284191852353,0.0178579394594677,0.002388599171787669,0.011496985143210714,0.001265251777022725,0.05554215301456774,0.04190038646681192,-0.04624790450710149,0.0,0.0074786436547203605,0.058971490255148896,0.09658222269529745,0.0,0.024764843231265626,0.026146519222379844,0.03888095616233033,-0.09007268544398313,0.14489927278825337
hammarbergIndexV_sma3nz_stddevNorm,0.035224743120611225,0.02729983227794415,0.022013043090200232,0.005338658471935814,0.023859617842973645,0.020185671712421763,-0.010681381278684265,-0.030830473993386384,0.025061263312124334,0.012566252849747009,0.03581637594418916,0.03623247844343604,0.010362167788201801,0.02111806396226177,-0.0009395243521191697,0.017596617137968954,-0.004152020562635971,0.009952687520692312,0.013887341831597781,0.02086620782333133,-0.0023613515846553045,0.07848978242131414,-0.0025026727625344137,0.006288815037160557,0.003036760818400097,0.063273344227476,0.0037674582688899164,-0.0012646149257513077,0.01791599319263946,0.006341026120537904,0.0455274193652251,,0.01963231257367227,0.00040866910534774237,0.01857707482359768,0.014764319139759138,0.04887285779019843,0.008042592748858733,0.00020786570166858438,0.006445411874561969,0.002000844162090715,0.023384034219035153,0.014743523425404992,-0.04417180403932715,-0.0009206349124870801,0.029878762502285355,0.08113027497428046,0.035025278966771115,0.0,0.028750294821178763,0.01624614818364103,0.02257141947053624,-0.04417180403932715,0.08113027497428046
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.014481645505271137,0.017183961420834552,0.07020946944967686,0.0019671352820493436,0.015295716556720592,0.006941806515862416,-0.01617444063731318,-0.006767065893256024,0.024022311880684138,0.03005675570685882,0.027732376664360726,0.0,0.0050189846814694804,0.023137200516959205,-0.0005603907758684057,0.020463508385860002,-0.0013228588236183659,0.008715023431363971,0.003853758266390098,0.009315834703918079,-0.0012153121025370874,0.01801872978990943,-0.0011481471830433148,0.006348707289550588,0.008497421183723151,0.04139096518694179,0.005772037530837429,-1.7280926060650812e-05,0.007201732683968274,0.018328585088461587,0.01664578935345975,,0.012332825487584024,0.00033532826832717225,0.012664977150937458,0.00791988230662381,0.008200839705722952,0.011090391624319062,0.0003516746721188297,0.011113950751213983,0.010051983381469443,0.05767990500555438,0.026962646609500374,-0.012457075096801037,-0.0008051782966385713,0.12188568621142397,0.01689122389472728,0.016467047625517983,-0.002116730560772874,0.04700826735768704,0.01467288993534591,0.022299083389076428,-0.01617444063731318,0.12188568621142397
F1frequency_sma3nz_stddevNorm,0.031470220401799,0.02092006731711204,0.02524740917177614,0.003485997071758928,0.002469047872117808,0.036239131464292924,-0.0034526099443761868,-0.016290474486402418,0.030459325784953292,0.015915768694534906,0.023632302119901215,0.021345258483122097,0.013939792604385765,0.02882514153122209,-0.0007782036525065609,0.023452107818258395,-0.0005266347634069928,0.003884002089687628,0.010683005169682529,0.003276023686742063,-0.0037861005963647403,0.01852047173513197,-0.003965547046956553,0.00813770342323948,0.0047862896812985375,0.06862441248696159,0.008517322722353787,-0.0045990479278406,0.006479857763409324,0.008992944838373628,0.019006571879882386,,0.013327477571665995,0.000509706804736269,0.008911242725512166,0.017075465109745006,0.015592567995307812,0.013801033697693863,0.0005917857392764021,0.0018272908070540248,0.027500895134233504,0.057448189492238955,0.026600205766512917,-0.030418505043528637,-0.0018591184825073135,0.0334400261278371,0.042459337298755374,0.0407039727745464,-0.0007774897981779065,0.02255978714186764,0.014167457719528839,0.017650889028389186,-0.030418505043528637,0.06862441248696159
F0semitoneFrom27.5Hz_sma3nz_amean,0.004498449001327347,0.00018269446087890235,0.0005131389248989443,0.0025881714088041626,0.0019824333718450834,0.0015371549115582683,-0.002925017907452327,-0.03926908865621395,0.0029171830902709195,0.05597434818894907,0.002278484810279853,0.16273589812432615,0.001431653385612536,0.03079985146384322,-0.00015603590739931132,0.010491759582426631,-0.0009607187108281863,0.011675768125990105,0.009507744189732614,0.0002315938682345763,-0.0003704378706067463,0.0025609122699626514,-0.0006260970595330052,6.0315522667893653e-05,0.003388392321518272,0.0367433978564618,0.0009655646720175484,0.0,0.00013407298859915377,0.004387550805693615,0.06980676867716178,,0.0016680518006429515,1.9784890319455773e-05,0.0008543515559203125,0.03743342006851775,0.06513188491820524,0.0011610981517724084,0.00021448766513691586,0.008417395527436594,0.0011927136536101326,0.01467575644188286,0.00883818309701732,-0.013798204449651864,-5.007182327530423e-05,0.03702440025100763,0.008828136006764237,0.01711122962086744,0.0,0.02003576873235846,0.011874373306521635,0.028643722580555045,-0.03926908865621395,0.16273589812432615
slopeV500-1500_sma3nz_stddevNorm,0.0014162727333444985,0.0030649257919808095,0.0,0.002405104448441965,0.0004728891794179953,0.0024482180227354735,-0.0030264680659546394,-0.00685048393227944,0.0015076339620850772,0.0007730566082679892,0.0017771044027080798,0.03850935060146361,0.0023619233844488267,0.06224731572922241,-0.0003870200077249375,0.002249912497517706,-0.002740345987282052,0.0026853454604794007,0.0014567193353230842,0.00022113400350421694,-0.00018313143826389708,0.03060352083066015,-0.00029142118057847344,0.00038753539820878723,0.0002727402210049372,0.012706242813957559,0.0016866973097481512,0.0,0.0017908416681292117,0.0011071152062125042,0.024727371930753465,,0.013575762207426944,0.00035463142006175936,0.0019108872926760622,0.007498461235040711,0.0004614647915958499,0.0008139462579323462,2.3278425773636813e-05,9.669042454649172e-05,0.03641936991620013,0.23436058094913592,0.0028615794252796448,-0.004756732307479687,0.0,0.002810117680282674,0.003901878319066781,0.020864249065875817,0.0,0.006053738689763353,0.010421428667769612,0.034667113446989965,-0.00685048393227944,0.23436058094913592
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0,0.0003784643670247308,0.0,0.00018592671746940002,0.00018360367205190646,0.03191574463644982,-0.0002096118833978451,-0.00036722159348257405,0.00012304656028956876,0.0030590810886346274,0.0008752434113998916,0.04186212166894076,0.0006988756796203952,0.00015897025902090559,-0.00014750695851179892,0.004668355794002222,-6.081261988277926e-05,0.00039465278712448967,0.0006566950973956597,0.00035771905460693957,0.0,0.009622335923782572,-8.454075787513739e-05,0.002015314502759192,0.0015043136484545136,0.0036776948674883494,0.0007791703112153199,-1.7252895609216977e-05,0.0009032208618311215,0.0012290726435385847,0.07012078870716973,,0.0004291362705720408,1.0906732051003363e-05,0.0015852764726938687,0.0033162593160111923,0.000425575800031695,0.00041062782318015295,6.830416524295392e-05,0.0001818843318942025,0.000541390961858338,0.18563884494140226,0.06234301695106551,-0.0008338253618782377,0.0,0.0017359094027630507,0.033890720852809184,0.04243509695344377,0.0,0.00020100535660540523,0.010344155031046074,0.029935213800698003,-0.0008338253618782377,0.18563884494140226
