,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.07545043632338909,0.11527653972192824,0.09439997277924705,0.016233841180664642,0.06375491211392748,0.06921712238026063,-0.1041124145608096,-0.13880980875423415,0.12716698058944054,0.11932654571694641,0.45108137861432707,0.22123337370162385,0.04073837054617902,0.3975577856073734,-0.0031916919243310895,0.047896241893814355,-0.01758207134699613,0.02608497311124385,0.04287140687017671,0.13655264027690242,-0.020419497378228037,0.19479987367398915,-0.007213166954230789,0.059554556010246194,0.03106789922891677,0.44553224828641846,0.03248147401907534,-0.024136612133190412,0.017151884213131883,0.044678381306096505,0.19061442959934952,0.31696596674064287,0.15638511965843602,0.002637577939416294,0.07900573659859966,0.06846201281426058,0.16146693188348257,0.05131871148920849,0.004684174739058907,0.019928022764804525,0.2359660423245089,0.3483223806219399,0.07926480871725153,-0.14638763821220388,-0.043582336228971265,0.10796556436986347,0.3283010970024641,0.09000472313932965,-0.028998976380029205,0.14560069314379118,0.09445137235677006,0.13343596664635954,-0.14638763821220388,0.45108137861432707
mfcc4V_sma3nz_amean,0.09519016487096991,0.06843514567578007,0.13055221954791893,0.017309295902202877,0.09486351162616692,0.04887558796219521,-0.06674151943499988,-0.003728158505209758,0.07912034395554537,0.03203314036310292,0.0,0.15770640409575903,0.03281076643426046,0.04869734452545872,-0.002140433518869521,0.11873687223575986,-0.0089042516121342,0.0400325140938158,0.06095848841444723,0.016519628597102005,-0.01720598893452756,0.0731291207662654,-0.012214616882152786,0.01976992266419589,0.02877668180838591,0.1506777938616363,0.05078225435591285,-0.00475002411309615,0.09984995081259565,0.024149023520774856,0.1740565715021061,0.22100103914651092,0.02036941162982217,0.0012755076045460182,0.06975182540031324,0.07606859159421903,0.0738163978820765,0.021852889960028866,0.000922042617891887,0.021005024996996628,0.04337061628675278,0.10644522444141999,0.1786983632352809,-0.06642464736601679,-0.02161417148187679,0.10190935040332703,0.0765777401433434,0.12966570889305268,-0.09732479478899424,0.05692337795840352,0.05123274506296933,0.06423822173824338,-0.09732479478899424,0.22100103914651092
mfcc1_sma3_amean,0.28851932324038015,0.18216527885129474,0.11285268704919096,0.011139643932913609,0.048327705716706346,0.15301111986445046,-0.07155753232319077,-0.11912108812273145,0.07591133881153081,0.020198410916015035,0.010507236992164281,0.0994989762679912,0.02479410883286114,0.06850485539945814,-0.0013977527184871285,0.061291421972680275,-0.0066162274168896345,0.027743050425192494,0.034611103570476025,0.020600006909821982,-0.011462570456379696,0.062285857626784444,-0.004802019368444803,0.055883254698879475,0.039037368392296774,0.19722643790698188,0.03704991644689197,-0.012014591039096457,0.031052611898947088,0.008138294762471888,0.18901325522102994,0.27890574927233885,0.03467090408890713,0.0008106224555996667,0.016165756314085053,0.012318348573174117,0.061913269041841114,0.022675512769379808,0.0041090098055220755,0.029910055545753125,0.03503332198621568,0.108702345903336,0.06410618162031666,-0.1104508786548889,-0.0034656110944304526,0.05239363788976204,0.027965438697780596,0.09609822028688005,-0.04810367471296064,0.06404031008149742,0.047603800082646,0.07845763827813279,-0.11912108812273145,0.28851932324038015
alphaRatioV_sma3nz_amean,0.06427225442709229,0.03887483005517822,0.04698085315737876,0.009476913263031711,0.04921402296476367,0.030287977425248348,-0.035719146781254915,-0.08264145531648398,0.01394243143536504,0.055223255486616774,0.0,0.12636628380948592,0.0035339612998526965,0.04790676363020531,-0.00038490379719495916,0.026923890656252614,-0.004931178699885508,0.019353095775064666,0.04475983828945109,0.006144331628917059,-0.011182745406103317,0.06621112622690731,-0.004875167335710403,0.011217132072101304,0.005908603074237292,0.02761687656495687,0.03917811368254363,0.0,0.0869858949804417,0.01569499471683795,0.10983819053928075,0.2088980692941064,0.023539699471677843,0.0005539185024347147,0.041536803755536686,0.07470370994168048,0.049647078413055136,0.024107528417097603,0.001588057813057847,0.019066243949230066,0.03259672641034934,0.034223475232658104,0.07651665380585393,-0.10545890441305743,0.0,0.06231279552136633,0.014684182235622302,0.17746236511729344,0.0,0.026814265140010042,0.03137939412865101,0.05140731427674899,-0.10545890441305743,0.2088980692941064
F1frequency_sma3nz_stddevNorm,0.02022564947858157,0.06271023545251142,0.041927656429111344,0.011271703625372036,0.012456177163986693,0.04054900830577393,-0.0030678610986789078,-0.03951142586672233,0.09806805313425429,0.015178711460626625,0.0,0.059293959453246364,0.006474930607987983,0.10731859388731071,-0.0003224557032711949,0.017270045355066436,-0.0005712813880913716,0.012440304516414473,0.01611202707334741,0.001509655358293214,-0.008805360834066975,0.0636476414918361,-0.006775932916360752,0.012405218343938871,0.007972739033991596,0.17570027384595258,0.00547286235777098,-0.014696570390866082,0.001898272368766853,0.005707410456421021,0.0804739758039975,0.09629796610683485,0.05965682925326422,0.002168900409627367,0.007867149444848943,0.013852936975260762,0.029427940595355313,0.06445700229538781,0.0007817105079843968,0.0016796374544849721,0.05908275057884189,0.04743955087536594,0.022892872574100945,-0.044779572022896785,0.0,0.10561029627226866,0.01180128083421105,0.021042160758762807,-0.0003955779907713892,0.04135615497452236,0.026851484134079128,0.04025834309581639,-0.044779572022896785,0.17570027384595258
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0026629009019291084,0.0719420458682578,0.06084208646140096,0.012416297736687301,0.09128378900707654,0.003142213147256984,-0.016867868000505302,-0.0016105192851188018,0.0026735586755623425,0.0010503818903471018,0.009282523996443245,0.06355698388114966,0.009220597281769508,0.035412144723621496,-0.0015888365378282612,0.0842596360457483,-0.0006360218227122143,0.0003281791110887726,0.0027977902136951636,0.0015642762679846766,-0.0018118953096205388,0.0037751945129091613,-0.0031698028429690828,0.0004658552798187721,0.007769091862499837,0.022040009609336334,0.01939716369561052,-0.00010375732385225361,0.003016871781586791,0.025593815318416993,0.0020677285591319083,0.06315797741440071,0.029137497472265097,0.00023089045241874996,0.08478166485892272,0.0018167007475785937,0.007175188539637459,0.0026428904652650506,2.5338269602447538e-05,0.03608132448398867,0.001735917632105984,0.027789614048006082,0.12670271689617882,-0.007289301193035634,-0.00019895216103554144,0.03837099869303536,0.006891698400115003,0.032675240928446765,-0.0004932937436381345,0.015318030101090941,0.019546491540241438,0.03028650752189874,-0.016867868000505302,0.12670271689617882
hammarbergIndexV_sma3nz_stddevNorm,0.05946160201964078,0.003276481206192306,0.014431977708604393,0.0037886919189551757,0.014121553322000775,0.033606675761729404,-0.012894085808276936,-0.06921158102825467,0.015982527918720704,0.07633824076412689,0.0,0.07835157858141105,0.008546900397651375,0.037230883655188236,-0.0007625471097367723,0.013501025067447771,-0.012653577878026595,0.008793614089819962,0.007917235261356993,0.02807532886138012,-0.0018392754951251874,0.03825123857150952,-0.0022301914189590674,0.0046541797907061165,0.0044271597556728185,0.009261571095311833,0.0026441604205442106,-0.001074909718175812,0.009144181473684194,0.007698259311070167,0.10556815343289233,0.12517081913151204,0.004423301880078973,0.000818181354381787,0.009762856180012517,0.018522270409932567,0.042427645592012043,0.010661715736760207,0.000231763471955985,0.007668846812905304,0.03758778265799693,0.020433293681136392,0.02302977372557371,-0.023884158644908574,-0.00016324205907564902,0.012386056824647301,0.08791240263035506,0.021400229916614544,0.0,0.05040521981188817,0.018664036220856828,0.032371124628524796,-0.06921158102825467,0.12517081913151204
F0semitoneFrom27.5Hz_sma3nz_amean,0.004259954393557531,0.0,0.0052336050576680246,0.004665764663591446,0.005933257187727841,0.0,-0.006833305715556412,-0.03700292205420719,0.008127572656386953,0.11849979954113304,0.0,0.053977358376468665,0.0016997433747261298,0.017228482837399636,-7.222857978190615e-05,0.01578981358165792,-0.003784613272700212,0.014751367001373472,0.009433975727211259,0.0,-0.002705404891458392,0.003685635511862526,-0.0007289763932536754,0.0,0.002582985826114705,0.01934593232819081,0.0,0.0,0.0,0.004734453931346965,0.14295762496208966,0.1289138186273072,0.0024830543508028292,1.3950425253111837e-05,0.0010688788638036043,0.03531527556597635,0.08094806933170251,0.0002924467408136283,8.455215029630836e-05,0.01817772561929851,0.042457238284592046,0.0223086511455629,0.017311014775247276,-0.019324005625559335,0.0,0.019180097075030256,0.0030090556003677348,0.0009039066567408642,0.0,0.05863555411194199,0.015871183195014533,0.03441591513490112,-0.03700292205420719,0.14295762496208966
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0016451969233386085,0.0,0.0015857736615925717,0.0,0.0014108051844629954,0.016282290642040672,0.0,0.0,0.0,0.0027073173499566404,0.0,0.03637285935066025,0.0007822517987229987,0.0,-9.308888718255176e-05,0.0,-0.0001613392155562989,0.0,0.0016566532823425652,0.0,-0.0016494286157502033,0.0010541574212591263,-0.0009648026096939804,0.0005300396675107625,0.0011431046880119927,0.0,0.0035926523792648205,0.0,0.00290407896776953,0.0011543479330525517,0.01601132929056676,0.007976522922239767,0.000707567667953945,1.5005311018761168e-05,0.0023040150976597193,0.0018187453193625564,0.0,0.0,0.0,0.0001962289412427349,0.0,0.0061029433814999865,0.0593096570622324,-0.003015983733037591,0.0,0.001268041692325002,0.032738124816432713,0.030695940597474516,0.0,0.0016047428083243412,0.004553715021941973,0.011410142369297313,-0.003015983733037591,0.0593096570622324
slopeV500-1500_sma3nz_stddevNorm,0.00104353071447987,0.0,0.005702724015806535,0.0012679217036738427,0.0,0.000285442458081773,-0.00028030829078846736,0.0,0.007928641132654034,0.0,0.0,0.017993814810961396,0.00554436570170417,0.01420069337213905,-0.00027121905217858665,0.0009028091790855374,0.0,0.0020030565868138874,0.000990531038764075,0.0,-0.0006125848514435515,0.009301779649353824,-0.0009808823238715253,0.005854089198665319,0.00013594388847227294,0.0,0.0,0.0,0.0,0.004524040145666268,0.004207188526908714,0.002728077763762427,0.026186569179964644,1.7720519868677105e-05,0.008234952524588533,0.0007825406577645612,0.004998222523273417,0.0007653005966215219,0.0,0.0,0.04183128827258836,0.018795989229752896,0.0019060103802436266,-0.0009410327989786828,0.0,0.0009085076548352095,0.0,0.0008688913022882451,0.0,0.01574291864584847,0.004051350681147407,0.007929946671963981,-0.0009808823238715253,0.04183128827258836
