,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.0903192787631215,0.06786641049562483,0.08219886739899894,0.009021651561225506,0.04841682578334727,0.07205211849931109,-0.03295842812619477,-0.07254283524511947,0.05251483555279761,0.03792019470872953,0.06482133578058885,0.13115190893566064,0.024993940676684128,0.09268561894598308,-0.0020858829786741173,0.042858763840735406,-0.003235213712116007,0.017106365497892434,0.01568397148707199,0.02877286198572473,-0.014560088878920668,0.0877406030990119,-0.006523066200698987,0.02279666303359979,0.016332614415099866,0.0922659149948299,0.024101869633684308,-0.011973661547143964,0.03233524609462969,0.014036643846995886,0.14108988415127824,0.18002111778761085,0.03523114015895475,0.0006158502480167674,0.036091026209099306,0.049895697887720046,0.05991619021222342,0.020572576878858898,0.0025508600174272977,0.017799566135978863,0.06404845977097229,0.09732205847932338,0.06363930603768322,-0.061717512114752175,-0.01827984637945769,0.07629839388853141,0.05063266848385496,0.07793778640864417,-0.042325911219976114,0.06885252846368815,0.03888614339696322,0.048902590394690124,-0.07254283524511947,0.18002111778761085
mfcc1_sma3_amean,0.09158399989246202,0.0442418226652217,0.05759943593334948,0.005222394349881495,0.027894002879706226,0.07527836861381931,-0.029614306184265735,-0.06325931595793322,0.032191908129958945,0.02420612199562071,0.03545328402052551,0.1156480089859824,0.021452615971150543,0.050073248019106294,-0.0008034710058826543,0.03771504917577655,-0.002161509580753465,0.013476105814646892,0.012544412951142449,0.021469613489079695,-0.01637169889374227,0.07315650391328193,-0.001687514286026693,0.02129144415598102,0.007916709142042596,0.07387933472178375,0.010141635229511685,-0.009721937611867749,0.016059860987627034,0.008993042896001271,0.08645996932698834,0.12472451719898577,0.032748757631888996,0.00021972115874459771,0.015499402496049551,0.024692421483794823,0.04327962372281981,0.01708231409059591,0.001744781994033327,0.012855055557721897,0.03410531983316987,0.07333137198707086,0.0504261551655224,-0.03623953133688772,-0.01062492323488371,0.043683189559353866,0.04877887118008866,0.04977204819118086,-0.03461624998026325,0.031689927461191085,0.027269638278007075,0.03692645135030356,-0.06325931595793322,0.12472451719898577
mfcc4V_sma3nz_amean,0.029900961502995413,0.027761637391035727,0.051934325236729605,0.0038637927173980537,0.031155786697511987,0.03248178220437597,-0.02573300750404654,-0.0018609343321969272,0.017827778464101683,0.01672818785240271,0.031083833577838865,0.09849749777551364,0.025402980187294685,0.026060790832789768,-0.0016623392684328262,0.03998499349636892,-0.0022002754155558296,0.010332444679694937,0.008099197545018212,0.010203163515101303,-0.01280177281894061,0.04052025539593256,-0.004470817873926102,0.010871162159297423,0.012062134070310359,0.058625984758634744,0.013134456872734767,-0.005084262159816179,0.016038843929195416,0.00996928085968294,0.07399636453065667,0.09772200259872223,0.02483998201798575,0.00029030081923113606,0.020202095613295466,0.03694588023867353,0.02911380208144955,0.005332060464845355,0.000803984875575604,0.008489030423494479,0.02986662291161918,0.08450357543563763,0.03853193895800724,-0.02032102529372073,-0.010766436714416319,0.04542622199169814,0.03385394395464557,0.03857771318905603,-0.026992306028278353,0.01920440709654544,0.021966960430275365,0.0274594472792711,-0.026992306028278353,0.09849749777551364
alphaRatioV_sma3nz_amean,0.034731101851561884,0.016526335273757325,0.03848421481255389,0.005364625228230006,0.018223479292799025,0.03811635654820713,-0.02446639933034264,-0.06919137512524774,0.02140985891537959,0.024144149442580448,0.01967945523081949,0.09439846207352261,0.0077354068953330215,0.04606328546661547,-0.000503055738426885,0.013142998870661856,-0.002012282566054886,0.013585159270151696,0.01202346801088803,0.02236769347012899,-0.00428601249700425,0.05693571804403443,-0.0012616549386925556,0.007882161524132531,0.004760739955439021,0.0362444812472772,0.016564602936307606,-3.100133200729356e-06,0.018388008915880435,0.006133419467050822,0.0756018475600035,0.09518183946130282,0.0220713813004972,0.00014914101732981983,0.012239307611744922,0.031900563849643855,0.031904817541352326,0.012336903603474681,0.001678477373494558,0.01299207707708859,0.019027391008057493,0.043241767623650396,0.03545549562785645,-0.05628613551365807,-3.5042415654339846e-05,0.037117435542058805,0.03765663745280081,0.050321049511917675,-3.391454430972111e-05,0.03754890357272671,0.019425024933514425,0.02873957843554233,-0.06919137512524774,0.09518183946130282
hammarbergIndexV_sma3nz_stddevNorm,0.03109813564812927,0.024529641055736715,0.02584171598122284,0.0035214665573587286,0.02329823941990462,0.0190417484609222,-0.009218657915163476,-0.04029569414192361,0.020192866427194023,0.01866071334076294,0.017913406089512494,0.07100049644430394,0.0065552691592158496,0.03488519692028094,-0.0007790696077329254,0.02249428667798829,-0.0023828023284109857,0.011539585609870735,0.00848697237163045,0.00893487458324807,-0.001423128054801012,0.041581121976738,-0.0016849357352074028,0.005368228154036244,0.002302135813693878,0.040261696100235084,0.00483559420090684,-0.00039136080258619964,0.007148294768632665,0.0060958986711178095,0.07003130534355322,0.10188937561712734,0.01662446281485001,0.0001633707938177527,0.016475836182583935,0.018326304092238843,0.036774571891081034,0.006136654517926319,0.0005147417134713003,0.009269922204431603,0.016706650623477252,0.05256183239437683,0.013870966720468175,-0.02170180038624288,-0.0008900287818658889,0.01265002865542254,0.038182732184297206,0.03296141534511016,0.0,0.030639878608102286,0.01701200312762088,0.023265269704649916,-0.04029569414192361,0.10188937561712734
F1frequency_sma3nz_stddevNorm,0.034138765854003245,0.020980224808952095,0.02446876158329888,0.004164380475619245,0.0030906777345389045,0.03354114095781476,-0.002920884743550739,-0.016501611845408496,0.022313003599825947,0.007274016955530647,0.010236863039950955,0.06102951799220217,0.007868956098127156,0.02428853551532093,-0.00031318084833686574,0.017135169200263083,-0.0003965580028415843,0.00462428395657525,0.005079203085445819,0.0008986980473860829,-0.0032844472149761226,0.03542565312257668,-0.0031926101637091446,0.004720275949778475,0.0018998424007620534,0.019008236042021544,0.0059844790881128165,-0.0051767175798161395,0.004754520625886036,0.003920152213522898,0.023990147671727347,0.026155085861081038,0.01436737984453415,0.00020711922365101583,0.003704650270196387,0.008705753267151206,0.011705206508874407,0.013772486631059143,0.0006374339952221283,0.0012500952982372044,0.01566771995630788,0.035382186663520485,0.008098463042005098,-0.014925383939826254,-0.0026895331312484314,0.03842926591319536,0.018055712115797748,0.019106761234900026,-0.00036473763056282734,0.021376960440445448,0.011353842423702904,0.014581799664124078,-0.016501611845408496,0.06102951799220217
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.016416633935994168,0.014769364110817062,0.02025362091891938,0.001925661203715244,0.012097211981585377,0.005926903340825054,-0.009671510669650519,-0.005634144855984787,0.014208154794723342,0.007277645461055677,0.013718833160093818,0.05374268985078269,0.005307798537406239,0.017794337188402832,-0.00038352621643464947,0.011370921648155676,-0.0012042134326610584,0.0025555653606235706,0.0038658737449547695,0.0043976660690548215,-0.0025687924728751603,0.014198924209306766,-0.0010815899578122978,0.002095095279224686,0.0028480944352623164,0.02004857568231304,0.0042912868324126744,-9.712170151942421e-05,0.006437267184522346,0.007905785870153368,0.024650838596720168,0.028375068696043025,0.009647312939252842,0.00023493781805733496,0.013004055843074729,0.010800281253779657,0.01486248187507225,0.0036338003967940316,0.00011590294177473041,0.006797035623333538,0.018286725882051182,0.0239172027151456,0.020557483149818635,-0.012160922397050149,-0.0008868775325478367,0.019740602700684208,0.01647009117335666,0.016166498875205226,-0.0005724143568184153,0.021302480830060797,0.009555111970343503,0.01110268757808913,-0.012160922397050149,0.05374268985078269
F0semitoneFrom27.5Hz_sma3nz_amean,0.0032717135794121375,0.0004012981058781076,0.0049703589437787785,0.001921012043752131,0.002074191818061012,0.0004569215538090192,-0.0027025439689122546,-0.01873516512943015,0.0046685946293649125,0.02797476681902782,0.0005922886017996094,0.045538726435747565,0.002479424968321655,0.027957196541577415,-5.6939084012425595e-05,0.0056738922672301614,-0.0008600913407329763,0.01043007315014663,0.006198620824596982,0.0002086226046952934,-0.0017612892169459838,0.0016420582121718743,-0.0002979992601918776,0.00010344760513586865,0.0012042353195920747,0.012623648986009291,0.00037647764553656827,-6.372508983072811e-06,8.252647086310221e-05,0.0012720353258217718,0.07939733646720044,0.05544748775534553,0.0006600618575457396,7.583699956626643e-06,0.000614146792947168,0.018932996337672772,0.04074452646081988,0.00044506450690943636,0.000286646787774679,0.009505252948409856,0.01597586574080649,0.017942431724083996,0.003253659699018389,-0.01926422645221652,-7.539171978072743e-06,0.013071683508805006,0.004898391297977878,0.0055531166978904905,0.0,0.03464676272338399,0.008396259626509497,0.01718457319676408,-0.01926422645221652,0.07939733646720044
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0006760508320847622,0.000744177439800274,0.0012349656102152242,8.769792002915693e-05,0.00012719782150515474,0.007341273754399935,-0.00023066215563047262,-0.00015652548238008466,0.00041630015070925273,0.0014627445156862745,0.00026712742489819316,0.036852305881866484,0.0006175430055510982,0.0010317520582217258,-2.8262618376073872e-05,0.0011738526087337877,-6.404130497225466e-05,0.00018352587320712868,0.00015279237036042387,0.00023832557087939097,-0.00035377063635810276,0.0017675073075889083,-9.226689635048204e-05,0.0007622773296566293,0.00020828305115792747,0.0010265347799978711,0.0005582103503130689,-3.506172938305107e-06,0.00021369520904703591,0.000247834551088977,0.014855356072662286,0.0015586906836436301,0.00032288387740040796,2.7221836904757135e-06,0.0013744182729854974,0.0009918577479514539,0.00034396729779723385,0.00020487173182951577,2.0010784905210922e-05,0.00011858970835086825,0.0006666152723887721,0.02113891562217161,0.010389199698825647,-0.0008054301472806509,-4.969572031292964e-06,0.0010230076672321524,0.00644101128815872,0.02181290396059041,-3.287020188597736e-06,0.0011636213845128529,0.0027615579333117824,0.006849570699463077,-0.0008054301472806509,0.036852305881866484
slopeV500-1500_sma3nz_stddevNorm,0.0026041409004500483,0.0015412087742375116,0.0011448502743543769,0.00036124244053959234,0.0001524774794796675,0.0016728126739138406,-0.001439724789036922,-0.0005630563276616868,0.0011658304890926866,0.0007449099962127269,0.0011930399107020746,0.029021661943346145,0.0006914833936552838,0.0026400376973328525,-2.97693202465188e-05,0.0013487661530877928,-6.81640515074483e-05,0.0009926772954888029,0.0012814932890446934,0.00013951566066743403,-0.00020430651827982844,0.0029442269531244603,-0.0005166538769530284,0.0008899305300284387,0.0011752353931696402,0.0013273046470942853,0.0003873311339921173,-1.745470772628519e-05,0.0003245638319513727,0.00042252220720771013,0.011268223902440686,0.00810255367010746,0.002185940633050707,5.149619243684864e-05,0.0008538046547036198,0.0007704993662251897,0.0007833416098548359,0.0005457293518310897,5.437194047391351e-05,0.0004277282431880133,0.004608625120991527,0.008543887179581591,0.0010111418365330743,-0.0022822980309382176,-3.150105943827915e-05,0.0023863797600416578,0.0008652018305350537,0.0019031702239914528,0.0,0.0032976266663668746,0.0019334811313747786,0.0045188205488475965,-0.0022822980309382176,0.029021661943346145
