,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.13938147842821885,0.12936572393798862,0.08479191715469972,0.013867558415006757,0.1054295570573208,0.09801622040901944,-0.08135891185016116,-0.07338620787896354,0.08860508228142205,0.07637973897644856,0.1964551771882667,0.15265870024348915,0.032372095105195765,0.16559486199214854,-0.0029526057783505256,0.07884927175496624,-0.013852946994832565,0.021625250882844983,0.041586775087185356,0.07049095357355913,-0.02366045635824666,0.09836040690360061,-0.009633394479717547,0.045453563283976886,0.02188066313500539,0.20880259113647584,0.04165004637732308,-0.018609325796480565,0.056516831446376786,0.0385790801652437,0.13211324383136636,0.22291794230459602,0.09408602359212236,0.002133044206416835,0.06636697490400212,0.07580842137828898,0.09086982855693507,0.05230222843318517,0.0036859951363122875,0.0286819175900694,0.13937080442915,0.1646731852527167,0.12155457670761757,-0.12445443802905967,-0.02187770787357727,0.07490216788065923,0.16823123494276157,0.134243084693235,-0.07459820630863347,0.11283039431318093,0.06494200823480752,0.07638948412697384,-0.12445443802905967,0.22291794230459602
mfcc1_sma3_amean,0.12953408964296836,0.09866629024025288,0.07762257969835167,0.007928671486107377,0.07738471891444641,0.11064846594567676,-0.057243224469536655,-0.13953790077602157,0.049336634985025815,0.0588157929501619,0.1349291962189621,0.10128252804846599,0.013355647735072746,0.1364377010031099,-0.0016166275958473353,0.059696042772553824,-0.009574122345845065,0.020653079107542542,0.021729023443460956,0.05537404292556741,-0.008160021991377947,0.08387634658411218,-0.006177986811401473,0.05761051111315382,0.022369461915686832,0.1745962565306255,0.02314739278980606,-0.017399982579530644,0.04912039949526478,0.02581456154146921,0.11820685220710384,0.14296001851626308,0.0731596191809368,0.0010839088924258266,0.07091659184941071,0.053643464220518286,0.07225340909656133,0.028598856054610572,0.0037720762969734823,0.023500850584946213,0.10951645493993135,0.10845797592357476,0.08205781979213078,-0.08980568471815539,-0.018508901984082015,0.09149647376518265,0.08432596628351638,0.08245087195280386,-0.07541054834927069,0.05868273520119268,0.04743156756449717,0.061937614311483334,-0.13953790077602157,0.1745962565306255
mfcc4V_sma3nz_amean,0.06845750609218922,0.04035307931601209,0.06819348119372007,0.005203059092103511,0.04087820428959631,0.02856158222002383,-0.04330800202390832,-0.0017686802207317715,0.04414407066199249,0.02367691697474979,0.0928573975901453,0.06830137869269336,0.011644311049333639,0.06510498046426687,-0.001249649678104813,0.04108124947117384,-0.004236536741273847,0.011724249313399578,0.014950618746392724,0.021264168952604814,-0.009582767850962874,0.05219060714500392,-0.004021791886832061,0.019079904548786306,0.016497995438905334,0.10569135025887,0.019094557811470868,-0.007259759432155314,0.03431729850949761,0.01817258706325104,0.0530271639710685,0.13086734556535445,0.034531823456973046,0.0005702689181830664,0.0381405331759736,0.03164681472956341,0.04099941271872467,0.01265295869478109,0.0017631256035763002,0.013739072691310033,0.05747817782003481,0.07315053640440419,0.04444407810837606,-0.015256141257353941,-0.02724886265148272,0.06457562283681013,0.044677305822312254,0.04185718523056369,-0.026218129231593685,0.02645186095683755,0.029637270412532602,0.033830538789342314,-0.04330800202390832,0.13086734556535445
hammarbergIndexV_sma3nz_stddevNorm,0.06376495448864292,0.04168220775265662,0.03333441701124015,0.00556260573757567,0.026869908555188636,0.021268123465983283,-0.017425426888941362,-0.0509764261327676,0.028557708838583586,0.045967350880063595,0.05199473982389894,0.05356242588752961,0.010083820416799926,0.0912309031096167,-0.0011779103087347005,0.030475947929340528,-0.004459289338040274,0.0146589098743136,0.021635496543766043,0.0226959620762762,-0.0014007265057933067,0.05834104791241212,-0.0025935574942173778,0.007979744814354903,0.004958147181308558,0.09291032697863942,0.007570900066796032,-0.0015255083211439882,0.019393135604282536,0.009264209208218736,0.0987618101283726,0.12040751010370582,0.03144866353386278,0.0007199170066409305,0.027372228065305863,0.03627589557590048,0.04707397467605388,0.011727258436843675,0.0009819826711162526,0.010800597245255918,0.03596217169953299,0.06237460870618876,0.03660097956933298,-0.036623469840854204,-0.0016536750601394206,0.02704461457745316,0.05893031118331333,0.04561123694696536,0.0,0.04622320343834089,0.026884879356620837,0.032458262908960596,-0.0509764261327676,0.12040751010370582
alphaRatioV_sma3nz_amean,0.0376552138741583,0.047545563400703386,0.0436133154464348,0.010650451137237657,0.04554440164624486,0.029163463307588264,-0.02837806676656876,-0.05535813622125657,0.03042223770504954,0.03545574824785611,0.05884564928006554,0.06816782559139357,0.009426553499066815,0.08191072536904413,-0.0008628602870396138,0.02370220858016414,-0.0032728077424703686,0.025750431444323346,0.024399618819841994,0.021893160608357377,-0.005715994147860257,0.043498227513433456,-0.0036486849852964526,0.015425376714727634,0.0066984761123422745,0.08743903338416606,0.02079844941672576,-2.7161662807224856e-05,0.03251198217127129,0.006886627132151748,0.08759514285931325,0.08167275507341774,0.04713458188258943,0.00033777778350632166,0.02307043109418265,0.0297089060727017,0.04586088945686053,0.015265669370673373,0.0010464373436311644,0.01597963600538587,0.041231655428440955,0.05764595593976509,0.04147258235597025,-0.06420736580106384,-1.912915659953174e-05,0.0315530430105457,0.0533089366504141,0.055556391385378594,0.0,0.04218439286576817,0.026330794364198606,0.031231394060365514,-0.06420736580106384,0.08759514285931325
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.019802157385587698,0.031918684031424144,0.033233879892342215,0.0024678654303712058,0.018525494196060612,0.018958848860212173,-0.027378283792237872,-0.016580802379109173,0.02047953139835182,0.025936880987230997,0.05443534451425965,0.0542895804621674,0.010731942352239995,0.03680599771158668,-0.0007149466975556233,0.04396703267826437,-0.00408148391766039,0.005273472731861482,0.01016593845128066,0.02338494244795985,-0.00467304996393326,0.036110446871237475,-0.0032736818928390116,0.0060533671093627025,0.006232968215766699,0.08420435181490436,0.010287199884398522,-0.00025491506909550344,0.023047113765379355,0.011858005814005442,0.050701355403383955,0.08611683493000187,0.033716682876336765,0.00020323572587030832,0.03843293701233758,0.0175450414944051,0.030711363335509535,0.011535297832763245,0.0006447248894955879,0.011934455186902284,0.034639218049311,0.07012153188158966,0.052644675435835404,-0.021659192977172625,-0.0006376189185353198,0.04069168011240003,0.04695637685398088,0.034566440062202865,-0.0054358006104263095,0.024928373584987253,0.021791429909100074,0.024526815833981544,-0.027378283792237872,0.08611683493000187
F1frequency_sma3nz_stddevNorm,0.0304735490880072,0.0321331280505544,0.03185523189696129,0.00391170674510396,0.004937335600401513,0.015725045118716287,-0.0021911101881530943,-0.01147742027312249,0.02678852507082767,0.011976172806310087,0.01931470504443198,0.03485452990304347,0.005281851724990754,0.047058231152648726,-0.0006085935127752366,0.013380858425905792,-0.0005823652449542297,0.006502938999481004,0.004836843684315626,0.0024096707714212334,-0.0024743931873017675,0.01867448935203728,-0.003668395091920661,0.006471505557963396,0.002698405274476746,0.04041731882034876,0.008453291280470654,-0.00639634029636263,0.00463284028798271,0.00517052534852124,0.032708954577764716,0.04648452362515083,0.02152924125723436,0.0003754718909765957,0.010285252020841911,0.0073064887322368864,0.023294912540197294,0.015654170127577815,0.0007206557812675553,0.0009783968212430058,0.028629465265049045,0.049990148456309384,0.014346361610565884,-0.027914845051275082,-0.003068146928509542,0.05012740206354642,0.03757116729775149,0.011691458145092336,-0.005869914638428073,0.018444602818186124,0.013676916972462212,0.01708345031082228,-0.027914845051275082,0.05012740206354642
F0semitoneFrom27.5Hz_sma3nz_amean,0.0028625978377268303,0.00011876931372383948,0.0059675400641462355,0.003565981626706322,0.001847679914362592,0.0007574026437536664,-0.0010947784904967385,-0.04010898662095724,0.010141275926145998,0.04408772409821627,0.003618107660621709,0.03468717806195393,0.0032733019032311034,0.0562618764401504,-7.347587999643431e-05,0.014497927614021642,-0.0011135501668817105,0.017544024980363317,0.012941405834823163,0.0001603837768283604,-0.0018627795654949399,0.002841951564758984,-0.0006682356438921325,0.00013991593230808236,0.003192511410611038,0.036225976857361133,0.0003312660782244199,-1.3279842876861098e-05,0.00042297445221472715,0.001933519583566321,0.10031858958016115,0.08225070919766181,0.0009157406295129451,6.222484296389056e-06,0.0009597507574701028,0.02728723422115865,0.052582345057259075,0.0011789168219985293,0.00019747605135869768,0.01609469746829032,0.016581820412696024,0.026068821119404124,0.001825810340764715,-0.042334864591345875,-2.1337050568808075e-05,0.020704114336212005,0.006108357803638063,0.01039560202975975,0.0,0.039543427694077614,0.011462992834580587,0.024105297682695905,-0.042334864591345875,0.10031858958016115
slopeV500-1500_sma3nz_stddevNorm,0.009943313718929231,0.006090282451850404,0.006845908588730069,0.0006657139696117511,0.00020220693036780685,0.0033521149733627712,-0.00325884745844993,-0.0015044396998619852,0.005546972175575777,0.003346035847097793,0.007535179049844094,0.03602733484871753,0.0016274404973936167,0.009648116756356089,-3.7850763444559265e-05,0.001803325641051416,-0.0004659857725490436,0.0016548374171289448,1.3182952898561008e-05,0.0002559828968318342,-0.0001441146866373457,0.0009283486990454522,-0.000951693806423186,0.001267657857027748,0.0012079359978220592,0.013803704960604207,0.0005590851150586607,0.0,0.0009322793178759033,0.0005569857134949366,0.006097728697294519,0.010883519770969349,0.0021013172920950588,3.995647233021147e-05,0.0012659820114342992,0.002274325584741675,0.005426539265871961,0.0031377417192255033,0.00013745306572378056,0.001337014314661386,0.009028835597727424,0.02083395790120386,0.00702593348518806,-0.007543618409581562,-1.7414364147260746e-05,0.004272239768819064,0.007962390006832028,0.0027389901699770387,0.0,0.004632024810562419,0.0037817186270047883,0.006524340326239458,-0.007543618409581562,0.03602733484871753
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0011015971922502916,0.0006384537891347524,0.0009926564688249656,0.00011879695697118108,0.00018180066709783718,0.009028519549227157,-8.901314067864738e-05,-0.0015380306178064032,0.0010514373841751174,0.00033854632870901065,0.0001588993810754055,0.0179266525154608,0.000528878050714586,0.0010609041206320659,-2.4735090927453453e-05,0.0008416971988070651,-3.523451469658383e-05,7.120967842438002e-05,0.0002821572357187158,0.0001620291925775675,-0.00048733923271198997,0.0009942695197343709,-0.0003494055371321908,0.000785343463786638,0.0005042962482698985,0.0005977169796395832,0.0005121954939306725,0.0,0.0007916425397154338,0.00036465758433428344,0.015179831960919302,0.003838013420385127,0.0002301685687625926,2.1089321874395553e-06,0.00041897125207571195,0.0004762135418760573,6.976102266031294e-05,0.00021710525066940444,1.2343588251364185e-05,4.338401396987017e-05,0.0013151910027843913,0.01782170453587793,0.01652127379466351,-0.00027921835291980435,0.0,0.002219844925825111,0.015754983860471743,0.023752244067740454,0.0,0.00018262152343719628,0.0026857429262979243,0.0058475734732190525,-0.0015380306178064032,0.023752244067740454
