,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.1829389808701992,0.11965328138954574,0.029157733865786625,0.016177637391036427,0.0410741344528187,0.07161527088469613,-0.0032961140859841536,-0.03871210383203482,0.05702809310167543,0.02005429989442041,0.09934137492319256,0.34950291552524604,0.02084143814069462,0.0513009497749638,0.034621636047140886,0.05629554988676396,-0.01469901120031725,0.025827264598174728,0.010178225116137573,0.05443442591178951,0.05601159369756433,0.11061055411183629,-0.005529565736492061,0.026389676002448553,0.03004071222934485,0.06273736465779912,0.008204488426827979,0.06504484745788673,0.0117243398265392,0.0470736247822268,0.040017861912355755,0.2765437908136591,0.0689944141429394,0.030311404357690554,0.04967040688120435,0.017491421475129675,0.034023465160432746,0.08505478735276606,0.030777319223703713,0.022852925644367857,0.04436922170363085,0.06878164305987225,0.049486377265369856,-0.03538296489455789,0.1425468422223127,0.02093998704864425,0.14138971035187192,0.06674257844466973,0.024841813445240085,0.06695705207338119,0.05684107351593224,0.06744174083431022,-0.03871210383203482,0.34950291552524604
mfcc1_sma3_amean,0.1683828419496413,0.08734186256689741,0.05746625114813181,0.012468998757324571,0.02052865006047866,0.03791403409124477,-0.002415140554122971,-0.05175666990709218,0.045977165802452494,0.04493854872398148,0.03706844860441361,0.11276316009719252,0.013413787878442746,0.07879021840182132,0.018947336418413164,0.12349567240971221,-0.004570729133444288,0.04550649804362185,0.007511751248878956,0.03286455107403709,0.037312683858869225,0.06344688574578548,-0.002428701071695837,0.03803746839806067,0.023420674957300738,0.023594456199792137,0.004239529108424632,0.049182636327691764,0.009749033978310248,0.02772505695062158,0.03143077876936682,0.2142883381135947,0.02440840026707889,0.01687324411533101,0.023930095333698,0.011270911875325832,0.02976204303834353,0.052652992179582435,0.034372775089085816,0.02103467173444672,0.03023070658152956,0.020865014759694073,0.053820768641686265,-0.02989698153695885,0.05813721712448384,0.018150718144862722,0.061975588789697826,0.046790109489153575,0.017715927451173553,0.05500939690211083,0.039074793579969486,0.043440815539908605,-0.05175666990709218,0.2142883381135947
alphaRatioV_sma3nz_amean,0.1015414876913285,0.03525968183958325,0.017939231869835984,0.007608573887598403,0.029780995427745365,0.023745419392956227,-0.0011759312170490739,-0.0544533543382926,0.024532069809801264,0.04407995163253789,0.0586819100130029,0.09011129507027552,0.02371877158663614,0.016858980673854197,0.014582903290402058,0.0621838035164923,-0.010576233767475199,0.029004395449852956,0.003992171783002311,0.034153971560373496,0.04404944866774375,0.08097337989608966,-0.004760796797444862,0.016595101093564282,0.012452543530365772,0.03840600185038981,0.00881826244343165,0.012210487772830625,0.004956688506666301,0.017430003316618616,0.06107264993088572,0.1307205400540955,0.09600060572570547,0.02196123766954282,0.012762613519049988,0.021975453781283592,0.020739860668162274,0.05812187266367819,0.025343741752556444,0.009334758145465796,0.011670671816916414,0.018191352485318273,0.031260385630767065,-0.01967139904063203,0.05828902703988834,0.0026402527517506167,0.05386227116583129,0.1074845195610841,0.02397867312812645,0.01790287279618722,0.030926863533967616,0.03375299801803415,-0.0544533543382926,0.1307205400540955
mfcc4V_sma3nz_amean,0.11584016489906042,0.01275869361205849,0.005735175239231397,0.0034467510239979517,0.019781976957626173,0.010094868728789133,-0.0010125163746098713,-0.005321635285884289,0.0075662716004779446,0.011171208434247064,0.0896905251611312,0.17409090356473544,0.009726396752260103,0.051409565983500716,0.008915315358925853,0.0994388959062732,-0.0035174815314698077,0.008093647489232523,0.0035207727777798493,0.02517048768495972,0.038857388678935116,0.04363308017469392,-0.0028589458489528437,0.0037496407080558542,0.006791450613687665,0.020579828917750075,0.003756592285892067,0.021360562338017933,0.004298967453856814,0.014227890343115715,0.0247552602513915,0.2405923385857967,0.0287876409740337,0.003810461647994092,0.009630665127020675,0.011797547810929156,0.02676025399153704,0.028180484051372995,0.006399899781386659,0.006329115825085527,0.034338879519533475,0.005835419025813729,0.04360104574758431,-0.006858937986908844,0.03599565738928671,0.005842279381556227,0.019278234302797997,0.03372122117988794,0.006102856412110655,0.00695603941905725,0.02745705612169286,0.04478035556223155,-0.006858937986908844,0.2405923385857967
F0semitoneFrom27.5Hz_sma3nz_amean,0.07678915666538594,0.03692202831095811,0.0005420204688267199,0.007897523285453435,0.01873675223148417,0.03050141364200389,-0.00088767139198176,-0.02098647725360224,0.0064336832212822685,0.06712468357606609,0.01935196138809676,0.07417672950243952,0.012917556026908198,0.008903680060389722,0.007949395156150967,0.0273764666842422,-0.003900419132370212,0.009355508873686896,0.0026633390639851017,0.020897896798471257,0.0023452242170017433,0.038725789378337455,-0.005084267558748821,0.004960849649266956,0.01991429400221315,0.024650011906058977,0.005959884216251566,0.010118587915549994,0.003107769172753107,0.022156019612073016,0.049199918634915144,0.12264450892651953,0.0751696964719943,0.010165626652332274,0.016504598232531306,0.01617386950440126,0.01737889539001332,0.03285011832429272,0.012314813446841238,0.007095730956756943,0.012676716145884137,0.018641127593819407,0.01751830145089259,-0.0048780397308590415,0.05829985459563439,0.007543557798513298,0.05402753265021548,0.06339505447345027,0.012037040466360052,0.021173963282460607,0.02299104549911207,0.026458354339292858,-0.02098647725360224,0.12264450892651953
hammarbergIndexV_sma3nz_stddevNorm,0.04261677250411746,0.020969019662597375,0.0067507298243657705,0.01041255270529478,0.012900865096217915,0.017070104863485338,-0.0003778221428652496,-0.01609403627931571,0.018592091032771724,0.012603270036944558,0.00939535985654801,0.023110550993979607,0.005885707261368828,0.03774230299734751,0.00860714496515757,0.030599029592972657,-0.003496095630180474,0.012989520323970164,0.003923688102625761,0.021399693081283123,0.0031766198516575716,0.04396486016918397,-0.0014761693541627586,0.0035341320012654853,0.010929435233274436,0.01095582285436575,0.00310576958565328,0.011187734828011817,0.005189731813662745,0.013327283065353121,0.03663725201219948,0.13854724621300024,0.02027584207924448,0.01063903014344248,0.014420581393550413,0.007549795751294731,0.021939629742016537,0.013967466970606829,0.0017780042885180423,0.006829280641512603,0.00955283821559539,0.050047413937639854,0.030505067169198864,-0.021178389084425767,0.09418114557742875,0.0013446911320405025,0.07630732759111224,0.02052134682564753,0.004896187624870786,0.011968043250609987,0.01860450940744112,0.026045691978142674,-0.021178389084425767,0.13854724621300024
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.019418744840205088,0.019904439940838833,0.01588731045220491,0.0029758748871546586,0.011997324746099417,0.010151159413406293,-0.0006813098327839781,-0.0065167492684744975,0.009395396022259162,0.023007795964804442,0.021080980229326318,0.026932549752098602,0.005458010671357793,0.012725045135638652,0.014124829302906176,0.06999894701337099,-0.001699525536665799,0.00873521117684482,0.002538837626258767,0.01084127900429468,0.014585194484132166,0.014886245004261622,-0.00129915173473142,0.004404210258666197,0.008764732617277225,0.03920512801240922,0.002421870874530051,0.014555134745571222,0.002051548612770438,0.02663005424764904,0.010944350522282448,0.055825283053572455,0.023945355595931285,0.0118878320251107,0.01112349885964231,0.0037926588590122246,0.0087219624508018,0.023295452556466287,0.007495279303672096,0.012394001290894144,0.01223590931134722,0.03282569287084223,0.025586822930880614,-0.004981893453886599,0.012760394931738112,0.003122315271406009,0.014972082497908998,0.012764189028319498,0.010759701884703545,0.02887634137315517,0.014416566996549633,0.013818988495753581,-0.0065167492684744975,0.06999894701337099
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.014749548751501395,0.010710656779930298,0.00403907406263201,0.0005425135081031576,0.0032858351138379443,0.021954529379134988,-0.00047764444775541575,-0.002802005145635192,0.006254502829109275,0.015295017553933891,0.02601642578018436,0.020695433166165657,0.006714269639183643,0.0009379042473032951,0.01191221910667801,0.032287677964849104,-0.001492062064660362,0.0035662029487510123,0.0026388221531910045,0.00702659182960089,0.004493942830490536,0.0017958554440419573,-0.0007254417736315888,0.004518639481233463,0.0054039967409775375,0.026779855511095883,0.0016195720469964372,0.0012675590869929217,0.0038237390145506775,0.011519971844514214,0.0092164448331129,0.07576274041853265,0.0011528969921610747,0.0022369141354145537,0.00813507434276137,0.002682889533832727,0.0010933318046026288,0.014180018698647939,0.004088809102928679,0.003647942641319523,0.0018663838009980705,0.010400867541166797,0.04328298925103176,-0.0019333527312620357,0.01631384114330255,0.0015634539161907173,0.033594720031491075,0.008660499148802868,0.007414724737799749,0.004580036535344026,0.009845888585229612,0.013637244216368465,-0.002802005145635192,0.07576274041853265
F1frequency_sma3nz_stddevNorm,0.013601612762254744,0.03215537660648163,0.009554580145989347,0.002546965072134528,0.005330489243432086,0.01592453760426911,-0.00010151726782639432,-0.0034414707207199814,0.013514545625380112,0.010195600599422094,0.002409135090371341,0.03545678384031141,0.01152322527720486,0.008646264176430798,0.004226179867973572,0.02630447107236391,-0.001716713766124966,0.002445255314269675,0.0015678928920860472,0.008147090678944428,0.004389790143666636,0.012225694177605958,-0.0033948704061802387,0.006696802594611491,0.008694328372630912,0.002929184715394051,0.0004933791505063622,0.00385287631729209,0.0006622485263539826,0.009359465000233715,0.004156907433334686,0.061142137106488345,0.020365653854298962,0.006861194599788007,0.005914786585684979,0.0022155987439782935,0.0010163120906242372,0.022467323471957783,0.00559381251729907,0.002799904126844439,0.007204692677688203,0.01344131197707619,0.007112625065491078,-0.009294106853192883,0.024283216681362768,0.004042717386870923,0.023412941079989945,0.006042791851927722,0.0024793464023897586,0.0067622775178941075,0.0092444129404912,0.01158374852832027,-0.009294106853192883,0.061142137106488345
slopeV500-1500_sma3nz_stddevNorm,0.014003816176730558,0.002109748620227187,0.004032285710616978,0.0004207762030893025,0.011849665882680747,0.0010892903802667134,-5.1247036054514306e-05,-0.00099523105959958,0.0031703504565644253,0.010624044811420206,0.003973780854825048,0.0,0.006224564818486791,0.06009044522676179,0.0017518975438508423,0.002393163370046064,-0.0032374455164884486,0.0009186307907150456,0.0002459054833264166,0.011247610026609737,0.0012234184143503095,0.06394348748898133,-0.001593928199682386,0.0011785652460417964,0.0005825845645465772,0.006746150041712435,0.0001614891965791182,0.0012549901955050933,0.00014883540997409666,0.0033972874382215182,0.002235050654241165,0.03145922814088697,0.028225099703015538,0.008587230801860793,0.003585547796005394,0.003651630030921772,0.0015136410242486326,0.015852879724982817,0.0011388532639862194,0.002061465340588964,0.003083166866966934,0.05479671512876584,0.0014039335791207121,-0.009172139011812453,0.0017886869508540483,0.0015060154658556712,0.003022055773823687,0.03261792109954322,0.003910873553644238,0.007868277979947005,0.008120821328155047,0.015201880304934174,-0.009172139011812453,0.06394348748898133
