,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.030391128355800233,0.06796813013562973,0.009765190591170645,0.010923087344059187,0.007935686722560792,0.027231591192911204,-0.004776708257856896,-0.08466725703584711,0.030259659213633872,0.10870898710534721,0.3609333257366307,0.2846517561039706,0.03498138597522048,0.14007476461575127,0.05684976825003032,,-0.009813166082563806,0.02233142198210243,0.007266173448029173,0.008142629402826661,0.08053692411655752,0.08025503158728733,-0.0060069839387194785,0.03650972699189164,0.011487222329892372,0.03551524792252334,0.009981403184247657,0.07880316685886109,0.004523837892990232,0.06428451988774467,0.03453325768188685,0.13763485339447779,0.11915010139138478,0.014074558082512581,0.03942038782956483,0.020750822536299927,0.07739084234673237,0.03274855694054908,0.05166109259147732,0.0494052022837807,0.08807649734380872,0.43093182254976814,0.02512246637606444,-0.07720630706020656,0.18664511702685055,0.009759121407212395,0.2527202849784991,0.04266760968848512,0.026948591146133054,0.07462318819148406,0.0641246064971316,0.09507204184860096,-0.08466725703584711,0.43093182254976814
mfcc1_sma3_amean,0.2539921611908624,0.14814348266092797,0.07766375039207819,0.029233498265212283,0.00820120879416475,0.14385047979880633,-0.005848564990324944,-0.0814191778606375,0.11640621376767943,0.005463433032516935,0.049461601870394535,0.0040942210474338514,0.017827692839242883,0.1260707753489327,0.028969436397971223,,-0.008144066506951257,0.07890592577146978,0.016717150123125527,0.07096222948080512,0.04865327539004356,0.1685160606771062,-0.008519964688537917,0.08231433347829889,0.12764858482547026,0.13409372622559168,0.019129341671988754,0.08236114278283863,0.005878952238615998,0.0052494737175577426,0.1199675806690488,0.31330020497396466,0.07049451642698963,0.02462028889221374,0.002699998059938512,0.013765660164840411,0.06067631236056702,0.06156294148173975,0.0649284484286786,0.02314684153507412,0.010975354919713715,0.04127280037943496,0.08351576241507044,-0.06884473444364107,0.033487253995072554,0.01112052512738417,0.04795227081935724,0.11197961468606461,0.04700084725623398,0.05776154228868765,0.05871960016692076,0.07017920088083535,-0.0814191778606375,0.31330020497396466
alphaRatioV_sma3nz_amean,0.11944435016891507,0.02390433684635489,0.06517308328550891,0.012309976100607087,0.012892628752752268,0.06208791591992918,-0.0026876194463734374,-0.07355948757155378,0.0623362485235013,0.08061784430221931,0.020451419415283525,0.08798470781759785,0.008236162271672542,0.12328839110306213,0.005998033248446113,,-0.00735922292290897,0.04758617908551984,0.005132020686562766,0.053183187323082956,0.05866392165110152,0.20994490734933832,-0.003132781767415417,0.012670041655680968,0.007452367077473962,0.03164465198349795,0.029331614065216817,0.04678104309686533,0.012589499841993342,0.032804093336834046,0.04074171297585076,0.19125846239704142,0.07612521049384505,0.02109324750866964,0.012678895465447726,0.012704166613894138,0.023364982305336127,0.08403796594616642,0.033416813893038695,0.010338850191424328,0.02625945893093439,0.026323671374656177,0.044885063754460344,-0.03198142204819286,0.033109385666536366,0.012065960745436234,0.0417672509283818,0.10034925727115433,0.025711495435930126,0.010423380546140728,0.03960088415503915,0.048605879534598904,-0.07355948757155378,0.20994490734933832
F0semitoneFrom27.5Hz_sma3nz_amean,0.013378716640240188,0.028878244735330905,0.007227868244019548,0.0038969606030845256,0.009062876869345217,0.00600232079381134,-0.000854177578031123,-0.016469239164914357,0.027657563925438434,0.10277382373431508,0.010295767350125261,0.034810743698485774,0.009607037790530161,0.004447630517212737,0.011867816898754095,,-0.012439438503185957,0.019139021552254915,0.002268982781671016,0.03092758357222449,0.049738112519054176,0.037455794379356075,-0.005763192606321365,0.0037010928974864307,0.004274151236182481,0.13888765244281412,0.0015855052971531875,0.06607251830661433,0.002759586420556331,0.0439892844716516,0.03282911414797243,0.14164231058676363,0.1857062522144074,0.0023430557324494714,0.004845903365289563,0.013534142591933453,0.02972670599622902,0.008649115957739952,0.0022533723585429735,0.0035784644786836925,0.09391821494615941,0.04621586469473255,0.03735727134726767,-0.001966146086153408,0.02071910720424219,0.015844659377070008,0.01520198058012803,0.024023472950735984,0.030585223627090173,0.034004622045002236,0.028085577917174413,0.04027826568852788,-0.016469239164914357,0.1857062522144074
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.005374435131873945,0.0822564457844373,0.0010471125624648442,0.0007948727676441427,0.0,0.004528706547450677,-0.00010634978255553744,-0.0019310909440969244,0.0,0.07218333754084752,0.0011647266105605043,0.19378076966620586,0.006789242256813832,0.0,0.0066680766419430285,,-0.0053531282589896305,0.001050512211806152,0.004728257417311987,0.0,0.03131543979276225,0.003952572441831906,-0.006303122661960461,0.019331570821077424,0.0006635362323478418,0.17919369526952797,0.003853323251065144,0.008529304938891613,0.005436625750544238,0.006019545426661495,0.03348522348579808,0.005098152438017584,0.0216962341310335,0.06351359539803428,0.04405214367519314,0.014735544754744923,0.016565398461269545,0.05531532298398942,0.0006978883474837306,0.0019362503543145506,0.041096732050175125,0.13023845763571792,0.06362848754684075,-0.011224395676626133,0.022312866277589008,0.004365854939971964,0.0,0.1417388905300686,0.0029737704684763486,0.026455865912668474,0.026605116349616896,0.046071343083048055,-0.011224395676626133,0.19378076966620586
hammarbergIndexV_sma3nz_stddevNorm,0.020262105307091723,0.09581214684592526,0.009458461987721094,0.0075448486856459634,0.025080460397481488,0.013317635615772785,-0.00028114637539720325,-0.028307655396475742,0.01196823060000408,0.024827108411720655,0.04029464962291809,0.03797595915064019,0.008589698057777049,0.015273338434851716,0.017921167676116633,,-0.018685372552882277,0.01847203290501838,0.0038153712625531543,0.014618171178929686,0.008961213750538514,0.047004307144063506,-0.004716808992521945,0.005486731408842689,0.004232845554250167,0.11401995320885167,0.00275489306156055,0.02691781346054259,0.0021150649412951844,0.0110465099672817,0.02483969125122546,0.11910788101797043,0.09431241090913742,0.013030038880707967,0.0009202606442228195,0.005624105589250472,0.021036706964478867,0.02971342739292453,0.005137881390097969,0.001732875354122554,0.013088391769134339,0.028317026186804362,0.02628393315499563,-0.012966786686712481,0.03415237429137684,0.0028785805877642383,0.16965130475723733,0.009907153639852442,0.011364008667848768,0.012898521739660856,0.023404275975963635,0.03600838576617919,-0.028307655396475742,0.16965130475723733
F1frequency_sma3nz_stddevNorm,0.05833058555828471,0.035660052705089075,0.012775806062129514,0.01581352927784955,0.008681571907938876,0.03635345455932991,-0.0001698020358613133,-0.01494879078609459,0.025124696472375047,0.0,0.027154756234347027,0.0039572655417272505,0.011566653732581136,0.013106522810071596,0.001985376767653748,,-0.0017387541242175428,0.008139233127569236,0.004782936308773899,0.020440280541812256,0.02258257554578078,0.038059759583904826,-0.0036224348191027313,0.008662138388432642,0.0027102779308380218,0.07429345067651341,0.002480164124750436,0.027338783319971416,0.001404370311745915,0.003602142879856698,0.016827722503643405,0.0,0.013342812103601644,0.06735434549494264,0.001300649527856436,0.005748822793543085,0.00753460287502048,0.08797440328671853,0.0017810589687354225,0.00048695456500732527,0.02638458125569925,0.030967936490694497,0.042410235123777576,-0.015537359438925936,0.01654824525841517,0.017866591511627925,0.007925069971835572,0.007175676754852205,0.013917893459028897,0.028507067984047472,0.016796814552942293,0.021029738392692017,-0.015537359438925936,0.08797440328671853
mfcc4V_sma3nz_amean,0.05613525210972744,0.011903968408248398,0.004508426032665712,0.00978398026449642,0.0015193888595185993,0.01089539355380434,-0.0017037425073314488,-0.014549255796544104,0.008334106705590408,0.012571909291605591,0.006656718726834607,0.022636701952053702,0.012449506528226791,0.03804049432280161,0.007119871013345959,,-0.004819022799433629,0.02429617214888938,0.010534609220861486,0.0014698582872460142,0.02568325471049996,0.037403634516694755,-0.005487254083221473,0.021424533959429164,0.04668856170247625,0.044305881489807526,0.014370316135459086,0.04244972180816055,0.0014007865829632903,0.007970290518990581,0.06793164682538291,0.05133528269094274,0.037257464352900845,0.013925338388582948,0.0034451828557869628,0.014501945036458777,0.026567450929832554,0.0070295677229324114,0.007350059402129609,0.002682405266008896,0.011922671776659037,0.0,0.02178858561346349,-0.015289969755354925,0.016523755334213488,0.0024339450981019826,0.02021060077178917,0.0048692913695672435,0.02090239557398585,0.008135028411693198,0.015867687986304984,0.017653688692858632,-0.015289969755354925,0.06793164682538291
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.013917852302940402,0.02665240160265339,0.035906631606054736,0.02042091845641423,0.046269879474549025,0.004576312517842568,-0.000741680104020246,-0.0008557025369023112,0.0011458377673030785,0.0,0.013399520818850232,0.004126603977166949,0.009143988067654868,0.010115774434357369,0.037760961038639,,-0.00021780197897073824,0.0011754317151098502,0.0005525335318800104,0.004607812934175144,0.007230528413338761,0.009602967402389468,-0.007590278542230115,0.0007810630422045192,0.003513494751543212,0.01174747046671773,0.0023719164870951532,0.007468209161642062,0.0014144477505734776,0.05962344544756298,0.002187051590731779,0.035271390113819676,0.05957210193259886,0.010141127448996526,0.09451431360083183,0.001052074612901314,0.002859256843554019,0.007462135524117441,0.0007776741503892207,0.036579832554744736,0.004002360572829111,0.015033139248163796,0.10196609307949688,-0.005455690433939786,0.006031433259818448,0.006942627818874793,0.010673404310982317,0.009736615157185756,0.01779476595060054,0.01339944397924607,0.015401259006581187,0.022879613718550604,-0.007590278542230115,0.10196609307949688
mfcc3V_sma3nz_stddevNorm,0.0,0.0,0.0,0.00034976826882323334,0.0352854784186669,0.06548135610870931,-2.6768353714715096e-05,0.0,0.0,0.0015525953981420173,0.0,0.0,0.014606536657993514,0.0,0.0,,0.0,0.0520266935633144,0.009285204947699263,0.06806512572461171,0.0004026889372501887,0.0006607533839479391,0.0,0.0,0.05023137103364015,0.0,6.758390365735357e-05,0.03698194548640634,0.013147400432757401,0.0,0.0,0.0,0.005259295861589515,0.0,0.0,0.00909800129625663,0.0001502794863652201,0.06861409813203818,0.0,0.0015789587103515182,0.0,0.0,0.0680960926854044,-0.00020588551435120033,0.03040009597142002,0.004060625804897709,0.0,0.0828410826362282,0.00018771081351189042,0.0,0.012616287546849327,0.023343424181946824,-0.00020588551435120033,0.0828410826362282
