,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.025219784098590325,0.03590043900418495,0.013501457834009247,0.008247323161071357,0.02010415868128882,0.042528274533016774,-0.001633334986614232,-0.03668598807732114,0.01909222162886474,0.01993937165316252,0.03465667614027926,0.07641987527610551,0.018097955891365012,0.038053227824667156,0.0223834315616157,0.06969745919287687,-0.0034490834531689697,0.025301125962456126,0.005127501625535025,0.025113465251626502,0.04526439906510234,0.07182039137225073,-0.005940994704530544,0.017161795489151793,0.02914897977195896,0.03493561204322917,0.005358442629202379,0.04069345043481562,0.007605644833863464,0.01695664722965205,0.05493874917849854,0.09989705821950481,0.062097315455679834,0.011620950761211389,0.023444647190431597,0.015022054801954182,0.018586394944573738,0.038742004548118374,0.021992710761921195,0.008216249126238593,0.024356148194710124,0.05264819581106688,0.041035070258415504,-0.025702433781758564,0.04966069472370125,0.008932950686949579,0.03330393226827865,0.06608146030028988,0.018638385854745938,0.03469238430214166,0.027576492691499612,0.024916296871904935,-0.03668598807732114,0.09989705821950481
mfcc1_sma3_amean,0.026036599876734016,0.024700094066179665,0.0211993939138848,0.0074146198987285385,0.01648678180481159,0.020889433831345568,-0.0015057093197595828,-0.03039077121099299,0.01459637943144689,0.016889473589133928,0.02815720741088034,0.06310849427757338,0.01645582930508001,0.021755810435493756,0.009786527271750282,0.06071623263283962,-0.004008151565948771,0.02305045739638436,0.004507557792257269,0.017772971306255655,0.07307337643344487,0.04800928106226017,-0.0023701201861674116,0.013870449604487889,0.022818933739746528,0.01604321338133261,0.004406389702600352,0.015965796930789186,0.005605707311008587,0.01444140277336978,0.030855648978624483,0.06161936657392959,0.0601791965257495,0.006092949208147034,0.011574167682183818,0.009222788829096995,0.01789262913374304,0.028899361044163265,0.011641349556954008,0.013797144122480039,0.019943492415170627,0.05333358247274893,0.027081589035004714,-0.012609856959294164,0.03790788159019308,0.006459879801570615,0.029402941587745545,0.045408207883543,0.01909175712939974,0.025331803961681748,0.02145219086939573,0.01994456152112237,-0.03039077121099299,0.07307337643344487
alphaRatioV_sma3nz_amean,0.014379764387838187,0.014267424135154801,0.01939577438539123,0.006397822183393174,0.00744312176915763,0.026918216003109865,-0.0014162842652119235,-0.03710593551844428,0.013971764281864932,0.01931967667607427,0.02781633461422058,0.0685425348796397,0.011356197415966702,0.013450542951004563,0.011900788478062951,0.03825708379606808,-0.004258770530875106,0.015821179625950768,0.004412674281969468,0.023527330393198174,0.03695533448007084,0.061202666142012044,-0.003848940156962893,0.007911554223164252,0.014414810715985521,0.007871774346567812,0.0059844149726520175,0.021190938005353554,0.007781070362284909,0.010927092396249076,0.026870531831847982,0.06003970698323558,0.05856081190237706,0.0060981959333606724,0.012211269898781234,0.010673234693606355,0.012624235446872205,0.025044200587820246,0.01815668679457218,0.012747762181961523,0.018610388990505426,0.04556256004893367,0.03504253576331346,-0.033027255599961496,0.03764683078410803,0.006135999016300398,0.044422061203121185,0.05273564400072264,0.01948418522940826,0.02512062323538835,0.019190963287143717,0.020390262291689273,-0.03710593551844428,0.0685425348796397
mfcc4V_sma3nz_amean,0.011337594981733885,0.014018189187444147,0.014474067166965704,0.0035667919867599213,0.018230269804959415,0.01249879054615656,-0.0010183931432894329,-0.0070308421597802765,0.002904904715744386,0.009229672336247541,0.026602626846648245,0.0490080812264564,0.012669960487712113,0.011469864058290714,0.011113609508497876,0.046703883067611564,-0.000970936068109479,0.01089291362940061,0.0022239294833029293,0.009181432461917036,0.03615845103692292,0.01979649492705768,-0.0034511864359421584,0.00783881942893724,0.017817699619480223,0.025048045473012256,0.003889892857700293,0.021716869692394766,0.000957431529255741,0.007290904823777328,0.027950276505836688,0.03176535326915731,0.030473717045022067,0.007266708081265634,0.007510278348318559,0.004637754228353029,0.01036484417472588,0.01273206066201526,0.002895911610582293,0.007654570881023776,0.01393516884014135,0.03860359844736867,0.019241114112157637,-0.009111922288816222,0.010272328553437507,0.0034822676309346455,0.007646641182902396,0.021759917388520948,0.00828422236419691,0.010373571906283302,0.013238164320413876,0.012442444155115136,-0.009111922288816222,0.0490080812264564
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.02194185066754399,0.0221581516203415,0.009930212664996949,0.0040852169726393875,0.012759363508886703,0.006095453192770816,-0.000788629589720686,-0.00491731980807439,0.008011292290005861,0.009152943090170066,0.014006189656191333,0.025377208270784487,0.0055449678243759985,0.019352895575680436,0.008590376272603712,0.04127340054181512,-0.001398792625174178,0.004688182938831533,0.002517237417750563,0.009014983357184514,0.011907833419154268,0.01758850910390873,-0.002110566769928416,0.0030629901007692925,0.0064424972744488804,0.01650205094820508,0.0025133975998674566,0.013789996339494912,0.0019623801161035713,0.013467504816680067,0.00952619329605341,0.03037882870543235,0.026245110003304085,0.011685317899278545,0.008901308375751716,0.002944994072701906,0.007680890601614406,0.011732609782208135,0.003626655410299402,0.0071865402133897485,0.008546976100998182,0.03854100689470174,0.02297030825637723,-0.006641425696324521,0.00989684288554586,0.003372317371136872,0.0284732077996859,0.011272981243641145,0.005232876687291472,0.013776405475151056,0.011157434443330925,0.010113020317807806,-0.006641425696324521,0.04127340054181512
hammarbergIndexV_sma3nz_stddevNorm,0.015023939503394595,0.011014012740707596,0.008658125966483,0.004151080601414257,0.011253772595684835,0.01745427201852013,-0.0006928521931424925,-0.023178466618318724,0.009767019125151141,0.006484043883311641,0.011469666615854121,0.035443606535639674,0.0069076445061579525,0.01994655230965445,0.008304998260959633,0.03806015066311943,-0.0013793896090851924,0.010749036258889262,0.0039843403675943,0.00913587222815743,0.004103859651055575,0.022413164117339936,-0.0036911067722936773,0.006355410820143271,0.013282752192868216,0.009436037738827308,0.0020928688961349327,0.009488924244117146,0.002537289018253631,0.006420721944361493,0.01860263398141565,0.05268141998392181,0.024728398014072422,0.007632384676435685,0.006111784869638971,0.0027384460065881834,0.010684116807353997,0.018704114351619887,0.004668482370198556,0.0039477963615885655,0.007736459022904254,0.03377996475195247,0.008642590981898788,-0.00887156709244073,0.018745274110460154,0.0017223364233060541,0.01637080928522032,0.027650669142854863,0.0055369897198128334,0.015149920901574883,0.011039207445626649,0.012115894511955582,-0.023178466618318724,0.05268141998392181
F0semitoneFrom27.5Hz_sma3nz_amean,0.011055646528273146,0.007484024979392626,0.004048252089585307,0.0017686241896115941,0.008084721655910189,0.017245759395480252,-0.0007161423407397959,-0.010298129046715244,0.003921668163140229,0.011321170751153275,0.005998724958948531,0.02071577599558514,0.011336534132192835,0.005876396979374831,0.007383489179435887,0.02635762387998309,-0.001723905965922067,0.01106369850730669,0.0017985154505268217,0.007626014244055099,0.03622710257535359,0.024132993019899813,-0.002644686980995256,0.008494653380064113,0.008024854862894336,0.007266897566868473,0.0010260680979685096,0.01812641316932895,0.0013018527277335054,0.007007788411388146,0.021945194896521074,0.045920903674285286,0.04462030628715438,0.0014545019206618174,0.008795941455420769,0.004284751862242941,0.009694468808359807,0.011505200518877157,0.004886584456374668,0.0030366529008827017,0.019850279270949525,0.02696817052073793,0.01045775248146557,-0.006661856111027565,0.006455726944051728,0.004229077159199195,0.012328655821449422,0.017599855097374058,0.007302421499488141,0.012115051834484917,0.010522040837120722,0.011176594054833384,-0.010298129046715244,0.045920903674285286
F1frequency_sma3nz_stddevNorm,0.00964103228447573,0.0054604308635818125,0.005547787620737454,0.004492688989154171,0.004514595859990873,0.01906905758039611,-9.402927092092011e-05,-0.008519088103996951,0.005953103736190063,0.0029630454814288123,0.005614857737056655,0.021035352381417943,0.008007786682706042,0.005467960884920752,0.002980741988109397,0.013167296911569842,-0.0012350547145326346,0.0026863177782981457,0.0009387686398393588,0.003148536928112154,0.0038023511149033505,0.0213739503740635,-0.0026687152378187975,0.00361545549686255,0.00344426010389658,0.0037729100916636866,0.000516610858736334,0.0063919390725859,0.0005207281423951941,0.004255247970050831,0.005839179522493871,0.005514051732437387,0.01764773861782097,0.003598738275482657,0.0025057287623251215,0.0016727146262900368,0.0027717843709194933,0.02360021770819671,0.003532099160777196,0.0014757155188283024,0.007452583277588294,0.01719249174972918,0.0043183909944784615,-0.007970935529839067,0.0050301077644309845,0.004165178724514844,0.012290885470860801,0.009338915825876206,0.0037211910462339286,0.009716730500895112,0.005785588727324288,0.006553777334839307,-0.008519088103996951,0.02360021770819671
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.003132532246006648,0.001921592244082963,0.0020114036710412717,0.0003203069837790472,0.0011438937162512699,0.008571525139034072,-0.0002949624600427821,-0.0033104893431403835,0.0016945605027231512,0.0014681762364753788,0.0020314493540025107,0.012679385180295145,0.0075657654983183375,0.003974543458930472,0.0028912796345792243,0.012181283816523837,-0.0002356129430538842,0.0008477951564830089,0.0007124129918690896,0.0014589833431179644,0.007510051397001803,0.01324011819526064,-0.001162569525505276,0.0032693497286698067,0.0020828939640826502,0.0033751333733577134,0.00045115839292876977,0.0030489124015858574,0.0005649491067910813,0.0019258627783688017,0.01136189016372181,0.006409896119479595,0.00995349892959612,0.0024039278794471958,0.003754566792175955,0.0036158763387543,0.002529624771518691,0.007294894409050853,0.0010376855980722673,0.001033125904567341,0.0016031047321048814,0.01916073865309717,0.012135514614065552,-0.005744022679483827,0.0038244801727438976,0.0011714798009032346,0.00871614397232305,0.021051136786812922,0.0007765665546937529,0.005719991527961321,0.004257636105628485,0.005206895773347568,-0.005744022679483827,0.021051136786812922
slopeV0-500_sma3nz_stddevNorm,0.0022191117380217077,0.0006220957007609228,0.0033918034585197687,0.00014127522823489505,0.0011889414738841713,0.007148202396668926,-5.4887467924113754e-05,-0.0013484219895355917,0.0005736182532396262,0.0006240881134425217,0.0032587734930530077,0.00961699980708203,0.0009384302234316072,0.0069906893206046865,0.0006117177880666064,0.0018721526169577698,-0.00021081909571816305,0.0037081366439308348,0.0001289183653953851,0.005656440128063222,0.00159094293332276,0.0022281767092485454,-0.0002552144309483092,0.0005390223787994649,0.0029949821217415524,0.0013487204480924961,6.715926997524086e-05,0.0035766322978436093,0.0005218025728513865,0.004452494043490921,0.003022977404982796,0.0026264952738579185,0.010993286749471925,0.0001447631547111076,0.0008538400792736285,0.00025406206679965256,0.0008904103261460817,0.002657885523125084,0.00020279940702634157,0.003361242763894224,0.0003448462470003195,0.014253468168785893,0.0008654492021619379,-0.00012035095649505545,0.005652767491724559,0.001284088713543208,0.0010232596570939308,0.004752164224345653,0.005165212055016798,0.005511149426457494,0.0025576360303904196,0.0030793387878519005,-0.0013484219895355917,0.014253468168785893
