,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.165415596461585,0.1453116386752099,0.06333158430946431,0.02989112765038787,0.06661078505726199,0.09674059854809132,-0.005290941292338027,-0.05844378889062865,0.0776585874652347,0.09463632119483617,0.21172186046620337,0.2070625729230252,0.03858686301261817,0.12027279639460582,0.06219083377505046,0.2620662559840157,-0.016464929490417734,0.06323276121045458,0.02784709277515343,0.0740891409820809,0.1086810319688914,0.1685654696093115,-0.01525076948716417,0.04484088019713611,0.07350037840612354,0.16217849898656625,0.0223862921597387,0.09856332538515171,0.016935462990420813,0.07402910165712755,0.0626893433211528,0.2358840937628812,0.22073605045906242,0.08249900046246755,0.06391709687115762,0.028101102738561146,0.0588360933423302,0.12098038774514501,0.05983423317144239,0.049436380605291486,0.07770100813565957,0.2925272306672509,0.16347555449178816,-0.08113781977083122,0.14318281938865457,0.012989139770591464,0.21965153803663115,0.15672058711784517,0.04326661051721613,0.11421987709904316,0.09212813514037078,0.07943974791623143,-0.08113781977083122,0.2925272306672509
mfcc1_sma3_amean,0.13361498071436587,0.11791512697750688,0.060847754882348344,0.0172469948527186,0.06336315986143526,0.13230400896843275,-0.0036781811207772406,-0.10745060741653766,0.04678706325671601,0.08184235735021306,0.12622689836772902,0.18728363830412792,0.012859612520964231,0.15756971287013463,0.031945854078986834,0.1432269638202952,-0.011873701042034874,0.05081337267389093,0.012553591807448377,0.05438554038419343,0.04397657488155087,0.14830967187062197,-0.009904058124175453,0.07348056268658448,0.07199512479495702,0.1465515101941976,0.010533687620941845,0.07991596739714388,0.011114643636966091,0.05707072768361522,0.06819370054676553,0.1547635209342455,0.1303497770554604,0.04006041113442905,0.07671079879110572,0.026288551191036097,0.054220066881665446,0.07028564273016243,0.051906105896116314,0.03199801642135755,0.06984962262579802,0.12302706025378955,0.08534777276678251,-0.042833495835595904,0.09608668136722368,0.024635370115947363,0.10556132593882071,0.0867363170520178,0.0522792022894533,0.059152451632546225,0.06610894909087377,0.05617595378325078,-0.10745060741653766,0.18728363830412792
alphaRatioV_sma3nz_amean,0.07310767578053257,0.06764764125712808,0.03712234913439069,0.01418843276609291,0.034750302691659074,0.025366948239182827,-0.0020443408181089694,-0.03632228217366343,0.04269002708522864,0.04517695700050392,0.07927965871127034,0.042896308365700714,0.012513879887060361,0.045333538084882066,0.035118796541673804,0.09789031718551158,-0.008500216416403215,0.04408453832366034,0.010523131945644054,0.031475712879831266,0.050965153727316005,0.07291761173759298,-0.0038690050714949575,0.015058848577407077,0.027802803362366985,0.07300100724798143,0.015938286394396144,0.03913544878361327,0.012626257718918706,0.01847465713846091,0.04231446559303783,0.0699155574880687,0.11110780722221564,0.02417798342464508,0.02071740331764951,0.008470885930520405,0.026202280836854556,0.04019061761184676,0.01686420868263239,0.02538988478105773,0.03862242039380229,0.0840495545409609,0.052391177654571325,-0.03106913914221028,0.048965318783957906,0.004618517863950268,0.06826660883227327,0.06079813196585378,0.025357374487475288,0.02747490855068289,0.03558352829816365,0.029605201358503638,-0.03632228217366343,0.11110780722221564
F0semitoneFrom27.5Hz_sma3nz_amean,0.03797006948382377,0.03381810695920703,0.013824858614713085,0.009472961740960661,0.03076786040605292,0.035290404271630195,-0.0008411764537041663,-0.030841225088561935,0.021796358217911593,0.039318261929837776,0.04718755860146105,0.0216278700185912,0.013312533219615313,0.0337890033033585,0.020430366930864113,0.08031342307995629,-0.0031010068311905004,0.03595486277483215,0.007132550136767665,0.016273799790551085,0.03310464584011997,0.03282485810319364,-0.002726651899601283,0.021452465876528885,0.026786995290535794,0.06882373573055829,0.0023531190798719986,0.0480899415707999,0.005938279147015464,0.024084920197607447,0.04552272907269616,0.09482552864190524,0.11570978821901587,0.006312392393441287,0.018718185136128877,0.010241590719430496,0.025177665091604604,0.0306134410638085,0.011312891595018741,0.008042899179002963,0.030698143518375347,0.05082761399308015,0.019502437637694655,-0.023305119639865552,0.031205693211518063,0.009460316570304866,0.02391994079631851,0.03655384343850966,0.026516756092873114,0.03341082017221101,0.026589946138927605,0.0253614001376707,-0.030841225088561935,0.11570978821901587
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.01690439386485658,0.03006196185387578,0.022275900328411466,0.004025431022132405,0.009717106501973419,0.012553010253620149,-0.001805923968955866,-0.00946750886748302,0.0180107014835162,0.03032779442129994,0.022041705822764865,0.07018181639110503,0.015486500534582968,0.02306645418947769,0.01690492212760712,0.059031985062778916,-0.003609975464416475,0.002240233574296532,0.0049939986105690505,0.019195980370557208,0.018747858475793855,0.04532277468275732,-0.007366919044967389,0.0037676989416049003,0.013251233547890857,0.04994441971225416,0.005826964633389277,0.019806442675036572,0.004817920608591989,0.021413977404073914,0.02757907374207288,0.09132389852610343,0.037791856566080355,0.010227359881755379,0.030720184382986335,0.0057361402102971545,0.02046076229270732,0.018006208425306095,0.007182155991823864,0.01529339761332282,0.017033564892556186,0.08322180504742785,0.04222028273759439,-0.007722599157729669,0.008370200865294773,0.005290746946064085,0.04445639983194286,0.019043331754001944,0.01389779106627175,0.01512284585869789,0.02085848534447146,0.021217973603384684,-0.00946750886748302,0.09132389852610343
hammarbergIndexV_sma3nz_stddevNorm,0.038198236047498106,0.027821029601714935,0.020221194219362304,0.004001220409068415,0.02052739585218304,0.017534013751543315,-0.0011591456164622713,-0.022530294660827545,0.027011971481032675,0.02052355816685789,0.032191892904196974,0.071231509380949,0.007281799280292983,0.027706675016232786,0.017474446922412616,0.06911110834555025,-0.0038415880716132166,0.021311627042529677,0.004380895843613733,0.015461169748669972,0.006144434052987396,0.024648472049478804,-0.0034081564705233775,0.006137679408018048,0.019281738718756155,0.05363113120341147,0.004061763230442314,0.011762275008909105,0.004588970281494258,0.013457451919688066,0.04574973786035391,0.06400169517555865,0.04913724108423522,0.02776523669855685,0.006313859931301859,0.006908449980707906,0.017505756647082555,0.017610647659883082,0.013819450243211273,0.00410738408908644,0.012868908978644093,0.0528691129949072,0.03050121404484713,-0.008221732788697911,0.023812757409659446,0.003086943683246685,0.034126890683522516,0.042144693737434645,0.011556419750456869,0.013632766755633583,0.020481238193742,0.019592973246648316,-0.022530294660827545,0.071231509380949
mfcc4V_sma3nz_amean,0.014831230277195576,0.014330257776617429,0.004775748958248756,0.006719798179561401,0.009785208662795147,0.009259610195675285,-0.0008386793368288515,-0.0056987469370779545,0.009321816772744724,0.006293463671294479,0.022955639963767344,0.013926202987832691,0.006728368951412736,0.009604987131275765,0.010715314125768038,0.04162153605370773,-0.0016161800473778114,0.012040001729233167,0.0053756814058264525,0.009648925121122962,0.029946702889972796,0.011788907874446993,-0.0022487103832178443,0.0025444846494902334,0.010746614748905191,0.02650134148146574,0.004900048152564066,0.006156842989842325,0.001770531986336878,0.0066104521817151865,0.019310045245545318,0.030296595505607513,0.0292208393866194,0.007674868109845202,0.010420351458180953,0.009335337052665132,0.015362465228262552,0.006200973184435883,0.0035592854108939622,0.0031181678292970198,0.007248726189019984,0.01466563392798517,0.014923120631484642,-0.005150520054652946,0.02420898798551738,0.0011860682859006586,0.008416040092210612,0.014418840470980286,0.006964747302747192,0.005245148335956012,0.01050246247585637,0.00940596512740321,-0.0056987469370779545,0.04162153605370773
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.007659200970311165,0.005326380714954024,0.002330754582330622,0.0004229821225275457,0.0035748920900544427,0.010735094153036268,-0.0006602406934017925,-0.009513311486303758,0.003967634134294829,0.003066663979478104,0.023218333549380347,0.03214054176675342,0.006007055527499159,0.0040584272739730125,0.003770486348409726,0.01821780135723506,-0.0011685643334209425,0.0036411479032903912,0.0019462670921879084,0.010075754815424595,0.008539038894765724,0.014449011892021784,-0.001585539090221017,0.004260714837487224,0.0026324598462944557,0.0203894328734165,0.001886311540720961,0.001593673347363283,0.0013464442942976564,0.004051725002059851,0.013910936871934175,0.018852822769471096,0.03208943696525411,0.009256449069192216,0.0016757222492242486,0.003223465279600312,0.006802865290802416,0.011971865974705034,0.005466419283025422,0.001332484139769475,0.005448741709950229,0.035340338259115124,0.04182202985536705,-0.008921417064950168,0.011722514415770753,0.0023089419923168902,0.017844692373940176,0.04156604247055931,0.004084772284982845,0.0036176542504036554,0.008915947074933098,0.011337458310561127,-0.009513311486303758,0.04182202985536705
F1frequency_sma3nz_stddevNorm,0.015919467066917777,0.018072579341490196,0.005750824824989819,0.004634660133994797,0.010573719613788807,0.01460086253484588,-7.760675745256232e-05,-0.004839265407168985,0.009762388813320087,0.005147814454846486,0.00919863998808237,0.016500104119838734,0.006200652366915693,0.012238631407275291,0.005509456859972974,0.013798622859824673,-0.0010648881034427385,0.005521678498270331,0.002288423271788076,0.005952059715836269,0.006066049736243726,0.010198603750895182,-0.001855836450990351,0.0032718075149509025,0.004384047246695583,0.030000479553008098,0.0016138179669962617,0.005036560422353532,0.0009500678101028462,0.006362836122798381,0.003687725805751266,0.007818809531057767,0.02349524653409121,0.008842443162905455,0.007254872166668803,0.0018359872015459016,0.005952685602780592,0.023062388724621248,0.0044065152249999195,0.0018068546975363257,0.009902885949417795,0.025340069897352914,0.0051484141534606535,-0.008232450960029135,0.00713876934701305,0.003843837412734261,0.01928577418020531,0.0066663536227592,0.0020350459415908032,0.012166551944956736,0.007863520788368165,0.00750262853428361,-0.008232450960029135,0.030000479553008098
slopeV500-1500_sma3nz_stddevNorm,0.01152614575574357,0.006895979268784629,0.007439878759465618,0.001672667833947015,0.0022331873268422175,0.005109931609037966,-0.00023795703550472748,-0.0061081519844223935,0.00479446927870881,0.0051387831314524055,0.007380417815749168,0.00819229122145883,0.0043779167741000435,0.007354225268356001,0.004743650736462044,0.0035883003662697784,-0.0003264993751703381,0.006190713532958828,0.00042673314863471987,0.001062542601010785,0.00017867624532454096,0.00113257631154415,-0.0017250275766698836,0.00024502551798410803,0.0031671954909902895,0.008764513193719386,0.0015837820168755853,0.00883583208968407,0.0006044086833699471,0.0015013542261745074,0.003565843802906327,0.007127458102036944,0.023246056354516716,0.006624516866696665,0.001766705233363943,0.0004922314299397378,0.004590589311195361,0.0006827239954332049,0.000871443559079279,0.002467911152843955,0.006499267464824187,0.02645375162096542,0.007349663845067749,-0.0016883878801945548,0.010079355007719943,0.0009622636540592547,0.006971754645685255,0.0038666523104947236,0.004066086722912719,0.004058791402243298,0.004515964816693436,0.005401104064844181,-0.0061081519844223935,0.02645375162096542
