,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
mfcc1_sma3_amean,0.28797712552455573,0.043543203524471476,0.05888105105031848,0.024868307663366403,0.012660105827324639,0.1280714614502686,-0.04785797685630069,0.12030503593473596,0.09285285185904293,0.0032418529411350774,0.03663361668016342,0.05892989260458447,0.013532539182117293,0.16289717549764715,-0.0018166810643603342,0.025672427916283217,0.040164333617258054,0.24139720627832845,0.18470964773980203,0.1971436701916366,0.10503475663928126,0.23711328167921147,0.047749621402761705,0.25100506013450463,0.0003923142199617643,0.24550369610289202,0.0355290271461909,0.10508684711720576,0.0071024643206525455,0.020202279561642375,0.19818807124942578,0.11659939249008253,0.1255731936757017,0.04743231200915243,0.0015372625516440956,0.0,0.05627458585043296,0.15227260186858088,0.012442239672253828,-0.00262490565415818,0.004977869034925019,0.06270694388528789,0.11662969160277217,-0.006154126884380937,0.01731426149340479,0.07836292276211582,0.05387594181837237,0.1743453817580515,0.16198408801632844,0.03335291683585235,0.08287233679845059,0.08248847706995556,-0.04785797685630069,0.28797712552455573
equivalentSoundLevel_dBp,0.0689913246941218,0.03709191278617212,0.010509920316567414,0.0037281639479797074,0.022954803189617227,0.07619067828959178,-0.05550998467783212,0.1792877068796732,0.009547407155665967,0.1562622936644099,0.20784564479953332,0.2155744923364849,0.02322900610605986,0.2417471320373141,-0.0035958189753330246,0.027641188814360073,0.22315713650881625,0.07561786956686738,0.0006271253215407421,0.04957031058351663,0.055303624600477205,0.07302445450863547,0.03831302455414775,0.0886359016284052,8.59913571580664e-05,0.05340019868747625,0.006462142637100954,0.19189712356710298,0.009225595858364806,0.05920606482940564,0.019952892049312193,0.09782417220688697,0.09268749406649741,0.0684982433678107,0.006753396865466455,0.20925384279932932,0.0775914345592045,0.0887775996872823,0.06367766942812678,-0.003746259434280276,0.04752427119649464,0.2099958525116063,0.01537261531733164,-0.02709057143282164,0.18107432046597435,0.03858216102904137,0.23831331378035425,0.11689772381595534,0.03654440698463625,0.04821855513612764,0.07545451139947476,0.07705356603838832,-0.05550998467783212,0.2417471320373141
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.14065131344788184,0.12500191249402223,0.053572923247759696,0.029829197808281138,0.2712692524455301,0.08023531666092623,-0.02191545433750436,0.07831852256771162,0.05422654277160012,0.015426031660262242,0.03522575624446459,0.05131514864121392,0.009042325209188296,0.08861861401190012,-0.002238759368158408,0.1536573621559332,0.12104513238123975,0.0023969319536480743,0.004935787297661489,0.1406456003512363,0.05154337042947179,0.09617597068051187,0.06176914243131691,0.042619070133984395,0.00010121708649218431,0.052367307813409016,0.00956229903425063,0.057777222535519916,0.03223234606144061,0.10178786705940607,0.16501776944749072,0.17110106182267112,0.05123035527889337,0.07662829216184427,0.015772041397412694,0.28021845418568503,0.07228100464767571,0.07575342783395007,0.009272040179299354,-0.0033960517445046023,0.03598712901959548,0.08926029028710977,0.13394095605070602,-0.004072734390081024,0.1301900092501574,0.08597507204224047,0.07276784936799702,0.09028011303402243,0.09989166112082065,0.024004132836837475,0.07218596289480851,0.06384949944167807,-0.02191545433750436,0.28021845418568503
F0semitoneFrom27.5Hz_sma3nz_amean,0.012357431261422275,0.0068430488152934985,0.00874743914833775,0.0006027590108425544,0.059602540461768626,0.04119846609957322,-0.02376313611966928,0.10287815849112017,0.001003161433370051,0.2906281871344815,0.0032445328791005697,0.07458268447378605,0.0034631923593444755,0.013145274519510364,-0.0008904425873685668,0.09029715584814633,0.009480337936695312,0.0017203245202622162,0.005098905640049043,0.05556413660494095,0.1652940329292123,0.04275841885174794,0.01471601483492418,0.013460335638671396,0.00010221008584869389,0.10874791925122897,0.0007377961474681157,0.09933419402328002,0.0033659398590164665,0.03443974783286222,0.008647897863190228,0.209934014865858,0.18002338419548664,0.0049856932325468345,0.007354031002387032,0.17532529835601873,0.04075787775863155,0.06781599986460707,0.0035089045323015537,-0.0007028894855396273,0.11191259837467299,0.10626392885625795,0.010058680422488683,-0.0007668248497565726,0.046720052177963226,0.0807441654031291,0.11999165464449318,0.016375522918492785,0.03926168396014337,0.006534845656373994,0.049470145742700276,0.06493860476761311,-0.02376313611966928,0.2906281871344815
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.07687897922631219,0.033953381536509425,0.013422816952390436,0.00475564310685188,0.02264152499561346,0.06313296423802428,-0.007150478859340078,0.05035326633336372,0.004111289134026483,0.03169926779347051,0.012110463169869948,0.048227028628998476,0.014215551782503102,0.02115068630386811,-0.0008687511295877608,0.0940809478799331,0.0,0.02167324719012354,0.0039008862031179215,0.026313501817307745,0.026375106366809557,0.026420341894647155,0.029771681853952976,0.04422288202578731,7.886273178376377e-05,0.03253870049249505,0.007404745101512949,0.0459933348719143,0.014652732700715605,0.04279438134349336,0.04192445117641652,0.07837545140903049,0.11022615505146557,0.021685666833812824,0.00809924204864092,0.06528981347033279,0.050587102832720506,0.04027069085282129,0.002474588162233177,-0.0004439107850293625,0.012723187946050287,0.02202519092805973,0.016858350777556687,-0.003904286431151078,0.01465058150456405,0.08445030573352409,0.032617120884453815,0.020632497343064465,0.05158022064187719,0.017078281678850626,0.02984111375491526,0.026563414192085917,-0.007150478859340078,0.11022615505146557
slopeV0-500_sma3nz_stddevNorm,0.10058927345212958,0.021693955388767328,0.010626376597953468,0.0017057520223835755,0.05548287440468488,0.046269130233479484,-0.009432873647329905,0.04520041559256081,0.007566015576433123,0.015026029989109636,0.017934401780477824,0.017984675329044776,0.010368309787855709,0.01915649035088156,-0.0016960607029604523,0.01608881038549692,0.020294171234577604,0.009169080794174219,0.0,0.04314502919262217,0.046138813766907004,0.100645167791588,0.012096028724902567,0.017962557789115485,0.00016376371294482694,0.06230079908083306,0.0006855599994902257,0.008696967668907634,0.02359084114663332,0.01729878848330417,0.04716981978479479,0.21220865573962175,0.09619660151800327,0.012518549241920406,0.009757967271013452,0.017347779557794776,0.056374238920806855,0.039559200524351384,0.042867749598017334,-0.0003744042651065858,0.003873760571206324,0.017718934058081743,0.02246540327371717,-0.001176228274479865,0.019694654346772564,0.03627310846342734,0.02471957384852144,0.020192253963811174,0.0352838350462658,0.014005738309188408,0.029268566748493964,0.036174351439224275,-0.009432873647329905,0.21220865573962175
alphaRatioV_sma3nz_amean,0.05907366337181621,0.006479362929332224,0.010088618329344086,0.016299051599712656,0.020439495010770213,0.04626215009496594,-0.01085748546785571,0.03088446740646835,0.0059812232811439015,0.006066065968284802,0.0,0.08738977457592839,0.001308104601587308,0.05703017392114835,-0.00024460821339582434,0.022796923123562306,0.006371221488855234,0.0,0.0010529512724952777,0.002807857884818949,0.014978898282117778,0.04920818145461904,0.013623929309951936,0.00880643543158628,6.877031235035453e-05,0.05203598560196898,0.009368282946524859,0.02212826679680218,0.07269347379183705,0.007297084852476816,0.01655818132985244,0.09321111647128905,0.02589588266920511,0.016261759854117902,0.0020431831287145694,0.0032570555205732755,0.008658146510454004,0.07379377740504721,0.021741263807387085,-0.0004908082160291162,0.001086251057267686,0.004347177634757102,0.016600826013033823,-0.010343819208119363,0.049812517928131655,0.04440951859915135,0.015543827401606558,0.04468714204434439,0.02053126607661627,0.007292987373354987,0.02148671146719948,0.024893693579268916,-0.01085748546785571,0.09321111647128905
F1frequency_sma3nz_stddevNorm,0.10615230764941365,0.02824333320433369,0.0076129056247434355,0.008690746975035689,0.003832547949482363,0.052855332369579844,-0.0024890784627786735,0.029524754551537847,0.005721716879622339,0.00911823546328893,0.0037532588697904,0.01874635398034295,0.003776696819935089,0.05887777573007134,-0.0007372934150167948,0.01965417378687542,0.0,0.003947964468868933,0.010019186616231418,0.004004932595636297,0.04610638453759831,0.0669223414471994,0.017617046139465867,0.01569448212373467,6.463407951217818e-05,0.014519291956066202,0.0067541050649513445,0.024968420822607192,0.023362129960022956,0.003850810311403298,0.032096210861727474,0.03706855030588431,0.036336652029203845,0.028564272339562394,0.0008114655130657242,0.0022923673657189825,0.014102025394827187,0.08689467885124369,0.01267010053811107,-0.0004280010211448408,0.00843493925904752,0.007306296632051523,0.011605949411230386,-0.0037610790391277202,0.004721410744236887,0.03747437369269645,0.010106470549200847,0.030419510205600818,0.01880088930009493,0.016159345354264325,0.019656838527741027,0.022559969170124893,-0.0037610790391277202,0.10615230764941365
mfcc3V_sma3nz_stddevNorm,0.07953218904807112,0.01920892964051559,0.006806327203378033,0.002608039560689613,0.0077206114793744035,0.017550738101051455,-0.005948340123553914,0.042945440899162135,0.002193504721747717,0.01092863776995032,0.006539826660415835,0.02071250607371133,0.00541721952765657,0.0018885804574512491,-0.0006951837332544547,0.0074008436791492965,0.01081435984429106,0.02876026709055707,0.0026858959343835243,0.015049000140945989,0.032682230476725846,0.06650484709502462,0.009000398387800718,0.005270252113317993,9.578026647159717e-05,0.035871701032342704,0.0006644752487309514,0.007941313951135485,0.08233236356584825,0.006446215799575585,0.04723553126426346,0.0992488874014543,0.03491878569813566,0.002342882763747621,0.0048535570719618545,0.012504515608191984,0.014881989676393623,0.022723095728105817,0.005235983121300876,-0.0006642584455686332,0.0032067268519447587,0.0018041003826173886,0.016278614665585393,-0.0007387834177437246,0.025868410254969294,0.026817613596766324,0.0,0.03416409938959896,0.015668941166928223,0.00897407659022164,0.018085074825630848,0.0226654697053351,-0.005948340123553914,0.0992488874014543
logRelF0-H1-H2_sma3nz_stddevNorm,0.02890727841692817,0.023148051689788327,0.012365777730788355,0.0017083343768096902,0.010081093099382174,0.039626760176503614,-0.0012117289113927287,0.025355509759117108,0.016110122763584502,0.0015040204281450316,0.015751199704776307,0.004752678909469659,0.005325796151806068,0.009375353322312183,-0.000357593574245526,0.014501787013333415,0.015634231502268465,0.0,0.002196080639976445,0.009972781492576011,0.016872300160505997,0.04186026596808243,0.007915428785826373,0.010592457101627865,1.593782863191545e-05,0.005107396368334932,0.0009149579151819788,0.01704656329948284,0.010493497031841903,0.008162182884111833,0.0956667143176161,0.021002059341057644,0.021088781758180374,0.050653618646828734,0.007691202677893088,0.004069712514563577,0.03812052698418923,0.06563204563842276,0.0019101347208559083,-0.0002600187936997653,0.008479722582188298,0.019000136171826672,0.010716574190983286,-0.0016396079126804444,0.031106820233140025,0.018656661035500455,0.0028095653629993094,0.07873941743275198,0.007555643272572187,0.012805725103395338,0.0169506791462828,0.020064971896923772,-0.0016396079126804444,0.0956667143176161
