,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.12186247318272124,0.018791370794417492,0.011445694142086626,0.009024982646497575,0.04055720557730016,0.04573951665984059,-0.010002502588345612,0.038267727639523234,0.011331036146323182,0.013935849677878752,0.014537528196854551,0.05201564632615321,0.006436382488595752,0.046837261968046696,-0.002991489691341792,0.025011135265879378,0.01611286390795031,0.015765595717841585,0.009136029632961546,0.03214000274806581,0.06780102116795542,0.07764792169319264,0.014108627221487155,0.017905612108955193,3.858452707790484e-05,0.034520382997997506,0.004234798041037066,0.030194584362921276,0.021400298299052625,0.021124747094841346,0.05098189504543342,0.21386500759577903,0.053982827398593454,0.023187806349149992,0.010063061501344025,0.06234410733854112,0.07361052391569194,0.037432907720846155,0.0044977236078424625,-0.0006407358946292767,0.01761686467986962,0.0277873081841209,0.03096588462732256,-0.0024542701025198075,0.0468526473928448,0.03540863240482144,0.04008298840938015,0.03717769967131494,0.020021846394080507,0.01611695457628409,0.03207665137539759,0.03547973521885204,-0.010002502588345612,0.21386500759577903
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.09141358500654868,0.025311696325322847,0.0076556445952511406,0.00740307718122401,0.01696262123913714,0.044075091210815466,-0.009348725515013496,0.05963549993834386,0.007588793869171684,0.01095379521105253,0.004117746874187724,0.02085529510063992,0.009514594803222741,0.040035133204089544,-0.002773600628497046,0.027055126456708427,0.006841751166345605,0.020676186648883283,0.005640294506593668,0.024724097994610034,0.025809970549949216,0.07169479951135772,0.01616159723140405,0.027042663987844516,5.779047042815411e-05,0.012705910461163731,0.0021339075201606958,0.03431308552096265,0.004585345166860249,0.019843873488349664,0.04646346260720487,0.15189056486576538,0.05449516305687443,0.0068548404446081785,0.00941107405956652,0.04593578879143128,0.06341598024306151,0.04234219475696973,0.011604621741467112,-0.0005668817399184833,0.013266814058218175,0.02690696875648858,0.021698737861915236,-0.002556747390068647,0.02133883236285511,0.05711231455112842,0.03818980745536081,0.04397858459886113,0.01655708519217696,0.01730974616612226,0.02636671203074414,0.02771882627170226,-0.009348725515013496,0.15189056486576538
mfcc1_sma3_amean,0.09654357896256353,0.010255970639230103,0.008869255738671608,0.006278197231511034,0.015806311503686797,0.044071165051655585,-0.009092818208744457,0.04878792354238911,0.010523151477368094,0.024968596826551556,0.007837761726111577,0.023789910015596084,0.01096813880718701,0.041749459322931046,-0.0009859632746561917,0.02017366115292399,0.008428046921587929,0.02711211584266405,0.011981099595341417,0.022370112701924353,0.07588458085753087,0.08635584200925608,0.0076504899789262065,0.02775519200632823,7.445645526099408e-05,0.00939729702090615,0.0038472064651820996,0.028740685243434573,0.007120465127966579,0.007486974133327142,0.030466047178189196,0.022385974096154466,0.033295670798286124,0.00556826939109933,0.0010203531405172394,0.0251787519660898,0.02169199107348323,0.029077788201712695,0.012622593364723064,-0.00045448041940735314,0.007378219197766172,0.020870558844360294,0.019710167953819836,-0.003687044008327773,0.027984671657024642,0.0276149710396542,0.014375508512558009,0.026493206352701214,0.03707672544847268,0.013924087832348516,0.021146857929916777,0.020783375116457403,-0.009092818208744457,0.09654357896256353
equivalentSoundLevel_dBp,0.08349272096949333,0.026090042718175957,0.0019307059496331941,0.0038829571173424446,0.029929347486323324,0.029504609617853977,-0.009719013921206096,0.048661895910847776,0.005120543765346451,0.010665415265594478,0.002150145151132273,0.010937331217057769,0.002320889783324404,0.02384911505884152,-0.001983388578780554,0.014607753467614991,0.009370521977964587,0.028168537075718248,0.004174962682553855,0.015417199623469111,0.03009793279932134,0.05041198600993443,0.01675404267714939,0.02985929859718187,2.6131054142522603e-05,0.02464225774014198,0.001321104576960459,0.03694888516368456,0.003006074671677961,0.014798245715358465,0.03369212199255386,0.11176103545228373,0.06433280256495359,0.006621245503555657,0.0076752990918106745,0.030249828837107418,0.010894329351145404,0.03300815059550067,0.003750466390120018,-0.00013341273717629564,0.014911724171800488,0.00793435209203406,0.017035711063293366,-0.001276468620620602,0.01275701943822222,0.029299397523422765,0.019091002004314597,0.04533592330395462,0.011860276963403294,0.011511586506882462,0.02033501285664832,0.022150999689046203,-0.009719013921206096,0.11176103545228373
slopeV0-500_sma3nz_stddevNorm,0.13476838576212138,0.003953861300509008,0.002894239662920038,0.0044351072606228295,0.009166322221512526,0.04807207289414426,-0.0030678177748789818,0.03495964575148786,0.0035024376932533165,0.013471835974377216,0.004384207793042961,0.010571052562693936,0.008576155253895719,0.012345103099026342,-0.002268054594333601,0.01137084945683109,0.00467895644687342,0.005878071294788814,0.0010878263819877282,0.009364738722499011,0.05028724989461969,0.09227835428450627,0.007311174008804395,0.008067572876064584,1.112301422996178e-05,0.004997760071152377,0.000647087895346684,0.007532942784975352,0.0035164618589572194,0.009715768065267541,0.016444163110494313,0.15498417969480044,0.055387613407395335,0.002297260870732237,0.010564110799499565,0.01878151579104778,0.05954682402783201,0.02482915997468365,0.005827534380473768,-7.371844432913654e-05,0.002295310311636376,0.008307131971152898,0.012453451541477072,-0.0013618305649904278,0.0118630831960116,0.029512931428109592,0.013436488694758615,0.020449388861098407,0.026636383487503607,0.008442388480066142,0.019662677258735058,0.03141029265658717,-0.0030678177748789818,0.15498417969480044
F1frequency_sma3nz_stddevNorm,0.09017525752151405,0.007390844784964993,0.0027793198705894665,0.005234331140711523,0.007385766982962246,0.042179042168719,-0.0024649455384698174,0.04352254910964423,0.008177039053986894,0.006877245743075031,0.0028509521553762704,0.01451326062162317,0.003891954733153917,0.017479047711583158,-0.0010049442552393074,0.01404165609390478,0.005425862761178973,0.006864715204174196,0.008714474647005421,0.005699327104204514,0.045432348552043735,0.0775588870731574,0.006851550313233395,0.007740451556083509,1.6993983915005837e-05,0.003763757704243831,0.001582480511272208,0.024969292004746103,0.004966593751802631,0.007225729874808099,0.020364799008278492,0.06376858715985707,0.05145143676170983,0.004982001948929477,0.0066877528850340096,0.013357134050647698,0.033984850973695205,0.02851130739408566,0.005167310051404777,-0.0001388277364848225,0.007220317343555552,0.005658426177765177,0.006310438904002504,-0.002858604179877122,0.013768391674364295,0.03613643968669055,0.019356277652183975,0.019983189936015205,0.007658163079808275,0.01376914852187331,0.016499587684670157,0.0201515548000604,-0.002858604179877122,0.09017525752151405
logRelF0-H1-H2_sma3nz_stddevNorm,0.09539485389154194,0.0037532239723311028,0.0037836797065558506,0.003585697027827923,0.005438965304254175,0.02283550398139292,-0.0021559779317683655,0.023341578091670392,0.002458073632741455,0.004038862874215459,0.006534468172883748,0.008093156723882968,0.005351655633047479,0.013972654167576521,-0.0002633647789363235,0.0063006800878942625,0.0045716983327078456,0.0016214195999850866,0.0029071842761166705,0.005195136938360478,0.03455468078042895,0.0726746046403827,0.0037269019559046856,0.004242969798352408,6.8100881876803985e-06,0.00601922735636104,0.0004453526860255444,0.010741308577630232,0.0037828159006751834,0.007422864626387107,0.02912275788134115,0.03059720296898869,0.013512789827014898,0.004854210848319521,0.006351492395227545,0.01070834141995758,0.03448679314777221,0.01881567398031912,0.0007797542241636514,-9.859891569360417e-05,0.005272284653444102,0.009069670720499055,0.002720039699674358,-0.00110191962577108,0.00823651806182715,0.01940342440777277,0.008677789968184229,0.010653720020347557,0.00941501573919922,0.007729017381718354,0.011791653298378472,0.0173559028546978,-0.0021559779317683655,0.09539485389154194
mfcc3V_sma3nz_stddevNorm,0.07152719649424112,0.0048999898528588135,0.0012460992471301688,0.00254268513691611,0.011724092114963168,0.022840938101292254,-0.0014774985542439982,0.03661256480571738,0.001090194135843152,0.005786790647959474,0.0015729498122477898,0.0043741582703433896,0.0025739342511394456,0.0036946125406734026,-0.000947249916499293,0.009002056893847928,0.003505726827077205,0.008279824391739606,0.002467263607097078,0.003228132593739759,0.0255602860296312,0.05901497733017307,0.006041350329518199,0.005226642312651029,1.0355310011766056e-05,0.005708674710621193,0.0006958247267973523,0.009215975916235637,0.006534917460646693,0.00401730167876638,0.017025232380980537,0.09776418394437045,0.02826911850450389,0.0020987013972805385,0.0029737618118055144,0.012995956947975269,0.019032194990380457,0.011941463956496515,0.0024899808272592144,-8.29938450608974e-05,0.004984865733803869,0.005285177062537989,0.005158143300679043,-0.00042606937758515016,0.003981119811502802,0.01574543275343913,0.0064847145408723095,0.010356529576999687,0.01073625082290618,0.009117957286175933,0.011650049789729196,0.018453986469245693,-0.0014774985542439982,0.09776418394437045
alphaRatioV_sma3nz_amean,0.041677128752619835,0.002239713665745686,0.0013005881559178323,0.005351705096018355,0.0038308702118115415,0.023893652407045,-0.009336981471328873,0.043864933643375646,0.004751806715658424,0.001648801311913138,0.00276801379461027,0.02509244427570814,0.0011067358608049783,0.010527860443383288,-0.00025367232018049196,0.00867111958896497,0.0022891546789721136,0.002715059733975246,0.0010984659466603513,0.0072115765513480964,0.019465687082267872,0.041200400061754947,0.00419649658182073,0.0028795547986258355,8.529148859853161e-06,0.002355609660455606,0.0014254274485461652,0.003715591635892317,0.0077340157647329,0.005192810881142539,0.0161027223547364,0.038152184136214524,0.04432335305885858,0.0016755259716285862,0.00208256914766258,0.021804319586964393,0.006841044857002524,0.032848808238885197,0.003747268113219149,-0.00026918339813329466,0.0023106089381661173,0.004322299930212828,0.007846276310483315,-0.0032102660822271234,0.006668378541759256,0.03401584430920019,0.03265317414449196,0.03589020811960803,0.00409899846506154,0.009299639662500596,0.011396537490268352,0.014183365223903023,-0.009336981471328873,0.04432335305885858
hammarbergIndexV_sma3nz_stddevNorm,0.029882648694421574,0.007097609253303057,0.0011035438792628626,0.001118813888989122,0.016203007238877142,0.015594670882476635,-0.0011579083248971645,0.03723975186526578,0.0026062537639908053,0.0024443538294436898,0.003326300623924053,0.007414614362728729,0.0016287674206447577,0.0038611740183701433,-0.0005285968106164105,0.00895972508430323,0.004988923336160339,0.014720271402292744,0.0026275092913819018,0.004029265115100743,0.013663832461843807,0.03907555333285829,0.0049634632242997545,0.009100716571061167,1.153560381205075e-05,0.005829445104458548,0.0005470390228376837,0.008081872458572933,0.0061508814876885375,0.005885763908442482,0.01092162662846108,0.05495608451386963,0.014539936675122931,0.003304591776454096,0.002581457409434451,0.012768312217870167,0.013531896171315958,0.007640395247753865,0.00115858856000666,-9.2900657939513e-05,0.0023547168802012758,0.005254491228514858,0.0036889216903082007,-0.0008904132862026146,0.0055206930773883224,0.010582955624238713,0.01147848205778997,0.026258108091816543,0.008628479955555655,0.004877844860344814,0.00911070141427208,0.010961800870478057,-0.0011579083248971645,0.05495608451386963
