,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.16655700568250426,0.10553323938777981,0.03999251724797805,0.02081473346304676,0.11896113562359309,0.11235289465890815,-0.06304172766557291,0.08422929171305896,0.05320137097979627,0.11378219048103849,0.1307221161045396,0.1785550388462385,0.018848080337074028,0.13718963283628963,-0.002668685353518589,0.12136002885714528,0.17102496151397684,0.15540642351575915,0.09754401088148697,0.16478096558257563,0.15731534047141404,0.13975802925193556,0.061194247959365365,0.10281083081444743,0.0002641254398982297,0.11411623821436788,0.025107940609977963,0.13095417614099053,0.07891136884270064,0.06789884185056137,0.09968212739490849,0.15915504767185484,0.20489052508321898,0.09633706528389215,0.006014255447303415,0.18031367661383016,0.04737116374741291,0.17656819095539514,0.05635403572710156,-0.003780471692078331,0.06655805499191576,0.15724669370343794,0.11695798396684201,-0.01566170124869738,0.17796090641514595,0.06532168024728882,0.1622915419558544,0.2116023903174095,0.08161166480924863,0.04308496809674154,0.09786712327554767,0.06374226951818131,-0.06304172766557291,0.2116023903174095
mfcc1_sma3_amean,0.10212431895620763,0.07430629546798412,0.035704369031341304,0.020439461480349138,0.10189554096523933,0.14006156312482937,-0.04334423368007824,0.1199916274958247,0.041862355279195414,0.126436318448309,0.09056666276238332,0.14567164138492394,0.009265239667394454,0.18073941057740586,-0.0009537446006023813,0.059399562397535646,0.0890300019040786,0.08005006494101417,0.05607695039837476,0.1180594102746125,0.08196351007110471,0.09899889388439845,0.05131588762407322,0.1566458053605524,0.00023051253586886934,0.12291641565704588,0.020727833617991905,0.12018894544629646,0.05802139726423265,0.05357831186483356,0.12287011270256583,0.08638051318202909,0.09592113647173382,0.09092628816288417,0.006035256944614764,0.16951600138483622,0.043305900669690374,0.09055013327681448,0.042649594962700606,-0.0027855466229179953,0.043736230948795626,0.08876981885686051,0.07881568712194993,-0.010613234054584737,0.10787525945537542,0.09107819571694238,0.08230804550137694,0.14545404096582132,0.10482225254718203,0.023990605128058725,0.076271532458509,0.049813361078982904,-0.04334423368007824,0.18073941057740586
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.05452559496291267,0.05627303076096759,0.032225077333225105,0.013501699037334454,0.058505218173993234,0.041801629162857165,-0.025827212908795045,0.07118885255017429,0.028940254732207623,0.0452222606778685,0.047355677210767014,0.08072002077648228,0.010679936549846584,0.07481124815940313,-0.0022545519420493734,0.0744105938179355,0.02087239554490118,0.0336318516293213,0.02003839179785845,0.08000965788620894,0.0679856244738658,0.05757872799180885,0.04127599409748775,0.01826175215418449,5.7298514599143184e-05,0.07742083878440384,0.009174534172863874,0.04075690880981357,0.026085968768557122,0.0466712355103621,0.0900699575813572,0.10452789985775465,0.08706170296993722,0.03619929502198912,0.006217502591766791,0.09950309083839545,0.04492838770007181,0.06172380978669513,0.0060225357548300525,-0.0015762216035636178,0.03534773740678906,0.0997251423415812,0.0687321195780865,-0.006113542559567662,0.06199093275985318,0.0709254969259871,0.08863546670500605,0.05041965247912929,0.06671734459849132,0.022600365818569314,0.04591118371489053,0.031188129966826687,-0.025827212908795045,0.10452789985775465
F0semitoneFrom27.5Hz_sma3nz_amean,0.03164740630691307,0.021669958790633957,0.013630386723131525,0.008080475795886638,0.068008737230552,0.029963792006935393,-0.005854890523227222,0.05888969553966081,0.023611441301716014,0.060673992788127296,0.016204121831290073,0.005042455831924245,0.0040575683825739145,0.044969675746711124,-0.000954465418413528,0.034881218265908544,0.027222241290522222,0.04712007327689556,0.03127736146285015,0.04272985094249074,0.02847601902045085,0.03487276638913197,0.02433366628942361,0.04732281700870714,0.00017897817091475231,0.0240501184781662,0.003329094476815635,0.07292679418754322,0.0212856555393985,0.01934626206582304,0.09748169525369962,0.06327154931467181,0.08908860900281235,0.00966343786652607,0.0036139329507061807,0.06399755116514555,0.020542251441953645,0.04873547742287411,0.007693780736797907,-0.0010594894560350674,0.021072185021297228,0.05308415908154931,0.00822986052334912,-0.006291810042587036,0.07448647335001717,0.02960616838509587,0.06754079090877596,0.0367277230622795,0.0654728938269617,0.011927818447088933,0.03207756654924875,0.02572059260304584,-0.006291810042587036,0.09748169525369962
slopeV0-500_sma3nz_stddevNorm,0.09088553669661449,0.005934155196924587,0.003836951695297813,0.007236514401016514,0.01886236641969739,0.03089442158351537,-0.004937155319956355,0.030043301961541966,0.007963204667850929,0.00677288485222944,0.01053128730055301,0.021397210671278276,0.005925948677806214,0.01650435437755256,-0.0017398189082708428,0.019812392158781788,0.010678371143438396,0.01393111955999105,0.005492401438209573,0.01811922357997685,0.03820350939815703,0.0666582141152068,0.0033080484652511263,0.005972330265295277,7.715324618829654e-05,0.020626403468810794,0.0006023608190740629,0.005887111140034831,0.004634016331320307,0.015445212177049488,0.01532455133424901,0.10619501679262518,0.0477933477809532,0.011551028908478825,0.006259069232423353,0.010732530318019564,0.03942444487152703,0.027113813010528145,0.01875894839275028,-0.0003052597817102794,0.004011869119619895,0.021270908553676894,0.01127323993593523,-0.0023571051954720326,0.004924038129647672,0.022386279556527645,0.02823813654233245,0.016339329534233556,0.03574433516333638,0.008998888854503327,0.018264728852692445,0.02140680053163995,-0.004937155319956355,0.10619501679262518
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.05128539653491592,0.02193048825554358,0.006337924894780306,0.004458947904117237,0.013752796618511164,0.017830634646647192,-0.003483240562710124,0.0404669382797189,0.009469211372955774,0.005116432042006814,0.01447353353637771,0.01817542360931504,0.009122073983100372,0.0157906150747877,-0.0009308178227705024,0.044139746203995404,0.008233515507063848,0.014723306229708945,0.011928298614604045,0.014995034392857128,0.03563855627100038,0.03755105320713983,0.012968543937805768,0.002426401411933164,3.502522126450332e-05,0.010209452530939623,0.00399323193126892,0.008040266569643288,0.009265551707061998,0.028210769912491065,0.017570202223348496,0.034366708497617554,0.07235197501334133,0.009295034669596556,0.0030340287082917384,0.021416126240024095,0.019601512473567905,0.017221322566815196,0.0039799083074060805,-0.000437097903991419,0.003185727708545559,0.013988257495218696,0.005262043960643779,-0.0023177121809948376,0.007659558457765331,0.04273604836943684,0.056994004338272994,0.02028658793452632,0.05547658595332594,0.015209083801941277,0.017660700373015488,0.01691819438387457,-0.003483240562710124,0.07235197501334133
alphaRatioV_sma3nz_amean,0.047573028379911,0.011291806472722645,0.005837252925194842,0.012894694489736036,0.006567781126984371,0.01575468600240926,-0.0138803296748781,0.03736706711923618,0.023047460615486418,0.014774354407241263,0.00961961269994843,0.022541020945195344,0.0022097567186613936,0.03818129560158626,-0.0003760508596052157,0.026952107913535042,0.0133414082639738,0.008900361148866715,0.017538214209923946,0.012892754968492641,0.02476248000008537,0.04689995277160295,0.007515181504556508,0.01274457330015956,2.960495460739998e-05,0.013679831245752297,0.004165637576675678,0.014252061560804755,0.012910784899738683,0.007443756149515856,0.036221299786663816,0.02830166301881596,0.05989404269123028,0.00825874891605236,0.0012801461166548225,0.014508120988157458,0.008123988754513452,0.03252188366535055,0.004848641917199536,-0.0004954289708572594,0.003399578717569891,0.015677424385067903,0.006093657048776378,-0.005934773040684755,0.014253452644821573,0.0245037818123242,0.04794884894043386,0.04373331608120619,0.008375527807958366,0.0109240231440591,0.016397401837268698,0.015245901179677907,-0.0138803296748781,0.05989404269123028
F1frequency_sma3nz_stddevNorm,0.07588250206662338,0.010563095143823732,0.003722854519484586,0.003969976122060464,0.007190922739598789,0.03135492872470759,-0.0010365649965164063,0.04224920486016223,0.017677454178152887,0.010468996567438478,0.004395427807226803,0.014579528980735204,0.0016222215349448576,0.03351382680340142,-0.0004897211817837213,0.015142520345646535,0.007783864078935196,0.015002640857257716,0.012481848991576325,0.01320302493457257,0.02906065554527886,0.05898224175430818,0.00826326730115207,0.00682671720857804,2.5959448393011204e-05,0.014270734022757185,0.0029711667805574988,0.0229951904073797,0.010435639295756445,0.00766808150184595,0.017156915378680304,0.02798720944273621,0.055453880168938895,0.011410071843960473,0.0014686781852172354,0.013059006644928525,0.009394665799499869,0.028575403177360983,0.005435339763586126,-0.00023026953092433855,0.009367934260823689,0.008717059743768648,0.004145549530707246,-0.003436836075565185,0.00892202698571744,0.022503856928973897,0.02782544908031033,0.02706037501135383,0.006331199751252592,0.015605042392623671,0.01555061529656012,0.01584961870578475,-0.003436836075565185,0.07588250206662338
logRelF0-H1-H2_sma3nz_stddevNorm,0.05838492362817394,0.01277276001552403,0.008550025867566329,0.003453493659535837,0.005651114327360657,0.014994038935339163,-0.0029519503759266254,0.028728479401207433,0.00753587023655703,0.007328071949774722,0.008877047070021288,0.005420053326206857,0.004188611679074842,0.012405664644090411,-0.00022927236722076943,0.005903227841425221,0.005722395539342043,0.009874580741081747,0.005703710438988485,0.011385995594051707,0.025779004828220646,0.04636693955661376,0.003162395580019909,0.00945550195343244,2.0817212792023366e-05,0.019865081455622675,0.0013888477688733221,0.007931192215688608,0.005736483816362395,0.008678880925034556,0.05174998815453988,0.022825217986316083,0.016431380912927455,0.013774460962895562,0.00864026215261477,0.011118453034972664,0.029505184264443367,0.014598455097864697,0.0037191640605454936,-0.00041379542666612957,0.003879981408471384,0.020649036255633243,0.008012219520852392,-0.0015432024012972416,0.007596492556703433,0.02360146777161747,0.018795869943337845,0.024485849568987358,0.007937845842700991,0.011551129931227465,0.012779988981270456,0.012654723412354517,-0.0029519503759266254,0.05838492362817394
mfcc3V_sma3nz_stddevNorm,0.02914521586164507,0.007694356894139746,0.0038502137549573153,0.002853513787793273,0.01018142539234526,0.022145951411054566,-0.003829968574336542,0.037908508415084925,0.004349965589278575,0.0093136073500003,0.0058265861827821504,0.010514516488244975,0.0012882897863758043,0.00459645844785198,-0.0004423395454454879,0.006949066589334733,0.005551081934743042,0.012910968660888653,0.004855514613872073,0.011255696995703548,0.021779488664265195,0.038743431481540296,0.007027556201805137,0.009994989702865118,2.0045975346231113e-05,0.015610560781648061,0.0009342734875993231,0.009151175695619582,0.009384988860183035,0.0037535418519598776,0.02340473445454448,0.08546497300345648,0.02025076631506854,0.006070863643140694,0.0014878912241482807,0.011457278557301324,0.008588570049121152,0.01730704388023509,0.0053343557225509685,-0.000490519609180279,0.002194590813231601,0.02447593292053432,0.0035595386828629508,-0.0007807100411555351,0.0025743920744810416,0.0074823314937590086,0.013080807968399243,0.020817224447000786,0.011883418615637433,0.012195318101678275,0.011593549701119234,0.014064105078155604,-0.003829968574336542,0.08546497300345648
