,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV500-1500_sma3nz_stddevNorm,0.0,-0.013817297471619536,-0.00028820858371544434,-0.002739282405740613,-0.0025333159645349974,0.0011616405995248577,-0.039387629050996714,-0.01768085437223009,-0.0015540701498156383,0.0020166580573142694,0.008527786424705312,0.0,-0.0016239598136297733,-0.0016706865619610528,-0.005767058037734661,0.011931200244152293,0.024586575826719186,-0.00016356994108471517,0.0018310798756544912,-0.010517359780806708,-0.006174050133060266,-0.0018875009747888897,-0.0004938227795461427,0.0003054757204713571,-0.013952154427142675,0.007600984465866559,0.0,0.000800233989899991,-0.000721832460887425,0.004109655840668496,-0.00779157965261942,0.035991274831489145,-0.024167664246681972,0.0026666664578107696,0.004531004895375676,0.0015950285057648639,-0.0005705458503906565,0.005196803049701721,0.0011400940237298273,-0.013599746110499831,0.006219028939848572,0.2316053726634102,-0.043544885685861304,-0.002202190256185124,-0.036912303622319474,0.004872493412245532,0.034361407107658205,-0.005315748165382183,0.001827122629273412,0.007615779086462419,0.002908321002970237,0.03559770222586115,-0.043544885685861304,0.2316053726634102
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.019922953565022196,-0.012416670970099832,-0.0017378394581152915,-0.0022380907115774518,-0.006808392054363337,0.0005186009337303627,-0.007827897030938927,-0.010647721815937617,-0.02339657162818363,0.030940833566663054,0.0348027830611436,-0.005264199440371315,-0.002958024526561923,-3.518141433336333e-05,-0.009159623746701186,0.024310120726134764,0.004528830558349015,-0.0024692280939272453,0.002722766484777176,-0.00038479953468727656,-0.0011959662433646415,0.0,-0.0012491644640765334,0.024165513692328118,-0.02217476136529613,0.00903242212926058,-0.0074957735773855255,0.0030264837730622093,-0.007219903299059695,0.010317227142217222,-0.009723473083967758,0.05559448157562306,-0.0859827333175018,0.002570555062659095,0.015254204386895905,0.0015555092872173645,-0.0030687793179829965,0.0037303208903871434,0.016135247351507318,-0.047999709396182845,0.003180691016230298,0.06886235563642404,-0.12081819577132594,-0.004063480290166743,-0.0023253644710306927,0.03514358089270607,0.008491546760728174,-0.023378737645310267,0.037833221042402526,0.015401182996012543,0.00012002299726063773,0.02895735727673481,-0.12081819577132594,0.06886235563642404
slopeV0-500_sma3nz_stddevNorm,0.017928598562046563,-0.0016840892913898328,0.0,-0.00014878463934522217,-0.00036762319079585077,0.03332011821343187,-0.012704663260007625,-0.0017641525356273378,-0.004925136392930085,0.00017750625232403628,0.02431971023161806,-0.0855357137763643,-0.010793776316024222,-0.0008903063807128075,-0.005862314620241983,0.00015484371339157316,0.0017908479932697194,-0.000136049849099185,0.0002283170062619957,-0.03073187869684296,-0.013123106985379978,-0.003015040440737991,-0.00030465772763158075,0.038022257813219835,-4.253949997082057e-05,0.0002869983806931619,-0.002069583687707175,0.0012107826793936209,-0.0037888693287405294,0.0012510084064174948,-0.037279047575936995,0.1757086233733924,-0.029243121789123805,4.414177801832965e-05,0.0011524862591242308,0.0002665109378931975,-0.00012090189981533794,2.486535429373398e-05,0.00037344067970661527,-0.0002631492223292832,0.002705747569712795,0.0021585532894403186,-0.009597965666058335,-0.0036682298509091537,-0.0013196033479318232,0.004756626855131307,0.012033666325738542,-0.10675867841399407,0.0013804940749520224,0.0010540727866917047,-0.0009157753169897034,0.03377715228154112,-0.10675867841399407,0.1757086233733924
equivalentSoundLevel_dBp,0.11781082798638441,-0.051112007062025226,-0.0009132150192599619,-0.013379044871312324,-0.010678783053788953,0.027184545117646442,-0.11870510054823881,-0.13410450360046733,-0.06445570344325618,0.08283351322560346,0.13948627065946081,-0.021875334257881632,-0.009815651221981839,-0.004813751772954459,-0.036649464252754706,0.05925299463833256,0.027633778808477172,-0.009908868682703858,0.017684976971216577,-0.12330732528392563,-0.023658855130642104,-0.018299855244621226,-0.012390711952988517,0.03693887355095465,-0.040689797316524015,0.03337194218622354,-0.020432535787767412,0.008098947270408073,-0.006550171076211144,0.05160705435547928,-0.09776607693822587,0.18156453403948858,-0.23603844595906062,0.006787667575909592,0.04566925515615217,0.00965463981634513,-0.020267095562779478,0.03177128683260019,0.016767858546089653,-0.09643168378566298,0.012240065154324626,0.22277971529398444,-0.12132566346033637,-0.025405494782017632,-0.1178664613072934,0.010721545921267908,0.2267106457495675,-0.1064210472202829,0.09501530674547158,0.03046458431948862,-0.001024236373481752,0.08643126405854457,-0.23603844595906062,0.2267106457495675
hammarbergIndexV_sma3nz_stddevNorm,0.016225962019279963,-0.04598270688267154,-0.0005114750529802615,-0.003240503686986434,-0.0010728609671641406,0.023278558249714316,-0.04037869473946687,-0.0527581050316352,-0.10799911578829012,0.03027690499158808,0.01832550317907478,-0.006278756512903127,-0.006600777120208232,-0.0038263556969562263,-0.013378335130167862,0.007966301369245888,0.10637168688533782,-0.008895281080718211,0.009937826520573444,-0.0022859528113223664,-0.008145997975241922,0.0,-0.003283734218792591,0.037420638582656804,-0.014231530608341647,0.01966817501905087,-0.0029125880696528137,0.006437992574410114,-0.0008574104515281046,0.017803245349367648,-0.05616532527718225,0.047285198594572496,-0.016347663618060126,0.0017181778845197055,0.006714986003685497,0.003079090483387283,-0.018042272632460634,0.016890917225764714,0.010368619972424803,-0.026968767042997003,0.0009227119267241808,0.047808297015417216,-0.05941202610067265,-0.01624920654139714,-0.03577763330475442,0.0016561133966390713,0.02350726124546679,-0.00623851784743561,0.0017302006024742756,0.022842628142671465,-0.001592091939118806,0.031637868724621335,-0.10799911578829012,0.10637168688533782
logRelF0-H1-H2_sma3nz_stddevNorm,0.0005911292498232127,-0.000981077811392513,-1.6968203373945046e-05,-0.0005420516480536928,-0.0002322843251877275,0.0002834547606226521,-0.0026325935828409594,-0.0050311449121468845,-0.0006210375469091964,0.0024452661037867303,0.0004437499230931958,-0.0007766328523154555,-0.0024212849801136427,-2.4007301727621355e-05,-7.619799300016734e-05,0.0005147482046028808,0.0001923690311405788,0.0,0.0006429349132172907,-0.0009616441981641212,-0.002458927400586151,-0.00012888841854609426,-0.0006326195708674597,0.004952155876650946,-0.0001457047711372764,0.006371437126521797,-0.00029371360254839196,0.00011102880856948439,-0.0022982954006315853,0.00046153474359004787,-0.007019110363513451,0.00171567008174198,-0.01667487050447713,0.00019498073822208012,0.002716660864544518,0.0009654897979053785,-0.00010014443524800751,0.0038442678583490474,0.0006411484675460896,-0.00039705951800693727,0.0005908852263485996,0.0,-0.025888128259526307,-0.0067574788145803215,-0.0018197867540056258,0.00034489651544902155,0.002475987767867179,-0.042806191307405296,0.0,0.004016496570182758,-0.0017444310369306101,0.007618325619824114,-0.042806191307405296,0.007618325619824114
F1frequency_sma3nz_stddevNorm,0.014615086767039721,-0.00960303643251309,-0.0011007583661291442,-0.0066800920811473435,-0.0009090463207466577,0.016765070295767414,-0.15743814817988677,-0.023957729704368817,-0.1661557181359537,0.05702869265630746,0.008717213576213113,0.0,-0.010410614355508878,-0.002589253624666907,-0.017850485066583596,0.008767931374306804,0.0026344857203491564,0.0,0.00708126493774453,-0.07791565870068476,-0.03367029769039918,-0.001783521795029614,-0.007257485556912877,0.02367189284011808,-0.005088925302885087,0.008884647295967756,-0.00954111062420336,0.0002821782889573149,-0.009698602424076679,0.028108840259954738,-0.015672806617369802,0.026036291508510792,-0.046193389431925434,0.0034039813924778366,0.015111067183564702,0.0005769165723817587,-0.004416318920045614,0.012019932426227264,0.015176554169371515,-0.01847643344942348,0.0010974260625817563,0.036632004722466874,-0.05345395017109428,-0.0047767807992524815,-0.014361313853708842,0.008992452435272998,0.15137376838972133,-0.00984933206285388,0.062446978996938275,0.007299982791134173,-0.003842522980079899,0.04498181651191948,-0.1661557181359537,0.15137376838972133
mfcc3V_sma3nz_stddevNorm,0.017126735877495223,-0.0004379413964433277,-0.0002898952430768971,-6.197555469005931e-05,-0.0021338741097737214,0.0009785851382879654,-0.010260508444679342,-0.07302083772237625,-0.0397383361036602,0.012421552448912694,0.0005456198295563772,0.0,-0.00036982049014680827,-0.0006454448882163652,-0.005916143970510466,0.0,0.0012369274665447213,-0.0020791862832869046,0.00024667480699165,-0.06739093663348529,-0.00024671798500934067,0.0,-0.002310928647847243,0.0005986300295386392,-0.008621566342266077,0.006293790536648693,-0.0018479067742797038,0.0019120078215302022,-0.00787941439695147,0.0012948040000360383,-0.0016687497471131046,0.0,-0.05911942592462669,0.0006477038000081626,0.01551955433802928,0.0001472680553617729,0.0,0.0012909384250731938,0.006184669219513777,-0.0028150943749777257,0.0015479186056159653,0.002493075140783362,-0.06083406030470845,-0.0008776788844726675,0.0,0.016482828593722503,0.006044425002706092,-0.0012928454354239906,0.009955601215237113,7.782142926082709e-05,-0.004936243157543356,0.01945846164364082,-0.07302083772237625,0.01945846164364082
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.016207214058015645,-0.002349045162054839,-0.0010952244296367221,-0.0011523595818140032,-0.001521438467981301,0.011507233322517815,-0.08452089753178776,-0.08916390489406159,-0.023743880500547748,0.003720387723762818,0.00046781511944012414,-0.0026476859393761163,-0.003900340835356011,-0.002233143325836221,-0.0072806681085387515,0.0331277763715822,0.018049847518743604,-5.31822139890678e-05,3.877492001306821e-05,-0.07796744972774135,-0.0027789011244664747,-0.002282060126374543,-0.004976027389330678,0.028943207368585265,-0.027943908755485376,0.011996477995391601,-0.005613405944366413,0.003212578316237869,-0.004686366671900416,0.017699178470532387,-0.028294164677574996,0.1496935289017822,-0.019405047869945027,0.001066923184496601,0.0041153390839949655,0.0012208162563942236,-0.0036276506990554685,0.007339236531125309,0.015265065133190026,-0.0809686629570428,0.010811574647098978,0.1766061037412253,-0.2131564488753237,-0.0055760237047980206,-0.10189830674840737,0.000747208481455845,0.1595830650187389,-0.14710107312662174,0.0160699771246868,0.0021019164617885385,-0.00512692047277229,0.06156439943899999,-0.2131564488753237,0.1766061037412253
mfcc4V_sma3nz_amean,0.01697492181982151,-0.005817227458421267,-0.0013338402108861388,-0.00016698611454591788,-0.006798297596689559,0.00802530661769267,-0.18395554693341,-0.06509692475566242,-0.014334489533335224,0.042345225388334136,0.09012808334893718,-0.007622492281447626,-0.0058386499933113555,-8.158903552008681e-05,-0.008176176177078828,7.734637453000007e-05,0.03129484876013501,-0.013024835624251345,0.010248820944602792,-0.05628806891932575,-0.0266820248015113,-0.003976020974613227,-0.0005106909676877217,0.018138189839458408,-0.00635595525049275,0.01964209776983229,-0.008543798377611773,0.0016168205952420984,-0.01116766665815509,0.02396593558924941,-0.006681705571274974,0.13444391310765988,-0.00579997661888881,0.005981669231285957,0.011371455729331275,0.007187636012308154,-0.00038568824951710524,0.002197131237973219,0.0014723359145365038,-0.058243672439596376,0.0024080720587910417,0.023526510675516383,-0.16023913689512223,-0.009298163949282234,-0.1254099603657709,0.0363253829094844,0.019037148903149052,-0.09266212630090011,0.012808835178064675,0.01800983255051636,-0.006945283829957155,0.050524675112267804,-0.18395554693341,0.13444391310765988
