,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
equivalentSoundLevel_dBp,0.06767186273571218,-0.07076536719693344,-0.0018923827585472929,-0.011692064233777593,-0.0031801502366848337,0.01805270749255228,-0.14725282568886325,-0.11802508080273724,-0.08047765504416197,0.15579136076211947,,-0.017596983771242584,-0.005186015252323157,-0.006301089604349114,-0.039159889932628505,0.03572791116711882,0.041083623416121,-0.011714171106151805,0.010614678883496386,-0.0981855206278612,-0.011305411595881385,-0.015906798733957353,-0.008071994825845202,0.07910116354847671,-0.029716375569397293,0.04104964373251007,-0.01268737133193096,0.009310153026188756,-0.00239562658171008,0.0434800415010663,-0.05145542309113783,0.22272576828442212,-0.18487271011124468,0.012469098002124627,0.017236601024313833,0.0038345834736412095,-0.008766309719947844,0.02327981890743426,0.006982259161992766,-0.0675101081582494,0.014124992584787993,0.32341140146220776,-0.057868749776035185,-0.0272432186725405,-0.13401022693297968,0.020292365200003826,0.24839591764867114,-0.0807798827613721,0.13397964979044466,0.02273095771904349,0.005047492967468536,0.09118599295739897,-0.18487271011124468,0.32341140146220776
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.004763515825523764,-0.0018004000741159154,-0.000816061875240216,-0.004822246087168282,-0.014010329351363888,0.00031130971337328667,-0.0028843895323075806,-0.0021102366195620455,-0.017136114062740286,0.0024908938487960873,,-0.0021193742665606375,-0.001290297892996765,-4.076667499815835e-05,-0.01728247786766841,0.013879231700184784,0.0020623404514224708,-0.0007444980164532081,0.0016547834001275972,-0.0016660341989982478,-0.00016607071985096634,-0.0005930678456454136,-0.0007835130833543793,0.00301140977262441,-0.016028620831931805,0.001615311429231275,-0.007551815634058402,0.001235964184190123,-0.001615041918856634,0.01926283731651213,-0.003248715411487002,0.04308056215137145,-0.048183105077489775,0.0026325878950490744,0.0522847279494235,0.0007218209252974226,-0.0012658400082991787,0.0008668937186218789,0.001013533364321167,-0.021605621587310306,0.0009993391514229316,0.052550324260798774,-0.06354096029333808,-0.0017991720073769924,-0.0007733074034232091,0.005399694243344362,0.0037219319047739896,-0.017635460819572023,0.20255942325148926,0.02579786888363584,0.0038857707383544438,0.03419085992075352,-0.06354096029333808,0.20255942325148926
slopeV500-1500_sma3nz_stddevNorm,0.0005251637598893955,-0.0021232160250094305,-0.0005755353836333664,-0.0015762354063425473,-0.0003408663173086082,0.0005104079477276188,-0.01528591946227788,-0.0010347975521255276,-0.002957528275824926,0.0,,-0.0020722920000878216,-0.0009323244039085246,-0.0005618020146637117,-0.005507927842436616,0.04120030406585669,0.0,-0.004773503894196245,0.008700742963739353,-0.0015522303766838943,-0.0009759004075436788,-0.001996519764219886,-0.0011219610073520926,0.0,-0.012025607123334628,0.0018754065820665207,-0.00012300159318543518,0.0001387837383095735,-0.0002458940244459776,0.0034133463125901346,-0.00796348173934725,0.02622512730586266,-0.05655531311093218,0.0017314320577769392,0.012696701158131748,0.0049208326068021484,-0.0009892229727496836,0.001977177912827902,0.0,-0.00854815090538249,0.008419747852394332,0.09404801402532605,-0.020234592942313997,-0.003311374506120774,-0.027406491309043594,0.006944184440417528,0.0038867901357633,-0.0006648042245978828,0.0,0.006445795869221471,0.0008612951867272387,0.018419252628514873,-0.05655531311093218,0.09404801402532605
logRelF0-H1-H2_sma3nz_stddevNorm,0.0015929513443152167,0.0,-0.0001753257766345437,-0.0007767096546468619,-0.001197913731396732,0.007773616461742346,-0.004339324001514531,-0.0010135687450550195,-0.0007082340298043615,0.0,,-0.00021499540181029518,-0.0001440817817277362,-3.751657741723826e-05,-0.004349745479975692,0.0,0.0,-2.886578329902372e-05,0.0001309954703688152,-0.00037826129050278455,-0.0025683837992509085,-9.324047286248012e-05,-0.0005126836962360172,0.0021955968972226284,-0.00013732328659573313,0.0011144679846033763,-0.00020755216510554236,3.136870279828425e-05,-0.005380775424053536,0.00019202394952313285,-0.005863313825623544,0.0017509630853797763,-0.003299852890239127,0.00012930188011013144,0.00032568345632391676,0.0008432220343503906,-0.00026494946693949553,0.00024215141379032833,0.0,-0.0009071739586921466,0.0001298583472404036,0.002241432463358116,-0.0022797909165128334,-0.002342452492603258,-0.010454377587714569,0.00022931343038538332,0.0009098610222667391,-0.0014872786058323297,0.0,0.0,-0.0005985894469034154,0.002503878766356312,-0.010454377587714569,0.007773616461742346
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.07020550206919293,-0.014000999509384944,-0.0008663373878806526,-0.0023655114789604167,-0.0018077611520103776,0.0054591654431108624,-0.04343698240100737,-0.08574424128002224,-0.009270269339420293,0.0038478460845453428,,-0.0035215695266729605,-0.003719575418416595,-0.0013731964066095498,-0.012122837404013655,0.06931239033216655,0.0020280687858766264,-0.00012960940034497924,0.0,-0.015036520047135245,-0.00593530932900211,-0.0004654327435531448,-0.0030582378646319447,0.027368385196529593,-0.025617656691820978,0.023350682597982935,-0.00472852331445615,0.003283244948154571,-0.0006966873990772669,0.01842879585451366,-0.007694607625885045,0.04424765135237332,-0.01440232973465057,0.0011163418780014737,0.021605380615142937,0.0036224100707284547,-0.0019265862555561558,0.007415629044255852,0.002166007220518969,-0.04013702315819168,0.03378075136758275,0.020085490849969915,-0.2005189739076343,-0.007879539007932482,-0.02107007239924116,0.0008936328336142978,0.1252642288759149,-0.09376413033489216,0.04215267627107115,0.005986788798556156,-0.0018299887760939014,0.04399737342076647,-0.2005189739076343,0.1252642288759149
hammarbergIndexV_sma3nz_stddevNorm,0.016138931041736023,-0.08234587268317006,-0.0008496697583453465,-0.002034304199978844,-0.0020836244722133275,0.023125551548283416,-0.06415498095303489,-0.05520201716663299,-0.10394267029782492,0.07697518569346097,,-0.004219217143897492,-0.002523706919607805,-0.001803202545229079,-0.017379203909206463,0.010025627851070966,0.04510830846924213,-0.010511318196065761,0.006278050719715796,-0.006318331701508217,-0.004914151835483588,-7.095003751410303e-05,-0.0021157147677676224,0.04722041097675552,-0.012411837876327008,0.060270835896048806,-0.005008155317655141,0.006319457579225729,-0.00038767356721001013,0.026932135016856422,-0.050465337371750914,0.08789095239655392,-0.022036857931365537,0.0018766310109918929,0.007722677410748158,0.005579422597616434,-0.008804596376279858,0.020572549009410877,0.0023264236690883314,-0.020343453397110096,0.0025329002917978427,0.02469304566860502,-0.1160120461691303,-0.009932842451852872,-0.055792525587645754,0.008011103213415556,0.04068701511496822,-0.004999802930105487,0.008521245395658968,0.018108625828695983,-0.0024438159013054385,0.0383001574578337,-0.1160120461691303,0.08789095239655392
mfcc1_sma3_amean,0.11068772022956104,-0.0014123520048701136,-0.0022584806258544206,-0.007324307692306172,-0.0019271687259702762,0.017708349276343086,-0.14575602074530816,-0.12000935941382569,-0.08431153420568405,0.012273759309641257,,-0.017494538518691028,-0.004965981454251374,-0.004838201358247537,-0.02574230656559411,0.058241065772432564,0.0170248762686896,-0.005956765246639797,0.0108683774640915,-0.0944758648137361,-0.010278235284986512,-0.010602286425463028,-0.004364648382708894,0.1827397770940761,-0.04650716758100278,0.003748808940904362,-0.006931514664286141,0.008471400354265014,-0.005441989348556619,0.00778259775678318,-0.023413271243321137,0.08727493096658728,-0.17373228084782413,0.0023313146094771854,0.006534727568901926,0.0021912429185362856,-0.0025150817259777638,0.013643496015697275,0.10906535775861118,-0.051642879115245476,0.009823998477992804,0.09937233375816446,-0.08702443322867723,-0.05375869086745224,-0.08469807827768985,0.014190829486491488,0.13660908857661652,-0.07990228595511836,0.005821834193777449,0.03147318524153939,-0.004273605148573634,0.06569458865155478,-0.17373228084782413,0.1827397770940761
slopeV0-500_sma3nz_stddevNorm,0.0005816854888979166,-0.0008650344204667471,-0.001369363278957924,-3.0148267860661694e-05,-0.009336440673667044,0.021031371226291826,-0.04428850909894688,-0.006830013180246852,-0.012816447285246021,0.003721727400333146,,-0.011565753856900712,-0.006247059227998953,-0.0015923443044700296,-0.0022055817006626055,0.0005104954979045155,0.001699020022364482,-0.003088583641277189,8.79769265288844e-05,-0.008149165656455142,-0.0015897070464239156,-0.003431102495019989,-0.00018574184854155688,0.0114678859116611,0.0,0.004430191427924374,-0.0011055585892474201,0.0023420713325237093,-0.036463615490071336,0.00022083958456414553,-0.014777494931870677,0.035380968577855255,-0.038272108718155375,0.0,0.0011515952889545,0.0003563606949582177,-0.00011977925380289467,0.00021789852665010198,0.0,-0.02667401422350524,0.0005592599780416485,0.0,-0.04790538792222681,-0.00017303049780033396,-0.018838109409077507,0.006882199091477105,0.0033882388873523114,-0.040272296475702636,0.004988744514743815,0.004199675670864294,-0.004795391539687981,0.015235794226311297,-0.04790538792222681,0.035380968577855255
mfcc3V_sma3nz_stddevNorm,0.016327746633150623,-0.0004147574168934323,-0.0002955597725188449,-6.627175029387575e-05,-0.014677140836915676,0.003654777153349965,-0.00966660072128876,-0.07854462072510722,-0.03163195448458103,0.005805973338592083,,-0.004239403164748435,-0.003244930390847147,-0.0007342187047492081,-0.0032189638804066114,0.0010147952561462275,0.0006885321087229683,-0.006365776429196529,0.0068566253511687615,-0.00893953687091078,-0.0010295520962401337,-0.001528180795829854,-0.0006179254818557595,0.0003671834140012809,-0.017209688214586873,0.0030391977953730985,-0.0006237877021862638,0.0010745258486398162,-0.002588606837942552,0.0003051534858900415,-0.00386059660104276,0.009051094991427224,-0.07009890572971532,0.001524265219229352,0.012787645780774529,0.0036007902941012264,-0.00023160303562870272,0.003504163596693677,0.0,-0.004182458280483525,0.00024810478837730015,0.0027503527754680307,-0.07480830299526196,-0.00018577466980525294,-0.013656356252645233,0.001753286349335534,0.0,-0.0022758171219060663,0.012957426087943319,0.0003673591929484582,-0.005454250846984781,0.0191913000016971,-0.07854462072510722,0.0191913000016971
F0semitoneFrom27.5Hz_sma3nz_amean,0.02970981767939705,-0.0008842946642128087,-0.0006437644578329806,-0.005084742547781091,-0.00893464825426493,0.008286673343929837,-0.3705583566815353,-0.04595826520811079,-0.027904664310746334,0.15153727690482727,,-0.02130534363594098,-0.002009639118942046,-0.003655759485451493,-0.016866696311722596,0.06388343338834843,0.058461332181911685,-0.012918496996756065,0.007597094060471173,-0.024691645208961235,-7.46101037144899e-05,-0.0018014713360333726,-0.003153660246195609,0.012055827639630862,-0.027761568483801,0.04479507570771317,-0.0032956128140651437,0.017033702041649317,-0.0020339790976411916,0.02025318295581993,-0.021910921985910672,0.0418367251351393,-0.1843055274356164,0.0020787437594911007,0.008966741723304842,0.006333900867464279,-0.0014925768173866074,0.001146052023448328,0.0005620908602639432,-0.013369838949462545,0.0,0.0054418101131543896,-0.13982082384599956,-0.002857544727593653,-0.05374535884357485,0.0009696597341180005,0.03189876834263353,-0.04396031954956815,0.18076956209216766,0.0338447996321653,-0.0063987318557504605,0.07432919177277307,-0.3705583566815353,0.18076956209216766
