,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
slopeV500-1500_sma3nz_stddevNorm,0.0005815679995215808,-0.0052076185963679696,-0.00041791936022538164,-0.0005760556732387736,-0.0004612615615122445,0.001493480967067616,-0.004202380739431278,-0.002650279714046787,-0.0009820362413828177,0.003403503638066076,0.002677170921013275,-0.005443962398520359,-0.00029951544291988375,-0.000499185279197175,-0.002869838015955967,0.008383288448633786,0.012638317768103714,-0.0009641992713463625,0.0008548828723404473,-0.0019263609004085108,-0.003750424211104483,-0.0020164737905758465,-0.0006188744743359372,0.002611174303970099,-0.011850147899963514,0.002192544903639265,-7.979926048514918e-05,0.00035131078344448655,-0.000241742178069409,0.0006397999927866997,-0.009027778679322297,0.04602849704336831,-0.021427132385682866,0.0006389870038797007,0.0004993946237863299,0.0020698028235645706,-0.0019120645014071222,0.0024425857338410415,0.000852344910441491,-0.004804280975012381,0.0024689273394040384,0.01707027102488427,-0.011101313562560274,-0.0009540149890888298,-0.015738514754811278,0.001252047440803612,0.013582903701819703,-0.0014901671997888972,0.0012251146918579594,0.0065881347351667615,0.00038065423229286075,0.009069134558112302,-0.021427132385682866,0.04602849704336831
logRelF0-H1-H2_sma3nz_stddevNorm,0.0013975922939911116,-0.0003355833503072491,-0.0002723257175391721,-0.00014145665817206005,-0.00016947133283049605,0.00017044344871105962,-0.005184088508324915,-0.0014367543475494217,-0.000868612276925192,0.000804929817459622,0.00016118826762599484,-0.00023047860325718837,-0.0015896289709077045,-4.133028727949313e-05,-0.0002840479627678505,0.0009119544353117203,7.800795663233171e-05,-4.531619860760146e-05,0.0006644035362660478,-0.0007413346101833052,-0.0013864766873655744,-7.780869816202473e-05,-0.00012960913379757614,0.0016850307890328956,-0.0002457029801800574,0.0010831089153986847,-5.2299361994296736e-05,0.00010667751430412,-0.00193289337898543,0.0003591855776413503,-0.0033144730053262135,0.00402251557571019,-0.0021657372191131352,7.665507564612857e-05,0.00047913746940360884,0.00031464533860089353,-0.0006523772053544948,0.0003980860053161582,0.00023289794557018113,-0.0017197662425639103,0.0007873881768522292,0.0010253949357158973,-0.003961401452009872,-0.0008525030993499724,-0.0008580773145298655,0.00015183970808565637,0.001999862280806113,-0.0011291177533700545,0.0013257581526442063,0.0005517321170868805,-0.00022060474045882094,0.0014595624363312608,-0.005184088508324915,0.00402251557571019
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.024379032980304756,-0.012159357542271014,-0.0005675711124604665,-0.0025345319304708475,-0.006001005528405699,0.00035765221949832996,-0.0046358477739398985,-0.011821802249227726,-0.022813362408002042,0.01848093783451017,0.02129721508154498,-0.006721444890520364,-0.0015854561181009718,0.0,-0.008508041559430395,0.01591946075928141,0.009366801597070934,-0.0007184192986363051,0.00259790949470248,0.0,-0.00048621896350891546,-0.0003208352831419289,-0.0017228020743025481,0.00850282482026921,-0.012371033642291668,0.002610164060195869,-0.008642519513485061,0.0015953817474145527,-0.0027201729835744375,0.005732547447667898,-0.010026343412520067,0.03606749721197209,-0.05564688255891998,0.002701511741746865,0.010776030312351985,0.0017442866107126565,-0.002974955573249773,0.0022986807599759615,0.0072030590245297016,-0.034199970861567015,0.003709622400612065,0.046666819525628116,-0.07099768421340978,-0.00416192825281153,-0.0020779354603266873,0.008546908200801178,0.0046826512559838916,-0.026956952281984192,0.036763496444708256,0.009704955763934101,-0.0005933525638228374,0.01920786222438303,-0.07099768421340978,0.046666819525628116
slopeV0-500_sma3nz_stddevNorm,0.002543770762835653,-0.00300295357930628,-0.0003628951035819741,-0.00014714824519623056,-0.0018520704230191654,0.017027318093756027,-0.006622572500125636,-0.00882622075235032,-0.008318449862658903,0.0015447356267436747,0.005236249241811421,-0.011291208228562898,-0.007308465670932588,-0.0010320406939799724,-0.001760452177254153,0.00019961225132976288,0.0008085568247176055,-0.00840357055319342,0.0009591117879934922,-0.026874997618124338,-0.004830745024174087,-0.003976816981220907,-0.0005742409974799228,0.015696675072197547,-0.00012189462153074345,0.0012908731164153894,-0.0013939609652430004,0.0003304985753924641,-0.003618959683300893,0.0023023093702421605,-0.008911730233161315,0.0779686593932578,-0.012789284824952911,3.9689724697372525e-05,0.0014445506557635797,0.0007164578825514243,-5.497273366660022e-05,0.0002421697247461878,0.0002717924726492501,-0.025461259467967266,0.0021016524401663355,0.002760747682935219,-0.018406155630071825,-0.0008965191973026666,-0.018110107673257738,0.004146575876394796,0.007904900799910863,-0.13022904673711222,0.004493740351679659,0.0017496942145385776,-0.0032679679647200344,0.02280289644171908,-0.13022904673711222,0.0779686593932578
mfcc3V_sma3nz_stddevNorm,0.014635140394795224,-0.0013040566985360786,-0.00016648022957545713,-3.797971800547018e-05,-0.0013142814133371063,0.00561206332400536,-0.002194079488229762,-0.08299263809629488,-0.02079777818628972,0.0023498342954527663,0.0002459803726335988,-0.006816511531039018,-0.00016057436112669116,-0.0003710258217824649,-0.0011902056501373864,0.0003341727709905642,0.0006524193322924278,-0.002446867435705245,0.0007551690231040695,-0.026245028281284426,-0.0001711671783707974,-0.0007482061281562772,-0.000506227466653321,0.0009980389626538444,-0.007991155851813939,0.0020276042927209214,-0.0005225888101015186,0.0004291877389418014,-0.007918617366722332,0.00018737596360128813,-0.0016013529043208716,0.0033748707167174687,-0.036877791114419946,0.0001120501867081154,0.007839241098360589,0.0009183576744907775,-0.00019736322234769656,0.0025760793274548625,0.002262959188569665,-0.005779407131390965,0.00045057850180589456,0.0005087920898502146,-0.0679260703694343,-0.0004373767498821987,-0.0019070273404656914,0.004515567254673664,0.0012762953035375673,-0.02357061761206524,0.005069749964822474,0.00022182315400167188,-0.004896782504506079,0.016709820725132482,-0.08299263809629488,0.016709820725132482
hammarbergIndexV_sma3nz_stddevNorm,0.0156313257047472,-0.03666322575130017,-0.0008358343032911041,-0.003387380850780675,-0.0014270098453088062,0.01941814615767715,-0.09486938384094558,-0.07656246653658012,-0.15063759326249937,0.03902959679380265,0.00802119344651927,-0.004649044748317123,-0.0034628313360069505,-0.0011296420203165851,-0.017254656709111013,0.011738606838447234,0.03886623549442849,-0.011856956984910709,0.007640722542432251,-0.004152580467469249,-0.005447118852576537,0.0,-0.003534593060607057,0.024282781300864687,-0.01447423886605773,0.019720623982317647,-0.005355576242772894,0.0073464515605692,-0.0006738969068764575,0.01473425829238422,-0.05946530881521843,0.04898118715342337,-0.011775552200905303,0.0006811402638330888,0.0059535702117336315,0.004119822634809375,-0.011412556085337531,0.01901163336684259,0.007355850636206345,-0.040905372867990425,0.001697761211603483,0.03307851491232075,-0.09901552093674447,-0.010863044309465528,-0.05332793721388233,0.010747368537254763,0.011496790387919998,-0.003990961064561845,0.0022817457126234346,0.01637088093654053,-0.007178481520010651,0.03606049259630654,-0.15063759326249937,0.04898118715342337
F0semitoneFrom27.5Hz_sma3nz_amean,0.022439955854463334,-0.0010350758372879316,-0.00028510879333778426,-0.005700589921380953,-0.003407369855396411,0.007080603564151088,-0.18060202904616504,-0.021800104010286658,-0.028814216722144705,0.03913116465046805,0.0033772469835294805,-0.06555218276787762,-0.0022280510189057134,-0.003715938174007446,-0.015263005764727585,0.028824111714450585,0.053677902595773055,-0.023646009028264282,0.007558948685002424,-0.027398567884465718,-0.00014578026789736063,-0.0008563421145569312,-0.004250558452758939,0.013696914303999698,-0.015570924773032376,0.024083065222533395,-0.00293818521962491,0.007679129362963881,-0.0013657693341354994,0.005366812872337384,-0.014288838946657287,0.05361895363970313,-0.10024687504765425,0.00028441505011782574,0.002801448597706453,0.0034172912818195463,-0.002998623820556811,0.00048068818891429,0.006168511727119968,-0.026052848171098278,0.00011943862623103327,0.006009639405863654,-0.11262632375894989,-0.0038441191384310613,-0.05221488272903376,0.00047831367096620335,0.05119466248975785,-0.041568702343153276,0.02514409317933025,0.010032680261079376,-0.00771502062027013,0.039562953367407165,-0.18060202904616504,0.053677902595773055
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.016967536510376267,-0.0014422846805177887,-0.0005963402131358419,-0.001240408153769409,-0.0007214320543255446,0.0055841982154095525,-0.06308616335579681,-0.09937323382089698,-0.010598635047708197,0.002008417806010032,0.0004576247643093001,-0.003558712233841265,-0.005708937832239482,-0.0009089294484047572,-0.0047725674864270455,0.009757286252236113,0.012208378741465055,-3.0850784684979365e-05,6.743518828052654e-05,-0.025161139109340442,-0.003548982933347367,-0.0006283237418239237,-0.004868854786480706,0.012269105319596693,-0.020840495060018848,0.008358643175473785,-0.005022360537565913,0.004695342252639619,-0.0035699702610150837,0.003610568792873661,-0.009369076642665841,0.028111668307867578,-0.026386368644362192,0.0010771736391247935,0.001744083568979684,0.0031661574331129927,-0.00597496037340695,0.006485564916069782,0.002852588284314982,-0.04533735762934994,0.007678410674345168,0.045701994864861914,-0.18460643178614897,-0.006099644165627357,-0.02872074605805553,0.0011304639808210112,0.0968044810598567,-0.10445412329433276,0.0036910107537090914,0.0025438236976068488,-0.007793107438718975,0.03849451395642598,-0.18460643178614897,0.0968044810598567
F1frequency_sma3nz_stddevNorm,0.011513105042999277,-0.010416145337185061,-0.001217286996860903,-0.00784329586019012,-0.0005155234485245701,0.024879449561660508,-0.21046571485842339,-0.04150056248235007,-0.1749756866377801,0.02655113866590845,0.004773588109154876,-0.003080310738722153,-0.006792098296074168,-0.0021962681952779556,-0.011292217687333076,0.004468151335193725,0.006466057078138662,-2.9485950948318872e-05,0.008242575583128376,-0.04546836919137015,-0.026395290218074706,-0.004941580319920516,-0.004469081799557662,0.021948478900632135,-0.0022883734060841904,0.004382096347608257,-0.010202123814861741,0.0005481574796731158,-0.012624307020881268,0.014799421372811802,-0.010490084299220874,0.012219673979532825,-0.07400216458108379,0.001728530912504481,0.004114379114261563,0.0006543188118311197,-0.019260551243932618,0.01164095345798129,0.014257708298161599,-0.02661917013520451,0.0011641880723170306,0.02144300484346675,-0.015440195540877048,-0.0036465849836494536,-0.022176607739814034,0.006222119420751076,0.1115396667462217,-0.01245167711221389,0.03582583412942941,0.005011532032374042,-0.008128132572013485,0.045037744392492404,-0.21046571485842339,0.1115396667462217
alphaRatioV_sma3nz_amean,0.012577094360275707,-0.019054998815966107,-0.0013504849177798277,-0.0051094817245324374,-0.0011323691794805448,0.022297756717090098,-0.0661277028591571,-0.14990177072363176,-0.026965292087812318,0.042362134117909,0.024552390402954528,-0.0028860222737379444,-0.008207985275112998,-0.005908144479279219,-0.010484636076401247,0.009375945675103858,0.014754093655369739,-0.008541468112050223,0.007007832463321557,-0.042034797859869716,-0.0009846167731800799,-0.015213707059758578,-0.003047011641926265,0.019604426464236168,-0.00019851783036222128,0.00041128876576796927,-0.007802419065864439,0.0031646160613637356,-0.0004372427122612163,0.007422359451411538,-0.07585736714393436,0.039128187961192794,-0.12573179237488918,0.0007476887099717,0.011075093853853994,0.006771177307574573,-0.010404637539861167,0.01957216997966448,0.0021634903363338125,-0.00828568158371207,0.003822919577009691,0.06282191114951237,-0.13429200420806708,-0.022644583212830444,-0.08345527651812049,0.0038329626819578444,0.05744310686034276,-0.043449332450786034,0.0025772555174343225,0.011324015038026712,-0.009893988547853722,0.041934801778460644,-0.14990177072363176,0.06282191114951237
