,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.024815720582300565,-0.01837686898980236,-0.0007380363845957751,-0.0010478693265092434,-0.009352981277671606,0.00036325212954346477,-0.016189513385966574,-0.028370893938712585,-0.019324849254679297,0.05961396847216029,0.05919843878031377,-0.004516104466000026,-0.0026011970088731227,-0.0001420365929285408,-0.01158926718301241,0.03836357342923636,0.00630019950562489,-0.0018186837915373571,0.005243016893881717,-0.0008310560487888284,-0.0013407587062321705,-0.0012244886921071551,-0.002070343461628862,0.023519006369464846,-0.021908311469253892,0.011226054404662362,-0.004617710093732194,0.003510541143765301,-0.008592848696668508,0.012568614881955034,-0.007459463258727045,0.05946297158231082,-0.10522372485099402,0.0025313632121587793,0.027386813808967025,0.003032018498758649,-0.0007392108209056985,0.002794265541851707,0.02446058543589926,-0.01329954808661679,0.008745897213839051,0.11233191711416889,-0.15851395635675936,-0.007100194951496333,-0.0006468027277540309,0.004143222078555818,0.010713440850957255,-0.028662328236931354,0.08897573136266923,0.017434704134361823,0.0026087253873704353,0.03888371245764896,-0.15851395635675936,0.11233191711416889
slopeV500-1500_sma3nz_stddevNorm,0.0006433151817895955,-0.010910962805086175,-0.0009006916928596803,-0.000772682544575418,-0.001088790119066397,0.001906558769781714,-0.054064538810321416,-0.012569667725100611,-0.0017605955302573894,0.00727049732274956,0.022061775599788995,-0.0002952021427219452,-0.0005555913387519627,-0.0012138028630874005,-0.007696758212229468,0.02127275339267333,0.01011150766981875,-0.004875777344417083,0.0018525580373797597,-0.01191292866102224,-0.0045986688651907725,-0.002641197517413877,-0.0006381151980565019,0.0016694439310117155,-0.019825821568247564,0.003395752716908241,-5.0447301586770815e-05,0.0011450952702482884,-0.00206883751391009,0.0014688515850265018,-0.0032557926952113516,0.04211423214760728,-0.04081187802412046,0.0036583850097729543,0.0024068144370884385,0.004764442537598164,-0.0007258379236757665,0.005001059601795601,0.005838396101272098,-0.004718303397260229,0.005093978017926977,0.05199479227419186,-0.029056531017665487,-0.0035002002488335607,-0.014850668711532527,0.0023982273581830294,0.0318536354067804,-0.0013695904937820946,0.007587074966696253,0.0048077498283052595,7.174033796821048e-05,0.016407790318570654,-0.054064538810321416,0.05199479227419186
logRelF0-H1-H2_sma3nz_stddevNorm,0.001965972691020328,-0.0012885827126267841,-0.00030988765666007474,-0.00022637361963383996,-0.0005157105007746207,0.0007393652498005755,-0.024009445220351363,-0.00591595592649261,-0.0008031632748667153,0.0005078367719100614,0.00017122496074071082,-0.00019787430609452682,-0.0004455984632743476,-0.00023612986111810536,-0.0005002942247966057,0.002449883446357346,0.00034418457674631063,-0.00018685097665044765,0.00043699285231720903,-0.0036711936802907644,-0.007379349466180366,-6.902780244789363e-05,-0.0010313401109948884,0.007732248416634459,-0.00010325581869744847,0.00690722658079755,-0.00026440514851109334,1.2295847827363132e-05,-0.002604414851682226,0.00029712325795915116,-0.005869122410668115,0.003730922146985767,-0.00404172697737179,0.00012151433149910546,0.0029948860068476054,0.0005751322998707606,-0.0001601661163186397,0.0008490237076187887,0.0006772850353714645,-0.0012711220503723714,0.000627281766882028,0.004374541646847243,-0.015209595238021607,-0.0008820718578927935,-0.0034969139077784383,5.5599637533449956e-05,0.0018546725885713621,-0.0013886242878814452,0.0037405384581104344,0.0004510671517082761,-0.0008092275407698516,0.0047681022376330606,-0.024009445220351363,0.007732248416634459
hammarbergIndexV_sma3nz_stddevNorm,0.03815055228442348,-0.034838112430499106,-0.0009380268906558663,-0.0017035108069465368,-0.002699612371348585,0.015015877796132527,-0.12085736620327944,-0.05864644979271527,-0.05964972690856616,0.06368071720465206,0.021143747532474805,-0.0016873627440745199,-0.005719444767268118,-0.0018821693204825254,-0.014572055799311912,0.024227441239521245,0.021283581991744707,-0.006839242748495847,0.009433412083175953,-0.004816076486843665,-0.004499682359901982,-8.256120732902604e-05,-0.0013914883442296988,0.03700291367121996,-0.02135912365288811,0.0293423648007546,-0.002577031069486741,0.005879471732728271,-0.0013443046878780314,0.02017707196648018,-0.02549140672260256,0.027565931498219433,-0.012974378708121072,0.0028285050952036313,0.009884116874013136,0.007622908818394947,-0.001581742568440121,0.010684206420407827,0.030422387074113415,-0.014723336747489844,0.0028231263277616876,0.06161866714064979,-0.09120120019599973,-0.021234018247710252,-0.02194532825695051,0.0031337826532901237,0.010669131894330141,-0.004865905830456858,0.005535558040058788,0.029417529413048923,-0.0010515532463434495,0.03183234578794434,-0.12085736620327944,0.06368071720465206
equivalentSoundLevel_dBp,0.12050862863783733,-0.0768172858611879,-0.001462960409698212,-0.005538707546965804,-0.020131285423355984,0.022480674832930446,-0.2535679256254531,-0.09141668468201515,-0.04612986082381941,0.08658850788921744,0.12890435400194192,-0.013113995514256427,-0.008017837145282774,-0.0034568054623896906,-0.025976400191802456,0.07768184208894514,0.034927940897595385,-0.007680191703616884,0.01701243386359047,-0.10207276778371488,-0.02509767473113092,-0.009254653119924615,-0.005995879265593262,0.08080895214590583,-0.028028964921876814,0.03439624647196158,-0.00841812782857069,0.008961633935118516,-0.009635934289286415,0.04517463285867186,-0.03183582477303292,0.09804874193004187,-0.3222937355370342,0.011588529287071807,0.03462889104168756,0.013630526936819395,-0.0031061567234754216,0.01555698658983607,0.020936405224316553,-0.03332889725231291,0.014072237118189532,0.19819353408951307,-0.12018934769867057,-0.036624632958714785,-0.06969635787175427,0.011115130817364852,0.09231350851158014,-0.0886429858423297,0.16774755100843597,0.03929254632054344,-0.0014592288897629995,0.08657541439966904,-0.3222937355370342,0.19819353408951307
slopeV0-500_sma3nz_stddevNorm,0.0009917174506140444,-0.005917907121934379,-0.0006237462554977147,-0.00044575025170020654,-0.00029539133397676144,0.01550355605348389,-0.02427184165138432,-0.01218207112193498,-0.008289972163354241,0.001171322510172163,0.009515156484933993,-0.003949108143644345,-0.006298468863084067,-0.0010375836150394407,-0.003113015519965038,0.0001810838495224966,0.0019257940610294456,-0.00461322363725525,0.0006868624828918323,-0.009271635363467678,-0.0031118476337659864,-0.002599295847839183,-0.00013522356013029644,0.02303864861566542,0.0,0.003445411636610048,-0.0011967409680374332,0.0006004897980899258,-0.006452913628517145,0.000590502888635975,-0.003924073311095636,0.04068436841253287,-0.03190520781009947,8.626001579133767e-05,0.0010378470247651202,0.0006804745126493481,-0.00011843949355920895,8.714303723825434e-05,0.00030536033380567225,-0.006714268955417917,0.002713842613295795,0.0007883711004098055,-0.028943274345292917,-0.0014637420501679474,-0.014573256153464574,0.003602736047777497,0.004572732669211411,-0.028530320673387878,0.016434814218385222,0.002917329483697183,-0.0015683298834361053,0.011622913021571639,-0.03190520781009947,0.04068436841253287
mfcc1_sma3_amean,0.10146879062814053,-0.0015902055398225035,-0.001600864043522241,-0.004502236697213526,-0.014639240099788859,0.02082993493120952,-0.1922101022071407,-0.18186513198731538,-0.05857866705870495,0.0626223962270336,0.11826941316403021,-0.008402314626180006,-0.005113536610112256,-0.006154352251808328,-0.025048568822366668,0.04881791095645863,0.020052727757357326,-0.009508698105194946,0.008149748887510709,-0.1466282074507403,-0.016054035166310817,-0.01498154053378829,-0.0048455520047472524,0.1083917531593725,-0.03406493416742286,0.006224270394697756,-0.004375665517145196,0.01185506466507274,-0.018922157235212737,0.026079951732542496,-0.013283894920593899,0.028788677100024675,-0.09710175233540222,0.006163558386421916,0.02765061022025897,0.0030504878568265903,-0.0016976591899980466,0.013259830035142047,0.0445346632671122,-0.02612184966522511,0.03005735733647177,0.12304270450235204,-0.12107579180942996,-0.04283507367047602,-0.05293018844995903,0.009599491018925117,0.06381024742196517,-0.03706789556853435,0.1443855636439211,0.024907007317759456,-0.0017837591024709861,0.06610002859158458,-0.1922101022071407,0.1443855636439211
F0semitoneFrom27.5Hz_sma3nz_amean,0.04112071604614993,-5.280650351630476e-05,-0.00022931467169745603,-0.003764025737999982,-0.007018824211125538,0.005366883736546275,-0.20161674470433155,-0.0331033563453772,-0.010847056660939639,0.05304181708344328,0.01038035855302198,-0.01551572215237194,-0.0015803466926714825,-0.003031450845378166,-0.015307787293673353,0.04933878154816149,0.022772799511435283,-0.010307492662907413,0.008689586858218745,-0.03922178305673724,-0.0006815256952541466,-0.0013138984312718485,-0.0029943464409687413,0.024346296324297863,-0.019449778185983885,0.02318024542265724,-0.002266038288428387,0.007536769765560734,-0.004177596074432827,0.009682440752550278,-0.014776544487471857,0.052605483443527556,-0.12014024515835776,0.0009599634606143596,0.005179735353774423,0.00565155439972096,-0.0005515914984822097,0.0008992503386646166,0.01502211434727958,-0.013416847638655081,3.8154774216893525e-05,0.010823036374191321,-0.1170476467660301,-0.005931353874257707,-0.022560873324539994,0.00030847509399713045,0.03922200370809078,-0.03401888893638751,0.13996260263828997,0.014217672632213123,-0.0032115428834525108,0.04639798355637404,-0.20161674470433155,0.13996260263828997
F1frequency_sma3nz_stddevNorm,0.005103436508849186,-0.0048140849159911325,-0.0011989362999582068,-0.0023255226378285855,-0.0004560093474755684,0.014223204490996547,-0.1614558430493456,-0.03927012287681105,-0.0750777578020838,0.03986053553894491,0.0047054518686241685,-0.0006359239377736262,-0.004195709928092443,-0.0023603296278892788,-0.018111696106895996,0.006395478631577491,0.0033182200645737073,-9.625731836521474e-05,0.002898816434556034,-0.06519659269807065,-0.01942557323482347,-0.0029046661230204634,-0.002708016267178639,0.026424131088130704,-0.0036869551364784327,0.005542610543159296,-0.007148406644695988,0.00036024289098539027,-0.010151319825864084,0.018399933612942954,-0.004080432280042613,0.01256003524456098,-0.04509938651895146,0.004064835250446892,0.011359516844505355,0.00037158775859245745,-0.00160292062236542,0.006366816113955226,0.031916180931753975,-0.012625495226955214,0.001301222313231718,0.017723451719866737,-0.0438976271722758,-0.004745483101003756,-0.007393375777258589,0.0012528814415714048,0.05356077790852677,-0.007386033902548616,0.0683901713857778,0.007003013967070721,-0.004098958516536866,0.03289793098899641,-0.1614558430493456,0.0683901713857778
mfcc4V_sma3nz_amean,0.005462142001512555,-0.0024465050743754757,-0.0011550601186023667,-0.0002824520080447972,-0.008384359845220622,0.012319467195165934,-0.18107949924851194,-0.07467710957364589,-0.009174958517359375,0.04616596210495603,0.093100250921602,-0.0015943497819948867,-0.009581868977801606,-2.2070053605916476e-05,-0.00933923519140644,0.00024463689417349274,0.017902739989099054,-0.004770701782847276,0.009607896239826755,-0.03638969039610435,-0.017894343923750656,-0.002212362430749179,-0.0016022672286012767,0.044375995658454126,-0.010778867091711131,0.01001040687980366,-0.009171474693962407,0.0047411126354501955,-0.02346721140975996,0.022575104723332462,-0.0019753136512396627,0.04454060272910464,-0.008371190903357988,0.004074056177855483,0.022895273832788544,0.005460070345793583,-0.00017824144250946453,0.0006855628678172746,0.0011975213528041388,-0.028615385802057584,0.006558279484347391,0.0009880380786113194,-0.13402965884349907,-0.014533451300090504,-0.048176412690682804,0.008949047795828256,0.00672288009781737,-0.03846705756770842,0.01824193914567012,0.021078013845179096,-0.00540948197104415,0.040009702877671784,-0.18107949924851194,0.093100250921602
